Reservoir,Inflow_File
Watauga,Watauga_inflow.dat
Wilbur,Wilbur_inflow.dat
SHolston,SHolston_inflow.dat
Boone,Boone_inflow.dat
FtPatrick,FtPatrick_inflow.dat
Cherokee,Cherokee_inflow.dat
Douglas,Douglas_inflow.dat
FtLoudoun,FortLoudoun_inflow.dat
Fontana,Fontana_inflow.dat
Norris,Norris_inflow.dat
MeltonH,MeltonH_inflow.dat
WattsBar,WattsBar_inflow.dat
Chatuge,Chatuge_inflow.dat
Nottely,Nottely_inflow.dat
Hiwassee,Hiwassee_inflow.dat
Apalachia,Apalachia_inflow.dat
BlueRidge,BlueRidge_inflow.dat
RacoonMt,RacoonMt_inflow.dat
Ocoee3,Ocee3_inflow.dat
Ocoee1,Ocee1_inflow.dat
Chikamauga,Chickamauga_inflow.dat
Nikajack,Nikajack_inflow.dat
Guntersville,Guntersville_inflow.dat
TimsFord,TimsFord_inflow.dat
Wheeler,Wheeler_inflow.dat
Wilson,Wilson_inflow.dat
Pickwick,Pickwick_inflow.dat
Kentucky,Kentucky_inflow.dat
