Apalachia Dam,Apalachia
Blue Ridge Dam,BlueRidge
Boone Dam,Boone
Chatuge Dam,Chatuge
Cherokee Dam,Cherokee
Chickamauga Dam,Chickamauga
Douglas Dam,Douglas
Fontana Dam,Fontana
Fort Loudoun Dam,FtLoudoun
Fort Patrick Henry Dam,FtPatrick
Guntersville Dam,Guntersville
Hiwassee Dam,Hiwassee
Kentucky Dam,Kentucky
Melton Hill Dam,MeltonH
Nickajack Dam,Nickajack
Norris Dam,Norris
Nottely Dam,Nottely
Ocoee #1 Dam,Ocoee1
Ocoee #3 Dam,Ocoee3
Pickwick Dam,Pickwick
Raccoon Mountain Pumped-Storage Plant,RaccoonMt
South Holston Dam,SHolston
Tims Ford Dam,TimsFord
Watts Bar Dam,WattsBar
Watauga Dam,Watauga
Wheeler Dam,Wheeler
Wilson Dam,Wilson
Wilbur Dam,Wilbur
