Date,Midnight Pool,Release,Inflow,HPGen,Storage
1959-05-01,1069.26,35769600.0,135302400.0,108.0,41485672800.0
1959-05-02,1069.31,24105600.0,107049600.0,65.0,41527490400.0
1959-05-03,1069.37,24105600.0,123638400.0,65.0,41577148800.0
1959-05-04,1069.36,107049600.0,90460800.0,330.0,41568872400.0
1959-05-05,1069.37,107481600.0,124070400.0,330.0,41577148800.0
1959-05-06,1069.36,107654400.0,91065600.0,330.0,41568872400.0
1959-05-07,1069.36,107568000.0,107568000.0,329.0,41568872400.0
1959-05-08,1069.35,107654400.0,91065600.0,330.0,41560596000.0
1959-05-09,1069.4,24019200.0,106963200.0,65.0,41601978000.0
1959-05-10,1069.42,24019200.0,57196800.0,65.0,41618530800.0
1959-05-11,1069.42,108604800.0,108604800.0,330.0,41618530800.0
1959-05-12,1069.46,108691200.0,175046400.0,330.0,41652072000.0
1959-05-13,1069.52,108691200.0,208137600.0,329.0,41701730400.0
1959-05-14,1069.52,108604800.0,108604800.0,330.0,41701730400.0
1959-05-15,1069.5,108604800.0,75427200.0,329.0,41685177600.0
1959-05-16,1069.53,23760000.0,73526400.0,64.0,41710006800.0
1959-05-17,1069.57,23846400.0,90115200.0,64.0,41743112400.0
1959-05-18,1069.54,144547200.0,94780800.0,449.0,41718283200.0
1959-05-19,1069.52,144979200.0,111801600.0,450.0,41701730400.0
1959-05-20,1069.66,145065600.0,377222400.0,450.0,41818035600.0
1959-05-21,1069.78,144633600.0,343612800.0,450.0,41917352400.0
1959-05-22,1069.8,144633600.0,177811200.0,450.0,41934340800.0
1959-05-23,1069.87,23846400.0,139881600.0,64.0,41992275600.0
1959-05-24,1069.96,23932800.0,173145600.0,65.0,42067198800.0
1959-05-25,1070.02,107913600.0,207360000.0,330.0,42116857200.0
1959-05-26,1070.09,107827200.0,223862400.0,329.0,42175663200.0
1959-05-27,1070.12,108259200.0,158025600.0,330.0,42200928000.0
1959-05-28,1070.15,108086400.0,157852800.0,329.0,42226192800.0
1959-05-29,1070.18,108086400.0,157852800.0,330.0,42251022000.0
1959-05-30,1070.51,23846400.0,571017600.0,64.0,42528063600.0
1959-05-31,1071.08,23846400.0,981331200.0,64.0,43007659200.0
1959-06-01,1071.44,225936000.0,838598400.0,695.0,43316064000.0
1959-06-02,1071.51,233452800.0,352598400.0,716.0,43375741200.0
1959-06-03,1071.53,234057600.0,268099200.0,724.0,43393165200.0
1959-06-04,1071.51,228009600.0,193968000.0,700.0,43375741200.0
1959-06-05,1071.46,228009600.0,142905600.0,700.0,43333052400.0
1959-06-06,1071.63,23846400.0,313113600.0,65.0,43478542800.0
1959-06-07,1071.7,23760000.0,142905600.0,65.0,43538655600.0
1959-06-08,1071.74,82252800.0,150336000.0,258.0,43573068000.0
1959-06-09,1071.77,82080000.0,133142400.0,257.0,43598768400.0
1959-06-10,1071.79,83116800.0,117158400.0,252.0,43615756800.0
1959-06-11,1071.81,82166400.0,116208000.0,257.0,43632745200.0
1959-06-12,1071.84,82080000.0,133142400.0,257.0,43658445600.0
1959-06-13,1071.89,23587200.0,108691200.0,64.0,43701570000.0
1959-06-14,1071.92,23587200.0,74649600.0,64.0,43727270400.0
1959-06-15,1071.74,422496000.0,116208000.0,1365.0,43573068000.0
