,site_name_act,site_name,rts,rel_inf_corr,max_sto,group,lat,long,geometry,dist,nid_idx,Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
0,Davis,Davis,132.14185256749366,0.6618530805920045,2200.0,high_rt,35.20227,-114.572791,POINT (-114.572791 35.20227),0.0069546086158727375,17117.0,DAVIS BOR,,,AZ10309,0.0,,-114.57,35.1959,,"MOHAVE, AZ; CLARK, NV",COLORADO RIVER,DOI BR,Federal,N,,Earth,A,RK,Hydroelectric,Hydroelectric,1952.0,,1600.0,200.0,200.0,140.0,200.0,216000.0,1592300.0,1592300.0,1592300.0,28500.0,923.0,Y,3/15/2011,1.0,C,150.0,,3642000.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,AZ,03\01\2013,,Paul A. Gosar (R),R,AZ04
1,Hoover,Hoover,955.3343769231376,-0.0406766143228029,16229.0,high_rt,36.018191,-114.735006,POINT (-114.735006 36.018191),0.003050756791351896,10321.0,HOOVER,BOULDER,0,NV10122,0.0,,-114.7374,36.0163,,"CLARK, NV; MOHAVE, AZ",COLORADO RIVER,DOI BR,Federal,N,,,A,RK,Hydroelectric,"Irrigation, Hydroelectric, Water Supply",1935.0,,1244.0,730.0,730.0,592.0,730.0,200000.0,30237000.0,28255000.0,30237000.0,156800.0,167800.0,Y,2/16/2011,1.0,C,400.0,,3250000.0,,0.0,,N,N,N,N,N,USDI BOR,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,NV,03\01\2013,,Joseph J. Heck (R),R,NV03
2,Parker,Parker,63.38165097201232,0.822584915674977,13500.0,high_rt,34.29867,-114.138725,POINT (-114.138725 34.29867),0.002123799660990199,11093.0,PARKER,,,AZ10312,0.0,,-114.1392,34.2966,,"SAN BERNARDINO, CA; YUMA, AZ",COLORADO RIVER,DOI BR,Federal,N,,,A,RK,Hydroelectric,"Irrigation, Hydroelectric, Water Supply",1938.0,,856.0,320.0,320.0,80.0,320.0,314000.0,180000.0,180000.0,180000.0,20390.0,9500.0,Y,9/1/2011,1.0,C,250.0,,380000.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,AZ,03\01\2013,,Paul A. Gosar (R),R,AZ04
3,Angostura,AGR,787.0384411601592,0.8865883798518636,132.715609,high_rt,43.342073,-103.435489,POINT (-103.435489 43.342073),0.0030671240600874273,16237.0,ANGOSTURA,,SD01099,SD01099,0.0,,-103.4383,43.3433,NW SEC.20-T8S-R6E,FALL RIVER,CHEYENNE RIVER,DEPT. OF INTERIOR,Federal,N,,Gravity,,,Irrigation,"Irrigation, Recreation",1949.0,0,2030.0,193.0,193.0,136.0,193.0,248000.0,187128.0,130768.0,187128.0,,,Y,6/25/1991,0.0,,0.0,,,,0.0,,N,N,N,N,N,,,,,,,,,,SD,SD,01\08\2013,,Kristi L. Noem (R),R,SD00
4,Alcova,ALCR,138.2638973105759,0.973797556432452,181.943,high_rt,42.543117,-106.727083,POINT (-106.727083 42.543117),0.00854669398070882,13720.0,ALCOVA,,4630R,WY01290,0.0,,-106.72,42.5479,"SESE 24,T30N,R83W",NATRONA,NORTH PLATTE RIVER,DOI BR,Federal,N,DOI BR,Earth,HEK,RSK,Hydroelectric,"Irrigation, Hydroelectric",1937.0,,763.0,265.0,265.0,185.0,265.0,55000.0,184300.0,184405.0,184405.0,2471.0,10376.0,Y,5/25/2010,1.0,C,77.0,V2;O3,1635000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
5,Bull Lake,BLR,344.3941790037503,0.507801667536795,151.515812,high_rt,43.209951,-109.044413,POINT (-109.044413 43.209951),0.0017859927211551177,13744.0,BULL LAKE,,3912R,WY01378,0.0,,-109.0429,43.2109,"NENW 30,T 3N,R2W",FREMONT,BULL LAKE CREEK,DOI BR,Federal,N,PAUL J. KENNEDY,Earth,HEK,SZ,Flood Control,"Irrigation, Flood Control, Recreation, Fish and Wildlife Pond",1937.0,,3456.0,80.0,80.0,72.0,80.0,16550.0,163976.0,152459.0,163976.0,3157.0,222.0,Y,6/28/2012,1.0,C,87.0,T3;S4,820000.0,,0.0,,Y,Y,Y,Y,Y,SEO,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,WY,03\01\2013,,Cynthia M. Lummis (R),R,WY00
6,Big Bend,BigBend,70.89802237827153,0.881124876487105,1829.2,high_rt,44.039785,-99.448646,POINT (-99.448646 44.039785),0.002528110163734568,35730.0,BIG BEND DAM,LAKE SHARPE,1420,SD01092,0.0,,-99.4466,44.0383,,BUFFALO,MISSOURI RIVER,CENWO,Federal,N,CENWO,Earth,I,R,Flood Control,"Irrigation, Hydroelectric, Flood Control, Navigation, Recreation",1963.0,,10570.0,,95.0,78.0,95.0,390000.0,1900000.0,1725000.0,1900000.0,60000.0,5840.0,Y,7/24/2009,5.0,C,376.0,Vertical Lift,17000000.0,,0.0,,Y,Y,Y,Y,Y,,CE,CE,CE,CE,CE,CE,CE,CE,CE,SD,02\27\2013,,Kristi L. Noem (R),R,SD00
7,Clark Canyon,CCR,408.5073231328307,0.4737093542454798,227.979,high_rt,44.997869,-112.860426,POINT (-112.860426 44.997869),0.0028420832148261495,35260.0,CLARK CANYON,,,MT00569,0.0,,-112.8588,45.0002,,BEAVERHEAD,BEAVERHEAD RIVER,DOI BR,Federal,N,,Earth,A,RK,Flood Control,"Irrigation, Flood Control",1963.0,,2950.0,148.0,148.0,126.0,148.0,9700.0,328979.0,178062.0,328979.0,5903.0,2315.0,Y,9/15/2011,1.0,U,56.0,,1970000.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR;FERC,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,MT,03\01\2013,,Steve Daines (R),R,MT00
8,Deerfield,DFR,830.0751693951127,0.7988032635892557,15.976,high_rt,44.027173,-103.786348,POINT (-103.786348 44.027173),0.0022818924163982607,16827.0,DEERFIELD,,6014,SD01138,0.0,,-103.7853,44.0292,NE SW SEC.20-T1N-R3E,PENNINGTON,CASTLE CREEK,DOI BR,Federal,N,,,,,Fish and Wildlife Pond,"Irrigation, Water Supply, Fish and Wildlife Pond",1946.0,,1125.0,171.0,171.0,145.0,171.0,103400.0,42310.0,15655.0,42310.0,423.0,90.0,Y,9/15/2011,1.0,U,120.0,,1057460.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,DENR,DOI BR;USDA FS,DOI BR;USDA FS,,DOI BR;USDA FS,DOI BR,DOI BR,DOI BR;USDA FS,USDA FS,DOI BR,SD,03\01\2013,,Kristi L. Noem (R),R,SD00
9,Fresno,FRR,172.2909564135401,0.5763293047267989,117.059289,high_rt,48.599168,-109.949037,POINT (-109.949037 48.599168),0.0021380816167817377,11902.0,FRESNO,FRESNO RES,,MT00570,0.0,,-109.9469,48.5991,S19 33N 14E,HILL,MILK RIVER,"U.S. D.O.I. B.R., GREAT PLAINS REGION",Federal,N,,Earth,,R,Irrigation,Irrigation,1938.0,,2070.0,111.0,111.0,75.0,111.0,62000.0,229288.0,129062.0,229288.0,6500.0,2828.0,Y,5/6/2008,1.0,U,210.0,,,,0.0,,N,N,N,N,N,,,,,,,,,,MT,MT,02\04\2013,,Steve Daines (R),R,MT00
