site_name_act,site_name,rts,rel_inf_corr,max_sto,group,lat,long
Davis,Davis,132.14185256749366,0.6618530805920045,2200.0,high_rt,35.20227,-114.572791
Hoover,Hoover,955.3343769231376,-0.0406766143228029,16229.0,high_rt,36.018191,-114.735006
Parker,Parker,63.38165097201232,0.822584915674977,13500.0,high_rt,34.29867,-114.138725
Angostura,AGR,787.0384411601592,0.8865883798518636,132.715609,high_rt,43.342073,-103.435489
Alcova,ALCR,138.2638973105759,0.973797556432452,181.943,high_rt,42.543117,-106.727083
Bull Lake,BLR,344.3941790037503,0.507801667536795,151.515812,high_rt,43.209951,-109.044413
Big Bend,BigBend,70.89802237827153,0.881124876487105,1829.2,high_rt,44.039785,-99.448646
Clark Canyon,CCR,408.5073231328307,0.4737093542454798,227.979,high_rt,44.997869,-112.860426
Deerfield,DFR,830.0751693951127,0.7988032635892557,15.976,high_rt,44.027173,-103.786348
Fresno,FRR,172.2909564135401,0.5763293047267989,117.059289,high_rt,48.599168,-109.949037
Fort Peck,FortPeck,1575.5426278770688,0.3437721536853643,19300.2,high_rt,48.001098,-106.414583
Fort Randall,FortRandall,130.19320974432318,0.726135334125754,5315.0,high_rt,43.066722,-98.554897
Glendo,GLER,209.37085283654363,0.6693526371921188,717.125,high_rt,42.48023,-104.953299
Gray Reef,GRAR,1.1829518158825938,0.9982536663885264,1.86,ror,42.5652,-106.7016
Garrison,Garrison,810.277811818645,0.517883881219363,29268.898,high_rt,47.50613,-101.432292
Gavins Point,GavinsPoint,13.81376488638432,0.9867020764394272,560.0,low_rt,42.850337,-97.483244
Kortes,KORR,3.785957262651085,0.9998290152500904,5.595,ror,42.174167,-106.881111
Oahe,Oahe,723.1146518664414,0.502805359315523,22968.0,high_rt,44.456316,-100.39797
Pathfinder,PATR,436.1877039630701,0.7249635519857465,1093.275,high_rt,42.46391,-106.853706
Pactola,PTR,757.2544521907699,0.81972864039194,64.246,high_rt,44.072917,-103.490625
Seminoe,SEMR,483.3434159016388,0.7290767786361892,1009.383,high_rt,42.154838,-106.906358
Willow Creek,WCR,1133.839759603604,0.2365890732737495,36.033,high_rt,47.549113,-112.428497
Bonneville,BON,3.703202734252546,0.99683625510618,764.2,low_rt,45.644167,-121.940556
Brownlee,BRN,72.13014455693916,0.9220063573522628,1428.424,high_rt,44.836,-116.9
Chief Joseph,CHJ,5.370151725782456,0.9955566060445652,589.2,low_rt,47.995278,-119.633333
Grand Coulee,GCL,38.94238286651265,0.8223212608741653,5185.452,high_rt,47.954652,-118.98095
Ice Harbor,IHR,7.725283164353118,0.9988760552421888,414.1,low_rt,46.2495803,-118.8797221
Lower Granite,LWG,9.089483241693271,0.9984649306068346,482.143,low_rt,46.660556,-117.428056
Priest Rapids,PRD,0.2675958990022443,0.9955179032438436,44.171,low_rt,46.6431876,-119.9094884
