Day,GlenCanyon_rel_cfs,GlenCanyon_cum_rel_AF,Hoover_elev,Hoover_rel_cfs,Hoover_rel_AF,Hoover_cum_rel_AF,Hoover_gen_MWh,Hoover_gen_rate_KWh/AF,Davis_elev,Davis_rel_cfs,Davis_rel_AF,Davis_cum_rel_AF,Davis_gen_MWh,MWD_diver_AF,MWD_cum_diver_AF,Parker_elev,Parker_rel_cfs,Parker_rel_AF,Parker_cum_rel_AF,Parker_gen_MWh,CAP_diver_AF,CAP_cum_diver_AF,Stor_total,Stor_avail,Hoover_stor_KAF,Davis_stor_KAF,Parker_stor_KAF,SenWash_elev,SenWash_stor_KAF,SenWash_pump_cfs,SenWash_rel_cfs,Hoover_del_stor_KAF,Hoover_pump_cfs,Hoover_evap_cfs,Hoover_cbs_cfs,Hoover_loss_cfs,Hoover_cum_loss_AF,Hoover_inflow_cfs
2000-01-01,11800,23405.0,1214.04,7410,14695,14695.0,6677.0,454,638.76,9850.0,19543,19543.0,2382.0,3381.0,3381.0,446.16,6490.0,12873.0,12873.0,809.0,6203.0,6203.0,54269.8,6612.2,25012,1585.0,545.6,232.65,6583.0,789.0,0.0,15,-96759,492,,,,
2000-01-02,11600,46413.0,1214.1,9490,18816,33511.0,8845.0,470,638.67,9890.0,19617,39160.0,2408.0,3426.0,6807.0,446.11,6000.0,11901.0,24774.0,753.0,6208.0,12411.0,54262.4,6619.6,25021,1583.8,544.0,236.8,7971.0,824.0,0.0,9,-96759,295,,,,
2000-01-03,13500,73190.0,1214.03,15900,31460,64970.0,15501.0,493,639.11,9880.0,19597,58757.0,2415.0,3451.0,10258.0,445.92,7490.0,14856.0,39630.0,974.0,5699.0,18110.0,54242.8,6639.2,25011,1593.8,541.2,240.08,9174.0,778.0,0.0,-10,-96759,-328,,,,
2000-01-04,13400,99769.0,1214.05,12300,24318,89288.0,11616.0,478,639.29,11200.0,22129,80886.0,2726.0,2676.0,12934.0,445.97,6000.0,11901.0,51531.0,751.0,5625.0,23735.0,54229.1,6652.9,25014,1598.5,542.2,239.63,9005.0,84.0,0.0,3,-96759,98,,,,
2000-01-05,13500,126545.0,1214.01,12700,25113,114400.0,11945.0,476,639.43,10900.0,21642,102528.0,2654.0,3909.0,16843.0,446.05,6470.0,12833.0,64364.0,814.0,5243.0,28978.0,54216.1,6665.9,25008,1602.3,543.6,239.9,9106.0,170.0,0.0,-6,-96759,-197,,,,
2000-01-06,13500,153322.0,1214.0,14300,28383,142783.0,13553.0,478,639.5,11300.0,22413,124941.0,2744.0,3894.0,20737.0,446.23,4000.0,7934.0,72298.0,459.0,5028.0,34006.0,54197.0,6685.0,25006,1604.0,547.0,239.25,8862.0,0.0,0.0,-2,-96759,-66,,,,
2000-01-07,13400,179901.0,1213.98,14500,28751,171533.0,13849.0,482,639.62,12200.0,24198,149139.0,2981.0,3878.0,24615.0,446.37,6000.0,11901.0,84199.0,768.0,5351.0,39357.0,54179.0,6703.1,25003,1607.4,549.6,235.96,7677.0,0.0,542.0,-3,-96759,-98,,,,
2000-01-08,12800,205289.0,1214.03,8850,17547,189080.0,8055.0,459,639.5,9560.0,18964,168103.0,2330.0,3728.0,28343.0,446.38,6490.0,12873.0,97072.0,832.0,5428.0,44785.0,54164.7,6717.4,25011,1605.9,550.3,235.52,7527.0,0.0,0.0,8,-96759,262,,,,
2000-01-09,11700,228496.0,1214.13,7490,14860,203940.0,6643.0,447,639.3,10300.0,20430,188533.0,2506.0,3705.0,32048.0,446.2,6990.0,13864.0,110936.0,893.0,6197.0,50982.0,54151.7,6730.4,25026,1598.8,546.3,235.78,7616.0,113.0,0.0,15,-96759,492,,,,
2000-01-10,13400,255074.0,1214.13,10400,20539,224479.0,9589.0,467,639.26,11400.0,22612,211145.0,2754.0,3135.0,35183.0,446.12,7480.0,14836.0,125772.0,957.0,5431.0,56413.0,54130.8,6751.3,25028,1597.7,545.0,233.4,6823.0,0.0,354.0,2,-96759,66,,,,
