,,elev,release_acoe,inflow_acoe,storage,release,inflow,sto_delta
fort_peck,2011-10-28,2237.75,,,15595182.5,9391.0,8794.0,
fort_peck,2011-10-29,2237.84,,,15614888.000000032,9258.0,9024.0,19705.500000031665
fort_peck,2011-10-30,2237.7,,,15584234.99999996,9392.0,8774.0,-30653.00000007078
fort_peck,2011-10-31,2237.74,,,15592992.999999952,9282.0,9025.0,8757.999999990687
fort_peck,2011-11-01,2237.67,,,15577666.500000017,9334.0,9003.0,-15326.499999934807
fort_peck,2011-11-02,2237.75,,,15595182.5,9070.0,9134.0,17515.999999983236
fort_peck,2011-11-03,2237.64,,,15571097.999999972,9142.0,8768.0,-24084.50000002794
fort_peck,2011-11-04,2237.63,,,15568908.500000024,9988.0,8770.0,-2189.499999947846
fort_peck,2011-11-05,2237.62,,,15566718.999999976,10332.0,8703.0,-2189.500000048429
fort_peck,2011-11-06,2237.5,,,15540445.0,10327.0,8818.0,-26273.999999975786
fort_peck,2011-11-07,2237.62,,,15566718.999999976,10113.0,8805.0,26273.999999975786
fort_peck,2011-11-08,2237.56,,,15553581.999999989,10147.0,9018.0,-13136.999999986961
fort_peck,2011-11-09,2237.56,,,15553581.999999989,10274.0,9101.0,0.0
fort_peck,2011-11-10,2237.6,,,15562339.99999998,10183.0,9186.0,8757.999999990687
fort_peck,2011-11-11,2237.55,,,15551392.50000004,10294.0,8918.0,-10947.499999940395
fort_peck,2011-11-12,2237.52,,,15544823.999999996,10181.0,8639.0,-6568.500000042841
fort_peck,2011-11-13,2237.55,,,15551392.50000004,10282.0,8803.0,6568.500000042841
fort_peck,2011-11-14,2237.53,,,15547013.500000045,10290.0,8612.0,-4378.999999994412
fort_peck,2011-11-15,2237.47,,,15533876.499999955,10297.0,8573.0,-13137.000000089407
fort_peck,2011-11-16,2237.45,,,15529497.49999996,10098.0,8784.0,-4378.999999994412
fort_peck,2011-11-17,2237.46,,,15531687.000000007,10191.0,8836.0,2189.500000046566
fort_peck,2011-11-18,2237.34,,,15505413.000000032,10250.0,8610.0,-26273.999999975786
fort_peck,2011-11-19,2237.38,,,15514171.000000024,10220.0,8530.0,8757.99999999255
fort_peck,2011-11-20,2237.29,,,15494465.499999993,10220.0,7970.0,-19705.500000031665
fort_peck,2011-11-21,2237.27,,,15490086.499999996,10400.0,7540.0,-4378.999999996275
fort_peck,2011-11-22,2237.19,,,15472570.500000011,10100.0,7260.0,-17515.9999999851
fort_peck,2011-11-23,2237.18,,,15470380.999999965,9900.0,7600.0,-2189.500000046566
fort_peck,2011-11-24,2237.12,,,15457243.999999976,10300.0,8520.0,-13136.999999988824
fort_peck,2011-11-25,2237.2,,,15474759.99999996,10100.0,8600.0,17515.9999999851
fort_peck,2011-11-26,2237.11,,,15455054.500000028,10200.0,8600.0,-19705.499999932945
fort_peck,2011-11-27,2237.14,,,15461622.999999972,10230.0,8640.0,6568.499999944121
fort_peck,2011-11-28,2237.11,,,15455054.500000028,10030.0,8630.0,-6568.499999944121
fort_peck,2011-11-29,2237.14,,,15461622.999999972,10130.0,8500.0,6568.499999944121
fort_peck,2011-11-30,2237.01,,,15433159.500000048,10130.0,8400.0,-28463.49999992363
fort_peck,2011-12-01,2237.28,,,15492276.000000045,10230.0,8300.0,59116.499999996275
fort_peck,2011-12-02,2237.26,,,15487897.000000048,10230.0,7470.0,-4378.999999996275
fort_peck,2011-12-03,2237.17,,,15468191.500000017,10030.0,7250.0,-19705.500000031665
