Elevation (ft),Flood Storage (ac-ft),Conservation Storage (ac-ft),Inflow (cfs),Outflow (cfs),Stage (ft),Surcharge (cfs),Tailwater Elevation (cfs),Tailwater Stage (cfs),Rule Curve (cfs),Date-Time
1419.89,,,,,,,,,,28-Oct-2011 17:00:00
1419.91,,,,,,,,,,28-Oct-2011 18:00:00
1419.92,,,,,,,,,,28-Oct-2011 19:00:00
1419.94,,,,,,,,,,28-Oct-2011 20:00:00
1420.00,,,,,,,,,,28-Oct-2011 21:00:00
1420.04,,,,,,,,,,28-Oct-2011 22:00:00
1420.10,,,,,,,,,,28-Oct-2011 23:00:00
1419.99,,,,,,,,,,29-Oct-2011 00:00:00
1419.95,,,,,,,,,,29-Oct-2011 01:00:00
1419.86,,,,,,,,,,29-Oct-2011 02:00:00
1419.74,,,,,,,,,,29-Oct-2011 03:00:00
1419.70,,,,,,,,,,29-Oct-2011 04:00:00
1419.77,1620000,,,,,,,,,29-Oct-2011 05:00:00
1419.74,,,,,,,,,,29-Oct-2011 06:00:00
1419.77,,,,,,,,,,29-Oct-2011 07:00:00
1419.88,,,,,,,,,,29-Oct-2011 08:00:00
1419.83,,,,,,,,,,29-Oct-2011 09:00:00
1419.86,,,,,,,,,,29-Oct-2011 10:00:00
1419.83,,,,,,,,,,29-Oct-2011 11:00:00
1419.85,,,,,,,,,,29-Oct-2011 12:00:00
1419.89,,,,,,,,,,29-Oct-2011 13:00:00
1419.85,,,,,,,,,,29-Oct-2011 14:00:00
1419.89,,,,,,,,,,29-Oct-2011 15:00:00
1419.85,,,,,,,,,,29-Oct-2011 16:00:00
1419.93,,,,,,,,,,29-Oct-2011 17:00:00
1419.95,,,,,,,,,,29-Oct-2011 18:00:00
1419.94,,,,,,,,,,29-Oct-2011 19:00:00
1419.98,,,,,,,,,,29-Oct-2011 20:00:00
1420.03,,,,,,,,,,29-Oct-2011 21:00:00
1420.06,,,,,,,,,,29-Oct-2011 22:00:00
1420.09,,,,,,,,,,29-Oct-2011 23:00:00
1420.18,,,,,,,,,,30-Oct-2011 00:00:00
1420.22,,,,,,,,,,30-Oct-2011 01:00:00
1420.17,,,,,,,,,,30-Oct-2011 02:00:00
1420.26,,,,,,,,,,30-Oct-2011 03:00:00
1420.30,,,,,,,,,,30-Oct-2011 04:00:00
1420.30,1649000,,,,,,,,,30-Oct-2011 05:00:00
1420.38,,,,,,,,,,30-Oct-2011 06:00:00
1420.47,,,,,,,,,,30-Oct-2011 07:00:00
1420.42,,,,,,,,,,30-Oct-2011 08:00:00
1420.46,,,,,,,,,,30-Oct-2011 09:00:00
1420.48,,,,,,,,,,30-Oct-2011 10:00:00
1420.49,,,,,,,,,,30-Oct-2011 11:00:00
1420.47,,,,,,,,,,30-Oct-2011 12:00:00
1420.56,,,,,,,,,,30-Oct-2011 13:00:00
1420.62,,,,,,,,,,30-Oct-2011 14:00:00
1420.61,,,,,,,,,,30-Oct-2011 15:00:00
1420.68,,,,,,,,,,30-Oct-2011 16:00:00
1420.60,,,,,,,,,,30-Oct-2011 17:00:00
1420.61,,,,,,,,,,30-Oct-2011 18:00:00
1420.70,,,,,,,,,,30-Oct-2011 19:00:00
1420.72,,,,,,,,,,30-Oct-2011 20:00:00
1420.77,,,,,,,,,,30-Oct-2011 21:00:00
1420.74,,,,,,,,,,30-Oct-2011 22:00:00
1420.70,,,,,,,,,,30-Oct-2011 23:00:00
1420.68,,,,,,,,,,31-Oct-2011 00:00:00
1420.48,,,,,,,,,,31-Oct-2011 01:00:00
1420.41,,,,,,,,,,31-Oct-2011 02:00:00
1420.51,,,,,,,,,,31-Oct-2011 03:00:00
1420.41,,,,,,,,,,31-Oct-2011 04:00:00
1420.40,1656000,,,,,,,,,31-Oct-2011 05:00:00
1420.48,,,,,,,,,,31-Oct-2011 06:00:00
1420.46,,,,,,,,,,31-Oct-2011 07:00:00
1420.49,,,,,,,,,,31-Oct-2011 08:00:00
1420.54,,,,,,,,,,31-Oct-2011 09:00:00
1420.59,,,,,,,,,,31-Oct-2011 10:00:00
1420.59,,,,,,,,,,31-Oct-2011 11:00:00
1420.61,,,,,,,,,,31-Oct-2011 12:00:00
1420.48,,,,,,,,,,31-Oct-2011 13:00:00
1420.52,,,,,,,,,,31-Oct-2011 14:00:00
1420.61,,,,,,,,,,31-Oct-2011 15:00:00
1420.58,,,,,,,,,,31-Oct-2011 16:00:00
1420.45,,,,,,,,,,31-Oct-2011 17:00:00
1420.47,,,,,,,,,,31-Oct-2011 18:00:00
1420.48,,,,,,,,,,31-Oct-2011 19:00:00
1420.51,,,,,,,,,,31-Oct-2011 20:00:00
1420.42,,,,,,,,,,31-Oct-2011 21:00:00
1420.43,,,,,,,,,,31-Oct-2011 22:00:00
1420.47,,,,,,,,,,31-Oct-2011 23:00:00
1420.45,,,,,,,,,,01-Nov-2011 00:00:00
1420.38,,,,,,,,,,01-Nov-2011 01:00:00
1420.39,,,,,,,,,,01-Nov-2011 02:00:00
1420.38,,,,,,,,,,01-Nov-2011 03:00:00
1420.31,,,,,,,,,,01-Nov-2011 04:00:00
1420.37,1649000,,,,,,,,,01-Nov-2011 05:00:00
1420.35,,,,,,,,,,01-Nov-2011 06:00:00
1420.36,,,,,,,,,,01-Nov-2011 07:00:00
1420.36,,,,,,,,,,01-Nov-2011 08:00:00
1420.48,,,,,,,,,,01-Nov-2011 09:00:00
1420.49,,,,,,,,,,01-Nov-2011 10:00:00
1420.34,,,,,,,,,,01-Nov-2011 11:00:00
1420.44,,,,,,,,,,01-Nov-2011 12:00:00
1420.44,,,,,,,,,,01-Nov-2011 13:00:00
1420.52,,,,,,,,,,01-Nov-2011 14:00:00
1420.48,,,,,,,,,,01-Nov-2011 15:00:00
1420.39,,,,,,,,,,01-Nov-2011 16:00:00
1420.42,,,,,,,,,,01-Nov-2011 17:00:00
1420.32,,,,,,,,,,01-Nov-2011 18:00:00
1420.38,,,,,,,,,,01-Nov-2011 19:00:00
1420.37,,,,,,,,,,01-Nov-2011 20:00:00
1420.38,,,,,,,,,,01-Nov-2011 21:00:00
1420.36,,,,,,,,,,01-Nov-2011 22:00:00
1420.36,,,,,,,,,,01-Nov-2011 23:00:00
1420.37,,,,,,,,,,02-Nov-2011 00:00:00
1420.31,,,,,,,,,,02-Nov-2011 01:00:00
1420.30,,,,,,,,,,02-Nov-2011 02:00:00
1420.26,,,,,,,,,,02-Nov-2011 03:00:00
1420.25,,,,,,,,,,02-Nov-2011 04:00:00
1420.38,1637000,,,,,,,,,02-Nov-2011 05:00:00
1420.31,,,,,,,,,,02-Nov-2011 06:00:00
1420.30,,,,,,,,,,02-Nov-2011 07:00:00
1420.29,,,,,,,,,,02-Nov-2011 08:00:00
1420.30,,,,,,,,,,02-Nov-2011 09:00:00
1420.36,,,,,,,,,,02-Nov-2011 10:00:00
1420.36,,,,,,,,,,02-Nov-2011 11:00:00
1420.30,,,,,,,,,,02-Nov-2011 12:00:00
1420.29,,,,,,,,,,02-Nov-2011 13:00:00
1420.32,,,,,,,,,,02-Nov-2011 14:00:00
1420.26,,,,,,,,,,02-Nov-2011 15:00:00
1420.23,,,,,,,,,,02-Nov-2011 16:00:00
1420.22,,,,,,,,,,02-Nov-2011 17:00:00
1420.25,,,,,,,,,,02-Nov-2011 18:00:00
1420.18,,,,,,,,,,02-Nov-2011 19:00:00
1420.25,,,,,,,,,,02-Nov-2011 20:00:00
1420.21,,,,,,,,,,02-Nov-2011 21:00:00
1420.21,,,,,,,,,,02-Nov-2011 22:00:00
1420.18,,,,,,,,,,02-Nov-2011 23:00:00
1420.07,,,,,,,,,,03-Nov-2011 00:00:00
1420.05,,,,,,,,,,03-Nov-2011 01:00:00
1419.88,,,,,,,,,,03-Nov-2011 02:00:00
1419.97,,,,,,,,,,03-Nov-2011 03:00:00
1419.90,,,,,,,,,,03-Nov-2011 04:00:00
1419.87,1626000,,,,,,,,,03-Nov-2011 05:00:00
1419.97,,,,,,,,,,03-Nov-2011 06:00:00
1420.05,,,,,,,,,,03-Nov-2011 07:00:00
1420.03,,,,,,,,,,03-Nov-2011 08:00:00
1420.08,,,,,,,,,,03-Nov-2011 09:00:00
1420.13,,,,,,,,,,03-Nov-2011 10:00:00
1420.11,,,,,,,,,,03-Nov-2011 11:00:00
1420.05,,,,,,,,,,03-Nov-2011 12:00:00
1419.99,,,,,,,,,,03-Nov-2011 13:00:00
1419.90,,,,,,,,,,03-Nov-2011 14:00:00
1419.89,,,,,,,,,,03-Nov-2011 15:00:00
1419.81,,,,,,,,,,03-Nov-2011 16:00:00
1419.74,,,,,,,,,,03-Nov-2011 17:00:00
1419.74,,,,,,,,,,03-Nov-2011 18:00:00
1419.70,,,,,,,,,,03-Nov-2011 19:00:00
1419.66,,,,,,,,,,03-Nov-2011 20:00:00
1419.60,,,,,,,,,,03-Nov-2011 21:00:00
1419.57,,,,,,,,,,03-Nov-2011 22:00:00
1419.65,,,,,,,,,,03-Nov-2011 23:00:00
1419.60,,,,,,,,,,04-Nov-2011 00:00:00
1419.66,,,,,,,,,,04-Nov-2011 01:00:00
1419.55,,,,,,,,,,04-Nov-2011 02:00:00
1419.59,,,,,,,,,,04-Nov-2011 03:00:00
1419.66,,,,,,,,,,04-Nov-2011 04:00:00
1419.71,1614000,,,,,,,,,04-Nov-2011 05:00:00
1419.67,,,,,,,,,,04-Nov-2011 06:00:00
1419.69,,,,,,,,,,04-Nov-2011 07:00:00
1419.74,,,,,,,,,,04-Nov-2011 08:00:00
1419.80,,,,,,,,,,04-Nov-2011 09:00:00
1419.75,,,,,,,,,,04-Nov-2011 10:00:00
1419.84,,,,,,,,,,04-Nov-2011 11:00:00
1419.86,,,,,,,,,,04-Nov-2011 12:00:00
1419.82,,,,,,,,,,04-Nov-2011 13:00:00
1419.70,,,,,,,,,,04-Nov-2011 14:00:00
1419.60,,,,,,,,,,04-Nov-2011 15:00:00
1419.46,,,,,,,,,,04-Nov-2011 16:00:00
1419.43,,,,,,,,,,04-Nov-2011 17:00:00
1419.36,,,,,,,,,,04-Nov-2011 18:00:00
1419.33,,,,,,,,,,04-Nov-2011 19:00:00
1419.26,,,,,,,,,,04-Nov-2011 20:00:00
1419.31,,,,,,,,,,04-Nov-2011 21:00:00
1419.35,,,,,,,,,,04-Nov-2011 22:00:00
1419.32,,,,,,,,,,04-Nov-2011 23:00:00
1419.35,,,,,,,,,,05-Nov-2011 00:00:00
1419.31,,,,,,,,,,05-Nov-2011 01:00:00
1419.32,,,,,,,,,,05-Nov-2011 02:00:00
1419.40,,,,,,,,,,05-Nov-2011 03:00:00
1419.37,,,,,,,,,,05-Nov-2011 04:00:00
1419.39,1599000,,,,,,,,,05-Nov-2011 05:00:00
1419.40,,,,,,,,,,05-Nov-2011 06:00:00
1419.42,,,,,,,,,,05-Nov-2011 07:00:00
1419.45,,,,,,,,,,05-Nov-2011 08:00:00
1419.53,,,,,,,,,,05-Nov-2011 09:00:00
1419.58,,,,,,,,,,05-Nov-2011 10:00:00
1419.59,,,,,,,,,,05-Nov-2011 11:00:00
1419.62,,,,,,,,,,05-Nov-2011 12:00:00
1419.63,,,,,,,,,,05-Nov-2011 13:00:00
1419.67,,,,,,,,,,05-Nov-2011 14:00:00
1419.57,,,,,,,,,,05-Nov-2011 15:00:00
1419.56,,,,,,,,,,05-Nov-2011 16:00:00
1419.43,,,,,,,,,,05-Nov-2011 17:00:00
1419.57,,,,,,,,,,05-Nov-2011 18:00:00
1419.65,,,,,,,,,,05-Nov-2011 19:00:00
1419.54,,,,,,,,,,05-Nov-2011 20:00:00
1419.57,,,,,,,,,,05-Nov-2011 21:00:00
1419.59,,,,,,,,,,05-Nov-2011 22:00:00
1419.55,,,,,,,,,,05-Nov-2011 23:00:00
1419.61,,,,,,,,,,06-Nov-2011 00:00:00
1419.58,,,,,,,,,,06-Nov-2011 01:00:00
1419.74,,,,,,,,,,06-Nov-2011 02:00:00
1419.81,,,,,,,,,,06-Nov-2011 03:00:00
