elev,area,storage
1342.5,0,0
1343,180,80
1344,211,271
1345,251,501
1346,291,772
1347,331,1083
1348,371,1434
1349,411,1825
1350,816,2256
1351,1193,3457
1352,1235,4642
1353,1392,5927
1354,1663,7425
1355,2049,9253
1356,2550,11524
1357,3166,14353
1358,3897,17856
1359,4742,22147
1360,5597,27341
1361,6318,33341
1362,6952,39976
1363,7587,47246
1364,8222,55150
1365,8857,63690
1366,9493,72865
1367,10129,82675
1368,10765,93122
1369,11401,104205
1370,12035,115925
1371,12665,128276
1372,13295,141256
1373,13929,154867
1374,14565,169113
1375,15205,183998
1376,15848,199523
1377,16494,215693
1378,17143,232511
1379,17796,249980
1380,18464,268103
1381,19151,286907
1382,19835,306405
1383,20498,326576
1384,21141,347401
1385,21765,368859
1386,22368,390930
1387,22951,413595
1388,23515,436833
1389,24058,460624
1390,24532,484949
1391,24924,509689
1392,25339,534798
1393,25844,560367
1394,26439,586486
1395,27124,613245
1396,27900,640735
1397,28766,669045
1398,29722,698266
1399,30768,728489
1400,31692,759803
1401,32309,791874
1402,32873,824421
1403,33609,857619
1404,34519,891640
1405,35602,926657
1406,36858,962843
1407,38287,1000372
1408,39889,1039417
1409,41664,1080150
1410,43478,1122745
1411,45128,1167106
1412,46645,1213001
1413,48130,1260397
1414,49583,1309261
1415,51003,1359562
1416,52390,1411266
1417,53745,1464342
1418,55068,1518757
1419,56359,1574478
1420,57646,1631474
1421,58972,1689771
1422,60322,1749418
1423,61671,1810414
1424,63021,1872760
1425,64371,1936456
1426,65721,2001502
1427,67071,2067898
1428,68420,2135643
1429,69770,2204739
1430,71120,2275184
