elev,area,storage
2030.0,0.0,0.0
2031.0,0.0,0.0
2032.0,0.0,0.0
2033.0,0.0,0.0
2034.0,0.0,0.0
2035.0,50.0,25.0
2036.0,87.0,101.0
2037.0,108.0,199.0
2038.0,129.0,318.0
2039.0,151.0,458.0
2040.0,292.0,620.0
2041.0,462.0,1042.0
2042.0,546.0,1544.0
2043.0,638.0,2134.0
2044.0,740.0,2821.0
2045.0,850.0,3614.0
2046.0,970.0,4522.0
2047.0,1098.0,5554.0
2048.0,1235.0,6719.0
2049.0,1381.0,8025.0
2050.0,1479.0,9482.0
2051.0,1489.0,10983.0
2052.0,1498.0,12461.0
2053.0,1573.0,13980.0
2054.0,1714.0,15607.0
2055.0,1921.0,17408.0
2056.0,2193.0,19449.0
2057.0,2530.0,21794.0
2058.0,2934.0,24510.0
2059.0,3404.0,27663.0
2060.0,3802.0,31318.0
2061.0,4004.0,35267.0
2062.0,4165.0,39326.0
2063.0,4428.0,43597.0
2064.0,4794.0,48182.0
2065.0,5263.0,53185.0
2066.0,5834.0,58708.0
2067.0,6507.0,64853.0
2068.0,7283.0,71723.0
2069.0,8161.0,79420.0
2070.0,9100.0,88046.0
2071.0,10002.0,97621.0
2072.0,10820.0,108050.0
2073.0,11569.0,119262.0
2074.0,12248.0,131188.0
2075.0,12857.0,143758.0
2076.0,13397.0,156903.0
2077.0,13866.0,170552.0
2078.0,14265.0,184635.0
2079.0,14596.0,199083.0
2080.0,14882.0,213827.0
2081.0,15190.0,228847.0
2082.0,15555.0,244207.0
2083.0,15970.0,259957.0
2084.0,16436.0,276147.0
2085.0,16954.0,292830.0
2086.0,17522.0,310055.0
2087.0,18141.0,327874.0
2088.0,18812.0,346338.0
2089.0,19533.0,365498.0
2090.0,20221.0,385404.0
2091.0,20791.0,405940.0
2092.0,21328.0,426987.0
2093.0,21915.0,448597.0
2094.0,22550.0,470817.0
2095.0,23236.0,493698.0
2096.0,23972.0,517290.0
2097.0,24757.0,541642.0
2098.0,25591.0,566804.0
2099.0,26476.0,592825.0
2100.0,27343.0,619756.0
2101.0,28119.0,647512.0
2102.0,28861.0,675995.0
2103.0,29630.0,705234.0
2104.0,30428.0,735256.0
2105.0,31255.0,766091.0
2106.0,32110.0,797766.0
2107.0,32993.0,830311.0
2108.0,33905.0,863753.0
2109.0,34845.0,898121.0
2110.0,35709.0,933443.0
2111.0,36418.0,969539.0
2112.0,37115.0,1006280.0
2113.0,37917.0,1043770.0
2114.0,38822.0,1082114.0
2115.0,39831.0,1121414.0
2116.0,40946.0,1161777.0
2117.0,42164.0,1203306.0
2118.0,43486.0,1246105.0
2119.0,44913.0,1290279.0
2120.0,46360.0,1335932.0
2121.0,47704.0,1383000.0
2122.0,48967.0,1431340.0
2123.0,50215.0,1480935.0
2124.0,51449.0,1531771.0
2125.0,52667.0,1583833.0
2126.0,53869.0,1637105.0
2127.0,55057.0,1691572.0
2128.0,56229.0,1747219.0
2129.0,57386.0,1804030.0
2130.0,58579.0,1861991.0
2131.0,59849.0,1921189.0
2132.0,61126.0,1981690.0
2133.0,62353.0,2043442.0
2134.0,63530.0,2106396.0
2135.0,64656.0,2170502.0
2136.0,65731.0,2235708.0
2137.0,66757.0,2301965.0
2138.0,67733.0,2369223.0
2139.0,68658.0,2437431.0
2140.0,69608.0,2506539.0
2141.0,70661.0,2576647.0
2142.0,71750.0,2647862.0
2143.0,72799.0,2720147.0
2144.0,73810.0,2793461.0
2145.0,74782.0,2867767.0
2146.0,75716.0,2943026.0
2147.0,76610.0,3019199.0
2148.0,77466.0,3096246.0
2149.0,78283.0,3174131.0
2150.0,79022.0,3252813.0
2151.0,79691.0,3332176.0
2152.0,80396.0,3412195.0
2153.0,81201.0,3492969.0
2154.0,82106.0,3574598.0
2155.0,83110.0,3657182.0
2156.0,84214.0,3740819.0
2157.0,85418.0,3825611.0
2158.0,86721.0,3911655.0
2159.0,88124.0,3999053.0
2160.0,89461.0,4087903.0
2161.0,90567.0,4177975.0
2162.0,91606.0,4269037.0
2163.0,92745.0,4361188.0
2164.0,93981.0,4454527.0
2165.0,95316.0,4549151.0
2166.0,96749.0,4645159.0
2167.0,98281.0,4742650.0
2168.0,99911.0,4841722.0
2169.0,101640.0,4942473.0
2170.0,103394.0,5045002.0
2171.0,105061.0,5149262.0
2172.0,106652.0,5255124.0
2173.0,108219.0,5362566.0
2174.0,109763.0,5471563.0
2175.0,111285.0,5582093.0
2176.0,112782.0,5694133.0
2177.0,114256.0,5807658.0
2178.0,115708.0,5922646.0
2179.0,117136.0,6039074.0
2180.0,118608.0,6156918.0
2181.0,120181.0,6276291.0
2182.0,121766.0,6397280.0
2183.0,123288.0,6519823.0
2184.0,124748.0,6643856.0
2185.0,126146.0,6769319.0
2186.0,127482.0,6896149.0
2187.0,128755.0,7024283.0
2188.0,129966.0,7153659.0
2189.0,131115.0,7284215.0
2190.0,132175.0,7415889.0
2191.0,133178.0,7548566.0
2192.0,134237.0,7682245.0
2193.0,135407.0,7817040.0
2194.0,136688.0,7953060.0
2195.0,138081.0,8090417.0
2196.0,139585.0,8229223.0
2197.0,141201.0,8369588.0
2198.0,142928.0,8511625.0
2199.0,144765.0,8655444.0
2200.0,146595.0,8801156.0
2201.0,148268.0,8948634.0
2202.0,149860.0,9097693.0
2203.0,151474.0,9248354.0
2204.0,153112.0,9400641.0
2205.0,154773.0,9554578.0
2206.0,156457.0,9710187.0
2207.0,158166.0,9867493.0
2208.0,159893.0,10026520.0
2209.0,161650.0,10187280.0
2210.0,163400.0,10349820.0
2211.0,165100.0,10514080.0
2212.0,166790.0,10680020.0
2213.0,168495.0,10847660.0
2214.0,170210.0,11017010.0
2215.0,171930.0,11188080.0
2216.0,173670.0,11360870.0
2217.0,175420.0,11535420.0
2218.0,177175.0,11711710.0
2219.0,178950.0,11889770.0
2220.0,180590.0,12069610.0
2221.0,182005.0,12250950.0
2222.0,183420.0,12433620.0
2223.0,185015.0,12617790.0
2224.0,186800.0,12803650.0
2225.0,188765.0,12991390.0
2226.0,190905.0,13181180.0
2227.0,193230.0,13373200.0
2228.0,195740.0,13567640.0
2229.0,198430.0,13764680.0
2230.0,201130.0,13964500.0
2231.0,203610.0,14166940.0
2232.0,205955.0,14371720.0
2233.0,208310.0,14578850.0
2234.0,210665.0,14788340.0
2235.0,213025.0,15000180.0
2236.0,215395.0,15214390.0
2237.0,217765.0,15430970.0
2238.0,220145.0,15649920.0
2239.0,222530.0,15871260.0
2240.0,225065.0,16094980.0
2241.0,227835.0,16321390.0
2242.0,230585.0,16550650.0
2243.0,233130.0,16782560.0
2244.0,235470.0,17016910.0
2245.0,237605.0,17253500.0
2246.0,239530.0,17492120.0
2247.0,241260.0,17732560.0
2248.0,242785.0,17974640.0
2249.0,244100.0,18218130.0
2250.0,245405.0,18462840.0
2251.0,246945.0,18708940.0
2252.0,248635.0,18956730.0
2253.0,250330.0,19206210.0
2254.0,252025.0,19457390.0
2255.0,253715.0,19710260.0
2256.0,255410.0,19964820.0
2257.0,257105.0,20221080.0
2258.0,258795.0,20479030.0
2259.0,260485.0,20738670.0
2260.0,262180.0,21000000.0
2261.0,,
2262.0,,
2263.0,,
2264.0,,
2265.0,,
2266.0,,
2267.0,,
2268.0,,
2269.0,,
