elev,area,storage
1240.0,0.0,0.0
1241.0,190.0,175.0
1242.0,222.0,381.0
1243.0,254.0,620.0
1244.0,286.0,890.0
1245.0,317.0,1192.0
1246.0,349.0,1525.0
1247.0,381.0,1891.0
1248.0,413.0,2288.0
1249.0,445.0,2717.0
1250.0,1438.0,3178.0
1251.0,2533.0,5594.0
1252.0,2804.0,8245.0
1253.0,3145.0,11202.0
1254.0,3558.0,14536.0
1255.0,4042.0,18319.0
1256.0,4597.0,22620.0
1257.0,5223.0,27513.0
1258.0,5920.0,33066.0
1259.0,6688.0,39353.0
1260.0,7486.0,46443.0
1261.0,8238.0,54325.0
1262.0,8934.0,62920.0
1263.0,9598.0,72194.0
1264.0,10231.0,82117.0
1265.0,10832.0,92657.0
1266.0,11401.0,103781.0
1267.0,11938.0,115459.0
1268.0,12444.0,127658.0
1269.0,12917.0,140347.0
1270.0,13362.0,153493.0
1271.0,13803.0,167071.0
1272.0,14270.0,181099.0
1273.0,14773.0,195612.0
1274.0,15311.0,210645.0
1275.0,15884.0,226234.0
1276.0,16492.0,242413.0
1277.0,17135.0,259218.0
1278.0,17813.0,276683.0
1279.0,18527.0,294845.0
1280.0,19276.0,313738.0
1281.0,20033.0,333397.0
1282.0,20761.0,353805.0
1283.0,21446.0,374919.0
1284.0,22088.0,396697.0
1285.0,22687.0,419095.0
1286.0,23243.0,442071.0
1287.0,23757.0,465582.0
1288.0,24228.0,489585.0
1289.0,24656.0,514038.0
1290.0,25134.0,538898.0
1291.0,25744.0,564307.0
1292.0,26381.0,590387.0
1293.0,26947.0,617069.0
1294.0,27442.0,644281.0
1295.0,27866.0,671953.0
1296.0,28218.0,700013.0
1297.0,28500.0,728390.0
1298.0,28711.0,757013.0
1299.0,28851.0,785812.0
1300.0,28936.0,814716.0
1301.0,29026.0,843685.0
1302.0,29175.0,872769.0
1303.0,29391.0,902036.0
1304.0,29672.0,931551.0
1305.0,30019.0,961381.0
1306.0,30432.0,991590.0
1307.0,30911.0,1022245.0
1308.0,31455.0,1053412.0
1309.0,32066.0,1085156.0
1310.0,32744.0,1117544.0
1311.0,33443.0,1150645.0
1312.0,34085.0,1184430.0
1313.0,34644.0,1218816.0
1314.0,35120.0,1253719.0
1315.0,35513.0,1289057.0
1316.0,35823.0,1324746.0
1317.0,36049.0,1360703.0
1318.0,36193.0,1396845.0
1319.0,36254.0,1433090.0
1320.0,36100.0,1469353.0
1321.0,35720.0,1505290.0
1322.0,35426.0,1540794.0
1323.0,35409.0,1576143.0
1324.0,35668.0,1611612.0
1325.0,36203.0,1647479.0
1326.0,37015.0,1684019.0
1327.0,38104.0,1721510.0
1328.0,39469.0,1760228.0
1329.0,41111.0,1800449.0
1330.0,42615.0,1842451.0
1331.0,43545.0,1885680.0
1332.0,44286.0,1929542.0
1333.0,45242.0,1974253.0
1334.0,46413.0,2020027.0
1335.0,47798.0,2067079.0
1336.0,49399.0,2115624.0
1337.0,51214.0,2165877.0
1338.0,53244.0,2218053.0
1339.0,55489.0,2272366.0
1340.0,57772.0,2329032.0
1341.0,59833.0,2387910.0
1342.0,61730.0,2448698.0
1343.0,63603.0,2511371.0
1344.0,65450.0,2575904.0
1345.0,67271.0,2642271.0
1346.0,69068.0,2710447.0
1347.0,70838.0,2780407.0
1348.0,72584.0,2852124.0
1349.0,74304.0,2925575.0
1350.0,76206.0,3000732.0
1351.0,78426.0,3077988.0
1352.0,80644.0,3157585.0
1353.0,82616.0,3239276.0
1354.0,84342.0,3322817.0
1355.0,85821.0,3407960.0
1356.0,87053.0,3494459.0
1357.0,88039.0,3582067.0
1358.0,88779.0,3670538.0
1359.0,89273.0,3759626.0
1360.0,89779.0,3849085.0
1361.0,90623.0,3939185.0
1362.0,91648.0,4030332.0
1363.0,92630.0,4122482.0
1364.0,93568.0,4215592.0
1365.0,94462.0,4309618.0
1366.0,95313.0,4404517.0
1367.0,96121.0,4500245.0
1368.0,96884.0,4596759.0
1369.0,97604.0,4694014.0
1370.0,98323.0,4791967.0
1371.0,99096.0,4890660.0
1372.0,99902.0,4990160.0
1373.0,100705.0,5090465.0
1374.0,101504.0,5191570.0
1375.0,102300.0,5293473.0
1376.0,103094.0,5396171.0
1377.0,103883.0,5499661.0
1378.0,104669.0,5603938.0
1379.0,105453.0,5709000.0
1380.0,106236.0,5814844.0
1381.0,107023.0,5921473.0
1382.0,107812.0,6028890.0
1383.0,108601.0,6137097.0
1384.0,109390.0,6246093.0
1385.0,110180.0,6355878.0
1386.0,110969.0,6466453.0
1387.0,111758.0,6577816.0
1388.0,112547.0,6689969.0
1389.0,113336.0,6802911.0
1390.0,114126.0,6916642.0
1391.0,,
1392.0,,
1393.0,,
1394.0,,
1395.0,,
1396.0,,
1397.0,,
1398.0,,
1399.0,,
