elev,area,storage
1660.0,0.0,0.0
1661.0,0.0,0.0
1662.0,0.0,0.0
1663.0,0.0,0.0
1664.0,0.0,0.0
1665.0,0.0,0.0
1666.0,0.0,0.0
1667.0,0.0,0.0
1668.0,0.0,0.0
1669.0,0.0,0.0
1670.0,7.0,5.0
1671.0,6.0,15.0
1672.0,6.0,18.0
1673.0,22.0,28.0
1674.0,52.0,62.0
1675.0,97.0,133.0
1676.0,156.0,256.0
1677.0,231.0,446.0
1678.0,320.0,718.0
1679.0,424.0,1087.0
1680.0,460.0,1566.0
1681.0,374.0,2008.0
1682.0,285.0,2315.0
1683.0,286.0,2578.0
1684.0,378.0,2887.0
1685.0,561.0,3334.0
1686.0,834.0,4009.0
1687.0,1198.0,5002.0
1688.0,1654.0,6406.0
1689.0,2199.0,8310.0
1690.0,2632.0,10805.0
1691.0,2770.0,13574.0
1692.0,2853.0,16345.0
1693.0,3098.0,19281.0
1694.0,3504.0,22542.0
1695.0,4072.0,26290.0
1696.0,4802.0,30687.0
1697.0,5693.0,35895.0
1698.0,6745.0,42074.0
1699.0,7959.0,49386.0
1700.0,9136.0,57993.0
1701.0,10046.0,67659.0
1702.0,10840.0,78085.0
1703.0,11702.0,89340.0
1704.0,12631.0,101489.0
1705.0,13628.0,114602.0
1706.0,14691.0,128745.0
1707.0,15823.0,143985.0
1708.0,17023.0,160392.0
1709.0,18289.0,178031.0
1710.0,19492.0,196970.0
1711.0,20509.0,217015.0
1712.0,21482.0,237988.0
1713.0,22548.0,259980.0
1714.0,23707.0,283085.0
1715.0,24957.0,307394.0
1716.0,26300.0,332999.0
1717.0,27735.0,359994.0
1718.0,29263.0,388470.0
1719.0,30882.0,418520.0
1720.0,32467.0,450235.0
1721.0,33880.0,483455.0
1722.0,35228.0,517996.0
1723.0,36632.0,553912.0
1724.0,38092.0,591260.0
1725.0,39608.0,630096.0
1726.0,41179.0,670476.0
1727.0,42807.0,712455.0
1728.0,44491.0,756091.0
1729.0,46231.0,801438.0
1730.0,47931.0,848553.0
1731.0,49495.0,897300.0
1732.0,51023.0,947544.0
1733.0,52610.0,999346.0
1734.0,54257.0,1052765.0
1735.0,55964.0,1107861.0
1736.0,57731.0,1164694.0
1737.0,59558.0,1223324.0
1738.0,61443.0,1283810.0
1739.0,63389.0,1346211.0
1740.0,65344.0,1410589.0
1741.0,67235.0,1476900.0
1742.0,69081.0,1545060.0
1743.0,70921.0,1615062.0
1744.0,72757.0,1686903.0
1745.0,74587.0,1760577.0
1746.0,76413.0,1836078.0
1747.0,78233.0,1913403.0
1748.0,80048.0,1992545.0
1749.0,81858.0,2073500.0
1750.0,83684.0,2156262.0
1751.0,85542.0,2240869.0
1752.0,87400.0,2327346.0
1753.0,89238.0,2415670.0
1754.0,91054.0,2505822.0
1755.0,92848.0,2597779.0
1756.0,94621.0,2691519.0
