elev,area,storage
1160.0,0.0,0.0
1161.0,0.0,0.0
1162.0,0.0,0.0
1163.0,0.0,0.0
1164.0,0.0,0.0
1165.0,0.0,0.0
1166.0,0.0,0.0
1167.0,0.0,0.0
1168.0,75.0,32.0
1169.0,146.0,150.0
1170.0,232.0,325.0
1171.0,284.0,615.0
1172.0,308.0,893.0
1173.0,402.0,1231.0
1174.0,567.0,1698.0
1175.0,804.0,2366.0
1176.0,1112.0,3307.0
1177.0,1491.0,4591.0
1178.0,1940.0,6289.0
1179.0,2461.0,8472.0
1180.0,2855.0,11211.0
1181.0,2959.0,14182.0
1182.0,3024.0,17129.0
1183.0,3267.0,20231.0
1184.0,3687.0,23664.0
1185.0,4285.0,27606.0
1186.0,5059.0,32234.0
1187.0,6011.0,37725.0
1188.0,7140.0,44256.0
1189.0,8446.0,52005.0
1190.0,9828.0,61148.0
1191.0,11099.0,71661.0
1192.0,12231.0,83347.0
1193.0,13280.0,96123.0
1194.0,14248.0,109908.0
1195.0,15134.0,124620.0
1196.0,15937.0,140176.0
1197.0,16658.0,156494.0
1198.0,17298.0,173493.0
1199.0,17855.0,191090.0
1200.0,18259.0,209203.0
1201.0,18530.0,227608.0
1202.0,18880.0,246264.0
1203.0,19425.0,265368.0
1204.0,20165.0,285114.0
1205.0,21101.0,305698.0
1206.0,22232.0,327316.0
1207.0,23559.0,350163.0
1208.0,25081.0,374434.0
1209.0,26799.0,400326.0
1210.0,28552.0,428033.0
1211.0,30106.0,457430.0
1212.0,31511.0,488245.0
1213.0,32891.0,520452.0
1214.0,34246.0,554027.0
1215.0,35577.0,588945.0
1216.0,36882.0,625181.0
1217.0,38163.0,662710.0
1218.0,39419.0,701507.0
1219.0,40650.0,741548.0
1220.0,41878.0,782807.0
1221.0,43136.0,825305.0
1222.0,44413.0,869080.0
1223.0,45690.0,914132.0
1224.0,46966.0,960460.0
1225.0,48242.0,1008064.0
1226.0,49519.0,1056945.0
1227.0,50796.0,1107103.0
1228.0,52072.0,1158537.0
1229.0,53349.0,1211248.0
1230.0,54625.0,1265235.0
1231.0,,
1232.0,,
1233.0,,
1234.0,,
1235.0,,
1236.0,,
1237.0,,
1238.0,,
1239.0,,
