DATE,AF,IN,QD,QJ,QRD
1990-01-01,64406.688,32.138,3.29,0.0,3.26
1990-01-02,64406.688,3.29,3.29,0.0,3.26
1990-01-03,64463.207,47.488,3.29,0.0,3.26
1990-01-04,64544.0,67.78,3.29,0.0,3.26
1990-01-05,64606.0,34.258,3.29,0.0,3.26
1990-01-06,64630.0,17.621,3.29,0.0,3.26
1990-01-07,64606.246,17.712,3.29,0.0,3.26
1990-01-08,64692.07,46.358,3.29,0.0,3.26
1990-01-09,64715.0,14.596,3.29,0.0,3.26
1990-01-10,64777.891,18.396,3.974,0.0,3.974
1990-01-11,64777.891,32.922,4.076,0.0,4.076
1990-01-12,64835.109,47.48,4.21,0.0,4.21
1990-01-13,64920.934,18.5,4.076,0.0,4.076
1990-01-14,64920.934,18.549,4.125,0.0,4.126
1990-01-15,65006.754,47.478,4.21,0.0,4.21
1990-01-16,65092.578,47.48,4.21,0.0,4.21
1990-01-17,65149.797,33.058,4.21,0.0,4.21
1990-01-18,65206.312,18.281,4.21,0.0,4.21
1990-01-19,65263.527,33.056,4.21,0.0,4.21
1990-01-20,65320.746,61.902,4.21,0.0,4.21
1990-01-21,65377.961,18.634,4.21,0.0,4.21
1990-01-22,65406.57,33.036,4.19,0.0,4.19
1990-01-23,65463.785,32.996,4.15,0.0,4.15
1990-01-24,65521.0,33.058,4.21,0.0,4.21
1990-01-25,65606.82,32.964,4.12,0.0,4.12
1990-01-26,65635.43,18.566,4.142,0.0,4.142
1990-01-27,65721.258,47.514,4.242,0.0,4.242
1990-01-28,65749.867,19.737,5.313,0.0,5.313
1990-01-29,65778.469,18.307,4.264,0.0,4.286
1990-01-30,65892.203,61.605,4.264,0.0,4.264
1990-01-31,65892.203,4.445,4.445,0.0,4.432
1990-02-01,65949.422,33.419,4.571,0.0,4.571
1990-02-02,66035.242,47.638,4.37,0.0,4.37
1990-02-03,66063.852,18.68,4.256,0.0,4.322
1990-02-04,66092.461,18.703,4.279,0.0,4.279
1990-02-05,66178.281,47.528,4.26,0.0,4.273
1990-02-06,66235.5,33.088,4.241,0.0,4.327
1990-02-07,66292.719,33.086,4.238,0.0,4.238
1990-02-08,66292.719,4.773,4.773,0.0,4.773
1990-02-09,66349.93,33.612,4.768,0.0,4.337
1990-02-10,66435.758,47.923,4.651,0.0,4.21
1990-02-11,66492.969,33.328,4.484,0.0,4.294
1990-02-12,66521.578,18.808,4.385,0.0,4.385
1990-02-13,66635.312,62.124,4.783,0.0,4.783
1990-02-14,66721.141,47.954,4.682,0.0,4.682
1990-02-15,66806.961,47.913,4.645,0.0,4.645
1990-02-16,66864.18,33.434,4.586,0.0,4.586
1990-02-17,66979.039,62.386,4.478,0.0,4.462
1990-02-18,67008.07,18.992,4.355,0.0,4.355
1990-02-19,67095.18,48.326,4.408,0.0,4.408
1990-02-20,67182.281,48.085,4.171,0.0,4.237
1990-02-21,67211.32,18.323,3.682,0.0,4.21
1990-02-22,67298.422,48.098,4.184,0.0,4.223
1990-02-23,67384.82,47.556,3.996,0.0,4.21
1990-02-24,67442.891,33.497,4.22,0.0,4.218
1990-02-25,67530.0,47.677,3.759,0.0,4.317
1990-02-26,67588.469,33.75,4.272,0.052,4.22
1990-02-27,67705.414,63.365,4.405,0.0,4.405
1990-02-28,67851.594,78.039,4.34,0.0,4.34
1990-03-01,68084.766,121.903,4.345,0.0,4.345
1990-03-02,68670.703,299.856,4.446,0.0,4.446
1990-03-03,69231.828,287.447,4.547,0.0,4.547
1990-03-04,69672.203,226.531,4.509,0.0,4.612
1990-03-05,70033.68,187.107,4.863,0.0,4.863
1990-03-06,70512.039,245.863,4.69,0.0,5.308
1990-03-07,70872.477,186.484,4.763,0.0,4.881
1990-03-08,71112.203,125.549,4.687,0.0,4.687
1990-03-09,71384.0,141.711,4.68,0.0,4.682
1990-03-10,71655.797,141.816,4.785,0.0,4.791
1990-03-11,71867.578,111.353,4.58,0.0,4.58
1990-03-12,72110.68,127.034,4.47,0.0,4.47
1990-03-13,72445.938,173.734,4.708,0.0,4.705
1990-03-14,72628.711,96.83,4.682,0.0,4.682
1990-03-15,72751.062,66.527,4.841,0.0,4.841
1990-03-16,73057.688,159.396,4.806,0.0,4.806
1990-03-17,73333.578,97.287,4.682,0.0,4.682
1990-03-18,73518.0,97.835,4.855,0.0,4.855
1990-03-19,73703.625,98.385,4.799,0.0,4.799
1990-03-20,73827.375,67.073,4.682,0.0,4.682
1990-03-21,73951.125,66.556,4.165,0.0,4.165
1990-03-22,74043.945,51.947,5.15,0.0,5.15
1990-03-23,74167.0,66.96,4.92,0.0,4.92
1990-03-24,74291.0,67.441,4.924,0.0,4.924
1990-03-25,74260.0,-10.789,4.84,0.0,4.836
1990-03-26,74384.0,67.024,4.507,0.0,4.775
1990-03-27,74539.0,83.018,4.873,0.0,4.873
1990-03-28,74601.0,35.788,4.53,0.0,4.725
1990-03-29,74725.0,67.125,4.608,0.0,4.608
1990-03-30,74818.578,51.752,4.573,0.0,4.573
1990-03-31,74942.969,67.16,4.446,0.0,4.446
1990-04-01,74974.258,20.27,4.495,0.0,4.495
1990-04-02,75068.117,51.945,4.625,0.0,4.499
1990-04-03,75099.406,20.221,4.446,0.0,4.446
1990-04-04,75161.984,36.119,4.569,0.0,4.617
1990-04-05,75318.422,83.471,4.601,0.0,4.574
1990-04-06,75381.0,35.911,4.361,0.0,4.354
1990-04-07,75443.773,35.989,4.34,0.0,4.34
1990-04-08,75475.156,20.162,4.34,0.0,4.343
1990-04-09,75631.344,83.272,4.527,0.0,4.527
1990-04-10,75725.508,52.225,4.751,0.0,4.751
1990-04-11,75788.281,36.233,4.585,0.0,4.609
1990-04-12,75913.836,67.279,3.979,0.0,4.503
1990-04-13,75976.609,36.063,4.415,0.0,4.531
1990-04-14,76008.0,20.272,4.446,0.0,4.446
1990-04-15,76071.273,36.265,4.365,0.0,4.372
1990-04-16,76134.555,36.436,4.532,0.0,4.542
1990-04-17,76166.195,20.425,4.473,0.0,4.473
1990-04-18,76261.109,52.064,4.211,0.0,4.211
1990-04-19,76356.023,52.115,4.263,0.0,4.264
1990-04-20,76356.023,4.123,4.123,0.0,4.123
1990-04-21,76418.531,35.277,3.763,0.0,4.033
1990-04-22,76481.805,36.01,4.109,0.0,4.102
1990-04-23,76481.805,3.857,3.857,0.0,3.86
1990-04-24,76798.695,163.751,3.985,0.0,3.887
1990-04-25,76957.391,84.406,4.397,0.0,4.416
1990-04-26,77052.602,51.979,3.976,0.0,3.953
1990-04-27,77274.0,115.794,4.172,0.0,4.172
1990-04-28,77656.797,197.28,4.286,0.0,4.289
1990-04-29,77816.297,84.53,4.115,0.0,4.115
1990-04-30,77912.0,52.224,3.974,0.0,3.974
1990-05-01,78039.57,68.196,3.879,0.0,3.879
1990-05-02,78135.844,52.276,3.738,0.0,3.738
1990-05-03,78200.023,36.095,3.738,0.0,3.738
1990-05-04,78328.375,68.53,3.82,0.0,3.86
1990-05-05,78392.555,36.29,3.933,0.0,3.974
1990-05-06,78456.734,36.227,3.87,0.0,3.974
1990-05-07,78553.0,52.317,3.783,0.0,3.783
1990-05-08,78585.289,20.746,4.467,0.0,4.467
1990-05-09,78553.0,-11.325,4.954,0.0,4.954
1990-05-10,78617.578,37.384,4.826,0.0,4.826
1990-05-11,78842.82,118.754,5.194,0.0,5.194
1990-05-12,78875.109,21.341,5.062,0.0,5.062
1990-05-13,79004.266,71.505,6.389,0.0,6.389
1990-05-14,79101.133,65.962,17.125,10.938,6.401
1990-05-15,79295.32,104.116,6.213,0.0,6.213
1990-05-16,79489.953,104.272,6.145,0.0,6.145
1990-05-17,79618.922,71.223,6.201,0.0,6.201
1990-05-18,79618.922,6.397,6.397,0.0,6.461
1990-05-19,79651.359,22.757,6.403,0.0,6.403
1990-05-20,79748.68,95.339,46.273,39.844,6.476
1990-05-21,79748.68,74.126,74.126,69.219,6.213
1990-05-22,79618.922,29.316,94.735,90.859,5.982
1990-05-23,79618.922,101.115,101.115,98.724,5.695
1990-05-24,79813.562,210.26,112.129,99.701,15.016
1990-05-25,80041.836,150.965,35.878,28.646,7.232
1990-05-26,80988.5,483.14,5.864,0.0,5.864
1990-05-27,81415.117,220.813,5.727,0.0,5.727
1990-05-28,81679.039,138.733,5.672,0.0,5.672
1990-05-29,82009.539,172.944,6.317,0.0,6.317
1990-05-30,82141.094,79.315,12.99,7.031,5.987
1990-05-31,82174.188,32.245,15.56,10.0,5.567
1990-06-01,82273.461,69.165,19.114,13.516,5.599
1990-06-02,82273.461,20.606,20.606,15.0,5.606
1990-06-03,82306.547,37.129,20.448,15.0,5.448
1990-06-04,82472.0,104.143,20.727,15.0,5.727
1990-06-05,82505.344,33.891,17.08,11.484,5.727
1990-06-06,82405.82,-32.591,17.585,11.641,5.962
1990-06-07,82572.023,104.649,20.855,15.0,5.855
1990-06-08,82538.68,3.923,20.734,15.0,5.734
1990-06-09,82505.344,4.05,20.857,15.0,5.857
1990-06-10,82572.023,54.443,20.825,15.0,5.825
1990-06-11,82505.344,-14.317,19.301,15.0,5.708
1990-06-12,82472.0,4.069,20.88,15.0,5.88
1990-06-13,82372.727,-29.201,20.85,15.0,5.85
1990-06-14,82306.547,-12.237,21.129,15.0,6.157
1990-06-15,82273.461,4.383,21.064,15.0,6.064
1990-06-16,82505.344,141.515,24.608,18.828,6.187
1990-06-17,82372.727,-40.797,26.064,20.0,6.064
1990-06-18,82306.547,-7.302,26.064,20.0,6.064
1990-06-19,82306.547,29.84,29.84,23.776,6.064
1990-06-20,82108.008,-65.257,34.84,28.776,6.064
1990-06-21,82273.461,120.136,36.72,30.0,6.72
1990-06-22,82240.367,15.888,32.573,26.172,6.401
1990-06-23,82240.367,31.352,31.352,25.0,6.352
1990-06-24,82108.008,-35.5,31.231,25.0,6.231
1990-06-25,82074.914,13.798,30.483,25.0,6.264
1990-06-26,81943.359,-15.147,51.179,44.922,6.257
1990-06-27,81712.031,-40.967,75.661,69.453,6.215
1990-06-28,81547.078,14.956,98.119,91.745,6.375
1990-06-29,81283.156,-0.696,132.365,125.964,6.401
1990-06-30,80923.102,-25.368,156.16,149.766,6.401
1990-07-01,80432.0,-91.324,156.273,150.0,6.273
1990-07-02,80046.0,-38.334,156.275,150.0,6.275
1990-07-03,79716.0,31.376,197.751,191.276,6.571
1990-07-04,79101.0,-103.536,206.527,200.0,6.566
1990-07-05,78553.0,-53.759,222.524,215.938,6.562
1990-07-06,78104.0,4.014,222.0,223.984,6.401
1990-07-07,77529.0,-58.499,225.45,225.0,6.397
1990-07-08,77083.0,6.735,222.0,225.0,6.608
1990-07-09,76893.0,123.807,219.599,212.891,6.708
1990-07-10,76640.0,71.26,198.814,213.735,6.738
1990-07-11,76261.0,22.661,213.74,207.0,6.738
1990-07-12,75851.0,5.052,211.76,205.0,6.759
1990-07-13,75475.0,26.083,215.65,208.8,6.847
1990-07-14,75068.0,-1.829,203.367,210.0,6.738
1990-07-15,74788.0,75.736,216.903,210.0,6.987
1990-07-16,74353.0,6.012,225.325,218.594,6.731
