DATE,AF,IN,QD
1990-01-01,151649.0,506.0,571
1990-01-02,151671.0,579.0,566
1990-01-03,151781.0,532.0,475
1990-01-04,151671.0,587.0,641
1990-01-05,151627.0,477.0,498
1990-01-06,151428.0,534.0,633
1990-01-07,151671.0,672.0,548
1990-01-08,151428.0,502.0,623
1990-01-09,151406.0,532.0,542
1990-01-10,151141.0,515.0,647
1990-01-11,151362.0,552.0,439
1990-01-12,151097.0,527.0,659
1990-01-13,150942.0,539.0,616
1990-01-14,150964.0,626.0,613
1990-01-15,151185.0,673.0,560
1990-01-16,151207.0,555.0,542
1990-01-17,151119.0,588.0,631
1990-01-18,151185.0,632.0,597
1990-01-19,151406.0,649.0,536
1990-01-20,151583.0,638.0,547
1990-01-21,151605.0,496.0,483
1990-01-22,151671.0,565.0,530
1990-01-23,151516.0,467.0,544
1990-01-24,151693.0,420.0,329
1990-01-25,151605.0,597.0,640
1990-01-26,151870.0,649.0,514
1990-01-27,151936.0,563.0,528
1990-01-28,152025.0,577.0,531
1990-01-29,151958.0,469.0,501
1990-01-30,151494.0,223.0,455
1990-01-31,151406.0,479.0,442
1990-02-01,151185.0,401.0,511
1990-02-02,151649.0,631.0,396
1990-02-03,151649.0,566.0,564
1990-02-04,151848.0,480.0,378
1990-02-05,151538.0,493.0,648
1990-02-06,151428.0,495.0,549
1990-02-07,151583.0,480.0,400
1990-02-08,151737.0,571.0,492
1990-02-09,151781.0,631.0,607
1990-02-10,151737.0,388.0,409
1990-02-11,151627.0,540.0,594
1990-02-12,151340.0,346.0,489
1990-02-13,151362.0,592.0,579
1990-02-14,151781.0,657.0,444
1990-02-15,151870.0,587.0,541
1990-02-16,151781.0,512.0,555
1990-02-17,151737.0,495.0,516
1990-02-18,151671.0,424.0,456
1990-02-19,151538.0,398.0,464
1990-02-20,151362.0,443.0,530
1990-02-21,151340.0,527.0,537
1990-02-22,151185.0,450.0,527
1990-02-23,151384.0,377.0,275
1990-02-24,151362.0,531.0,541
1990-02-25,150942.0,453.0,663
1990-02-26,150920.0,497.0,507
1990-02-27,150964.0,459.0,435
1990-02-28,150876.0,604.0,571
1990-03-01,151119.0,443.0,319
1990-03-02,150964.0,480.0,557
1990-03-03,150876.0,557.0,600
1990-03-04,150876.0,491.0,489
1990-03-05,151031.0,677.0,542
1990-03-06,151295.0,600.0,465
1990-03-07,151781.0,645.0,398
1990-03-08,151671.0,492.0,546
1990-03-09,151715.0,492.0,468
1990-03-10,151671.0,481.0,502
1990-03-11,151207.0,352.0,584
1990-03-12,151428.0,519.0,406
1990-03-13,151583.0,599.0,519
1990-03-14,151494.0,358.0,401
1990-03-15,151516.0,495.0,482
1990-03-16,151472.0,451.0,472
1990-03-17,151340.0,443.0,508
1990-03-18,151362.0,575.0,562
1990-03-19,151715.0,553.0,368
1990-03-20,151914.0,536.0,421
1990-03-21,151958.0,535.0,499
1990-03-22,152180.0,638.0,518
1990-03-23,152269.0,522.0,476
1990-03-24,152291.0,477.0,464
1990-03-25,152535.0,630.0,505
1990-03-26,153468.0,888.0,416
1990-03-27,154227.0,893.0,500
1990-03-28,154898.0,933.0,593
1990-03-29,155526.0,853.0,535
1990-03-30,156268.0,934.0,558
1990-03-31,157125.0,917.0,458
1990-04-01,157736.0,841.0,531
1990-04-02,158666.0,870.0,381
1990-04-03,159394.0,964.0,583
1990-04-04,160262.0,945.0,495
1990-04-05,161156.0,991.0,539
1990-04-06,162052.0,920.0,458
1990-04-07,162997.0,921.0,443
1990-04-08,163830.0,923.0,502
1990-04-09,164781.0,961.0,481
1990-04-10,165526.0,913.0,530
1990-04-11,166390.0,907.0,461
1990-04-12,167303.0,918.0,450
1990-04-13,168030.0,948.0,579
1990-04-14,168830.0,870.0,460
1990-04-15,169704.0,926.0,477
1990-04-16,170319.0,916.0,586
1990-04-17,171149.0,803.0,377
1990-04-18,172220.0,967.0,414
1990-04-19,172745.0,847.0,570
1990-04-20,173342.0,913.0,600
1990-04-21,173797.0,707.0,469
1990-04-22,174444.0,755.0,419
1990-04-23,174732.0,702.0,522
1990-04-24,175911.0,1115.0,507
1990-04-25,177094.0,1052.0,452
1990-04-26,177869.0,808.0,416
1990-04-27,179108.0,1131.0,495
1990-04-28,180767.0,1396.0,554
1990-04-29,180229.0,43.0,307
1990-04-30,179620.0,272.0,532
1990-05-01,180034.0,785.0,491
1990-05-02,179766.0,648.0,614
1990-05-03,179157.0,396.0,483
1990-05-04,178841.0,566.0,543
1990-05-05,179449.0,875.0,443
1990-05-06,179620.0,657.0,430
1990-05-07,178719.0,87.0,424
1990-05-08,178719.0,676.0,579
1990-05-09,179839.0,1239.0,574
1990-05-10,180791.0,1024.0,434
1990-05-11,179717.0,79.0,507
1990-05-12,179522.0,497.0,501
1990-05-13,179060.0,306.0,422
1990-05-14,179303.0,853.0,621
1990-05-15,180205.0,1481.0,910
1990-05-16,181281.0,1490.0,818
1990-05-17,181943.0,1514.0,1032
1990-05-18,181943.0,1503.0,1322
1990-05-19,181697.0,1472.0,1402
1990-05-20,181526.0,1492.0,1354
1990-05-21,181256.0,1500.0,1409
1990-05-22,180889.0,1384.0,1367
1990-05-23,180474.0,938.0,936
1990-05-24,180620.0,1285.0,966
1990-05-25,179376.0,759.0,1124
1990-05-26,178670.0,925.0,1010
1990-05-27,178355.0,1098.0,927
1990-05-28,178525.0,1438.0,991
1990-05-29,178573.0,1286.0,930
1990-05-30,179352.0,1607.0,904
1990-05-31,178962.0,1198.0,1057
1990-06-01,178525.0,1304.0,1181
1990-06-02,178670.0,1285.0,872
1990-06-03,178768.0,1395.0,974
1990-06-04,178622.0,1369.0,1024
1990-06-05,178525.0,1367.0,991
1990-06-06,178646.0,1361.0,891
1990-06-07,178525.0,1411.0,1024
1990-06-08,178330.0,1366.0,1009
1990-06-09,178428.0,1410.0,947
1990-06-10,178112.0,1288.0,1014
1990-06-11,178136.0,1466.0,1032
1990-06-12,178112.0,1410.0,998
1990-06-13,178282.0,1363.0,878
1990-06-14,178258.0,1400.0,1029
1990-06-15,178330.0,1397.0,992
1990-06-16,178500.0,1422.0,994
1990-06-17,178841.0,1386.0,865
1990-06-18,178962.0,1446.0,1030
1990-06-19,179108.0,1401.0,968
1990-06-20,179279.0,1384.0,940
1990-06-21,179254.0,1355.0,1014
1990-06-22,179376.0,1403.0,993
