DATE,AF,CHSTOR,IN,QD
1990-01-01,105815.773,-28.367,23.198,37.5
1990-01-02,105761.727,-54.047,10.566,37.815
1990-01-03,105677.961,-83.766,-4.222,38.01
1990-01-04,105622.57,-55.391,10.294,38.22
1990-01-05,105595.547,-27.023,24.796,38.42
1990-01-06,105567.172,-28.375,24.469,38.774
1990-01-07,105567.172,0.0,39.283,39.283
1990-01-08,105540.156,-27.016,24.98,38.6
1990-01-09,105484.758,-55.398,10.67,38.6
1990-01-10,105429.367,-55.391,10.674,38.6
1990-01-11,105400.992,-28.375,24.294,38.6
1990-01-12,105345.602,-55.391,10.674,38.6
1990-01-13,105345.602,0.0,38.6,38.6
1990-01-14,105345.602,0.0,38.6,38.6
1990-01-15,105318.578,-27.023,24.976,38.6
1990-01-16,105290.203,-28.375,24.294,38.6
1990-01-17,105290.203,0.0,38.6,38.6
1990-01-18,105234.812,-55.391,10.674,38.6
1990-01-19,105207.789,-27.023,24.976,38.6
1990-01-20,105179.414,-28.375,24.294,38.6
1990-01-21,105152.391,-27.023,24.976,38.6
1990-01-22,105124.023,-28.367,24.298,38.6
1990-01-23,105097.0,-27.023,24.907,38.532
1990-01-24,105070.234,-26.766,24.969,38.463
1990-01-25,105042.125,-28.109,24.223,38.395
1990-01-26,105042.125,0.0,38.327,38.327
1990-01-27,104987.25,-54.875,10.593,38.259
1990-01-28,104905.609,-81.641,-2.97,38.19
1990-01-29,104851.0,-54.609,10.59,38.122
1990-01-30,104822.633,-28.367,23.752,38.054
1990-01-31,104740.992,-81.641,-3.175,37.986
1990-02-01,104740.992,0.0,41.91,41.91
1990-02-02,104686.117,-54.875,14.844,42.51
1990-02-03,104658.016,-28.102,27.812,41.98
1990-02-04,104631.242,-26.773,30.305,43.803
1990-02-05,104576.367,-54.875,15.076,42.742
1990-02-06,104521.5,-54.867,14.32,41.982
1990-02-07,104493.391,-28.109,28.495,42.667
1990-02-08,104438.516,-54.875,13.679,41.345
1990-02-09,104384.984,-53.531,15.929,42.918
1990-02-10,104356.875,-28.109,29.004,43.175
1990-02-11,104302.0,-54.875,14.84,42.506
1990-02-12,104275.234,-26.766,29.56,43.054
1990-02-13,104220.359,-54.875,15.829,43.495
1990-02-14,104165.492,-54.867,15.478,43.14
1990-02-15,104137.383,-28.109,28.538,42.71
1990-02-16,104082.508,-54.875,14.862,42.528
1990-02-17,104027.633,-54.875,15.329,42.995
1990-02-18,104000.867,-26.766,29.01,42.504
1990-02-19,103972.766,-28.102,28.312,42.48
1990-02-20,103917.891,-54.875,14.864,42.53
1990-02-21,103891.117,-26.773,29.12,42.619
1990-02-22,103836.25,-54.867,14.79,42.452
1990-02-23,103781.375,-54.875,15.388,43.054
1990-02-24,103753.266,-28.109,30.115,44.287
1990-02-25,103699.734,-53.531,16.065,43.054
1990-02-26,103644.859,-54.875,14.44,42.107
1990-02-27,103616.75,-28.109,24.788,38.96
1990-02-28,103589.984,-26.766,22.658,36.152
1990-03-01,103535.109,-54.875,8.834,36.5
1990-03-02,103480.242,-54.867,8.838,36.5
1990-03-03,103452.133,-28.109,22.328,36.5
1990-03-04,103425.367,-26.766,23.006,36.5
1990-03-05,103397.258,-28.109,23.368,37.54
1990-03-06,103370.492,-26.766,10.839,24.333
1990-03-07,103342.383,-28.109,22.328,36.5
1990-03-08,103315.617,-26.766,16.732,30.227
1990-03-09,103287.516,-28.102,22.332,36.5
1990-03-10,103260.742,-26.773,23.002,36.5
1990-03-11,103232.641,-28.102,22.332,36.5
1990-03-12,103205.867,-26.773,22.486,35.984
1990-03-13,103122.891,-82.977,-2.982,38.852
1990-03-14,103068.016,-54.875,9.692,37.358
1990-03-15,102986.375,-81.641,-3.406,37.754
1990-03-16,102931.5,-54.875,8.664,36.33
1990-03-17,102849.859,-81.641,-5.022,36.138
1990-03-18,102821.758,-28.102,21.96,36.128
1990-03-19,102766.883,-54.875,8.35,36.016
1990-03-20,102740.117,-26.766,22.389,35.883
1990-03-21,102657.133,-82.984,-6.014,35.824
1990-03-22,102602.266,-54.867,8.838,36.5
1990-03-23,102602.266,0.0,36.5,36.5
1990-03-24,102547.391,-54.875,11.079,38.745
1990-03-25,102492.516,-54.875,9.875,37.541
1990-03-26,102437.641,-54.875,9.875,37.541
1990-03-27,102437.641,0.0,37.276,37.276
1990-03-28,102465.75,28.109,51.274,37.102
1990-03-29,102437.641,-28.109,23.245,37.417
1990-03-30,102410.875,-26.766,23.006,36.5
1990-03-31,102382.766,-28.109,22.328,36.5
1990-04-01,102329.477,-53.289,9.633,36.5
1990-04-02,102329.477,0.0,36.282,36.282
1990-04-03,102301.625,-27.852,21.437,35.479
1990-04-04,102275.102,-26.523,22.106,35.479
1990-04-05,102275.102,0.0,35.479,35.479
1990-04-06,102275.102,0.0,35.479,35.479
1990-04-07,102275.102,0.0,35.479,35.479
1990-04-08,102275.102,0.0,35.479,35.479
1990-04-09,102382.766,107.664,92.536,38.256
1990-04-10,102410.875,28.109,49.65,35.479
1990-04-11,102410.875,0.0,35.479,35.479
1990-04-12,102329.477,-81.398,26.584,67.623
1990-04-13,102138.508,-190.969,51.776,148.056
1990-04-14,101921.016,-217.492,34.358,144.011
1990-04-15,101785.75,-135.266,75.814,144.011
1990-04-16,101812.273,26.523,130.345,116.972
1990-04-17,101921.016,108.742,106.743,51.919
1990-04-18,102057.609,136.594,127.361,58.495
1990-04-19,102192.883,135.273,126.695,58.495
1990-04-20,102329.477,136.594,127.361,58.495
1990-04-21,102657.133,327.656,223.718,58.525
1990-04-22,103068.016,410.883,265.244,58.09
1990-04-23,103425.367,357.352,237.902,57.737
