DATE,AF,IN,QD,QRD,QSD
1990-01-01,75340.367,200.094,36.378,36.378,0.0
1990-01-02,75601.422,169.718,38.103,38.103,0.0
1990-01-03,75927.734,203.406,38.89,38.89,0.0
1990-01-04,76155.367,335.073,38.938,38.938,0.0
1990-01-05,76612.211,87.926,38.971,38.971,0.0
1990-01-06,76873.266,170.651,39.036,39.036,0.0
1990-01-07,77100.891,153.841,39.08,39.08,0.0
1990-01-08,77361.945,170.733,39.118,39.118,0.0
1990-01-09,77723.195,221.282,39.152,39.152,0.0
1990-01-10,77925.234,73.121,39.164,39.164,0.0
1990-01-11,78161.766,226.32,39.164,39.164,0.0
1990-01-12,78564.195,242.056,39.164,39.164,0.0
1990-01-13,78733.383,124.463,39.164,39.164,0.0
1990-01-14,79070.109,208.931,39.164,39.164,0.0
1990-01-15,79372.305,191.521,39.164,39.164,0.0
1990-01-16,79741.664,225.383,39.164,39.164,0.0
1990-01-17,80045.359,192.277,39.164,39.164,0.0
1990-01-18,80380.25,206.46,37.619,37.619,0.0
1990-01-19,80616.641,155.897,36.716,36.716,0.0
1990-01-20,80953.172,222.935,36.716,36.716,0.0
1990-01-21,81228.008,158.741,36.729,36.729,0.0
1990-01-22,81402.328,124.65,36.764,36.764,0.0
1990-01-23,81713.727,193.796,36.8,36.8,0.0
1990-01-24,82060.664,210.516,35.601,35.601,0.0
1990-01-25,82441.453,226.41,34.428,34.428,0.0
1990-01-26,82649.609,139.4,34.454,34.454,0.0
1990-01-27,82961.008,191.482,34.485,34.485,0.0
1990-01-28,83307.953,227.36,34.524,34.524,0.0
1990-01-29,83619.352,173.644,34.565,34.565,0.0
1990-01-30,83863.055,157.473,34.606,34.606,0.0
1990-01-31,84071.211,139.576,34.631,34.631,0.0
1990-02-01,84418.156,209.58,34.661,34.661,0.0
1990-02-02,84666.406,159.857,34.697,34.697,0.0
1990-02-03,85023.758,214.899,34.734,34.734,0.0
1990-02-04,85238.164,142.863,34.766,34.766,0.0
1990-02-05,85665.242,249.765,34.446,34.446,0.0
1990-02-06,85879.648,142.931,34.834,34.834,0.0
1990-02-07,86130.664,161.417,34.863,34.863,0.0
1990-02-08,86379.859,160.541,34.905,34.905,0.0
1990-02-09,86628.992,160.535,34.93,34.93,0.0
1990-02-10,86914.711,179.014,34.964,34.964,0.0
1990-02-11,87306.703,232.634,35.004,35.004,0.0
1990-02-12,87449.562,107.057,35.032,35.032,0.0
1990-02-13,87663.852,143.084,35.047,33.768,0.0
1990-02-14,87878.141,143.099,35.061,30.866,0.0
1990-02-15,88168.023,181.225,35.076,35.095,0.0
1990-02-16,88388.562,146.279,35.09,29.619,0.0
1990-02-17,88609.094,146.289,35.104,35.104,0.0
1990-02-18,88903.141,183.353,35.104,35.104,0.0
1990-02-19,89233.047,201.432,35.104,35.104,0.0
1990-02-20,89527.094,183.353,35.104,35.104,0.0
