DATE,AF,IN,QD,QRD,QSD
1990-01-01,14240.176,12.144,2.0,2.0,0.0
1990-01-02,14244.121,6.078,2.0,2.0,0.0
1990-01-03,14260.297,10.155,2.0,2.0,0.0
1990-01-04,14272.527,10.155,2.0,2.0,0.0
1990-01-05,14284.561,6.078,2.0,2.0,0.0
1990-01-06,14292.648,6.078,2.0,2.0,0.0
1990-01-07,14308.824,10.155,2.0,2.0,0.0
1990-01-08,14325.0,10.155,2.0,2.0,0.0
1990-01-09,14341.176,10.155,2.0,2.0,0.0
1990-01-10,14345.121,3.989,2.0,2.0,0.0
1990-01-11,14353.209,6.078,2.0,2.0,0.0
1990-01-12,14365.439,8.166,2.0,2.0,0.0
1990-01-13,14373.527,6.078,2.0,2.0,0.0
1990-01-14,14385.561,8.067,2.0,2.0,0.0
1990-01-15,14397.791,8.166,2.0,2.0,0.0
1990-01-16,14422.055,14.233,2.0,2.0,0.0
1990-01-17,14429.975,5.993,2.0,2.0,0.0
1990-01-18,14442.296,8.212,2.0,2.0,0.0
1990-01-19,14446.271,4.004,2.0,2.0,0.0
1990-01-20,14466.74,12.32,2.0,2.0,0.0
1990-01-21,14474.888,6.108,2.0,2.0,0.0
1990-01-22,14487.011,8.112,2.0,2.0,0.0
1990-01-23,14503.307,10.216,2.0,2.0,0.0
1990-01-24,14515.628,8.212,2.0,2.0,0.0
1990-01-25,14527.75,8.112,2.0,2.0,0.0
1990-01-26,14548.021,12.22,2.0,2.0,0.0
1990-01-27,14548.021,2.0,2.0,2.0,0.0
1990-01-28,14564.316,10.216,2.0,2.0,0.0
1990-01-29,14576.638,8.212,2.0,2.0,0.0
1990-01-30,14588.761,8.112,2.0,2.0,0.0
1990-01-31,14596.908,6.108,2.0,2.0,0.0
1990-02-01,14613.204,10.216,2.0,2.0,0.0
1990-02-02,14617.378,4.104,2.0,2.0,0.0
1990-02-03,14629.5,8.112,2.0,2.0,0.0
1990-02-04,14645.796,10.216,2.0,2.0,0.0
1990-02-05,14653.944,6.108,2.0,2.0,0.0
1990-02-06,14678.388,14.324,2.0,2.0,0.0
1990-02-07,14686.536,6.108,2.0,2.0,0.0
1990-02-08,14698.658,8.112,2.0,2.0,0.0
1990-02-09,14710.979,8.212,2.0,2.0,0.0
1990-02-10,14719.128,6.108,2.0,2.0,0.0
1990-02-11,14739.398,12.22,2.0,2.0,0.0
1990-02-12,14751.521,8.112,2.0,2.0,0.0
1990-02-13,14767.816,10.216,2.0,2.0,0.0
1990-02-14,14780.138,8.212,2.0,2.0,0.0
1990-02-15,14796.434,10.216,2.0,2.0,0.0
1990-02-16,14820.878,14.324,2.0,2.0,0.0
1990-02-17,14820.878,2.0,2.0,2.0,0.0
1990-02-18,14829.025,6.108,2.0,2.0,0.0
1990-02-19,14841.188,8.132,2.0,2.0,0.0
1990-02-20,14853.37,8.142,2.0,2.0,0.0
1990-02-21,14873.94,12.371,2.0,2.0,0.0
1990-02-22,14886.122,8.142,2.0,2.0,0.0
1990-02-23,14890.316,4.115,2.0,2.0,0.0
1990-02-24,14898.504,6.128,2.0,2.0,0.0
1990-02-25,14910.687,8.142,2.0,2.0,0.0
1990-02-26,14927.062,10.256,2.0,2.0,0.0
1990-02-27,14935.25,6.128,2.0,2.0,0.0
1990-02-28,14947.433,8.142,2.0,2.0,0.0
1990-03-01,14947.0,1.782,2.0,2.0,0.0
1990-03-02,14956.0,6.538,2.0,2.0,0.0
1990-03-03,14968.0,8.05,2.0,2.0,0.0
1990-03-04,14982.0,9.058,2.0,2.0,0.0
1990-03-05,15004.748,13.469,2.0,2.0,0.0
1990-03-06,15045.688,22.641,2.0,2.0,0.0
1990-03-07,15057.87,8.142,2.0,2.0,0.0
1990-03-08,15086.628,16.499,2.0,2.0,0.0
1990-03-09,15094.816,6.128,2.0,2.0,0.0
1990-03-10,15119.38,14.384,2.0,2.0,0.0
1990-03-11,15143.744,14.284,2.0,2.0,0.0
1990-03-12,15160.12,10.256,2.0,2.0,0.0
