DATE,AF,IN,QD,QRD,QSD
1990-01-01,80529.969,4.385,23.886,23.886,0.0
1990-01-02,80607.32,62.894,23.896,23.896,0.0
1990-01-03,80762.031,101.905,23.905,23.905,0.0
1990-01-04,80878.07,82.42,23.917,23.917,0.0
1990-01-05,80955.422,62.672,23.674,23.67,0.0
1990-01-06,81032.781,62.933,23.931,23.931,0.0
1990-01-07,81110.133,62.939,23.94,23.94,0.0
1990-01-08,81225.227,81.982,23.955,23.955,0.0
1990-01-09,81302.578,62.965,23.967,23.967,0.0
1990-01-10,81534.648,140.985,23.983,23.983,0.0
1990-01-11,81967.125,242.044,24.004,24.004,0.0
1990-01-12,82400.211,242.359,24.011,24.011,0.0
1990-01-13,82755.336,203.063,24.02,24.02,0.0
1990-01-14,83031.547,163.285,24.028,24.028,0.0
1990-01-15,83267.336,142.911,24.034,24.034,0.0
1990-01-16,83583.0,183.186,24.038,24.038,0.0
1990-01-17,83743.961,105.194,24.042,24.042,0.0
1990-01-18,83904.914,105.192,24.045,24.045,0.0
1990-01-19,83945.156,44.336,24.048,24.048,0.0
1990-01-20,84025.633,64.623,24.05,24.05,0.0
1990-01-21,84065.875,44.34,24.051,24.051,0.0
1990-01-22,84185.609,84.417,24.051,24.051,0.0
1990-01-23,84306.328,84.915,24.053,24.053,0.0
1990-01-24,84386.805,64.627,24.054,24.054,0.0
1990-01-25,84467.281,64.629,24.055,24.055,0.0
1990-01-26,84507.523,44.346,24.057,24.057,0.0
1990-01-27,84547.758,44.343,24.058,24.058,0.0
1990-01-28,84588.0,44.349,24.06,24.06,0.0
1990-01-29,84628.242,44.35,24.061,24.061,0.0
1990-01-30,84708.719,64.635,24.061,24.061,0.0
1990-01-31,84748.961,44.351,24.062,24.062,0.0
1990-02-01,84748.961,24.062,24.062,24.062,0.0
1990-02-02,84748.961,24.064,24.064,24.064,0.0
1990-02-03,84748.961,24.064,24.064,24.064,0.0
1990-02-04,84748.961,24.064,24.064,24.064,0.0
1990-02-05,84789.203,44.353,24.064,24.064,0.0
1990-02-06,84789.195,24.061,24.065,24.065,0.0
1990-02-07,84789.195,24.064,24.064,24.064,0.0
1990-02-08,84829.438,44.353,24.064,24.064,0.0
1990-02-09,84829.438,24.063,24.063,24.063,0.0
1990-02-10,84829.438,24.063,24.063,24.063,0.0
1990-02-11,84829.438,24.063,24.063,24.063,0.0
1990-02-12,84869.672,44.35,24.065,24.065,0.0
1990-02-13,84869.672,24.067,24.067,24.067,0.0
1990-02-14,84869.672,24.068,24.068,24.068,0.0
1990-02-15,84869.672,24.069,24.069,24.069,0.0
1990-02-16,84950.156,64.646,24.068,24.068,0.0
1990-02-17,84990.391,44.554,24.269,24.269,0.0
1990-02-18,85030.633,47.065,26.776,26.776,0.0
1990-02-19,85070.875,44.357,24.068,24.068,0.0
1990-02-20,85110.133,43.86,24.067,24.067,0.0
1990-02-21,85150.367,51.769,31.484,31.484,0.0
1990-02-22,85230.844,64.643,24.069,24.069,0.0
1990-02-23,85512.523,173.307,31.293,31.293,0.0
1990-02-24,85799.398,168.713,24.08,24.08,0.0
1990-02-25,86088.367,169.522,23.834,23.834,0.0
1990-02-26,86335.039,148.456,24.092,24.092,0.0
1990-02-27,86541.438,128.876,24.817,24.817,0.0
1990-02-28,86830.398,169.785,24.101,24.101,0.0
1990-03-01,87159.641,190.1,24.107,24.107,0.0
1990-03-02,87283.477,116.863,54.429,54.429,0.0
1990-03-03,88074.812,469.621,70.655,70.655,0.0
1990-03-04,88997.367,535.864,70.742,70.742,0.0
1990-03-05,89500.117,374.354,120.884,120.884,0.0
1990-03-06,90351.859,587.42,158.0,158.0,0.0
1990-03-07,91081.531,590.372,222.495,222.495,0.0
1990-03-08,91724.312,589.141,265.071,265.071,0.0
