DATE,AF,IN,QD
1990-01-01,226301.0,811,1
1990-01-02,228046.0,885,1
1990-01-03,229378.0,677,1
1990-01-04,230855.0,750,1
1990-01-05,232055.0,610,1
1990-01-06,233542.0,755,1
1990-01-07,235034.0,758,1
1990-01-08,236818.0,905,1
1990-01-09,238394.0,801,2
1990-01-10,240193.0,914,2
1990-01-11,241637.0,855,3
1990-01-12,243087.0,739,3
1990-01-13,245052.0,998,3
1990-01-14,246659.0,817,2
1990-01-15,248420.0,894,2
1990-01-16,249893.0,802,3
1990-01-17,251667.0,902,3
1990-01-18,253002.0,681,3
1990-01-19,254341.0,683,3
1990-01-20,255684.0,685,3
1990-01-21,256807.0,574,3
1990-01-22,258308.0,764,3
1990-01-23,259738.0,728,3
1990-01-24,260795.0,540,3
1990-01-25,262082.0,656,3
1990-01-26,263753.0,850,3
1990-01-27,264285.0,277,4
1990-01-28,265048.0,391,2
1990-01-29,265964.0,469,3
1990-01-30,266882.0,470,3
1990-01-31,268186.0,815,4
1990-02-01,269262.0,550,3
1990-02-02,270496.0,630,3
1990-02-03,271809.0,670,3
1990-02-04,273204.0,711,3
1990-02-05,273903.0,360,3
1990-02-06,276085.0,1108,3
1990-02-07,277650.0,797,3
1990-02-08,278671.0,522,3
1990-02-09,279930.0,642,3
1990-02-10,280956.0,525,3
1990-02-11,282063.0,567,4
1990-02-12,283967.0,1131,3
1990-02-13,285720.0,890,1
1990-02-14,285800.0,46,1
1990-02-15,286679.0,449,1
1990-02-16,286839.0,87,1
1990-02-17,286839.0,6,1
1990-02-18,286839.0,6,1
1990-02-19,290293.0,1747,1
1990-02-20,291989.0,862,2
1990-02-21,293529.0,783,2
1990-02-22,295074.0,786,2
1990-02-23,296706.0,830,2
1990-02-24,298508.0,916,2
1990-02-25,300069.0,794,2
1990-02-26,301635.0,797,2
1990-02-27,303207.0,800,2
1990-02-28,304700.0,931,2
1990-03-01,306198.0,794,2
1990-03-02,307617.0,767,2
1990-03-03,309207.0,838,2
1990-03-04,310803.0,852,3
1990-03-05,312657.0,990,3
1990-03-06,315620.0,1504,5
1990-03-07,316640.0,525,6
1990-03-08,318771.0,1169,4
1990-03-09,320226.0,770,4
1990-03-10,321942.0,902,4
1990-03-11,323577.0,864,4
1990-03-12,325045.0,780,4
1990-03-13,326517.0,788,3
1990-03-14,327905.0,736,3
1990-03-15,329298.0,740,2
1990-03-16,330781.0,774,3
1990-03-17,332181.0,758,3
1990-03-18,333321.0,586,3
1990-03-19,334815.0,787,3
1990-03-20,336225.0,777,4
1990-03-21,337550.0,732,4
1990-03-22,338524.0,558,4
1990-03-23,339944.0,724,3
1990-03-24,341278.0,682,4
1990-03-25,342258.0,538,5
1990-03-26,343776.0,806,4
1990-03-27,345478.0,896,4
1990-03-28,346735.0,663,3
1990-03-29,348085.0,708,3
1990-03-30,349438.0,722,3
1990-03-31,350704.0,717,7
1990-04-01,351791.0,596,13
1990-04-02,352426.0,642,226
1990-04-03,352517.0,973,847
1990-04-04,352154.0,888,1007
1990-04-05,351791.0,851,1021
1990-04-06,351247.0,797,1036
1990-04-07,350614.0,736,1007
1990-04-08,350071.0,813,1007
1990-04-09,349619.0,819,1007
1990-04-10,348987.0,708,1000
1990-04-11,348446.0,810,1043
1990-04-12,347905.0,838,1073
1990-04-13,347275.0,754,1021
1990-04-14,346645.0,747,1014
1990-04-15,346106.0,805,1021
1990-04-16,345657.0,879,1029
1990-04-17,345030.0,773,1036
1990-04-18,344582.0,824,1029
1990-04-19,344045.0,792,992
1990-04-20,343329.0,753,1051
1990-04-21,342704.0,865,1088
1990-04-22,342169.0,890,1081
1990-04-23,341545.0,843,1066
1990-04-24,340922.0,784,1014
1990-04-25,340833.0,634,619
1990-04-26,342080.0,978,312
1990-04-27,343240.0,887,252
1990-04-28,345388.0,1203,75
1990-04-29,346286.0,526,13
1990-04-30,348085.0,975,12
1990-05-01,349890.0,962,12
1990-05-02,351338.0,807,13
1990-05-03,353153.0,976,13
1990-05-04,354974.0,967,14
1990-05-05,356343.0,728,14
1990-05-06,357990.0,909,14
1990-05-07,359826.0,1029,14
1990-05-08,361484.0,884,15
1990-05-09,362778.0,693,16
1990-05-10,364539.0,934,16
1990-05-11,366401.0,1010,16
1990-05-12,368550.0,1122,16
1990-05-13,370803.0,1182,16
1990-05-14,372500.0,944,16
1990-05-15,374866.0,1253,16
1990-05-16,376291.0,818,16
1990-05-17,378197.0,1038,16
1990-05-18,380878.0,1452,16
1990-05-19,382898.0,1077,16
1990-05-20,385604.0,1441,17
1990-05-21,388714.0,1654,17
1990-05-22,391744.0,1600,17
1990-05-23,394594.0,1529,16
1990-05-24,397657.0,1627,16
1990-05-25,399742.0,1164,16
1990-05-26,401835.0,1159,16
1990-05-27,403635.0,1016,17
1990-05-28,405642.0,1162,17
1990-05-29,408061.0,1305,17
