DATE,AF,IN,QD
1990-01-01,1425,571.0,556
1990-01-02,1445,566.0,556
1990-01-03,1271,475.0,563
1990-01-04,1425,641.0,563
1990-01-05,1296,498.0,563
1990-01-06,1421,633.0,570
1990-01-07,1392,548.0,563
1990-01-08,1497,623.0,570
1990-01-09,1427,542.0,577
1990-01-10,1553,647.0,583
1990-01-11,1280,439.0,577
1990-01-12,1431,659.0,583
1990-01-13,1497,616.0,583
1990-01-14,1556,613.0,583
1990-01-15,1482,560.0,597
1990-01-16,1387,542.0,590
1990-01-17,1469,631.0,590
1990-01-18,1469,597.0,597
1990-01-19,1349,536.0,597
1990-01-20,1435,547.0,504
1990-01-21,1405,483.0,498
1990-01-22,1469,530.0,498
1990-01-23,1561,544.0,498
1990-01-24,1237,329.0,492
1990-01-25,1507,640.0,504
1990-01-26,1539,514.0,498
1990-01-27,1587,528.0,504
1990-01-28,1589,531.0,530
1990-01-29,1594,501.0,498
1990-01-30,1509,455.0,498
1990-01-31,1399,442.0,492
1990-02-01,1425,511.0,498
1990-02-02,1223,396.0,498
1990-02-03,1354,564.0,498
1990-02-04,1116,378.0,498
1990-02-05,1413,648.0,498
1990-02-06,1515,549.0,498
1990-02-07,1321,400.0,498
1990-02-08,1271,492.0,517
1990-02-09,1398,607.0,543
1990-02-10,1222,409.0,498
1990-02-11,1413,594.0,498
1990-02-12,1395,489.0,498
1990-02-13,1544,579.0,504
1990-02-14,1294,444.0,570
1990-02-15,1380,541.0,498
1990-02-16,1494,555.0,498
1990-02-17,1541,516.0,492
1990-02-18,1458,456.0,498
1990-02-19,1390,464.0,498
1990-02-20,1453,530.0,498
1990-02-21,1530,537.0,498
1990-02-22,1587,527.0,498
1990-02-23,1144,275.0,498
1990-02-24,1230,541.0,498
1990-02-25,1546,663.0,504
1990-02-26,1564,507.0,498
1990-02-27,1439,435.0,498
1990-02-28,1571,571.0,498
1990-03-01,1216,319.0,498
1990-03-02,1322,557.0,504
1990-03-03,1525,600.0,498
1990-03-04,1507,489.0,498
1990-03-05,1597,542.0,492
1990-03-06,1543,465.0,492
1990-03-07,1356,398.0,492
1990-03-08,1464,546.0,492
1990-03-09,1416,468.0,492
1990-03-10,1436,502.0,492
1990-03-11,1619,584.0,492
1990-03-12,1461,406.0,486
1990-03-13,1526,519.0,486
1990-03-14,1357,401.0,486
1990-03-15,1350,482.0,486
1990-03-16,1322,472.0,486
1990-03-17,1366,508.0,486
1990-03-18,1517,562.0,486
1990-03-19,1296,368.0,479
1990-03-20,1166,421.0,486
1990-03-21,1215,499.0,473
1990-03-22,1292,518.0,479
1990-03-23,1287,476.0,479
1990-03-24,1257,464.0,479
1990-03-25,1309,505.0,479
1990-03-26,1196,416.0,473
1990-03-27,1249,500.0,473
1990-03-28,1488,593.0,473
1990-03-29,1586,535.0,486
1990-03-30,1667,558.0,517
1990-03-31,1571,458.0,504
1990-04-01,1697,531.0,467
1990-04-02,1425,381.0,517
1990-04-03,1541,583.0,524
1990-04-04,1469,495.0,530
1990-04-05,1551,539.0,498
1990-04-06,1470,458.0,498
1990-04-07,1360,443.0,498
1990-04-08,1380,502.0,492
1990-04-09,1347,481.0,498
1990-04-10,1421,530.0,492
1990-04-11,1359,461.0,492
1990-04-12,1263,450.0,498
1990-04-13,1436,579.0,492
1990-04-14,1371,460.0,492
1990-04-15,1341,477.0,492
1990-04-16,1551,586.0,479
1990-04-17,1334,377.0,486
1990-04-18,1191,414.0,486
1990-04-19,1356,570.0,486
1990-04-20,1581,600.0,486
1990-04-21,1535,469.0,492
1990-04-22,1351,419.0,511
1990-04-23,1419,522.0,486
1990-04-24,1458,507.0,486
1990-04-25,1389,452.0,486
1990-04-26,1275,416.0,473
1990-04-27,1306,495.0,479
1990-04-28,1428,554.0,492
1990-04-29,1061,307.0,492
1990-04-30,1140,532.0,492
1990-05-01,1137,491.0,492
1990-05-02,1377,614.0,492
1990-05-03,1369,483.0,486
1990-05-04,1470,543.0,492
1990-05-05,1371,443.0,492
1990-05-06,1257,430.0,486
1990-05-07,1132,424.0,486
1990-05-08,1304,579.0,492
1990-05-09,1478,574.0,486
1990-05-10,1362,434.0,492
1990-05-11,1390,507.0,492
1990-05-12,1395,501.0,498
1990-05-13,1231,422.0,504
1990-05-14,1359,621.0,556
1990-05-15,1533,910.0,821
1990-05-16,1526,818.0,821
1990-05-17,1554,1032.0,1017
1990-05-18,1507,1322.0,1344
1990-05-19,1496,1402.0,1407
1990-05-20,1410,1354.0,1396
1990-05-21,1392,1409.0,1417
1990-05-22,1517,1367.0,1303
1990-05-23,1191,936.0,1099
1990-05-24,1123,966.0,999
1990-05-25,1350,1124.0,1008
1990-05-26,1369,1010.0,999
1990-05-27,1312,927.0,955
1990-05-28,1294,991.0,999
1990-05-29,1174,930.0,990
1990-05-30,1140,904.0,921
1990-05-31,1252,1057.0,999
1990-06-01,1645,1181.0,982
1990-06-02,1408,872.0,990
1990-06-03,1375,974.0,990
1990-06-04,1439,1024.0,990
1990-06-05,1435,991.0,990
1990-06-06,1422,891.0,896
1990-06-07,1469,1024.0,999
1990-06-08,1518,1009.0,982
1990-06-09,1430,947.0,990
1990-06-10,1489,1014.0,982
1990-06-11,1569,1032.0,990
1990-06-12,1581,998.0,990
1990-06-13,1356,878.0,990
1990-06-14,1431,1029.0,990
1990-06-15,1448,992.0,982
1990-06-16,1486,994.0,973
1990-06-17,1270,865.0,973
1990-06-18,1362,1030.0,982
1990-06-19,1314,968.0,990
1990-06-20,1227,940.0,982
1990-06-21,1253,1014.0,999
1990-06-22,1222,993.0,1008
1990-06-23,1393,1096.0,1008
1990-06-24,1343,985.0,1008
1990-06-25,1128,910.0,1017
1990-06-26,1331,1112.0,1008
1990-06-27,1270,997.0,1026
1990-06-28,1439,1113.0,1026
1990-06-29,1464,1032.0,1017
1990-06-30,1543,1033.0,990
1990-07-01,1357,881.0,973
1990-07-02,1441,1008.0,964
1990-07-03,1459,966.0,955
1990-07-04,1347,953.0,1008
1990-07-05,1325,1034.0,1044
1990-07-06,1383,1014.0,982
1990-07-07,1407,987.0,973
1990-07-08,1196,842.0,947
1990-07-09,1298,1025.0,973
1990-07-10,1305,1013.0,1008
1990-07-11,1399,1393.0,1344
1990-07-12,1357,1593.0,1613
1990-07-13,1369,1633.0,1625
1990-07-14,1392,1638.0,1625
1990-07-15,1245,1540.0,1613
1990-07-16,1372,1702.0,1636
1990-07-17,1562,1711.0,1613
1990-07-18,1390,1528.0,1613
1990-07-19,1331,1563.0,1591
1990-07-20,1337,1584.0,1580
1990-07-21,1541,1672.0,1569
1990-07-22,1571,1574.0,1558
1990-07-23,1548,1547.0,1558
1990-07-24,1445,1497.0,1547
1990-07-25,1538,1573.0,1525
1990-07-26,1478,1665.0,1693
1990-07-27,1513,2192.0,2172
1990-07-28,1499,2325.0,2331
1990-07-29,1187,2189.0,2345
1990-07-30,1433,2524.0,2399
1990-07-31,1444,2489.0,2482
1990-08-01,1365,2429.0,2468
1990-08-02,1530,2552.0,2468
1990-08-03,1441,2383.0,2426
1990-08-04,1517,2564.0,2524
1990-08-05,1485,2509.0,2524
1990-08-06,1387,2749.0,2797
1990-08-07,1453,3502.0,3467
1990-08-08,1211,3347.0,3467
1990-08-09,1389,3542.0,3451
1990-08-10,1435,3460.0,3435
1990-08-11,1007,3187.0,3402
1990-08-12,1413,3543.0,3337
1990-08-13,1350,3210.0,3241
1990-08-14,1341,3398.0,3402
1990-08-15,1198,3299.0,3370
1990-08-16,1374,3395.0,3305
1990-08-17,1401,3417.0,3402
1990-08-18,1362,3481.0,3500
1990-08-19,1525,3568.0,3484
1990-08-20,1497,3471.0,3484
1990-08-21,1356,3397.0,3467
1990-08-22,1419,3517.0,3484
1990-08-23,1488,3487.0,3451
1990-08-24,1372,2595.0,2652
1990-08-25,1387,2382.0,2372
1990-08-26,1554,1993.0,1907
1990-08-27,1374,1627.0,1716
1990-08-28,1259,1546.0,1602
1990-08-29,1520,1713.0,1580
1990-08-30,1456,1163.0,1194
1990-08-31,1469,1007.0,999
1990-09-01,1230,863.0,982
1990-09-02,1428,1073.0,973
1990-09-03,1421,894.0,896
1990-09-04,1395,499.0,511
1990-09-05,1466,499.0,461
1990-09-06,1331,394.0,461
1990-09-07,1317,467.0,473
1990-09-08,1291,443.0,455
1990-09-09,1346,460.0,431
1990-09-10,1267,376.0,414
1990-09-11,1309,514.0,492
1990-09-12,1212,451.0,498
1990-09-13,1480,635.0,498
1990-09-14,1436,471.0,492
1990-09-15,1411,499.0,511
1990-09-16,1378,502.0,517
1990-09-17,1309,490.0,524
1990-09-18,1496,658.0,563
1990-09-19,1357,487.0,556
1990-09-20,1416,593.0,563
1990-09-21,1482,617.0,583
1990-09-22,1453,569.0,583
1990-09-23,1512,628.0,597
1990-09-24,1452,582.0,611
1990-09-25,1441,538.0,543
1990-09-26,1392,526.0,550
1990-09-27,1504,620.0,563
1990-09-28,1383,502.0,563
1990-09-29,1425,526.0,504
1990-09-30,1458,516.0,498
1990-10-01,1464,508.0,504
1990-10-02,1470,503.0,498
1990-10-03,1119,367.0,543
1990-10-04,1447,730.0,563
1990-10-05,1489,593.0,570
1990-10-06,1415,541.0,577
1990-10-07,1393,579.0,590
1990-10-08,1399,593.0,590
1990-10-09,1353,588.0,611
1990-10-10,1381,640.0,625
1990-10-11,1191,537.0,632
1990-10-12,1198,521.0,517
1990-10-13,1278,557.0,517
1990-10-14,1351,567.0,530
1990-10-15,1387,551.0,530
1990-10-16,1466,591.0,550
1990-10-17,1369,456.0,504
1990-10-18,1444,563.0,524
1990-10-19,1453,530.0,524
1990-10-20,1306,456.0,530
1990-10-21,1648,722.0,550
1990-10-22,1125,280.0,543
1990-10-23,1134,561.0,556
1990-10-24,1493,752.0,570
1990-10-25,1579,594.0,550
1990-10-26,1510,471.0,504
1990-10-27,1312,404.0,504
1990-10-28,1084,455.0,570
1990-10-29,936,444.0,517
1990-10-30,1132,624.0,524
1990-10-31,1153,542.0,530
1990-11-01,1384,654.0,537
1990-11-02,1569,630.0,537
1990-11-03,1489,503.0,543
1990-11-04,1084,346.0,550
1990-11-05,1330,674.0,550
1990-11-06,1505,644.0,556
1990-11-07,1510,566.0,563
1990-11-08,1561,589.0,563
1990-11-09,1544,547.0,556
1990-11-10,1441,485.0,537
1990-11-11,1559,596.0,537
1990-11-12,1509,512.0,537
1990-11-13,1587,582.0,543
1990-11-14,1559,537.0,550
1990-11-15,1220,334.0,504
1990-11-16,1175,481.0,504
1990-11-17,1252,550.0,511
1990-11-18,1435,609.0,517
1990-11-19,1438,515.0,511
1990-11-20,1330,470.0,524
1990-11-21,1241,485.0,530
1990-11-22,1332,576.0,530
1990-11-23,1384,563.0,537
1990-11-24,1415,559.0,543
1990-11-25,1399,542.0,550
1990-11-26,1308,504.0,550
1990-11-27,1548,677.0,556
1990-11-28,1569,574.0,563
1990-11-29,1318,436.0,563
1990-11-30,1502,667.0,570
1990-12-01,1441,539.0,570
1990-12-02,1430,571.0,577
1990-12-03,1470,603.0,583
1990-12-04,1458,486.0,492
1990-12-05,1464,482.0,479
1990-12-06,1526,504.0,473
1990-12-07,1359,377.0,461
1990-12-08,1365,458.0,455
1990-12-09,1444,489.0,449
1990-12-10,1375,402.0,437
1990-12-11,1372,429.0,431
1990-12-12,1494,487.0,425
1990-12-13,1523,519.0,504
1990-12-14,1354,419.0,504
1990-12-15,1396,525.0,504
1990-12-16,1474,550.0,511
1990-12-17,1572,560.0,511
1990-12-18,1606,528.0,511
1990-12-19,1475,458.0,524
1990-12-20,1170,514.0,668
1990-12-21,1174,526.0,524
1990-12-22,1192,533.0,524
1990-12-23,1169,518.0,530
1990-12-24,1179,535.0,530
1990-12-25,1190,543.0,537
1990-12-26,1398,642.0,537
1990-12-27,1328,495.0,530
1990-12-28,1459,603.0,537
1990-12-29,1411,506.0,530
1990-12-30,1478,571.0,537
1990-12-31,1369,501.0,556
1991-01-01,1478,598.0,543
1991-01-02,1557,587.0,543
1991-01-03,1541,542.0,550
1991-01-04,1525,535.0,543
1991-01-05,1535,555.0,550
1991-01-06,1480,528.0,556
1991-01-07,1448,534.0,550
1991-01-08,1502,538.0,511
1991-01-09,1574,553.0,517
1991-01-10,1531,502.0,524
1991-01-11,1520,531.0,537
1991-01-12,1456,511.0,543
1991-01-13,1509,577.0,550
1991-01-14,1557,587.0,563
1991-01-15,1371,476.0,570
1991-01-16,1528,577.0,498
1991-01-17,1377,422.0,498
1991-01-18,1369,500.0,504
1991-01-19,1418,529.0,504
1991-01-20,1436,520.0,511
1991-01-21,1478,532.0,511
1991-01-22,1337,440.0,511
1991-01-23,1399,542.0,511
1991-01-24,1494,565.0,517
1991-01-25,1463,501.0,517
1991-01-26,1442,506.0,517
1991-01-27,1430,518.0,524
1991-01-28,1538,578.0,524
1991-01-29,1611,554.0,517
1991-01-30,1515,482.0,530
1991-01-31,1505,527.0,530
1991-02-01,1538,547.0,530
1991-02-02,1491,506.0,530
1991-02-03,1518,544.0,530
