DATE,AF,IN,QD
1990-01-01,4606,1210.0,1239
1990-01-02,4535,1316.0,1352
1990-01-03,4689,1329.0,1251
1990-01-04,4621,1236.0,1270
1990-01-05,4681,1149.0,1119
1990-01-06,4689,1337.0,1333
1990-01-07,4685,1299.0,1301
1990-01-08,4628,531.0,560
1990-01-09,4657,537.0,522
1990-01-10,4641,522.0,530
1990-01-11,4657,538.0,530
1990-01-12,4660,520.0,518
1990-01-13,4694,535.0,518
1990-01-14,4690,516.0,518
1990-01-15,4657,509.0,526
1990-01-16,4662,533.0,530
1990-01-17,4667,538.0,535
1990-01-18,4663,533.0,535
1990-01-19,4621,509.0,530
1990-01-20,4634,537.0,530
1990-01-21,4627,522.0,526
1990-01-22,4650,538.0,526
1990-01-23,4704,557.0,530
1990-01-24,4709,533.0,530
1990-01-25,4654,498.0,526
1990-01-26,4679,543.0,530
1990-01-27,4708,545.0,530
1990-01-28,4689,520.0,530
1990-01-29,4697,534.0,530
1990-01-30,4668,520.0,535
1990-01-31,4640,511.0,522
1990-02-01,4648,530.0,526
1990-02-02,4692,548.0,526
1990-02-03,4607,463.0,506
1990-02-04,4681,547.0,510
1990-02-05,4690,515.0,510
1990-02-06,4540,426.0,502
1990-02-07,4564,518.0,506
1990-02-08,4573,511.0,506
1990-02-09,4640,536.0,502
1990-02-10,4683,528.0,506
1990-02-11,4693,515.0,510
1990-02-12,4687,507.0,510
1990-02-13,4648,490.0,510
1990-02-14,4621,492.0,506
1990-02-15,4457,414.0,497
1990-02-16,4644,604.0,510
1990-02-17,4638,503.0,506
1990-02-18,4617,495.0,506
1990-02-19,4649,522.0,506
1990-02-20,4663,513.0,506
1990-02-21,4668,513.0,510
1990-02-22,4664,508.0,510
1990-02-23,4689,515.0,502
1990-02-24,4656,472.0,489
1990-02-25,4675,499.0,489
1990-02-26,4682,501.0,497
1990-02-27,4694,512.0,506
1990-02-28,4701,509.0,502
1990-03-01,4704,512.0,510
1990-03-02,4694,501.0,506
1990-03-03,4698,504.0,502
1990-03-04,4694,495.0,497
1990-03-05,4699,507.0,502
1990-03-06,4691,901.0,905
1990-03-07,4698,1459.0,1455
1990-03-08,4692,812.0,815
1990-03-09,4689,834.0,836
1990-03-10,4699,841.0,836
1990-03-11,4669,826.0,841
1990-03-12,4702,863.0,846
1990-03-13,4687,865.0,873
1990-03-14,4659,837.0,851
1990-03-15,4640,847.0,857
1990-03-16,4653,801.0,794
1990-03-17,4677,760.0,748
1990-03-18,4687,910.0,905
1990-03-19,4690,902.0,900
1990-03-20,4604,1081.0,1124
1990-03-21,4528,766.0,804
1990-03-22,4694,1373.0,1289
1990-03-23,4681,1232.0,1239
1990-03-24,4693,960.0,954
1990-03-25,4684,804.0,809
1990-03-26,4668,941.0,949
1990-03-27,4638,713.0,728
1990-03-28,4683,529.0,506
1990-03-29,4666,497.0,506
1990-03-30,4645,528.0,539
1990-03-31,4684,1242.0,1221
1990-04-01,4597,1496.0,1540
1990-04-02,4659,1333.0,1301
1990-04-03,4612,1235.0,1258
1990-04-04,4600,1423.0,1429
1990-04-05,4682,1268.0,1227
1990-04-06,4666,1647.0,1655
1990-04-07,4637,1394.0,1409
1990-04-08,4586,1588.0,1614
1990-04-09,4632,1577.0,1554
1990-04-10,4695,1694.0,1662
1990-04-11,4690,1784.0,1786
1990-04-12,4695,1685.0,1682
1990-04-13,4697,1615.0,1614
1990-04-14,4658,1649.0,1669
1990-04-15,4646,1468.0,1474
1990-04-16,4682,1660.0,1641
1990-04-17,4695,1455.0,1448
1990-04-18,4700,1199.0,1196
1990-04-19,4693,1618.0,1621
1990-04-20,4708,1502.0,1494
1990-04-21,4671,1489.0,1507
1990-04-22,4694,1402.0,1390
1990-04-23,4685,1516.0,1520
1990-04-24,4678,1537.0,1540
1990-04-25,4630,1321.0,1345
1990-04-26,4669,1378.0,1358
1990-04-27,4680,1593.0,1587
1990-04-28,4552,1462.0,1527
1990-04-29,4694,1803.0,1731
1990-04-30,4654,1697.0,1717
1990-05-01,4699,1590.0,1567
1990-05-02,4700,1581.0,1580
1990-05-03,4685,1487.0,1494
1990-05-04,4638,1431.0,1455
1990-05-05,4639,1203.0,1202
1990-05-06,4671,1061.0,1044
1990-05-07,4689,1368.0,1358
1990-05-08,4653,1610.0,1628
1990-05-09,4681,1014.0,999
1990-05-10,4683,901.0,900
1990-05-11,4670,964.0,971
1990-05-12,4680,1195.0,1190
1990-05-13,4666,1294.0,1301
1990-05-14,4666,826.0,825
1990-05-15,4649,892.0,900
1990-05-16,4595,949.0,976
1990-05-17,4672,1181.0,1142
1990-05-18,4695,1467.0,1455
1990-05-19,4680,1547.0,1554
1990-05-20,4647,1144.0,1160
1990-05-21,4522,1238.0,1301
1990-05-22,4617,1256.0,1208
1990-05-23,4579,1817.0,1836
1990-05-24,4556,1216.0,1227
1990-05-25,4646,1291.0,1245
1990-05-26,4565,1236.0,1276
1990-05-27,4632,1182.0,1148
1990-05-28,4644,1173.0,1166
1990-05-29,4680,1226.0,1208
1990-05-30,4694,1252.0,1245
1990-05-31,4694,1167.0,1166
1990-06-01,4688,1267.0,1270
1990-06-02,4690,1080.0,1078
1990-06-03,4689,916.0,916
1990-06-04,4679,1086.0,1090
1990-06-05,4613,477.0,510
1990-06-06,4681,549.0,514
1990-06-07,4685,521.0,518
1990-06-08,4636,490.0,514
1990-06-09,4671,533.0,514
1990-06-10,4606,478.0,510
1990-06-11,4679,551.0,514
1990-06-12,4680,515.0,514
1990-06-13,4560,450.0,510
1990-06-14,4563,516.0,514
1990-06-15,4570,514.0,510
1990-06-16,4553,506.0,514
1990-06-17,4495,468.0,497
1990-06-18,4570,540.0,502
1990-06-19,4592,509.0,497
1990-06-20,4630,517.0,497
1990-06-21,4687,522.0,493
1990-06-22,4577,442.0,497
1990-06-23,4608,510.0,493
1990-06-24,4638,513.0,497
1990-06-25,4668,509.0,493
1990-06-26,4661,486.0,489
1990-06-27,4634,480.0,493
1990-06-28,4576,486.0,514
1990-06-29,4621,542.0,518
1990-06-30,4664,541.0,518
1990-07-01,4646,518.0,526
1990-07-02,4640,536.0,539
1990-07-03,4663,573.0,560
1990-07-04,4621,497.0,518
1990-07-05,4612,502.0,506
1990-07-06,4696,549.0,506
1990-07-07,4702,510.0,506
1990-07-08,4699,505.0,506
1990-07-09,4685,507.0,514
1990-07-10,4671,515.0,522
1990-07-11,4643,504.0,518
1990-07-12,4686,536.0,514
1990-07-13,4620,481.0,514
