DATE,AF,IN,QD
1990-01-01,329712.0,1347,506
1990-01-02,331200.0,1335,579
1990-01-03,332958.0,1424,532
1990-01-04,334280.0,1259,587
1990-01-05,335605.0,1151,477
1990-01-06,337379.0,1434,534
1990-01-07,338981.0,1485,672
1990-01-08,339427.0,732,502
1990-01-09,339337.0,492,532
1990-01-10,339427.0,566,515
1990-01-11,339516.0,602,552
1990-01-12,339605.0,577,527
1990-01-13,339427.0,455,539
1990-01-14,339337.0,586,626
1990-01-15,339427.0,724,673
1990-01-16,339337.0,515,555
1990-01-17,339248.0,549,588
1990-01-18,339248.0,638,632
1990-01-19,339070.0,565,649
1990-01-20,338892.0,554,638
1990-01-21,338892.0,502,496
1990-01-22,339337.0,795,565
1990-01-23,339427.0,518,467
1990-01-24,339516.0,470,420
1990-01-25,339427.0,558,597
1990-01-26,339427.0,655,649
1990-01-27,339516.0,613,563
1990-01-28,339694.0,672,577
1990-01-29,339516.0,385,469
1990-01-30,340143.0,545,223
1990-01-31,340501.0,991,479
1990-02-01,341038.0,677,401
1990-02-02,340769.0,501,631
1990-02-03,340501.0,436,566
1990-02-04,340769.0,621,480
1990-02-05,341038.0,634,493
1990-02-06,340769.0,365,495
1990-02-07,341127.0,666,480
1990-02-08,340590.0,306,571
1990-02-09,340859.0,772,631
1990-02-10,340859.0,394,388
1990-02-11,341396.0,816,540
1990-02-12,341665.0,487,346
1990-02-13,341486.0,507,592
1990-02-14,341576.0,708,657
1990-02-15,341486.0,547,587
1990-02-16,341396.0,472,512
1990-02-17,341576.0,591,495
1990-02-18,341845.0,565,424
1990-02-19,342114.0,539,398
1990-02-20,342384.0,585,443
1990-02-21,342564.0,623,527
1990-02-22,342744.0,546,450
1990-02-23,343014.0,519,377
1990-02-24,343104.0,582,531
1990-02-25,343464.0,640,453
1990-02-26,343644.0,593,497
1990-02-27,343734.0,510,459
1990-02-28,343915.0,1011,604
1990-03-01,344186.0,585,443
1990-03-02,344366.0,576,480
1990-03-03,344637.0,699,557
1990-03-04,344908.0,633,491
1990-03-05,345089.0,1000,677
1990-03-06,346358.0,1245,600
1990-03-07,348451.0,1706,645
1990-03-08,349456.0,1004,492
1990-03-09,350005.0,774,492
1990-03-10,351565.0,1273,481
1990-03-11,352669.0,914,352
1990-03-12,353592.0,990,519
1990-03-13,354239.0,931,599
1990-03-14,355443.0,971,358
1990-03-15,356557.0,1062,495
1990-03-16,356930.0,645,451
1990-03-17,357675.0,824,443
1990-03-18,358328.0,910,575
1990-03-19,359357.0,1099,553
1990-03-20,360763.0,1308,536
1990-03-21,361515.0,973,535
1990-03-22,362457.0,1149,638
1990-03-23,364062.0,1337,522
1990-03-24,365009.0,960,477
1990-03-25,365768.0,1018,630
1990-03-26,366053.0,1037,888
1990-03-27,366148.0,985,893
1990-03-28,365578.0,651,933
1990-03-29,365104.0,620,853
1990-03-30,364725.0,748,934
1990-03-31,365199.0,1270,917
1990-04-01,366909.0,1709,841
1990-04-02,368053.0,1531,870
1990-04-03,369296.0,1650,964
1990-04-04,370350.0,1530,945
1990-04-05,371407.0,1530,991
1990-04-06,373334.0,1934,920
1990-04-07,374494.0,1512,921
1990-04-08,376143.0,1760,923
1990-04-09,377992.0,1896,961
1990-04-10,379555.0,1733,913
1990-04-11,381615.0,1989,907
1990-04-12,383979.0,2145,918
1990-04-13,386057.0,2007,948
1990-04-14,387945.0,1851,870
1990-04-15,389442.0,1716,926
1990-04-16,391045.0,1810,916
1990-04-17,392957.0,1800,803
1990-04-18,393259.0,1173,967
1990-04-19,395689.0,2126,847
1990-04-20,396909.0,1579,913
1990-04-21,398847.0,1720,707
1990-04-22,400487.0,1624,755
1990-04-23,402649.0,1944,702
1990-04-24,404718.0,2216,1115
1990-04-25,406485.0,1961,1052
1990-04-26,408258.0,1708,808
1990-04-27,409305.0,1708,1131
1990-04-28,410039.0,1791,1396
1990-04-29,413305.0,1720,43
1990-04-30,416276.0,1829,272
1990-05-01,418196.0,1791,785
1990-05-02,420123.0,1677,648
1990-05-03,422814.0,1844,396
1990-05-04,424870.0,1647,566
1990-05-05,426173.0,1580,875
1990-05-06,427152.0,1234,657
1990-05-07,429446.0,1356,87
1990-05-08,432410.0,2216,676
1990-05-09,431860.0,962,1239
1990-05-10,432300.0,1288,1024
1990-05-11,433954.0,975,79
1990-05-12,435725.0,1426,497
1990-05-13,438059.0,1561,306
1990-05-14,438617.0,1180,853
1990-05-15,437169.0,820,1481
1990-05-16,436169.0,1064,1490
1990-05-17,435947.0,1480,1514
1990-05-18,436169.0,1710,1503
1990-05-19,436835.0,1867,1472
1990-05-20,436280.0,1274,1492
1990-05-21,435947.0,1446,1500
1990-05-22,435725.0,1344,1384
1990-05-23,438728.0,2541,938
1990-05-24,437948.0,1033,1285
1990-05-25,438840.0,1350,759
1990-05-26,438840.0,1020,925
1990-05-27,439845.0,1684,1098
1990-05-28,439510.0,1388,1438
1990-05-29,439845.0,1511,1286
1990-05-30,440292.0,1885,1607
1990-05-31,439398.0,853,1198
1990-06-01,439621.0,1492,1304
1990-06-02,439398.0,1235,1285
1990-06-03,438171.0,865,1395
1990-06-04,437948.0,1404,1369
1990-06-05,436502.0,805,1367
1990-06-06,434728.0,571,1361
1990-06-07,432961.0,640,1411
1990-06-08,431420.0,728,1366
1990-06-09,429555.0,589,1410
1990-06-10,427588.0,441,1288
1990-06-11,426390.0,949,1466
1990-06-12,424545.0,563,1410
1990-06-13,422706.0,493,1363
1990-06-14,421198.0,716,1400
1990-06-15,419480.0,626,1397
1990-06-16,418409.0,970,1422
1990-06-17,416702.0,619,1386
1990-06-18,414788.0,606,1446
1990-06-19,413517.0,900,1401
1990-06-20,412355.0,925,1384
1990-06-21,410249.0,405,1355
1990-06-22,408572.0,631,1403
1990-06-23,407214.0,792,1348
1990-06-24,405756.0,686,1274
1990-06-25,404200.0,689,1336
1990-06-26,402752.0,742,1363
1990-06-27,401515.0,829,1295
1990-06-28,399974.0,677,1309
1990-06-29,398234.0,687,1429
1990-06-30,396705.0,792,1389
1990-07-01,394877.0,590,1398
1990-07-02,393259.0,730,1424
1990-07-03,391648.0,467,1181
1990-07-04,390443.0,825,1350
1990-07-05,388344.0,511,1452
1990-07-06,386951.0,752,1287
1990-07-07,385066.0,466,1288
1990-07-08,383781.0,588,1166
1990-07-09,382697.0,606,1092
1990-07-10,381713.0,701,1125
1990-07-11,379262.0,567,1707
1990-07-12,374785.0,557,2703
1990-07-13,371503.0,553,2089
1990-07-14,368627.0,769,2124
1990-07-15,365578.0,477,1911
1990-07-16,362457.0,629,2116
1990-07-17,359637.0,757,2066
1990-07-18,356464.0,612,2102
1990-07-19,353499.0,486,1899
1990-07-20,351197.0,1126,2216
1990-07-21,348269.0,479,1923
1990-07-22,346903.0,655,1309
1990-07-23,344186.0,643,1952
1990-07-24,340859.0,576,2148
1990-07-25,337379.0,651,2314
1990-07-26,335783.0,738,1431
1990-07-27,332254.0,697,2355
1990-07-28,329275.0,1279,2719
1990-07-29,326663.0,1575,2779
1990-07-30,324583.0,1825,2808
1990-07-31,321912.0,1523,2799
1990-08-01,319512.0,1601,2758
1990-08-02,317125.0,1670,2808
1990-08-03,314751.0,1711,2821
1990-08-04,312054.0,1534,2802
1990-08-05,309123.0,1390,2811
1990-08-06,305632.0,1350,3029
1990-08-07,300859.0,1488,3805
1990-08-08,296870.0,1871,3791
1990-08-09,292439.0,1646,3798
1990-08-10,288930.0,2083,3766
1990-08-11,283883.0,1083,3577
1990-08-12,280996.0,2159,3562
1990-08-13,277823.0,1857,3411
1990-08-14,274143.0,1728,3518
1990-08-15,270954.0,1845,3373
1990-08-16,267495.0,1719,3384
1990-08-17,263848.0,1583,3365
1990-08-18,259363.0,1180,3402
1990-08-19,256378.0,2107,3552
1990-08-20,252121.0,1646,3722
1990-08-21,247339.0,1527,3865
1990-08-22,242893.0,1773,3948
1990-08-23,238356.0,1692,3912
1990-08-24,235038.0,1476,3078
1990-08-25,232637.0,1570,2690
1990-08-26,230047.0,1428,2640
1990-08-27,228556.0,1685,2347
1990-08-28,228556.0,1805,1727
1990-08-29,228962.0,1757,1492
1990-08-30,229369.0,2006,1727
1990-08-31,230795.0,2131,1358
1990-09-01,233459.0,1931,535
1990-09-02,235245.0,2031,1100
1990-09-03,235589.0,1336,1096
1990-09-04,236417.0,1690,1212
1990-09-05,236003.0,1061,1191
1990-09-06,236417.0,673,420
1990-09-07,236693.0,607,411
1990-09-08,237247.0,618,278
1990-09-09,236970.0,553,630
1990-09-10,237247.0,584,373
1990-09-11,236693.0,499,719
1990-09-12,234901.0,623,1458
1990-09-13,233390.0,502,1189
1990-09-14,233733.0,539,302
1990-09-15,233322.0,359,528
1990-09-16,233733.0,746,452
1990-09-17,233527.0,589,636
1990-09-18,233733.0,971,831
1990-09-19,232295.0,297,955
1990-09-20,231817.0,605,834
1990-09-21,231681.0,492,540
1990-09-22,231272.0,489,665
1990-09-23,230999.0,562,666
1990-09-24,230387.0,504,761
1990-09-25,229301.0,442,938
1990-09-26,228556.0,663,987
1990-09-27,228218.0,525,658
1990-09-28,228015.0,538,609
1990-09-29,227880.0,561,595
1990-09-30,227610.0,463,565
1990-10-01,228421.0,475,12
1990-10-02,229301.0,533,6
1990-10-03,230455.0,685,55
1990-10-04,231136.0,473,70
1990-10-05,231613.0,394,75
1990-10-06,232842.0,757,87
1990-10-07,233802.0,601,103
1990-10-08,234901.0,668,104
1990-10-09,236003.0,682,122
1990-10-10,236832.0,588,129
1990-10-11,237870.0,555,9
1990-10-12,238842.0,543,22
1990-10-13,239676.0,452,27
1990-10-14,240443.0,430,39
1990-10-15,241491.0,706,44
1990-10-16,242261.0,437,9
1990-10-17,243525.0,664,8
1990-10-18,244651.0,635,22
1990-10-19,245781.0,641,34
1990-10-20,246701.0,511,43
1990-10-21,248121.0,767,47
1990-10-22,248050.0,237,235
1990-10-23,247836.0,362,453
1990-10-24,248405.0,622,323
1990-10-25,247410.0,27,509
1990-10-26,247268.0,111,126
1990-10-27,247268.0,580,575
1990-10-28,246985.0,501,639
1990-10-29,247126.0,729,556
1990-10-30,247197.0,675,593
1990-10-31,246843.0,475,612
1990-11-01,246843.0,630,597
1990-11-02,247978.0,1152,575
1990-11-03,248121.0,604,527
1990-11-04,248405.0,734,586
1990-11-05,248050.0,467,641
1990-11-06,248050.0,525,520
1990-11-07,248050.0,561,556
1990-11-08,248050.0,493,488
1990-11-09,248192.0,613,537
1990-11-10,248192.0,526,521
1990-11-11,248405.0,630,518
1990-11-12,248690.0,707,559
1990-11-13,248405.0,418,551
1990-11-14,248476.0,637,561
1990-11-15,248263.0,507,583
1990-11-16,249616.0,726,39
1990-11-17,250045.0,568,347
1990-11-18,250617.0,779,486
1990-11-19,250545.0,643,597
1990-11-20,251189.0,859,511
1990-11-21,250545.0,325,645
1990-11-22,250617.0,438,397
1990-11-23,249973.0,516,836
1990-11-24,250259.0,630,481
1990-11-25,250045.0,463,566
1990-11-26,250331.0,711,562
1990-11-27,250259.0,556,588
1990-11-28,250331.0,742,701
1990-11-29,250045.0,445,585
1990-11-30,249902.0,695,570
1990-12-01,249831.0,555,586
1990-12-02,250116.0,743,595
1990-12-03,250045.0,528,559
1990-12-04,250402.0,639,454
1990-12-05,250116.0,377,517
1990-12-06,250188.0,547,506
1990-12-07,250116.0,528,560
1990-12-08,250402.0,620,471
1990-12-09,250331.0,448,479
1990-12-10,250688.0,691,506
1990-12-11,250545.0,340,408
1990-12-12,251046.0,451,194
1990-12-13,251333.0,647,498
1990-12-14,251476.0,531,454
1990-12-15,251619.0,479,402
1990-12-16,251189.0,340,552
1990-12-17,251189.0,521,516
1990-12-18,251046.0,427,495
1990-12-19,251118.0,626,585
1990-12-20,250617.0,426,674
1990-12-21,250974.0,565,380
1990-12-22,250760.0,409,512
1990-12-23,250974.0,609,497
1990-12-24,250617.0,339,514
1990-12-25,250903.0,603,454
1990-12-26,250831.0,566,598
1990-12-27,250760.0,421,452
1990-12-28,250545.0,512,616
1990-12-29,250402.0,485,553
1990-12-30,250188.0,322,425
1990-12-31,250116.0,539,571
1991-01-01,250116.0,582,577
1991-01-02,250116.0,751,549
1991-01-03,249831.0,495,634
1991-01-04,250045.0,558,446
1991-01-05,250474.0,744,523
1991-01-06,250831.0,827,642
1991-01-07,251189.0,879,694
1991-01-08,251261.0,728,687
1991-01-09,251763.0,914,656
1991-01-10,252337.0,809,515
1991-01-11,252984.0,932,601
1991-01-12,253992.0,1184,671
1991-01-13,255654.0,1012,170
1991-01-14,256523.0,997,554
1991-01-15,257249.0,1087,716
1991-01-16,258632.0,1281,579
1991-01-17,259290.0,975,639
1991-01-18,259509.0,844,729
1991-01-19,260460.0,878,394
1991-01-20,261341.0,868,419
1991-01-21,262076.0,829,454
1991-01-22,262666.0,755,453
1991-01-23,264070.0,1369,657
1991-01-24,265480.0,1055,340
1991-01-25,266822.0,1206,525
1991-01-26,267420.0,882,576
1991-01-27,268019.0,838,531
1991-01-28,268544.0,815,546
1991-01-29,269070.0,780,510
1991-01-30,269671.0,678,370
1991-01-31,269973.0,843,600
1991-02-01,270954.0,968,469
1991-02-02,271483.0,904,633
1991-02-03,271938.0,757,523
1991-02-04,272925.0,935,433
1991-02-05,273685.0,1008,620
1991-02-06,274067.0,738,541
1991-02-07,274601.0,672,398
1991-02-08,275059.0,828,593
1991-02-09,275825.0,706,315
1991-02-10,276285.0,703,467
1991-02-11,277053.0,853,461
1991-02-12,277207.0,772,690
1991-02-13,277591.0,712,514
1991-02-14,278054.0,679,441
1991-02-15,278131.0,734,691
1991-02-16,278748.0,813,497
1991-02-17,279367.0,931,614
1991-02-18,279754.0,829,629
1991-02-19,280918.0,843,252
1991-02-20,281540.0,685,367
1991-02-21,282319.0,827,430
1991-02-22,282788.0,665,424
1991-02-23,283883.0,904,347
1991-02-24,284196.0,821,659
1991-02-25,284824.0,828,507
1991-02-26,285453.0,902,580
1991-02-27,286083.0,748,426
1991-02-28,286635.0,1182,597
1991-03-01,287108.0,725,482
1991-03-02,287820.0,861,497
1991-03-03,288613.0,918,513
1991-03-04,289486.0,1091,590
1991-03-05,290521.0,803,276
1991-03-06,290840.0,727,561
1991-03-07,291000.0,615,529
1991-03-08,291079.0,602,557
1991-03-09,291000.0,528,563
1991-03-10,291399.0,737,531
1991-03-11,292039.0,969,474
1991-03-12,292519.0,721,474
1991-03-13,292840.0,604,437
1991-03-14,293080.0,675,549
1991-03-15,293321.0,684,557
1991-03-16,293803.0,531,283
1991-03-17,294688.0,615,164
1991-03-18,294125.0,602,881
1991-03-19,294688.0,772,483
1991-03-20,294608.0,567,593
1991-03-21,294769.0,607,521
1991-03-22,295091.0,764,552
1991-03-23,294769.0,495,652
1991-03-24,293964.0,586,987
1991-03-25,293080.0,667,1013
1991-03-26,292519.0,631,909
1991-03-27,292039.0,766,912
1991-03-28,291159.0,551,990
1991-03-29,290920.0,845,919
1991-03-30,290202.0,602,945
1991-03-31,289327.0,622,1047
1991-04-01,289089.0,887,990
1991-04-02,289327.0,1178,1018
1991-04-03,289566.0,1187,1027
1991-04-04,289884.0,1140,935
1991-04-05,289327.0,1337,1548
1991-04-06,287029.0,880,2034
1991-04-07,285138.0,986,1935
1991-04-08,283022.0,940,2002
1991-04-09,281229.0,1077,1976
1991-04-10,279599.0,1358,1980
1991-04-11,278594.0,1207,1709
1991-04-12,278131.0,1336,1565
1991-04-13,278440.0,1207,1047
1991-04-14,279367.0,1328,856
1991-04-15,278440.0,1190,1653
1991-04-16,278362.0,1525,1560
1991-04-17,277823.0,1061,1328
1991-04-18,279290.0,1675,892
1991-04-19,281073.0,1743,837
1991-04-20,282319.0,1544,911
1991-04-21,281618.0,1392,1741
1991-04-22,281774.0,1740,1577
1991-04-23,281930.0,1476,1363
1991-04-24,282397.0,1238,948
1991-04-25,281852.0,1363,1583
1991-04-26,282476.0,1787,1450
1991-04-27,282163.0,1372,1525
1991-04-28,282710.0,1496,1216
1991-04-29,282319.0,1633,1784
1991-04-30,282241.0,1681,1693
1991-05-01,282554.0,1670,1490
1991-05-02,282319.0,1657,1713
1991-05-03,282788.0,1791,1529
1991-05-04,284275.0,1691,919
1991-05-05,286319.0,1615,566
1991-05-06,286004.0,1183,1295
1991-05-07,287583.0,1348,529
1991-05-08,287820.0,1153,1010
1991-05-09,287583.0,1341,1381
1991-05-10,288692.0,1394,795
1991-05-11,288692.0,1229,1194
1991-05-12,289725.0,1257,701
1991-05-13,290043.0,1136,889
1991-05-14,290521.0,1289,978
1991-05-15,292199.0,1968,1063
1991-05-16,293161.0,1926,1379
1991-05-17,294769.0,1606,793
1991-05-18,296303.0,1791,958
1991-05-19,297275.0,1423,847
1991-05-20,297194.0,1339,1301
1991-05-21,298168.0,1611,1041
1991-05-22,298982.0,1486,1023
1991-05-23,299715.0,1673,1287
1991-05-24,300123.0,1616,1379
1991-05-25,301268.0,1528,943
1991-05-26,302088.0,1525,1036
1991-05-27,302992.0,1850,1237
1991-05-28,304888.0,2464,1464
1991-05-29,305880.0,1645,1089
1991-05-30,305880.0,1212,1159
1991-05-31,306792.0,1840,1351
1991-06-01,308705.0,2120,1143
1991-06-02,310711.0,2109,1098
1991-06-03,312895.0,2367,1222
1991-06-04,316106.0,2618,984
1991-06-05,318402.0,1452,214
1991-06-06,321225.0,2390,909
1991-06-07,324065.0,1893,431
1991-06-08,325622.0,1638,789
1991-06-09,328228.0,1572,187
1991-06-10,329974.0,1765,808
1991-06-11,331025.0,1558,954
1991-06-12,331990.0,1507,915
1991-06-13,332606.0,988,582
1991-06-14,333486.0,1105,578
1991-06-15,334986.0,1116,310
1991-06-16,336314.0,1035,287
1991-06-17,336935.0,956,536
1991-06-18,337468.0,1194,807
1991-06-19,338090.0,1001,609
1991-06-20,338268.0,946,746
1991-06-21,338892.0,1080,663
1991-06-22,339337.0,737,428
1991-06-23,339875.0,791,438
1991-06-24,339694.0,760,754
1991-06-25,339605.0,784,693
1991-06-26,338981.0,769,958
1991-06-27,339694.0,1072,600
1991-06-28,338624.0,918,1287
1991-06-29,337912.0,891,1153
1991-06-30,336935.0,791,1164
1991-07-01,336580.0,1110,1172
1991-07-02,335783.0,1189,1495
1991-07-03,335340.0,1096,1231
1991-07-04,335075.0,1265,1342
1991-07-05,333927.0,972,1424
1991-07-06,333310.0,963,1165
1991-07-07,332430.0,1062,1374
1991-07-08,331113.0,837,1421
1991-07-09,331288.0,1272,1114
1991-07-10,331551.0,1436,1249
1991-07-11,331464.0,1910,1864
1991-07-12,331464.0,2139,2043
1991-07-13,332870.0,2828,2028
1991-07-14,334191.0,2838,2063
1991-07-15,335783.0,2953,2025
1991-07-16,335871.0,2202,2061
1991-07-17,336314.0,2399,2076
1991-07-18,336137.0,2094,2045
1991-07-19,336225.0,2219,2112
1991-07-20,336048.0,2074,2080
1991-07-21,336580.0,2311,1941
1991-07-22,336580.0,2191,2076
1991-07-23,336403.0,1979,2053
1991-07-24,336225.0,2127,2154
1991-07-25,336225.0,2206,2159
1991-07-26,336580.0,2371,2114
1991-07-27,336491.0,2130,2097
1991-07-28,336580.0,2239,2113
1991-07-29,336669.0,2291,2147
1991-07-30,336048.0,2042,2246
1991-07-31,336491.0,2570,2240
1991-08-01,336137.0,2156,2228
1991-08-02,335960.0,2138,2162
1991-08-03,336048.0,2280,2142
1991-08-04,335694.0,2010,2116
1991-08-05,335605.0,2113,2090
1991-08-06,335783.0,2119,1925
1991-08-07,335605.0,2131,2140
1991-08-08,335694.0,1974,1859
1991-08-09,336314.0,2171,1780
1991-08-10,337113.0,2443,1933
1991-08-11,337823.0,2282,1825
1991-08-12,338713.0,2544,2030
1991-08-13,339427.0,2425,2021
1991-08-14,339875.0,2242,1959
1991-08-15,339784.0,2388,2355
1991-08-16,340232.0,2562,2252
1991-08-17,340232.0,2208,2151
1991-08-18,340411.0,2350,2181
1991-08-19,339605.0,1998,2326
1991-08-20,338624.0,2362,2754
1991-08-21,338001.0,2247,2506
1991-08-22,336846.0,2120,2614
1991-08-23,335075.0,2274,3079
1991-08-24,333134.0,2188,3068
