DATE,AF,IN,QD,QRD,QSD
1990-01-01,25133.299,12.514,15.0,15.0,0
1990-01-02,25128.121,12.39,15.0,15.0,0
1990-01-03,25123.189,12.514,15.0,15.0,0
1990-01-04,25113.08,7.293,15.0,15.0,0
1990-01-05,25102.971,12.514,15.0,15.0,0
1990-01-06,25097.791,12.389,15.0,15.0,0
1990-01-07,25092.859,12.514,15.0,15.0,0
1990-01-08,25092.859,15.0,15.0,15.0,0
1990-01-09,25082.75,9.903,15.0,15.0,0
1990-01-10,25087.682,17.486,15.0,15.0,0
1990-01-11,25067.709,4.93,15.0,15.0,0
1990-01-12,25047.488,4.805,15.0,15.0,0
1990-01-13,25042.311,12.39,15.0,15.0,0
1990-01-14,25042.311,15.0,15.0,15.0,0
1990-01-15,25042.311,15.0,15.0,15.0,0
1990-01-16,25037.379,12.514,15.0,15.0,0
1990-01-17,25017.16,4.806,15.0,15.0,0
1990-01-18,25001.871,7.292,15.0,15.0,0
1990-01-19,24991.762,9.903,15.0,15.0,0
1990-01-20,24986.83,12.514,15.0,15.0,0
1990-01-21,24976.721,9.903,15.0,15.0,0
1990-01-22,24976.721,15.0,15.0,15.0,0
1990-01-23,24971.541,12.389,15.0,15.0,0
1990-01-24,24966.609,12.514,15.0,15.0,0
1990-01-25,24961.432,12.39,15.0,15.0,0
1990-01-26,24951.568,10.027,15.0,15.0,0
1990-01-27,24941.459,9.903,15.0,15.0,0
1990-01-28,24926.17,7.292,15.0,15.0,0
1990-01-29,24916.061,9.903,15.0,15.0,0
1990-01-30,24905.951,9.903,15.0,15.0,0
1990-01-31,24905.951,15.0,15.0,15.0,0
1990-02-01,24885.73,4.805,15.0,15.0,0
1990-02-02,24875.621,9.903,15.0,15.0,0
1990-02-03,24865.512,9.903,15.0,15.0,0
1990-02-04,24860.58,12.514,15.0,15.0,0
1990-02-05,24855.402,12.39,15.0,15.0,0
1990-02-06,24845.291,9.902,15.0,15.0,0
1990-02-07,24835.182,9.903,15.0,15.0,0
1990-02-08,24825.318,10.027,15.0,15.0,0
1990-02-09,24810.031,7.293,15.0,15.0,0
1990-02-10,24810.031,15.0,15.0,15.0,0
1990-02-11,24810.031,15.0,15.0,15.0,0
1990-02-12,24794.988,7.416,15.0,15.0,0
1990-02-13,24805.1,20.098,15.0,15.0,0
1990-02-14,24794.988,9.902,15.0,15.0,0
1990-02-15,24794.988,15.0,15.0,15.0,0
1990-02-16,24789.811,12.39,15.0,15.0,0
1990-02-17,24784.879,12.514,15.0,15.0,0
1990-02-18,24774.77,9.903,15.0,15.0,0
1990-02-19,24769.592,12.39,15.0,15.0,0
1990-02-20,24769.592,15.0,15.0,15.0,0
1990-02-21,24764.66,12.514,15.0,15.0,0
1990-02-22,24774.77,20.097,15.0,15.0,0
1990-02-23,24769.592,12.39,15.0,15.0,0
1990-02-24,24769.592,15.0,15.0,15.0,0
1990-02-25,24769.592,15.0,15.0,15.0,0
1990-02-26,24769.592,15.0,15.0,15.0,0
1990-02-27,24769.592,15.0,15.0,15.0,0
1990-02-28,24769.592,15.0,15.0,15.0,0
1990-03-01,24769.592,15.0,15.0,15.0,0
1990-03-02,24774.77,17.61,15.0,15.0,0
1990-03-03,24769.592,12.39,15.0,15.0,0
1990-03-04,24769.592,15.0,15.0,15.0,0
1990-03-05,24784.881,19.208,11.5,11.5,0
1990-03-06,24815.209,26.79,11.5,11.5,0
1990-03-07,24825.318,16.597,11.5,11.5,0
1990-03-08,24850.471,24.181,11.5,11.5,0
1990-03-09,24855.402,13.986,11.5,11.5,0
1990-03-10,24895.842,31.888,11.5,11.5,0
1990-03-11,24931.35,29.402,11.5,11.5,0
1990-03-12,24971.541,31.763,11.5,11.5,0
1990-03-13,25001.871,26.791,11.5,11.5,0
1990-03-14,25037.379,29.402,11.5,11.5,0
1990-03-15,25072.641,29.52,11.742,11.742,0
1990-03-16,25077.818,14.11,11.5,11.5,0
