DATE,AF,IN,QD
1990-01-01,29989.062,4.64,0.0
1990-01-02,29998.268,4.641,0.0
1990-01-03,30007.471,4.64,0.0
1990-01-04,30016.676,4.641,0.0
1990-01-05,30025.879,4.64,0.0
1990-01-06,30035.084,4.641,0.0
1990-01-07,30044.287,4.64,0.0
1990-01-08,30053.492,4.641,0.0
1990-01-09,30062.695,4.64,0.0
1990-01-10,30071.9,4.641,0.0
1990-01-11,30081.104,4.64,0.0
1990-01-12,30090.309,4.641,0.0
1990-01-13,30099.512,4.64,0.0
1990-01-14,30108.717,4.641,0.0
1990-01-15,30117.92,4.64,0.0
1990-01-16,30127.125,4.641,0.0
1990-01-17,30136.328,4.64,0.0
1990-01-18,30146.24,4.997,0.0
1990-01-19,30155.445,4.641,0.0
1990-01-20,30165.357,4.997,0.0
1990-01-21,30174.561,4.64,0.0
1990-01-22,30184.473,4.997,0.0
1990-01-23,30193.678,4.641,0.0
1990-01-24,30203.59,4.997,0.0
1990-01-25,30212.793,4.64,0.0
1990-01-26,30222.705,4.997,0.0
1990-01-27,30231.91,4.641,0.0
1990-01-28,30241.822,4.997,0.0
1990-01-29,30251.025,4.64,0.0
1990-01-30,30260.938,4.997,0.0
1990-01-31,30270.143,4.641,0.0
1990-02-01,30280.762,5.354,0.0
1990-02-02,30291.383,5.355,0.0
1990-02-03,30302.002,5.354,0.0
1990-02-04,30312.623,5.355,0.0
1990-02-05,30323.242,5.354,0.0
1990-02-06,30333.863,5.355,0.0
1990-02-07,30344.482,5.354,0.0
1990-02-08,30354.395,4.997,0.0
1990-02-09,30365.016,5.355,0.0
1990-02-10,30374.928,4.997,0.0
1990-02-11,30385.547,5.354,0.0
1990-02-12,30395.459,4.997,0.0
1990-02-13,30406.08,5.355,0.0
1990-02-14,30415.992,4.997,0.0
1990-02-15,30426.611,5.354,0.0
1990-02-16,30436.523,4.997,0.0
1990-02-17,30447.145,5.355,0.0
1990-02-18,30457.057,4.997,0.0
1990-02-19,30467.676,5.354,0.0
1990-02-20,30477.588,4.997,0.0
1990-02-21,30488.209,5.355,0.0
1990-02-22,30498.121,4.997,0.0
1990-02-23,30508.74,5.354,0.0
1990-02-24,30518.652,4.997,0.0
1990-02-25,30529.273,5.355,0.0
1990-02-26,30539.186,4.997,0.0
1990-02-27,30549.805,5.354,0.0
1990-02-28,30559.717,4.997,0.0
1990-03-01,30574.586,7.497,0.0
1990-03-02,30588.746,7.139,0.0
