ID,Name,Latitude,Longitude,Agency
AGR,"ANGOSTURA RESERVOIR (CHEYENNE RIVER BLW DAM), SD",43.3433,-103.4383,USBR Data
ALCR,"ALCOVA RESERVOIR, WYOMING",42.5489,-106.7206,USBR Data
ALTUS,"ALTUS DAM, OKLAHOMA",34.8875,-99.2964,USGS Data
ANCR,"ANCHOR RESERVOIR, SOUTH FORK OWL CREEK, WYOMING",43.6639,-108.8242,USBR Data
ARBUCK,"ARBUCKLE DAM (LAKE OF THE ARBUCKLES), OKLAHOMA",34.4306,-97.0306,Army Corps Data
ARNE,"LAKE ALICE RESERVOIR ELEVATION, NEBRASKA",41.9867,-103.6322,USBR Data
AUDL,"AUDUBON LAKE, NORTH DAKOTA",47.6114,-101.2656,USBR Data
BBNE,"BOX BUTTE DAM, NEBRASKA",42.4583,-103.0667,USBR Data
BBR,"BUFFALO BILL RESERVOIR ON SHOSHONE RIVER, WYOMING",44.5014,-109.1833,USBR Data
BBRNFD,"BUFFALO BILL RESERVOIR - NORTH FORK DIKE, WYOMING",44.4917,-109.2917,USBR Data
BBRSFD,"BUFFALO BILL RESERVOIR - SOUTH FORK DIKE, WYOMING",44.4425,-109.2125,USBR Data
BEVR,"BEAVER CREEK RESERVOIR NEAR HAVRE, MONTANA",48.4159,-108.7312,USBR Data
BFR,"BELLE FOURCHE RESERVOIR NR BELLE FOURCHE, S. DAKOTA",44.7367,-103.6742,USBR Data
BHR,"BIGHORN LAKE, MONTANA",45.3072,-107.9569,USBR Data
BHSX,"BIGHORN RIVER AND BIA CANAL NEAR ST. XAVIER, MONTANA",45.3167,-107.9181,USBR Data
BHWQ,YELLOWTAIL AFTERBAY WATER QUALITY,45.3167,-107.9181,USBR Data
BLR,"BULL LAKE RESERVOIR ON BULL LAKE CREEK, WYOMING",43.2097,-109.0417,USBR Data
BONC,"BONNY RESERVOIR, COLORADO",39.6233,-102.1733,USBR Data
BOYR,"BOYSEN RESERVOIR, THERMOPOLIS, WYOMING",43.4,-108.1769,USBR Data
BTPPFBCO,"BIG THOMPSON POWER PLANT FOREBAY, CO",40.4206,-105.2256,USBR Data
CANE,"CALAMUS RESERVOIR (VIRGINIA SMITH DAM), NEBRASKA",41.8272,-99.2197,USBR Data
CARTERCO,"CARTER LAKE RESERVOIR NEAR LOVELAND, CO",40.3242,-105.2119,USBR Data
CBKS,"CEDAR BLUFF RESERVOIR NR ELLIS, KANSAS",38.79,-99.7203,USGS Data
CCDT,"CHOKE CANYON RESERVOIR NEAR THREE RIVERS, TEXAS",28.4864,-98.245,USBR Data
CCKS,"CAWKER CITY DIKE, KANSAS",39.4989,-98.4406,USBR Data
CCR,"CLARK CANYON RESERVOIR, BEAVERHEAD RVR NR DILLON, MT",45.0017,-112.8575,USBR Data
CFR,"CANYON FERRY LAKE NEAR HELENA, MONTANA",46.6492,-111.7275,USBR Data
CFRSAT,"CANYON FERRY LAKE NEAR HELENA, MONTANA",46.6492,-111.7275,USBR Data
CHENEY,"CHENEY DAM, KANSAS",37.7261,-97.7939,Army Corps Data
CHMBRSCO,"CHAMBERS LAKE, CO",40.6033,-105.8514,USBR Data
COBB,"FORT COBB DAM, OKLAHOMA",35.1578,-98.4564,Army Corps Data
DANE,"DAVIS CREEK DAM, NEBRASKA",41.4047,-98.7078,USBR Data
DFR,"DEERFIELD RESERVOIR, SOUTH DAKOTA",44.0281,-103.7858,USBR Data
EAPR,"E.A. PATTERSON LAKE (DICKINSON), NORTH DAKOTA",46.8697,-102.8269,USBR Data
EDNE,"ENDERS DAM AND DIKE, NEBRASKA",40.4217,-101.5175,USBR Data
ESTESR,"LAKE ESTES RESERVOIR, CO (SCADA)",40.375,-105.4883,USBR Data
FLARESCO,"FLATIRON RESERVOIR, LOVELAND, CO",40.365,-105.2361,USBR Data
FLATIRCO,"FLATIRON RESERVOIR OUTFLOW, CO (SCADA)",40.3683,-105.2217,USBR Data
FLTIRNR,"FLATIRON RESERVOIR, CO (SCADA)",40.3683,-105.2217,USBR Data
FOSS,"FOSS DAM, OKLAHOMA",35.5383,-99.1778,USGS Data
FRR,"FRESNO RESERVOIR NEAR HAVRE, MONTANA",48.6083,-109.9458,USBR Data
GDWY,"GRAY REEF DAM, WYOMING",42.5656,-106.6989,USBR Data
GIBR,"GIBSON RESERVOIR, MONTANA",47.6008,-112.7617,USBR Data
GL6SSWCO,"GRAND LAKE 6SSW, CO",40.2367,-105.8031,USBR Data
GLARESCO,"GRAND LAKE, COLORADO",40.2417,-105.8022,USBR Data
GLER,"GLENDO RESERVOIR, WYOMING",42.4772,-104.9506,USBR Data
GMTR,"GREEN MOUNTAIN RESERVOIR, CO (SCADA)",39.8783,-106.3292,USBR Data
GRANBYR,"GRANBY RESERVOIR, CO (SCADA)",40.1819,-105.8706,USBR Data
GRANDR,"GRAND LAKE, CO (SCADA)",40.2367,-105.8031,USBR Data
GRAR,"GRAY REEF RESERVOIR, WY (SCADA)",42.5633,-106.6967,USBR Data
GRARESCO,"LAKE GRANBY NEAR GRANBY, COLORADO",40.1819,-105.8711,USBR Data
GRERESCO,"GREEN MOUNTAIN RESERVOIR, SUMMIT COUNTY, CO",39.8789,-106.3133,USBR Data
GRGLSMCO,"Natural Inflow Granby, Grand Lake, Shadow Mountain",0,0,USBR Data
GRL1NWCO,"GRAND LAKE 1NW, CO",40.2367,-105.8031,USBR Data
