# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06115200 Missouri River near Landusky MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06115200
#            TS   parameter     statistic     Description
#         81104       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81104_00060_00003	81104_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06115200	2010-01-01	7010	A:e
USGS	06115200	2010-01-02	6690	A:e
USGS	06115200	2010-01-03	6400	A:e
USGS	06115200	2010-01-04	6910	A:e
USGS	06115200	2010-01-05	7000	A:e
USGS	06115200	2010-01-06	7100	A:e
USGS	06115200	2010-01-07	6590	A:e
USGS	06115200	2010-01-08	6200	A:e
USGS	06115200	2010-01-09	5800	A:e
USGS	06115200	2010-01-10	6100	A:e
USGS	06115200	2010-01-11	6800	A:e
USGS	06115200	2010-01-12	7300	A:e
USGS	06115200	2010-01-13	7500	A:e
USGS	06115200	2010-01-14	7800	A:e
USGS	06115200	2010-01-15	7290	A:e
USGS	06115200	2010-01-16	6800	A:e
USGS	06115200	2010-01-17	6590	A:e
USGS	06115200	2010-01-18	6700	A:e
USGS	06115200	2010-01-19	6590	A:e
USGS	06115200	2010-01-20	6480	A:e
USGS	06115200	2010-01-21	6500	A:e
USGS	06115200	2010-01-22	6400	A:e
USGS	06115200	2010-01-23	6200	A:e
USGS	06115200	2010-01-24	6000	A:e
USGS	06115200	2010-01-25	5790	A:e
USGS	06115200	2010-01-26	5190	A:e
USGS	06115200	2010-01-27	5400	A:e
USGS	06115200	2010-01-28	5500	A:e
USGS	06115200	2010-01-29	5490	A:e
USGS	06115200	2010-01-30	6100	A:e
USGS	06115200	2010-01-31	6800	A:e
USGS	06115200	2010-02-01	6990	A:e
USGS	06115200	2010-02-02	7200	A:e
USGS	06115200	2010-02-03	6670	A:e
USGS	06115200	2010-02-04	6600	A:e
USGS	06115200	2010-02-05	6600	A:e
USGS	06115200	2010-02-06	6490	A:e
USGS	06115200	2010-02-07	6500	A:e
USGS	06115200	2010-02-08	6200	A:e
USGS	06115200	2010-02-09	6200	A:e
USGS	06115200	2010-02-10	6090	A:e
USGS	06115200	2010-02-11	6000	A:e
USGS	06115200	2010-02-12	6490	A:e
USGS	06115200	2010-02-13	6490	A:e
USGS	06115200	2010-02-14	6710	A:e
USGS	06115200	2010-02-15	6710	A:e
USGS	06115200	2010-02-16	6700	A:e
USGS	06115200	2010-02-17	6590	A:e
USGS	06115200	2010-02-18	6690	A:e
USGS	06115200	2010-02-19	6600	A:e
USGS	06115200	2010-02-20	6500	A:e
USGS	06115200	2010-02-21	6300	A:e
USGS	06115200	2010-02-22	6200	A:e
USGS	06115200	2010-02-23	6200	A:e
USGS	06115200	2010-02-24	6210	A:e
USGS	06115200	2010-02-25	6200	A:e
USGS	06115200	2010-02-26	6200	A:e
USGS	06115200	2010-02-27	6200	A:e
USGS	06115200	2010-02-28	6290	A:e
USGS	06115200	2010-03-01	6490	A:e
USGS	06115200	2010-03-02	6800	A:e
USGS	06115200	2010-03-03	7100	A:e
USGS	06115200	2010-03-04	7510	A:e
USGS	06115200	2010-03-05	7700	A:e
USGS	06115200	2010-03-06	7800	A:e
USGS	06115200	2010-03-07	7810	A:e
USGS	06115200	2010-03-08	7800	A:e
USGS	06115200	2010-03-09	7590	A:e
USGS	06115200	2010-03-10	7700	A:e
USGS	06115200	2010-03-11	7480	A:e
USGS	06115200	2010-03-12	7200	A:e
USGS	06115200	2010-03-13	7020	A:e
USGS	06115200	2010-03-14	7210	A:e
USGS	06115200	2010-03-15	7320	A:e
USGS	06115200	2010-03-16	7400	A:e
USGS	06115200	2010-03-17	7520	A:e
USGS	06115200	2010-03-18	7580	A
USGS	06115200	2010-03-19	7320	A
USGS	06115200	2010-03-20	6920	A
USGS	06115200	2010-03-21	6770	A
USGS	06115200	2010-03-22	6860	A
USGS	06115200	2010-03-23	7080	A
USGS	06115200	2010-03-24	6920	A
USGS	06115200	2010-03-25	6770	A
USGS	06115200	2010-03-26	6530	A
USGS	06115200	2010-03-27	6510	A
USGS	06115200	2010-03-28	6520	A
USGS	06115200	2010-03-29	6360	A
USGS	06115200	2010-03-30	6250	A
USGS	06115200	2010-03-31	6320	A
USGS	06115200	2010-04-01	6380	A
USGS	06115200	2010-04-02	6320	A
USGS	06115200	2010-04-03	6250	A
USGS	06115200	2010-04-04	6330	A
USGS	06115200	2010-04-05	6450	A
USGS	06115200	2010-04-06	6230	A
USGS	06115200	2010-04-07	6210	A
USGS	06115200	2010-04-08	6350	A
USGS	06115200	2010-04-09	6260	A
USGS	06115200	2010-04-10	5990	A
USGS	06115200	2010-04-11	6100	A
USGS	06115200	2010-04-12	6080	A
USGS	06115200	2010-04-13	6230	A
USGS	06115200	2010-04-14	6610	A
USGS	06115200	2010-04-15	7160	A
USGS	06115200	2010-04-16	7210	A
USGS	06115200	2010-04-17	7140	A
USGS	06115200	2010-04-18	7030	A
USGS	06115200	2010-04-19	6930	A
USGS	06115200	2010-04-20	6940	A
USGS	06115200	2010-04-21	7110	A
USGS	06115200	2010-04-22	7410	A
USGS	06115200	2010-04-23	7750	A
USGS	06115200	2010-04-24	7960	A
USGS	06115200	2010-04-25	8420	A
USGS	06115200	2010-04-26	8570	A
USGS	06115200	2010-04-27	8900	A
USGS	06115200	2010-04-28	8680	A
USGS	06115200	2010-04-29	8420	A
USGS	06115200	2010-04-30	8630	A
USGS	06115200	2010-05-01	8750	A
USGS	06115200	2010-05-02	8730	A
USGS	06115200	2010-05-03	8920	A
USGS	06115200	2010-05-04	9420	A
USGS	06115200	2010-05-05	9910	A
USGS	06115200	2010-05-06	10600	A
USGS	06115200	2010-05-07	9970	A
USGS	06115200	2010-05-08	9940	A
USGS	06115200	2010-05-09	9320	A
USGS	06115200	2010-05-10	9070	A
USGS	06115200	2010-05-11	9310	A
USGS	06115200	2010-05-12	9500	A
USGS	06115200	2010-05-13	9670	A
USGS	06115200	2010-05-14	9770	A
USGS	06115200	2010-05-15	9750	A
USGS	06115200	2010-05-16	10000	A
USGS	06115200	2010-05-17	10500	A
USGS	06115200	2010-05-18	11700	A
USGS	06115200	2010-05-19	12800	A
USGS	06115200	2010-05-20	14100	A
USGS	06115200	2010-05-21	15300	A
USGS	06115200	2010-05-22	16200	A
USGS	06115200	2010-05-23	15200	A
USGS	06115200	2010-05-24	14100	A
USGS	06115200	2010-05-25	14000	A
USGS	06115200	2010-05-26	13500	A
USGS	06115200	2010-05-27	13500	A
USGS	06115200	2010-05-28	13700	A
USGS	06115200	2010-05-29	15500	A
USGS	06115200	2010-05-30	16600	A
USGS	06115200	2010-05-31	18200	A
USGS	06115200	2010-06-01	18500	A
USGS	06115200	2010-06-02	17900	A
USGS	06115200	2010-06-03	17300	A
USGS	06115200	2010-06-04	16900	A
USGS	06115200	2010-06-05	16700	A
USGS	06115200	2010-06-06	16400	A
USGS	06115200	2010-06-07	16900	A
USGS	06115200	2010-06-08	17500	A
USGS	06115200	2010-06-09	18100	A
USGS	06115200	2010-06-10	18900	A
USGS	06115200	2010-06-11	21200	A
USGS	06115200	2010-06-12	23200	A
USGS	06115200	2010-06-13	24900	A
USGS	06115200	2010-06-14	25100	A
USGS	06115200	2010-06-15	24800	A
USGS	06115200	2010-06-16	25000	A
USGS	06115200	2010-06-17	25300	A
USGS	06115200	2010-06-18	27300	A
USGS	06115200	2010-06-19	30800	A
USGS	06115200	2010-06-20	33400	A
USGS	06115200	2010-06-21	32800	A
USGS	06115200	2010-06-22	32200	A
USGS	06115200	2010-06-23	32200	A
USGS	06115200	2010-06-24	31900	A
USGS	06115200	2010-06-25	31200	A
USGS	06115200	2010-06-26	30700	A
USGS	06115200	2010-06-27	29300	A
USGS	06115200	2010-06-28	27500	A
USGS	06115200	2010-06-29	26000	A
USGS	06115200	2010-06-30	25200	A
USGS	06115200	2010-07-01	24400	A
USGS	06115200	2010-07-02	24100	A
USGS	06115200	2010-07-03	23400	A
USGS	06115200	2010-07-04	23400	A
USGS	06115200	2010-07-05	23000	A
USGS	06115200	2010-07-06	22700	A
USGS	06115200	2010-07-07	22700	A
USGS	06115200	2010-07-08	22300	A
USGS	06115200	2010-07-09	21800	A
USGS	06115200	2010-07-10	20700	A
USGS	06115200	2010-07-11	19400	A
USGS	06115200	2010-07-12	17600	A
USGS	06115200	2010-07-13	16200	A
USGS	06115200	2010-07-14	15000	A
USGS	06115200	2010-07-15	14800	A
USGS	06115200	2010-07-16	14000	A
USGS	06115200	2010-07-17	13200	A
USGS	06115200	2010-07-18	12200	A
USGS	06115200	2010-07-19	11600	A
USGS	06115200	2010-07-20	11100	A
USGS	06115200	2010-07-21	10600	A
USGS	06115200	2010-07-22	9960	A
USGS	06115200	2010-07-23	9480	A
USGS	06115200	2010-07-24	9310	A
USGS	06115200	2010-07-25	8870	A
USGS	06115200	2010-07-26	8810	A
USGS	06115200	2010-07-27	8620	A
USGS	06115200	2010-07-28	8390	A
USGS	06115200	2010-07-29	7620	A
USGS	06115200	2010-07-30	7920	A
USGS	06115200	2010-07-31	7790	A
USGS	06115200	2010-08-01	7490	A
USGS	06115200	2010-08-02	7520	A
USGS	06115200	2010-08-03	7310	A
USGS	06115200	2010-08-04	7780	A
USGS	06115200	2010-08-05	7550	A
USGS	06115200	2010-08-06	6850	A
USGS	06115200	2010-08-07	7090	A
USGS	06115200	2010-08-08	6920	A
USGS	06115200	2010-08-09	6930	A
USGS	06115200	2010-08-10	7070	A
USGS	06115200	2010-08-11	7190	A
USGS	06115200	2010-08-12	7220	A
USGS	06115200	2010-08-13	7100	A
USGS	06115200	2010-08-14	7260	A
USGS	06115200	2010-08-15	7480	A
USGS	06115200	2010-08-16	7930	A
USGS	06115200	2010-08-17	8250	A
USGS	06115200	2010-08-18	8220	A
