# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06130500 Musselshell River at Mosby MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06130500
#            TS   parameter     statistic     Description
#         81152       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81152_00060_00003	81152_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06130500	2010-01-01	35.0	A:e
USGS	06130500	2010-01-02	40.0	A:e
USGS	06130500	2010-01-03	35.0	A:e
USGS	06130500	2010-01-04	30.0	A:e
USGS	06130500	2010-01-05	30.0	A:e
USGS	06130500	2010-01-06	25.0	A:e
USGS	06130500	2010-01-07	20.0	A:e
USGS	06130500	2010-01-08	25.0	A:e
USGS	06130500	2010-01-09	30.0	A:e
USGS	06130500	2010-01-10	30.0	A:e
USGS	06130500	2010-01-11	35.0	A:e
USGS	06130500	2010-01-12	40.0	A:e
USGS	06130500	2010-01-13	35.0	A:e
USGS	06130500	2010-01-14	35.0	A:e
USGS	06130500	2010-01-15	30.0	A:e
USGS	06130500	2010-01-16	35.0	A:e
USGS	06130500	2010-01-17	40.0	A:e
USGS	06130500	2010-01-18	45.0	A:e
USGS	06130500	2010-01-19	50.0	A:e
USGS	06130500	2010-01-20	50.0	A:e
USGS	06130500	2010-01-21	50.0	A:e
USGS	06130500	2010-01-22	50.0	A:e
USGS	06130500	2010-01-23	50.0	A:e
USGS	06130500	2010-01-24	50.0	A:e
USGS	06130500	2010-01-25	50.0	A:e
USGS	06130500	2010-01-26	50.0	A:e
USGS	06130500	2010-01-27	50.0	A:e
USGS	06130500	2010-01-28	35.0	A:e
USGS	06130500	2010-01-29	40.0	A:e
USGS	06130500	2010-01-30	45.0	A:e
USGS	06130500	2010-01-31	50.0	A:e
USGS	06130500	2010-02-01	50.0	A:e
USGS	06130500	2010-02-02	55.0	A:e
USGS	06130500	2010-02-03	55.0	A:e
USGS	06130500	2010-02-04	50.0	A:e
USGS	06130500	2010-02-05	50.0	A:e
USGS	06130500	2010-02-06	50.0	A:e
USGS	06130500	2010-02-07	45.0	A:e
USGS	06130500	2010-02-08	30.0	A:e
USGS	06130500	2010-02-09	35.0	A:e
USGS	06130500	2010-02-10	40.0	A:e
USGS	06130500	2010-02-11	40.0	A:e
USGS	06130500	2010-02-12	55.0	A:e
USGS	06130500	2010-02-13	40.0	A:e
USGS	06130500	2010-02-14	35.0	A:e
USGS	06130500	2010-02-15	40.0	A:e
USGS	06130500	2010-02-16	50.0	A:e
USGS	06130500	2010-02-17	50.0	A:e
USGS	06130500	2010-02-18	50.0	A:e
USGS	06130500	2010-02-19	50.0	A:e
USGS	06130500	2010-02-20	50.0	A:e
USGS	06130500	2010-02-21	50.0	A:e
USGS	06130500	2010-02-22	45.0	A:e
USGS	06130500	2010-02-23	60.0	A:e
USGS	06130500	2010-02-24	70.0	A:e
USGS	06130500	2010-02-25	100	A:e
USGS	06130500	2010-02-26	200	A:e
USGS	06130500	2010-02-27	600	A:e
USGS	06130500	2010-02-28	900	A:e
USGS	06130500	2010-03-01	1030	A:e
USGS	06130500	2010-03-02	1660	A
USGS	06130500	2010-03-03	1810	A
USGS	06130500	2010-03-04	1780	A
USGS	06130500	2010-03-05	1780	A
USGS	06130500	2010-03-06	1420	A
USGS	06130500	2010-03-07	1260	A
USGS	06130500	2010-03-08	1420	A
USGS	06130500	2010-03-09	1110	A
USGS	06130500	2010-03-10	800	A
USGS	06130500	2010-03-11	602	A
USGS	06130500	2010-03-12	499	A
USGS	06130500	2010-03-13	441	A
USGS	06130500	2010-03-14	372	A
USGS	06130500	2010-03-15	325	A
USGS	06130500	2010-03-16	290	A
USGS	06130500	2010-03-17	266	A
