# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06174500 Milk River at Nashua MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06174500
#            TS   parameter     statistic     Description
#         81329       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81329_00060_00003	81329_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06174500	2010-01-01	104	A:e
USGS	06174500	2010-01-02	104	A:e
USGS	06174500	2010-01-03	104	A:e
USGS	06174500	2010-01-04	105	A:e
USGS	06174500	2010-01-05	107	A:e
USGS	06174500	2010-01-06	102	A:e
USGS	06174500	2010-01-07	100	A:e
USGS	06174500	2010-01-08	101	A:e
USGS	06174500	2010-01-09	105	A:e
USGS	06174500	2010-01-10	109	A:e
USGS	06174500	2010-01-11	110	A:e
USGS	06174500	2010-01-12	111	A:e
USGS	06174500	2010-01-13	113	A:e
USGS	06174500	2010-01-14	113	A:e
USGS	06174500	2010-01-15	111	A:e
USGS	06174500	2010-01-16	109	A:e
USGS	06174500	2010-01-17	107	A:e
USGS	06174500	2010-01-18	104	A:e
USGS	06174500	2010-01-19	103	A:e
USGS	06174500	2010-01-20	106	A:e
USGS	06174500	2010-01-21	111	A:e
USGS	06174500	2010-01-22	114	A:e
USGS	06174500	2010-01-23	116	A:e
USGS	06174500	2010-01-24	116	A:e
USGS	06174500	2010-01-25	116	A:e
USGS	06174500	2010-01-26	118	A:e
USGS	06174500	2010-01-27	119	A:e
USGS	06174500	2010-01-28	119	A:e
USGS	06174500	2010-01-29	119	A:e
USGS	06174500	2010-01-30	120	A:e
USGS	06174500	2010-01-31	121	A:e
