# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06177000 Missouri River near Wolf Point MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06177000
#            TS   parameter     statistic     Description
#         81341       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81341_00060_00003	81341_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06177000	2010-01-01	4700	A:e
USGS	06177000	2010-01-02	4800	A:e
USGS	06177000	2010-01-03	4800	A:e
USGS	06177000	2010-01-04	4900	A:e
USGS	06177000	2010-01-05	4900	A:e
USGS	06177000	2010-01-06	4800	A:e
USGS	06177000	2010-01-07	4700	A:e
USGS	06177000	2010-01-08	5000	A:e
USGS	06177000	2010-01-09	4700	A:e
USGS	06177000	2010-01-10	4700	A:e
USGS	06177000	2010-01-11	4700	A:e
USGS	06177000	2010-01-12	4700	A:e
USGS	06177000	2010-01-13	4800	A:e
USGS	06177000	2010-01-14	4700	A:e
USGS	06177000	2010-01-15	4700	A:e
USGS	06177000	2010-01-16	4800	A:e
USGS	06177000	2010-01-17	4800	A:e
USGS	06177000	2010-01-18	4800	A:e
USGS	06177000	2010-01-19	4800	A:e
USGS	06177000	2010-01-20	5100	A:e
USGS	06177000	2010-01-21	4900	A:e
USGS	06177000	2010-01-22	4600	A:e
USGS	06177000	2010-01-23	4700	A:e
USGS	06177000	2010-01-24	4600	A:e
USGS	06177000	2010-01-25	4700	A:e
USGS	06177000	2010-01-26	5400	A:e
USGS	06177000	2010-01-27	5800	A:e
USGS	06177000	2010-01-28	6000	A:e
USGS	06177000	2010-01-29	5900	A:e
USGS	06177000	2010-01-30	5700	A:e
USGS	06177000	2010-01-31	5300	A:e
USGS	06177000	2010-02-01	4900	A:e
USGS	06177000	2010-02-02	4700	A:e
USGS	06177000	2010-02-03	4600	A:e
USGS	06177000	2010-02-04	4600	A:e
USGS	06177000	2010-02-05	4600	A:e
USGS	06177000	2010-02-06	4500	A:e
USGS	06177000	2010-02-07	4600	A:e
USGS	06177000	2010-02-08	4600	A:e
USGS	06177000	2010-02-09	4600	A:e
USGS	06177000	2010-02-10	4700	A:e
USGS	06177000	2010-02-11	4700	A:e
USGS	06177000	2010-02-12	4700	A:e
USGS	06177000	2010-02-13	4600	A:e
USGS	06177000	2010-02-14	4700	A:e
USGS	06177000	2010-02-15	4600	A:e
USGS	06177000	2010-02-16	4700	A:e
USGS	06177000	2010-02-17	4600	A:e
USGS	06177000	2010-02-18	4600	A:e
USGS	06177000	2010-02-19	4400	A:e
USGS	06177000	2010-02-20	4700	A:e
USGS	06177000	2010-02-21	4800	A:e
USGS	06177000	2010-02-22	4800	A:e
USGS	06177000	2010-02-23	4800	A:e
USGS	06177000	2010-02-24	4700	A:e
USGS	06177000	2010-02-25	4700	A:e
USGS	06177000	2010-02-26	4700	A:e
USGS	06177000	2010-02-27	4700	A:e
USGS	06177000	2010-02-28	4700	A:e
USGS	06177000	2010-03-01	4700	A:e
USGS	06177000	2010-03-02	5200	A:e
USGS	06177000	2010-03-03	5300	A:e
USGS	06177000	2010-03-04	5000	A:e
USGS	06177000	2010-03-05	5200	A:e
USGS	06177000	2010-03-06	4800	A:e
USGS	06177000	2010-03-07	4800	A:e
USGS	06177000	2010-03-08	4800	A:e
USGS	06177000	2010-03-09	4800	A:e
USGS	06177000	2010-03-10	4900	A:e
USGS	06177000	2010-03-11	4900	A:e
USGS	06177000	2010-03-12	4900	A:e
USGS	06177000	2010-03-13	4800	A:e
USGS	06177000	2010-03-14	4900	A:e
USGS	06177000	2010-03-15	4900	A:e
USGS	06177000	2010-03-16	4750	A:e
USGS	06177000	2010-03-17	4840	A:e
USGS	06177000	2010-03-18	4690	A:e
USGS	06177000	2010-03-19	4900	A:e
USGS	06177000	2010-03-20	4820	A:e
USGS	06177000	2010-03-21	4730	A:e
USGS	06177000	2010-03-22	4650	A:e
USGS	06177000	2010-03-23	4750	A:e
USGS	06177000	2010-03-24	4700	A:e
USGS	06177000	2010-03-25	4850	A:e
USGS	06177000	2010-03-26	4800	A:e
USGS	06177000	2010-03-27	4800	A:e
USGS	06177000	2010-03-28	5000	A:e
USGS	06177000	2010-03-29	5390	A
USGS	06177000	2010-03-30	5450	A
USGS	06177000	2010-03-31	5700	A
USGS	06177000	2010-04-01	5380	A
USGS	06177000	2010-04-02	5320	A
USGS	06177000	2010-04-03	5230	A
USGS	06177000	2010-04-04	5350	A
USGS	06177000	2010-04-05	4850	A
USGS	06177000	2010-04-06	5060	A
USGS	06177000	2010-04-07	5170	A
USGS	06177000	2010-04-08	5170	A
USGS	06177000	2010-04-09	5190	A
USGS	06177000	2010-04-10	4940	A
USGS	06177000	2010-04-11	4740	A
USGS	06177000	2010-04-12	4450	A
USGS	06177000	2010-04-13	4250	A
USGS	06177000	2010-04-14	4680	A
USGS	06177000	2010-04-15	4850	A
USGS	06177000	2010-04-16	4970	A
USGS	06177000	2010-04-17	4670	A
USGS	06177000	2010-04-18	4950	A
USGS	06177000	2010-04-19	4980	A
USGS	06177000	2010-04-20	4810	A
USGS	06177000	2010-04-21	4870	A
USGS	06177000	2010-04-22	4660	A
USGS	06177000	2010-04-23	4710	A
USGS	06177000	2010-04-24	6500	A:e
USGS	06177000	2010-04-25	6500	A:e
USGS	06177000	2010-04-26	6500	A:e
USGS	06177000	2010-04-27	6500	A:e
USGS	06177000	2010-04-28	6800	A:e
USGS	06177000	2010-04-29	7100	A:e
USGS	06177000	2010-04-30	7100	A:e
USGS	06177000	2010-05-01	7000	A:e
USGS	06177000	2010-05-02	6700	A:e
USGS	06177000	2010-05-03	6800	A:e
USGS	06177000	2010-05-04	6800	A:e
USGS	06177000	2010-05-05	7000	A:e
USGS	06177000	2010-05-06	7100	A:e
USGS	06177000	2010-05-07	7000	A:e
USGS	06177000	2010-05-08	8000	A:e
USGS	06177000	2010-05-09	7300	A:e
USGS	06177000	2010-05-10	7950	A:e
USGS	06177000	2010-05-11	8030	A:e
USGS	06177000	2010-05-12	8090	A:e
USGS	06177000	2010-05-13	8310	A:e
USGS	06177000	2010-05-14	8320	A:e
USGS	06177000	2010-05-15	8270	A:e
USGS	06177000	2010-05-16	8760	A:e
USGS	06177000	2010-05-17	8800	A:e
USGS	06177000	2010-05-18	8900	A:e
USGS	06177000	2010-05-19	8820	A:e
USGS	06177000	2010-05-20	8600	A
USGS	06177000	2010-05-21	8230	A
USGS	06177000	2010-05-22	7880	A
USGS	06177000	2010-05-23	7820	A
USGS	06177000	2010-05-24	7870	A
USGS	06177000	2010-05-25	8610	A
USGS	06177000	2010-05-26	9220	A
USGS	06177000	2010-05-27	8910	A
USGS	06177000	2010-05-28	11700	A
USGS	06177000	2010-05-29	13700	A
USGS	06177000	2010-05-30	12300	A
USGS	06177000	2010-05-31	11200	A
USGS	06177000	2010-06-01	10300	A
USGS	06177000	2010-06-02	9480	A
USGS	06177000	2010-06-03	8880	A
USGS	06177000	2010-06-04	8240	A
USGS	06177000	2010-06-05	8250	A
USGS	06177000	2010-06-06	7910	A
USGS	06177000	2010-06-07	7690	A
USGS	06177000	2010-06-08	7830	A
USGS	06177000	2010-06-09	8150	A
USGS	06177000	2010-06-10	8280	A
USGS	06177000	2010-06-11	8630	A
USGS	06177000	2010-06-12	9090	A
USGS	06177000	2010-06-13	8470	A
USGS	06177000	2010-06-14	8240	A
USGS	06177000	2010-06-15	8380	A
USGS	06177000	2010-06-16	8060	A
USGS	06177000	2010-06-17	7740	A
USGS	06177000	2010-06-18	7610	A
USGS	06177000	2010-06-19	8370	A
USGS	06177000	2010-06-20	9570	A
USGS	06177000	2010-06-21	10400	A
USGS	06177000	2010-06-22	11900	A
USGS	06177000	2010-06-23	11900	A
USGS	06177000	2010-06-24	11800	A
USGS	06177000	2010-06-25	10700	A
USGS	06177000	2010-06-26	9960	A
USGS	06177000	2010-06-27	9790	A
USGS	06177000	2010-06-28	9480	A
USGS	06177000	2010-06-29	9560	A
USGS	06177000	2010-06-30	9460	A
USGS	06177000	2010-07-01	9510	A
USGS	06177000	2010-07-02	9550	A
USGS	06177000	2010-07-03	9560	A
USGS	06177000	2010-07-04	9530	A
USGS	06177000	2010-07-05	9470	A
USGS	06177000	2010-07-06	9380	A
USGS	06177000	2010-07-07	9260	A
USGS	06177000	2010-07-08	8960	A
