# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06185500 Missouri River near Culbertson MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06185500
#            TS   parameter     statistic     Description
#         81383       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81383_00060_00003	81383_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06185500	2010-01-01	4700	A:e
USGS	06185500	2010-01-02	4700	A:e
USGS	06185500	2010-01-03	4800	A:e
USGS	06185500	2010-01-04	4800	A:e
USGS	06185500	2010-01-05	4900	A:e
USGS	06185500	2010-01-06	4900	A:e
USGS	06185500	2010-01-07	4800	A:e
USGS	06185500	2010-01-08	4700	A:e
USGS	06185500	2010-01-09	5000	A:e
USGS	06185500	2010-01-10	4700	A:e
USGS	06185500	2010-01-11	4700	A:e
USGS	06185500	2010-01-12	4700	A:e
USGS	06185500	2010-01-13	4700	A:e
USGS	06185500	2010-01-14	4800	A:e
USGS	06185500	2010-01-15	4700	A:e
USGS	06185500	2010-01-16	4700	A:e
USGS	06185500	2010-01-17	4800	A:e
USGS	06185500	2010-01-18	4800	A:e
USGS	06185500	2010-01-19	4800	A:e
USGS	06185500	2010-01-20	4800	A:e
USGS	06185500	2010-01-21	5100	A:e
USGS	06185500	2010-01-22	4900	A:e
USGS	06185500	2010-01-23	4600	A:e
USGS	06185500	2010-01-24	4700	A:e
USGS	06185500	2010-01-25	4600	A:e
USGS	06185500	2010-01-26	4900	A:e
USGS	06185500	2010-01-27	5400	A:e
USGS	06185500	2010-01-28	5700	A:e
USGS	06185500	2010-01-29	5900	A:e
USGS	06185500	2010-01-30	5800	A:e
USGS	06185500	2010-01-31	5600	A:e
USGS	06185500	2010-02-01	5400	A:e
USGS	06185500	2010-02-02	5200	A:e
USGS	06185500	2010-02-03	5000	A:e
USGS	06185500	2010-02-04	4800	A:e
USGS	06185500	2010-02-05	4600	A:e
USGS	06185500	2010-02-06	4600	A:e
USGS	06185500	2010-02-07	4500	A:e
USGS	06185500	2010-02-08	4600	A:e
USGS	06185500	2010-02-09	4600	A:e
USGS	06185500	2010-02-10	4600	A:e
USGS	06185500	2010-02-11	4700	A:e
USGS	06185500	2010-02-12	4700	A:e
USGS	06185500	2010-02-13	4700	A:e
USGS	06185500	2010-02-14	4600	A:e
USGS	06185500	2010-02-15	4700	A:e
USGS	06185500	2010-02-16	4600	A:e
USGS	06185500	2010-02-17	4700	A:e
USGS	06185500	2010-02-18	4600	A:e
USGS	06185500	2010-02-19	4600	A:e
USGS	06185500	2010-02-20	4400	A:e
USGS	06185500	2010-02-21	4700	A:e
USGS	06185500	2010-02-22	4800	A:e
USGS	06185500	2010-02-23	4800	A:e
USGS	06185500	2010-02-24	4800	A:e
USGS	06185500	2010-02-25	4700	A:e
USGS	06185500	2010-02-26	4700	A:e
USGS	06185500	2010-02-27	4700	A:e
USGS	06185500	2010-02-28	4700	A:e
USGS	06185500	2010-03-01	4700	A:e
USGS	06185500	2010-03-02	4700	A:e
USGS	06185500	2010-03-03	5200	A:e
USGS	06185500	2010-03-04	5300	A:e
USGS	06185500	2010-03-05	5000	A:e
USGS	06185500	2010-03-06	5200	A:e
USGS	06185500	2010-03-07	4800	A:e
USGS	06185500	2010-03-08	4800	A:e
USGS	06185500	2010-03-09	4800	A:e
USGS	06185500	2010-03-10	4800	A:e
USGS	06185500	2010-03-11	4900	A:e
USGS	06185500	2010-03-12	4900	A:e
USGS	06185500	2010-03-13	4900	A:e
USGS	06185500	2010-03-14	4800	A:e
USGS	06185500	2010-03-15	4900	A:e
USGS	06185500	2010-03-16	4900	A:e
USGS	06185500	2010-03-17	4800	A:e
USGS	06185500	2010-03-18	4900	A:e
USGS	06185500	2010-03-19	4800	A:e
USGS	06185500	2010-03-20	4900	A:e
USGS	06185500	2010-03-21	4900	A:e
USGS	06185500	2010-03-22	4800	A:e
USGS	06185500	2010-03-23	4700	A:e
USGS	06185500	2010-03-24	4800	A:e
USGS	06185500	2010-03-25	4800	A:e
USGS	06185500	2010-03-26	5000	A:e
USGS	06185500	2010-03-27	4980	A:e
USGS	06185500	2010-03-28	5150	A:e
USGS	06185500	2010-03-29	5200	A:e
USGS	06185500	2010-03-30	5500	A:e
USGS	06185500	2010-03-31	5600	A:e
USGS	06185500	2010-04-01	5550	A:e
USGS	06185500	2010-04-02	5400	A:e
USGS	06185500	2010-04-03	5100	A:e
USGS	06185500	2010-04-04	5500	A:e
USGS	06185500	2010-04-05	5400	A:e
USGS	06185500	2010-04-06	5350	A
USGS	06185500	2010-04-07	5140	A
USGS	06185500	2010-04-08	5260	A
USGS	06185500	2010-04-09	5260	A
USGS	06185500	2010-04-10	5230	A
USGS	06185500	2010-04-11	5160	A
USGS	06185500	2010-04-12	5010	A
USGS	06185500	2010-04-13	4770	A
USGS	06185500	2010-04-14	4550	A
USGS	06185500	2010-04-15	4500	A
USGS	06185500	2010-04-16	4810	A
USGS	06185500	2010-04-17	4900	A
USGS	06185500	2010-04-18	4840	A
USGS	06185500	2010-04-19	4750	A
USGS	06185500	2010-04-20	4870	A
USGS	06185500	2010-04-21	4830	A
USGS	06185500	2010-04-22	4720	A
USGS	06185500	2010-04-23	4730	A
USGS	06185500	2010-04-24	4590	A
USGS	06185500	2010-04-25	4680	A
USGS	06185500	2010-04-26	5430	A
USGS	06185500	2010-04-27	6230	A
USGS	06185500	2010-04-28	6390	A
USGS	06185500	2010-04-29	6400	A
USGS	06185500	2010-04-30	6540	A
USGS	06185500	2010-05-01	6950	A
USGS	06185500	2010-05-02	7150	A
USGS	06185500	2010-05-03	7210	A
USGS	06185500	2010-05-04	6890	A
USGS	06185500	2010-05-05	6850	A
USGS	06185500	2010-05-06	7120	A
USGS	06185500	2010-05-07	7150	A
USGS	06185500	2010-05-08	7380	A
USGS	06185500	2010-05-09	7870	A
USGS	06185500	2010-05-10	7730	A
USGS	06185500	2010-05-11	7630	A
USGS	06185500	2010-05-12	7740	A
USGS	06185500	2010-05-13	8080	A
USGS	06185500	2010-05-14	7990	A
USGS	06185500	2010-05-15	8250	A
USGS	06185500	2010-05-16	8250	A
USGS	06185500	2010-05-17	8170	A
USGS	06185500	2010-05-18	8360	A
USGS	06185500	2010-05-19	8510	A
USGS	06185500	2010-05-20	8500	A
USGS	06185500	2010-05-21	8500	A
USGS	06185500	2010-05-22	8330	A
USGS	06185500	2010-05-23	7950	A
USGS	06185500	2010-05-24	7730	A
USGS	06185500	2010-05-25	8000	A
USGS	06185500	2010-05-26	8410	A
USGS	06185500	2010-05-27	9220	A
USGS	06185500	2010-05-28	9600	A
USGS	06185500	2010-05-29	10300	A
USGS	06185500	2010-05-30	13500	A
USGS	06185500	2010-05-31	14300	A
USGS	06185500	2010-06-01	12500	A
USGS	06185500	2010-06-02	11200	A
USGS	06185500	2010-06-03	10100	A
USGS	06185500	2010-06-04	9400	A
USGS	06185500	2010-06-05	8600	A
USGS	06185500	2010-06-06	8180	A
USGS	06185500	2010-06-07	8010	A
USGS	06185500	2010-06-08	7600	A
USGS	06185500	2010-06-09	7510	A
USGS	06185500	2010-06-10	7720	A
USGS	06185500	2010-06-11	7920	A
USGS	06185500	2010-06-12	8240	A
USGS	06185500	2010-06-13	8760	A
USGS	06185500	2010-06-14	8880	A
