# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06329500 Yellowstone River near Sidney MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06329500
#            TS   parameter     statistic     Description
#         81772       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81772_00060_00003	81772_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06329500	2010-01-01	5100	A:e
USGS	06329500	2010-01-02	4890	A:e
USGS	06329500	2010-01-03	5110	A:e
USGS	06329500	2010-01-04	5110	A:e
USGS	06329500	2010-01-05	5100	A:e
USGS	06329500	2010-01-06	5310	A:e
USGS	06329500	2010-01-07	5720	A:e
USGS	06329500	2010-01-08	5720	A:e
USGS	06329500	2010-01-09	5710	A:e
USGS	06329500	2010-01-10	5310	A:e
USGS	06329500	2010-01-11	4900	A:e
USGS	06329500	2010-01-12	4900	A:e
USGS	06329500	2010-01-13	4900	A:e
USGS	06329500	2010-01-14	5090	A:e
USGS	06329500	2010-01-15	5330	A:e
USGS	06329500	2010-01-16	5490	A:e
USGS	06329500	2010-01-17	5700	A:e
USGS	06329500	2010-01-18	5700	A:e
USGS	06329500	2010-01-19	5700	A:e
USGS	06329500	2010-01-20	5700	A:e
USGS	06329500	2010-01-21	5520	A:e
USGS	06329500	2010-01-22	5520	A:e
USGS	06329500	2010-01-23	5520	A:e
USGS	06329500	2010-01-24	5390	A:e
USGS	06329500	2010-01-25	5300	A:e
USGS	06329500	2010-01-26	5200	A:e
USGS	06329500	2010-01-27	5100	A:e
USGS	06329500	2010-01-28	5090	A:e
USGS	06329500	2010-01-29	5100	A:e
USGS	06329500	2010-01-30	5110	A:e
USGS	06329500	2010-01-31	5100	A:e
USGS	06329500	2010-02-01	5110	A:e
USGS	06329500	2010-02-02	5100	A:e
USGS	06329500	2010-02-03	5400	A:e
USGS	06329500	2010-02-04	5360	A:e
USGS	06329500	2010-02-05	5410	A:e
USGS	06329500	2010-02-06	5390	A:e
USGS	06329500	2010-02-07	5390	A:e
USGS	06329500	2010-02-08	5390	A:e
USGS	06329500	2010-02-09	5390	A:e
USGS	06329500	2010-02-10	5390	A:e
USGS	06329500	2010-02-11	5390	A:e
USGS	06329500	2010-02-12	5390	A:e
USGS	06329500	2010-02-13	5390	A:e
USGS	06329500	2010-02-14	5300	A:e
USGS	06329500	2010-02-15	5300	A:e
USGS	06329500	2010-02-16	5300	A:e
USGS	06329500	2010-02-17	5190	A:e
USGS	06329500	2010-02-18	5090	A:e
USGS	06329500	2010-02-19	5000	A:e
USGS	06329500	2010-02-20	5190	A:e
USGS	06329500	2010-02-21	5400	A:e
USGS	06329500	2010-02-22	5390	A:e
USGS	06329500	2010-02-23	5300	A:e
USGS	06329500	2010-02-24	5200	A:e
USGS	06329500	2010-02-25	5070	A:e
USGS	06329500	2010-02-26	5010	A:e
USGS	06329500	2010-02-27	5100	A:e
USGS	06329500	2010-02-28	5200	A:e
USGS	06329500	2010-03-01	5290	A:e
USGS	06329500	2010-03-02	5300	A:e
USGS	06329500	2010-03-03	5300	A:e
USGS	06329500	2010-03-04	5300	A:e
USGS	06329500	2010-03-05	5390	A:e
USGS	06329500	2010-03-06	5500	A:e
USGS	06329500	2010-03-07	5700	A:e
USGS	06329500	2010-03-08	6010	A:e
USGS	06329500	2010-03-09	6110	A:e
USGS	06329500	2010-03-10	6310	A:e
USGS	06329500	2010-03-11	6190	A:e
USGS	06329500	2010-03-12	5980	A:e
USGS	06329500	2010-03-13	5890	A:e
USGS	06329500	2010-03-14	5890	A:e
USGS	06329500	2010-03-15	6890	A:e
USGS	06329500	2010-03-16	8200	A:e
USGS	06329500	2010-03-17	8800	A:e
USGS	06329500	2010-03-18	8780	A:e
USGS	06329500	2010-03-19	9000	A:e
USGS	06329500	2010-03-20	8480	A:e
USGS	06329500	2010-03-21	7800	A:e
USGS	06329500	2010-03-22	7510	A:e
USGS	06329500	2010-03-23	7290	A:e
USGS	06329500	2010-03-24	7210	A:e
USGS	06329500	2010-03-25	7100	A:e
USGS	06329500	2010-03-26	7000	A:e
USGS	06329500	2010-03-27	6900	A:e
USGS	06329500	2010-03-28	6910	A:e
USGS	06329500	2010-03-29	6820	A
USGS	06329500	2010-03-30	6610	A
USGS	06329500	2010-03-31	6360	A
USGS	06329500	2010-04-01	6270	A
USGS	06329500	2010-04-02	6270	A
USGS	06329500	2010-04-03	6540	A
USGS	06329500	2010-04-04	6670	A
USGS	06329500	2010-04-05	6640	A
USGS	06329500	2010-04-06	6580	A
USGS	06329500	2010-04-07	6370	A
USGS	06329500	2010-04-08	6150	A
USGS	06329500	2010-04-09	5910	A
USGS	06329500	2010-04-10	5780	A
USGS	06329500	2010-04-11	5780	A
USGS	06329500	2010-04-12	5800	A
USGS	06329500	2010-04-13	5780	A
USGS	06329500	2010-04-14	5770	A
USGS	06329500	2010-04-15	5730	A
USGS	06329500	2010-04-16	5660	A
USGS	06329500	2010-04-17	5700	A
USGS	06329500	2010-04-18	5660	A
USGS	06329500	2010-04-19	5740	A
USGS	06329500	2010-04-20	5670	A
USGS	06329500	2010-04-21	5520	A
USGS	06329500	2010-04-22	5460	A
USGS	06329500	2010-04-23	5660	A
USGS	06329500	2010-04-24	6290	A
USGS	06329500	2010-04-25	7020	A
USGS	06329500	2010-04-26	7770	A
USGS	06329500	2010-04-27	9560	A
USGS	06329500	2010-04-28	10500	A
USGS	06329500	2010-04-29	10400	A
USGS	06329500	2010-04-30	10400	A
USGS	06329500	2010-05-01	9710	A
USGS	06329500	2010-05-02	9600	A
USGS	06329500	2010-05-03	10500	A
USGS	06329500	2010-05-04	10500	A
USGS	06329500	2010-05-05	10100	A
USGS	06329500	2010-05-06	9300	A
USGS	06329500	2010-05-07	9020	A
USGS	06329500	2010-05-08	9510	A
USGS	06329500	2010-05-09	9890	A
USGS	06329500	2010-05-10	10200	A
USGS	06329500	2010-05-11	9740	A
USGS	06329500	2010-05-12	9300	A
USGS	06329500	2010-05-13	8730	A
USGS	06329500	2010-05-14	8480	A
USGS	06329500	2010-05-15	8510	A
USGS	06329500	2010-05-16	9240	A
USGS	06329500	2010-05-17	10700	A
USGS	06329500	2010-05-18	11800	A
USGS	06329500	2010-05-19	11600	A
USGS	06329500	2010-05-20	11700	A
USGS	06329500	2010-05-21	12800	A
USGS	06329500	2010-05-22	15100	A
USGS	06329500	2010-05-23	18000	A
USGS	06329500	2010-05-24	19800	A
USGS	06329500	2010-05-25	24400	A
USGS	06329500	2010-05-26	33200	A
USGS	06329500	2010-05-27	32500	A
USGS	06329500	2010-05-28	29200	A
USGS	06329500	2010-05-29	28800	A
USGS	06329500	2010-05-30	27100	A
USGS	06329500	2010-05-31	24500	A
USGS	06329500	2010-06-01	29200	A
USGS	06329500	2010-06-02	32800	A
USGS	06329500	2010-06-03	30600	A
USGS	06329500	2010-06-04	28400	A
USGS	06329500	2010-06-05	29300	A
USGS	06329500	2010-06-06	33000	A
USGS	06329500	2010-06-07	40000	A
USGS	06329500	2010-06-08	47000	A
USGS	06329500	2010-06-09	53900	A
USGS	06329500	2010-06-10	55100	A
USGS	06329500	2010-06-11	53900	A
USGS	06329500	2010-06-12	54500	A
USGS	06329500	2010-06-13	51000	A
USGS	06329500	2010-06-14	49400	A
USGS	06329500	2010-06-15	45900	A
USGS	06329500	2010-06-16	41100	A
USGS	06329500	2010-06-17	39400	A
USGS	06329500	2010-06-18	43600	A
USGS	06329500	2010-06-19	44500	A
USGS	06329500	2010-06-20	48300	A
