# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06337000 LITTLE MISSOURI RIVER NR WATFORD CITY, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06337000
#            TS   parameter     statistic     Description
#         91578       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91578_00060_00003	91578_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06337000	2010-01-01	15.0	A:e
USGS	06337000	2010-01-02	13.0	A:e
USGS	06337000	2010-01-03	11.0	A:e
USGS	06337000	2010-01-04	10.0	A:e
USGS	06337000	2010-01-05	9.50	A:e
USGS	06337000	2010-01-06	8.90	A:e
USGS	06337000	2010-01-07	8.30	A:e
USGS	06337000	2010-01-08	7.90	A:e
USGS	06337000	2010-01-09	7.50	A:e
USGS	06337000	2010-01-10	7.30	A:e
USGS	06337000	2010-01-11	7.30	A:e
USGS	06337000	2010-01-12	7.40	A:e
USGS	06337000	2010-01-13	7.50	A:e
USGS	06337000	2010-01-14	7.60	A:e
USGS	06337000	2010-01-15	7.80	A:e
USGS	06337000	2010-01-16	8.00	A:e
USGS	06337000	2010-01-17	8.10	A:e
USGS	06337000	2010-01-18	8.20	A:e
USGS	06337000	2010-01-19	8.30	A:e
USGS	06337000	2010-01-20	8.10	A:e
USGS	06337000	2010-01-21	8.00	A:e
USGS	06337000	2010-01-22	7.80	A:e
USGS	06337000	2010-01-23	7.60	A:e
USGS	06337000	2010-01-24	7.50	A:e
USGS	06337000	2010-01-25	7.40	A:e
USGS	06337000	2010-01-26	7.30	A:e
USGS	06337000	2010-01-27	7.30	A:e
USGS	06337000	2010-01-28	7.30	A:e
USGS	06337000	2010-01-29	7.40	A:e
USGS	06337000	2010-01-30	7.40	A:e
USGS	06337000	2010-01-31	7.30	A:e
USGS	06337000	2010-02-01	7.20	A:e
USGS	06337000	2010-02-02	7.10	A:e
USGS	06337000	2010-02-03	7.00	A:e
USGS	06337000	2010-02-04	7.00	A:e
USGS	06337000	2010-02-05	7.00	A:e
USGS	06337000	2010-02-06	7.10	A:e
USGS	06337000	2010-02-07	7.20	A:e
USGS	06337000	2010-02-08	7.20	A:e
USGS	06337000	2010-02-09	7.30	A:e
USGS	06337000	2010-02-10	7.40	A:e
USGS	06337000	2010-02-11	7.60	A:e
USGS	06337000	2010-02-12	7.80	A:e
USGS	06337000	2010-02-13	8.00	A:e
USGS	06337000	2010-02-14	8.20	A:e
USGS	06337000	2010-02-15	8.50	A:e
USGS	06337000	2010-02-16	8.80	A:e
USGS	06337000	2010-02-17	9.20	A:e
USGS	06337000	2010-02-18	9.60	A:e
USGS	06337000	2010-02-19	10.0	A:e
USGS	06337000	2010-02-20	11.0	A:e
USGS	06337000	2010-02-21	12.0	A:e
USGS	06337000	2010-02-22	13.0	A:e
USGS	06337000	2010-02-23	14.0	A:e
USGS	06337000	2010-02-24	14.0	A:e
USGS	06337000	2010-02-25	15.0	A:e
USGS	06337000	2010-02-26	16.0	A:e
USGS	06337000	2010-02-27	18.0	A:e
USGS	06337000	2010-02-28	19.0	A:e
USGS	06337000	2010-03-01	20.0	A:e
USGS	06337000	2010-03-02	22.0	A:e
USGS	06337000	2010-03-03	24.0	A:e
USGS	06337000	2010-03-04	25.0	A:e
USGS	06337000	2010-03-05	27.0	A:e
USGS	06337000	2010-03-06	29.0	A:e
USGS	06337000	2010-03-07	32.0	A:e
USGS	06337000	2010-03-08	35.0	A:e
USGS	06337000	2010-03-09	38.0	A:e
USGS	06337000	2010-03-10	42.0	A:e
USGS	06337000	2010-03-11	46.0	A:e
USGS	06337000	2010-03-12	52.0	A:e
USGS	06337000	2010-03-13	60.0	A:e
USGS	06337000	2010-03-14	72.0	A:e
USGS	06337000	2010-03-15	88.0	A:e
USGS	06337000	2010-03-16	125	A:e
USGS	06337000	2010-03-17	190	A:e
USGS	06337000	2010-03-18	260	A:e
USGS	06337000	2010-03-19	400	A:e
USGS	06337000	2010-03-20	600	A:e
USGS	06337000	2010-03-21	930	A:e
USGS	06337000	2010-03-22	1400	A:e
USGS	06337000	2010-03-23	2200	A:e
USGS	06337000	2010-03-24	3450	A
USGS	06337000	2010-03-25	4120	A
USGS	06337000	2010-03-26	4120	A
USGS	06337000	2010-03-27	3160	A
USGS	06337000	2010-03-28	3570	A
USGS	06337000	2010-03-29	3850	A
USGS	06337000	2010-03-30	4250	A
USGS	06337000	2010-03-31	4090	A
USGS	06337000	2010-04-01	4150	A
USGS	06337000	2010-04-02	4060	A
USGS	06337000	2010-04-03	3600	A
USGS	06337000	2010-04-04	3230	A
USGS	06337000	2010-04-05	3490	A
USGS	06337000	2010-04-06	2890	A
USGS	06337000	2010-04-07	2250	A
USGS	06337000	2010-04-08	2560	A
USGS	06337000	2010-04-09	2740	A
USGS	06337000	2010-04-10	2570	A
USGS	06337000	2010-04-11	2180	A
USGS	06337000	2010-04-12	1800	A
USGS	06337000	2010-04-13	1520	A
USGS	06337000	2010-04-14	1250	A
USGS	06337000	2010-04-15	1070	A
USGS	06337000	2010-04-16	924	A
USGS	06337000	2010-04-17	797	A
USGS	06337000	2010-04-18	725	A
USGS	06337000	2010-04-19	652	A
USGS	06337000	2010-04-20	588	A
USGS	06337000	2010-04-21	536	A
USGS	06337000	2010-04-22	485	A
USGS	06337000	2010-04-23	449	A
USGS	06337000	2010-04-24	447	A
USGS	06337000	2010-04-25	414	A
USGS	06337000	2010-04-26	400	A
USGS	06337000	2010-04-27	392	A
USGS	06337000	2010-04-28	413	A
USGS	06337000	2010-04-29	453	A
USGS	06337000	2010-04-30	486	A
USGS	06337000	2010-05-01	500	A
USGS	06337000	2010-05-02	607	A
USGS	06337000	2010-05-03	641	A
USGS	06337000	2010-05-04	552	A
USGS	06337000	2010-05-05	893	A
USGS	06337000	2010-05-06	1260	A
USGS	06337000	2010-05-07	1140	A
USGS	06337000	2010-05-08	1220	A
USGS	06337000	2010-05-09	1390	A
USGS	06337000	2010-05-10	1730	A
USGS	06337000	2010-05-11	2020	A
USGS	06337000	2010-05-12	1690	A
USGS	06337000	2010-05-13	1440	A
USGS	06337000	2010-05-14	2520	A
USGS	06337000	2010-05-15	3050	A
USGS	06337000	2010-05-16	2500	A
USGS	06337000	2010-05-17	2180	A
USGS	06337000	2010-05-18	1970	A
USGS	06337000	2010-05-19	2540	A
USGS	06337000	2010-05-20	2720	A
USGS	06337000	2010-05-21	2440	A
USGS	06337000	2010-05-22	2050	A
USGS	06337000	2010-05-23	1710	A
USGS	06337000	2010-05-24	1630	A
USGS	06337000	2010-05-25	2500	A
USGS	06337000	2010-05-26	2540	A
USGS	06337000	2010-05-27	2320	A
USGS	06337000	2010-05-28	3350	A
USGS	06337000	2010-05-29	2370	A
USGS	06337000	2010-05-30	2100	A
USGS	06337000	2010-05-31	2150	A
USGS	06337000	2010-06-01	2270	A
USGS	06337000	2010-06-02	1770	A
USGS	06337000	2010-06-03	1450	A
USGS	06337000	2010-06-04	1660	A
USGS	06337000	2010-06-05	1500	A
USGS	06337000	2010-06-06	1090	A
USGS	06337000	2010-06-07	898	A
USGS	06337000	2010-06-08	769	A
USGS	06337000	2010-06-09	841	A
USGS	06337000	2010-06-10	694	A
USGS	06337000	2010-06-11	590	A
USGS	06337000	2010-06-12	549	A
USGS	06337000	2010-06-13	483	A
