# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06340500 KNIFE RIVER AT HAZEN, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06340500
#            TS   parameter     statistic     Description
#         91617       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91617_00060_00003	91617_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06340500	2010-01-01	36.1	A:e
USGS	06340500	2010-01-02	36.0	A:e
USGS	06340500	2010-01-03	35.9	A:e
USGS	06340500	2010-01-04	35.9	A:e
USGS	06340500	2010-01-05	35.7	A:e
USGS	06340500	2010-01-06	35.6	A:e
USGS	06340500	2010-01-07	35.5	A:e
USGS	06340500	2010-01-08	35.4	A:e
USGS	06340500	2010-01-09	35.4	A:e
USGS	06340500	2010-01-10	35.3	A:e
USGS	06340500	2010-01-11	35.2	A:e
USGS	06340500	2010-01-12	35.2	A:e
USGS	06340500	2010-01-13	35.1	A:e
USGS	06340500	2010-01-14	35.1	A:e
USGS	06340500	2010-01-15	35.1	A:e
USGS	06340500	2010-01-16	35.1	A:e
USGS	06340500	2010-01-17	35.1	A:e
USGS	06340500	2010-01-18	35.1	A:e
USGS	06340500	2010-01-19	35.0	A:e
USGS	06340500	2010-01-20	34.9	A:e
USGS	06340500	2010-01-21	34.8	A:e
USGS	06340500	2010-01-22	34.7	A:e
USGS	06340500	2010-01-23	34.5	A:e
USGS	06340500	2010-01-24	34.4	A:e
USGS	06340500	2010-01-25	34.3	A:e
USGS	06340500	2010-01-26	34.1	A:e
USGS	06340500	2010-01-27	33.8	A:e
USGS	06340500	2010-01-28	33.5	A:e
USGS	06340500	2010-01-29	33.4	A:e
USGS	06340500	2010-01-30	33.4	A:e
USGS	06340500	2010-01-31	33.3	A:e
USGS	06340500	2010-02-01	33.3	A:e
USGS	06340500	2010-02-02	33.3	A:e
USGS	06340500	2010-02-03	33.3	A:e
USGS	06340500	2010-02-04	33.3	A:e
USGS	06340500	2010-02-05	33.1	A:e
USGS	06340500	2010-02-06	33.0	A:e
USGS	06340500	2010-02-07	32.7	A:e
USGS	06340500	2010-02-08	32.4	A:e
USGS	06340500	2010-02-09	32.3	A:e
USGS	06340500	2010-02-10	32.3	A:e
USGS	06340500	2010-02-11	32.2	A:e
USGS	06340500	2010-02-12	32.2	A:e
USGS	06340500	2010-02-13	32.3	A:e
USGS	06340500	2010-02-14	32.3	A:e
USGS	06340500	2010-02-15	32.3	A:e
USGS	06340500	2010-02-16	32.3	A:e
USGS	06340500	2010-02-17	32.3	A:e
USGS	06340500	2010-02-18	32.2	A:e
USGS	06340500	2010-02-19	32.1	A:e
USGS	06340500	2010-02-20	31.9	A:e
USGS	06340500	2010-02-21	31.6	A:e
USGS	06340500	2010-02-22	31.3	A:e
USGS	06340500	2010-02-23	31.0	A:e
USGS	06340500	2010-02-24	30.8	A:e
USGS	06340500	2010-02-25	30.6	A:e
USGS	06340500	2010-02-26	30.5	A:e
USGS	06340500	2010-02-27	30.4	A:e
USGS	06340500	2010-02-28	30.2	A:e
USGS	06340500	2010-03-01	30.0	A:e
USGS	06340500	2010-03-02	30.0	A:e
USGS	06340500	2010-03-03	30.0	A:e
USGS	06340500	2010-03-04	30.0	A:e
USGS	06340500	2010-03-05	30.0	A:e
USGS	06340500	2010-03-06	30.1	A:e
USGS	06340500	2010-03-07	30.3	A:e
USGS	06340500	2010-03-08	30.6	A:e
USGS	06340500	2010-03-09	30.7	A:e
USGS	06340500	2010-03-10	30.9	A:e
USGS	06340500	2010-03-11	31.3	A:e
USGS	06340500	2010-03-12	32.1	A:e
USGS	06340500	2010-03-13	32.4	A:e
USGS	06340500	2010-03-14	33.6	A:e
USGS	06340500	2010-03-15	38.0	A:e
USGS	06340500	2010-03-16	44.0	A:e
USGS	06340500	2010-03-17	52.0	A:e
USGS	06340500	2010-03-18	74.0	A:e
USGS	06340500	2010-03-19	90.0	A:e
USGS	06340500	2010-03-20	120	A:e
USGS	06340500	2010-03-21	180	A:e
USGS	06340500	2010-03-22	180	A:e
USGS	06340500	2010-03-23	450	A:e
USGS	06340500	2010-03-24	800	A:e
USGS	06340500	2010-03-25	1300	A:e
USGS	06340500	2010-03-26	2000	A:e
USGS	06340500	2010-03-27	2420	A
USGS	06340500	2010-03-28	1920	A
USGS	06340500	2010-03-29	1780	A
USGS	06340500	2010-03-30	3250	A
USGS	06340500	2010-03-31	6020	A
USGS	06340500	2010-04-01	5760	A
USGS	06340500	2010-04-02	3670	A
USGS	06340500	2010-04-03	2850	A
USGS	06340500	2010-04-04	2080	A
USGS	06340500	2010-04-05	1460	A
USGS	06340500	2010-04-06	1060	A
USGS	06340500	2010-04-07	778	A
USGS	06340500	2010-04-08	613	A
USGS	06340500	2010-04-09	497	A
USGS	06340500	2010-04-10	425	A
USGS	06340500	2010-04-11	365	A
USGS	06340500	2010-04-12	322	A
USGS	06340500	2010-04-13	296	A
USGS	06340500	2010-04-14	333	A
USGS	06340500	2010-04-15	359	A
USGS	06340500	2010-04-16	299	A
USGS	06340500	2010-04-17	261	A
USGS	06340500	2010-04-18	248	A
USGS	06340500	2010-04-19	229	A
USGS	06340500	2010-04-20	201	A
USGS	06340500	2010-04-21	179	A
USGS	06340500	2010-04-22	161	A
USGS	06340500	2010-04-23	147	A
USGS	06340500	2010-04-24	137	A
USGS	06340500	2010-04-25	129	A
USGS	06340500	2010-04-26	125	A
USGS	06340500	2010-04-27	123	A
USGS	06340500	2010-04-28	120	A
USGS	06340500	2010-04-29	118	A
USGS	06340500	2010-04-30	115	A
USGS	06340500	2010-05-01	114	A
USGS	06340500	2010-05-02	116	A
USGS	06340500	2010-05-03	116	A
USGS	06340500	2010-05-04	115	A
USGS	06340500	2010-05-05	116	A
USGS	06340500	2010-05-06	118	A
USGS	06340500	2010-05-07	122	A
USGS	06340500	2010-05-08	128	A
USGS	06340500	2010-05-09	135	A
USGS	06340500	2010-05-10	131	A
USGS	06340500	2010-05-11	128	A
USGS	06340500	2010-05-12	126	A
USGS	06340500	2010-05-13	128	A
USGS	06340500	2010-05-14	131	A
USGS	06340500	2010-05-15	130	A
USGS	06340500	2010-05-16	124	A
USGS	06340500	2010-05-17	115	A
USGS	06340500	2010-05-18	105	A
USGS	06340500	2010-05-19	94.1	A
USGS	06340500	2010-05-20	87.0	A
USGS	06340500	2010-05-21	83.2	A
USGS	06340500	2010-05-22	81.2	A
USGS	06340500	2010-05-23	80.2	A
USGS	06340500	2010-05-24	86.1	A
USGS	06340500	2010-05-25	146	A
USGS	06340500	2010-05-26	232	A
USGS	06340500	2010-05-27	289	A
USGS	06340500	2010-05-28	1070	A
USGS	06340500	2010-05-29	1200	A
USGS	06340500	2010-05-30	753	A
USGS	06340500	2010-05-31	503	A
USGS	06340500	2010-06-01	365	A
USGS	06340500	2010-06-02	280	A
USGS	06340500	2010-06-03	220	A
USGS	06340500	2010-06-04	179	A
USGS	06340500	2010-06-05	149	A
USGS	06340500	2010-06-06	126	A
USGS	06340500	2010-06-07	111	A
USGS	06340500	2010-06-08	102	A
USGS	06340500	2010-06-09	95.3	A
USGS	06340500	2010-06-10	88.9	A
USGS	06340500	2010-06-11	83.5	A
USGS	06340500	2010-06-12	80.3	A
USGS	06340500	2010-06-13	77.6	A
USGS	06340500	2010-06-14	76.9	A
USGS	06340500	2010-06-15	71.2	A
USGS	06340500	2010-06-16	67.2	A
USGS	06340500	2010-06-17	74.1	A
USGS	06340500	2010-06-18	88.3	A
USGS	06340500	2010-06-19	100	A
USGS	06340500	2010-06-20	89.1	A
USGS	06340500	2010-06-21	81.9	A
USGS	06340500	2010-06-22	105	A
USGS	06340500	2010-06-23	134	A
USGS	06340500	2010-06-24	119	A
USGS	06340500	2010-06-25	215	A
USGS	06340500	2010-06-26	176	A
USGS	06340500	2010-06-27	188	A
USGS	06340500	2010-06-28	189	A
USGS	06340500	2010-06-29	145	A
USGS	06340500	2010-06-30	134	A
USGS	06340500	2010-07-01	132	A
USGS	06340500	2010-07-02	207	A
USGS	06340500	2010-07-03	177	A
USGS	06340500	2010-07-04	139	A
USGS	06340500	2010-07-05	119	A
USGS	06340500	2010-07-06	114	A
USGS	06340500	2010-07-07	110	A
