# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06342260 SQUARE BUTTE CREEK BELOW CENTER, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06342260
#            TS   parameter     statistic     Description
#         91674       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91674_00060_00003	91674_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06342260	2010-01-01	1.00	A:e
USGS	06342260	2010-01-02	1.00	A:e
USGS	06342260	2010-01-03	1.00	A:e
USGS	06342260	2010-01-04	1.00	A:e
USGS	06342260	2010-01-05	1.00	A:e
USGS	06342260	2010-01-06	1.00	A:e
USGS	06342260	2010-01-07	1.00	A:e
USGS	06342260	2010-01-08	1.00	A:e
USGS	06342260	2010-01-09	1.10	A:e
USGS	06342260	2010-01-10	1.20	A:e
USGS	06342260	2010-01-11	1.30	A:e
USGS	06342260	2010-01-12	1.40	A:e
USGS	06342260	2010-01-13	1.40	A:e
USGS	06342260	2010-01-14	1.40	A:e
USGS	06342260	2010-01-15	1.40	A:e
USGS	06342260	2010-01-16	1.40	A:e
USGS	06342260	2010-01-17	1.40	A:e
USGS	06342260	2010-01-18	1.30	A:e
USGS	06342260	2010-01-19	1.30	A:e
USGS	06342260	2010-01-20	1.30	A:e
USGS	06342260	2010-01-21	1.40	A:e
USGS	06342260	2010-01-22	1.52	A:e
USGS	06342260	2010-01-23	1.40	A:e
USGS	06342260	2010-01-24	1.40	A:e
USGS	06342260	2010-01-25	1.30	A:e
USGS	06342260	2010-01-26	1.30	A:e
USGS	06342260	2010-01-27	1.30	A:e
USGS	06342260	2010-01-28	1.30	A:e
USGS	06342260	2010-01-29	1.30	A:e
USGS	06342260	2010-01-30	1.30	A:e
USGS	06342260	2010-01-31	1.30	A:e
USGS	06342260	2010-02-01	1.30	A:e
USGS	06342260	2010-02-02	1.30	A:e
USGS	06342260	2010-02-03	1.30	A:e
USGS	06342260	2010-02-04	1.30	A:e
USGS	06342260	2010-02-05	1.30	A:e
USGS	06342260	2010-02-06	1.30	A:e
USGS	06342260	2010-02-07	1.30	A:e
USGS	06342260	2010-02-08	1.30	A:e
USGS	06342260	2010-02-09	1.30	A:e
USGS	06342260	2010-02-10	1.20	A:e
USGS	06342260	2010-02-11	1.20	A:e
USGS	06342260	2010-02-12	1.20	A:e
USGS	06342260	2010-02-13	1.20	A:e
USGS	06342260	2010-02-14	1.20	A:e
USGS	06342260	2010-02-15	1.20	A:e
USGS	06342260	2010-02-16	1.20	A:e
USGS	06342260	2010-02-17	1.20	A:e
USGS	06342260	2010-02-18	1.20	A:e
USGS	06342260	2010-02-19	1.20	A:e
USGS	06342260	2010-02-20	1.20	A:e
USGS	06342260	2010-02-21	1.20	A:e
USGS	06342260	2010-02-22	1.22	A:e
USGS	06342260	2010-02-23	1.19	A:e
USGS	06342260	2010-02-24	1.11	A:e
USGS	06342260	2010-02-25	1.13	A:e
USGS	06342260	2010-02-26	1.14	A:e
USGS	06342260	2010-02-27	1.11	A:e
USGS	06342260	2010-02-28	1.08	A:e
USGS	06342260	2010-03-01	1.08	A:e
USGS	06342260	2010-03-02	1.08	A:e
USGS	06342260	2010-03-03	1.03	A:e
USGS	06342260	2010-03-04	1.06	A:e
USGS	06342260	2010-03-05	1.06	A:e
USGS	06342260	2010-03-06	1.18	A
USGS	06342260	2010-03-07	1.22	A
USGS	06342260	2010-03-08	1.34	A
USGS	06342260	2010-03-09	17.5	A
USGS	06342260	2010-03-10	29.2	A
USGS	06342260	2010-03-11	28.7	A
USGS	06342260	2010-03-12	28.4	A
USGS	06342260	2010-03-13	27.9	A
USGS	06342260	2010-03-14	27.9	A
USGS	06342260	2010-03-15	28.2	A
USGS	06342260	2010-03-16	99.0	A
USGS	06342260	2010-03-17	176	A
USGS	06342260	2010-03-18	177	A
USGS	06342260	2010-03-19	93.2	A
USGS	06342260	2010-03-20	38.0	A
USGS	06342260	2010-03-21	38.6	A
USGS	06342260	2010-03-22	24.8	A
USGS	06342260	2010-03-23	14.7	A
USGS	06342260	2010-03-24	22.0	A
USGS	06342260	2010-03-25	17.8	A
USGS	06342260	2010-03-26	90.8	A
USGS	06342260	2010-03-27	212	A
USGS	06342260	2010-03-28	188	A
USGS	06342260	2010-03-29	237	A
USGS	06342260	2010-03-30	331	A
USGS	06342260	2010-03-31	332	A
USGS	06342260	2010-04-01	188	A
USGS	06342260	2010-04-02	167	A
USGS	06342260	2010-04-03	191	A
USGS	06342260	2010-04-04	149	A
USGS	06342260	2010-04-05	140	A
USGS	06342260	2010-04-06	95.3	A
USGS	06342260	2010-04-07	70.2	A
USGS	06342260	2010-04-08	100	A
USGS	06342260	2010-04-09	71.8	A
USGS	06342260	2010-04-10	120	A
USGS	06342260	2010-04-11	131	A
USGS	06342260	2010-04-12	72.2	A
USGS	06342260	2010-04-13	44.9	A
USGS	06342260	2010-04-14	124	A
USGS	06342260	2010-04-15	134	A
USGS	06342260	2010-04-16	83.6	A
USGS	06342260	2010-04-17	41.6	A
USGS	06342260	2010-04-18	15.1	A
USGS	06342260	2010-04-19	16.3	A
USGS	06342260	2010-04-20	38.2	A
USGS	06342260	2010-04-21	19.9	A
USGS	06342260	2010-04-22	16.5	A
USGS	06342260	2010-04-23	16.5	A
USGS	06342260	2010-04-24	16.3	A
USGS	06342260	2010-04-25	10.6	A
