# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06342500 MISSOURI RIVER AT BISMARCK, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06342500
#            TS   parameter     statistic     Description
#         91680       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91680_00060_00003	91680_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06342500	2010-01-01	16400	A:e
USGS	06342500	2010-01-02	16600	A:e
USGS	06342500	2010-01-03	16700	A:e
USGS	06342500	2010-01-04	17200	A:e
USGS	06342500	2010-01-05	17900	A:e
USGS	06342500	2010-01-06	17700	A:e
USGS	06342500	2010-01-07	17500	A:e
USGS	06342500	2010-01-08	17900	A:e
USGS	06342500	2010-01-09	18800	A:e
USGS	06342500	2010-01-10	18800	A:e
USGS	06342500	2010-01-11	18800	A:e
USGS	06342500	2010-01-12	19100	A:e
USGS	06342500	2010-01-13	19200	A:e
USGS	06342500	2010-01-14	19000	A:e
USGS	06342500	2010-01-15	18900	A:e
USGS	06342500	2010-01-16	18900	A:e
USGS	06342500	2010-01-17	18900	A:e
USGS	06342500	2010-01-18	18900	A:e
USGS	06342500	2010-01-19	18900	A:e
USGS	06342500	2010-01-20	19100	A:e
USGS	06342500	2010-01-21	19100	A:e
USGS	06342500	2010-01-22	18700	A:e
USGS	06342500	2010-01-23	18500	A:e
USGS	06342500	2010-01-24	18300	A:e
USGS	06342500	2010-01-25	18500	A:e
USGS	06342500	2010-01-26	18900	A:e
USGS	06342500	2010-01-27	18500	A:e
USGS	06342500	2010-01-28	18100	A:e
USGS	06342500	2010-01-29	18800	A:e
USGS	06342500	2010-01-30	19100	A:e
USGS	06342500	2010-01-31	18900	A:e
USGS	06342500	2010-02-01	18700	A:e
USGS	06342500	2010-02-02	18400	A:e
USGS	06342500	2010-02-03	18100	A:e
USGS	06342500	2010-02-04	18200	A:e
USGS	06342500	2010-02-05	18200	A:e
USGS	06342500	2010-02-06	18300	A:e
USGS	06342500	2010-02-07	18100	A:e
USGS	06342500	2010-02-08	17900	A:e
USGS	06342500	2010-02-09	17500	A:e
USGS	06342500	2010-02-10	16800	A:e
USGS	06342500	2010-02-11	16800	A:e
USGS	06342500	2010-02-12	16800	A:e
USGS	06342500	2010-02-13	16800	A:e
USGS	06342500	2010-02-14	16800	A:e
USGS	06342500	2010-02-15	16700	A:e
USGS	06342500	2010-02-16	16800	A:e
USGS	06342500	2010-02-17	16800	A:e
USGS	06342500	2010-02-18	16700	A:e
USGS	06342500	2010-02-19	16400	A:e
USGS	06342500	2010-02-20	16500	A:e
USGS	06342500	2010-02-21	16800	A:e
USGS	06342500	2010-02-22	17000	A:e
USGS	06342500	2010-02-23	16900	A:e
USGS	06342500	2010-02-24	16700	A:e
USGS	06342500	2010-02-25	16600	A:e
USGS	06342500	2010-02-26	16600	A:e
USGS	06342500	2010-02-27	16500	A:e
USGS	06342500	2010-02-28	16700	A:e
USGS	06342500	2010-03-01	17000	A:e
USGS	06342500	2010-03-02	16900	A:e
USGS	06342500	2010-03-03	16900	A:e
USGS	06342500	2010-03-04	16700	A:e
USGS	06342500	2010-03-05	16600	A:e
USGS	06342500	2010-03-06	16700	A:e
USGS	06342500	2010-03-07	16600	A:e
USGS	06342500	2010-03-08	16500	A:e
USGS	06342500	2010-03-09	16500	A:e
USGS	06342500	2010-03-10	16600	A:e
USGS	06342500	2010-03-11	16400	A:e
USGS	06342500	2010-03-12	15700	A:e
USGS	06342500	2010-03-13	15200	A:e
USGS	06342500	2010-03-14	14400	A:e
USGS	06342500	2010-03-15	14300	A:e
USGS	06342500	2010-03-16	13900	A:e
USGS	06342500	2010-03-17	13200	A
USGS	06342500	2010-03-18	12300	A
USGS	06342500	2010-03-19	11800	A
USGS	06342500	2010-03-20	11600	A
USGS	06342500	2010-03-21	11500	A
USGS	06342500	2010-03-22	11800	A
