# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06349500 APPLE CREEK NR MENOKEN, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06349500
#            TS   parameter     statistic     Description
#         91729       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91729_00060_00003	91729_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06349500	2010-01-01	2.14	A:e
USGS	06349500	2010-01-02	2.04	A:e
USGS	06349500	2010-01-03	1.95	A:e
USGS	06349500	2010-01-04	1.84	A:e
USGS	06349500	2010-01-05	1.73	A:e
USGS	06349500	2010-01-06	1.67	A:e
USGS	06349500	2010-01-07	1.63	A:e
USGS	06349500	2010-01-08	1.59	A:e
USGS	06349500	2010-01-09	1.57	A:e
USGS	06349500	2010-01-10	1.55	A:e
USGS	06349500	2010-01-11	1.53	A:e
USGS	06349500	2010-01-12	1.50	A:e
USGS	06349500	2010-01-13	1.50	A:e
USGS	06349500	2010-01-14	1.50	A:e
USGS	06349500	2010-01-15	1.50	A:e
USGS	06349500	2010-01-16	1.50	A:e
USGS	06349500	2010-01-17	1.50	A:e
USGS	06349500	2010-01-18	1.47	A:e
USGS	06349500	2010-01-19	1.45	A:e
USGS	06349500	2010-01-20	1.45	A:e
USGS	06349500	2010-01-21	1.45	A:e
USGS	06349500	2010-01-22	1.45	A:e
