# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06354000 CANNONBALL RIVER AT BREIEN, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06354000
#            TS   parameter     statistic     Description
#         91769       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91769_00060_00003	91769_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06354000	2010-01-01	16.0	A:e
USGS	06354000	2010-01-02	16.0	A:e
USGS	06354000	2010-01-03	15.0	A:e
USGS	06354000	2010-01-04	15.4	A:e
USGS	06354000	2010-01-05	15.1	A:e
USGS	06354000	2010-01-06	15.1	A:e
USGS	06354000	2010-01-07	15.3	A:e
USGS	06354000	2010-01-08	15.0	A:e
USGS	06354000	2010-01-09	16.0	A:e
USGS	06354000	2010-01-10	16.4	A:e
USGS	06354000	2010-01-11	16.0	A:e
USGS	06354000	2010-01-12	16.6	A:e
USGS	06354000	2010-01-13	16.6	A:e
USGS	06354000	2010-01-14	16.6	A:e
USGS	06354000	2010-01-15	16.6	A:e
USGS	06354000	2010-01-16	16.6	A:e
USGS	06354000	2010-01-17	16.7	A:e
USGS	06354000	2010-01-18	18.0	A:e
USGS	06354000	2010-01-19	18.0	A:e
USGS	06354000	2010-01-20	18.0	A:e
USGS	06354000	2010-01-21	18.0	A:e
USGS	06354000	2010-01-22	19.0	A:e
USGS	06354000	2010-01-23	19.0	A:e
USGS	06354000	2010-01-24	18.7	A:e
USGS	06354000	2010-01-25	19.0	A:e
USGS	06354000	2010-01-26	20.0	A:e
USGS	06354000	2010-01-27	20.0	A:e
USGS	06354000	2010-01-28	20.0	A:e
USGS	06354000	2010-01-29	20.0	A:e
USGS	06354000	2010-01-30	20.0	A:e
USGS	06354000	2010-01-31	20.0	A:e
USGS	06354000	2010-02-01	20.0	A:e
USGS	06354000	2010-02-02	21.0	A:e
USGS	06354000	2010-02-03	21.0	A:e
USGS	06354000	2010-02-04	22.0	A:e
USGS	06354000	2010-02-05	22.0	A:e
USGS	06354000	2010-02-06	23.0	A:e
USGS	06354000	2010-02-07	23.0	A:e
USGS	06354000	2010-02-08	24.0	A:e
USGS	06354000	2010-02-09	24.0	A:e
USGS	06354000	2010-02-10	24.0	A:e
USGS	06354000	2010-02-11	24.0	A:e
USGS	06354000	2010-02-12	24.0	A:e
USGS	06354000	2010-02-13	24.0	A:e
USGS	06354000	2010-02-14	24.0	A:e
USGS	06354000	2010-02-15	24.0	A:e
USGS	06354000	2010-02-16	24.0	A:e
USGS	06354000	2010-02-17	24.0	A:e
USGS	06354000	2010-02-18	25.5	A:e
USGS	06354000	2010-02-19	25.0	A:e
USGS	06354000	2010-02-20	25.0	A:e
USGS	06354000	2010-02-21	25.9	A:e
USGS	06354000	2010-02-22	25.9	A:e
USGS	06354000	2010-02-23	25.9	A:e
USGS	06354000	2010-02-24	25.9	A:e
USGS	06354000	2010-02-25	25.9	A:e
USGS	06354000	2010-02-26	25.9	A:e
USGS	06354000	2010-02-27	25.9	A:e
USGS	06354000	2010-02-28	25.9	A:e
USGS	06354000	2010-03-01	25.9	A:e
USGS	06354000	2010-03-02	25.9	A:e
USGS	06354000	2010-03-03	27.0	A:e
USGS	06354000	2010-03-04	27.0	A:e
USGS	06354000	2010-03-05	27.0	A:e
USGS	06354000	2010-03-06	27.0	A:e
USGS	06354000	2010-03-07	28.0	A:e
USGS	06354000	2010-03-08	28.0	A:e
USGS	06354000	2010-03-09	29.0	A:e
USGS	06354000	2010-03-10	31.0	A:e
USGS	06354000	2010-03-11	33.0	A:e
USGS	06354000	2010-03-12	35.0	A:e
USGS	06354000	2010-03-13	38.0	A:e
USGS	06354000	2010-03-14	43.0	A:e
USGS	06354000	2010-03-15	53.0	A:e
USGS	06354000	2010-03-16	70.0	A:e
USGS	06354000	2010-03-17	100	A:e
USGS	06354000	2010-03-18	160	A:e
USGS	06354000	2010-03-19	304	A:e
USGS	06354000	2010-03-20	460	A:e
USGS	06354000	2010-03-21	650	A:e
USGS	06354000	2010-03-22	1200	A:e
USGS	06354000	2010-03-23	2090	A:e
USGS	06354000	2010-03-24	3150	A:e
USGS	06354000	2010-03-25	2900	A:e
USGS	06354000	2010-03-26	2480	A
USGS	06354000	2010-03-27	2440	A
USGS	06354000	2010-03-28	2460	A
USGS	06354000	2010-03-29	2650	A
USGS	06354000	2010-03-30	3790	A
USGS	06354000	2010-03-31	4620	A
USGS	06354000	2010-04-01	5190	A
USGS	06354000	2010-04-02	5990	A
USGS	06354000	2010-04-03	6740	A
USGS	06354000	2010-04-04	6130	A
USGS	06354000	2010-04-05	4540	A
USGS	06354000	2010-04-06	3440	A
USGS	06354000	2010-04-07	2790	A
USGS	06354000	2010-04-08	2380	A
USGS	06354000	2010-04-09	2010	A
USGS	06354000	2010-04-10	1720	A
USGS	06354000	2010-04-11	1440	A
USGS	06354000	2010-04-12	1190	A
USGS	06354000	2010-04-13	1110	A
USGS	06354000	2010-04-14	1610	A
USGS	06354000	2010-04-15	1630	A
USGS	06354000	2010-04-16	1120	A
USGS	06354000	2010-04-17	848	A
USGS	06354000	2010-04-18	677	A
USGS	06354000	2010-04-19	584	A
USGS	06354000	2010-04-20	531	A
USGS	06354000	2010-04-21	476	A
USGS	06354000	2010-04-22	424	A
USGS	06354000	2010-04-23	376	A
USGS	06354000	2010-04-24	352	A
USGS	06354000	2010-04-25	315	A
USGS	06354000	2010-04-26	291	A
USGS	06354000	2010-04-27	275	A
USGS	06354000	2010-04-28	253	A
USGS	06354000	2010-04-29	250	A
USGS	06354000	2010-04-30	248	A
USGS	06354000	2010-05-01	238	A
USGS	06354000	2010-05-02	231	A
USGS	06354000	2010-05-03	222	A
USGS	06354000	2010-05-04	212	A
USGS	06354000	2010-05-05	201	A
USGS	06354000	2010-05-06	198	A
USGS	06354000	2010-05-07	261	A
USGS	06354000	2010-05-08	287	A
USGS	06354000	2010-05-09	246	A
USGS	06354000	2010-05-10	235	A
USGS	06354000	2010-05-11	230	A
USGS	06354000	2010-05-12	226	A
USGS	06354000	2010-05-13	351	A
USGS	06354000	2010-05-14	459	A
USGS	06354000	2010-05-15	415	A
USGS	06354000	2010-05-16	315	A
USGS	06354000	2010-05-17	266	A
USGS	06354000	2010-05-18	234	A
USGS	06354000	2010-05-19	210	A
USGS	06354000	2010-05-20	193	A
USGS	06354000	2010-05-21	183	A
USGS	06354000	2010-05-22	421	A
USGS	06354000	2010-05-23	408	A
USGS	06354000	2010-05-24	326	A
USGS	06354000	2010-05-25	836	A:e
USGS	06354000	2010-05-26	1200	A:e
USGS	06354000	2010-05-27	561	A
USGS	06354000	2010-05-28	1550	A
USGS	06354000	2010-05-29	1770	A
USGS	06354000	2010-05-30	1230	A
USGS	06354000	2010-05-31	1010	A
USGS	06354000	2010-06-01	872	A
USGS	06354000	2010-06-02	838	A
USGS	06354000	2010-06-03	702	A
USGS	06354000	2010-06-04	577	A
USGS	06354000	2010-06-05	491	A
USGS	06354000	2010-06-06	424	A
USGS	06354000	2010-06-07	368	A
USGS	06354000	2010-06-08	324	A
USGS	06354000	2010-06-09	288	A
USGS	06354000	2010-06-10	253	A
USGS	06354000	2010-06-11	245	A
USGS	06354000	2010-06-12	223	A
USGS	06354000	2010-06-13	203	A
USGS	06354000	2010-06-14	184	A
USGS	06354000	2010-06-15	168	A
USGS	06354000	2010-06-16	150	A
USGS	06354000	2010-06-17	170	A
USGS	06354000	2010-06-18	142	A
USGS	06354000	2010-06-19	149	A
USGS	06354000	2010-06-20	220	A
USGS	06354000	2010-06-21	260	A
USGS	06354000	2010-06-22	282	A
USGS	06354000	2010-06-23	251	A
USGS	06354000	2010-06-24	219	A
USGS	06354000	2010-06-25	195	A
USGS	06354000	2010-06-26	187	A
USGS	06354000	2010-06-27	187	A
USGS	06354000	2010-06-28	275	A
USGS	06354000	2010-06-29	351	A
USGS	06354000	2010-06-30	440	A
USGS	06354000	2010-07-01	347	A
USGS	06354000	2010-07-02	249	A
USGS	06354000	2010-07-03	200	A
USGS	06354000	2010-07-04	167	A
USGS	06354000	2010-07-05	141	A
USGS	06354000	2010-07-06	125	A
USGS	06354000	2010-07-07	113	A
USGS	06354000	2010-07-08	103	A
USGS	06354000	2010-07-09	94.0	A
USGS	06354000	2010-07-10	85.7	A
USGS	06354000	2010-07-11	80.6	A
USGS	06354000	2010-07-12	74.5	A
USGS	06354000	2010-07-13	77.9	A
USGS	06354000	2010-07-14	141	A
USGS	06354000	2010-07-15	82.8	A
USGS	06354000	2010-07-16	77.0	A
USGS	06354000	2010-07-17	71.3	A
USGS	06354000	2010-07-18	69.3	A
USGS	06354000	2010-07-19	77.1	A
USGS	06354000	2010-07-20	107	A
USGS	06354000	2010-07-21	80.8	A
USGS	06354000	2010-07-22	87.2	A
USGS	06354000	2010-07-23	90.1	A
USGS	06354000	2010-07-24	99.6	A
USGS	06354000	2010-07-25	134	A
USGS	06354000	2010-07-26	111	A
USGS	06354000	2010-07-27	94.6	A
USGS	06354000	2010-07-28	83.9	A
USGS	06354000	2010-07-29	75.2	A
USGS	06354000	2010-07-30	82.3	A
USGS	06354000	2010-07-31	85.8	A
USGS	06354000	2010-08-01	88.1	A
USGS	06354000	2010-08-02	104	A
USGS	06354000	2010-08-03	136	A
USGS	06354000	2010-08-04	142	A
USGS	06354000	2010-08-05	169	A
USGS	06354000	2010-08-06	133	A
USGS	06354000	2010-08-07	118	A
USGS	06354000	2010-08-08	99.7	A
USGS	06354000	2010-08-09	89.5	A
USGS	06354000	2010-08-10	80.6	A
USGS	06354000	2010-08-11	72.5	A
USGS	06354000	2010-08-12	66.7	A
USGS	06354000	2010-08-13	391	A
USGS	06354000	2010-08-14	249	A
USGS	06354000	2010-08-15	137	A
USGS	06354000	2010-08-16	113	A
USGS	06354000	2010-08-17	86.1	A
USGS	06354000	2010-08-18	65.8	A
USGS	06354000	2010-08-19	58.9	A
USGS	06354000	2010-08-20	56.2	A
USGS	06354000	2010-08-21	52.2	A
USGS	06354000	2010-08-22	49.8	A
USGS	06354000	2010-08-23	47.3	A
USGS	06354000	2010-08-24	44.5	A
USGS	06354000	2010-08-25	46.8	A
USGS	06354000	2010-08-26	45.5	A
USGS	06354000	2010-08-27	42.6	A
USGS	06354000	2010-08-28	37.3	A
USGS	06354000	2010-08-29	36.6	A
USGS	06354000	2010-08-30	37.8	A
USGS	06354000	2010-08-31	39.6	A
USGS	06354000	2010-09-01	42.6	A
USGS	06354000	2010-09-02	43.3	A
USGS	06354000	2010-09-03	36.5	A
USGS	06354000	2010-09-04	34.0	A
USGS	06354000	2010-09-05	36.3	A
USGS	06354000	2010-09-06	66.3	A
USGS	06354000	2010-09-07	175	A
USGS	06354000	2010-09-08	157	A
USGS	06354000	2010-09-09	92.7	A
USGS	06354000	2010-09-10	78.8	A
USGS	06354000	2010-09-11	66.2	A
USGS	06354000	2010-09-12	60.3	A
USGS	06354000	2010-09-13	55.3	A
USGS	06354000	2010-09-14	51.9	A
USGS	06354000	2010-09-15	50.5	A
USGS	06354000	2010-09-16	58.1	A
USGS	06354000	2010-09-17	80.4	A
USGS	06354000	2010-09-18	70.9	A
USGS	06354000	2010-09-19	63.9	A
USGS	06354000	2010-09-20	56.6	A
USGS	06354000	2010-09-21	54.8	A
USGS	06354000	2010-09-22	51.5	A
USGS	06354000	2010-09-23	69.2	A
USGS	06354000	2010-09-24	97.4	A
USGS	06354000	2010-09-25	132	A
USGS	06354000	2010-09-26	99.5	A
USGS	06354000	2010-09-27	87.6	A
USGS	06354000	2010-09-28	77.2	A
USGS	06354000	2010-09-29	70.6	A
USGS	06354000	2010-09-30	71.0	A
USGS	06354000	2010-10-01	70.2	A
USGS	06354000	2010-10-02	68.0	A
USGS	06354000	2010-10-03	65.6	A
USGS	06354000	2010-10-04	60.8	A
USGS	06354000	2010-10-05	57.7	A
USGS	06354000	2010-10-06	52.2	A
USGS	06354000	2010-10-07	50.3	A
USGS	06354000	2010-10-08	49.1	A
USGS	06354000	2010-10-09	48.2	A
USGS	06354000	2010-10-10	47.0	A
USGS	06354000	2010-10-11	45.4	A
USGS	06354000	2010-10-12	44.8	A
USGS	06354000	2010-10-13	44.9	A
USGS	06354000	2010-10-14	42.7	A
USGS	06354000	2010-10-15	41.6	A
USGS	06354000	2010-10-16	39.4	A
USGS	06354000	2010-10-17	39.6	A
USGS	06354000	2010-10-18	38.7	A
USGS	06354000	2010-10-19	37.4	A
USGS	06354000	2010-10-20	37.0	A
USGS	06354000	2010-10-21	38.0	A
USGS	06354000	2010-10-22	37.7	A
USGS	06354000	2010-10-23	37.6	A
USGS	06354000	2010-10-24	38.9	A
USGS	06354000	2010-10-25	40.8	A
USGS	06354000	2010-10-26	38.3	A
USGS	06354000	2010-10-27	41.1	A
USGS	06354000	2010-10-28	45.1	A
USGS	06354000	2010-10-29	43.0	A
USGS	06354000	2010-10-30	45.2	A
USGS	06354000	2010-10-31	46.0	A
USGS	06354000	2010-11-01	43.5	A
USGS	06354000	2010-11-02	44.8	A
USGS	06354000	2010-11-03	43.1	A
USGS	06354000	2010-11-04	44.5	A
USGS	06354000	2010-11-05	46.6	A
USGS	06354000	2010-11-06	45.5	A
USGS	06354000	2010-11-07	45.7	A
USGS	06354000	2010-11-08	46.5	A
USGS	06354000	2010-11-09	45.6	A
USGS	06354000	2010-11-10	46.8	A
USGS	06354000	2010-11-11	47.8	A
USGS	06354000	2010-11-12	47.4	A
USGS	06354000	2010-11-13	47.1	A
USGS	06354000	2010-11-14	47.4	A
USGS	06354000	2010-11-15	48.1	A
USGS	06354000	2010-11-16	48.8	A
USGS	06354000	2010-11-17	48.8	A
USGS	06354000	2010-11-18	48.7	A
USGS	06354000	2010-11-19	49.4	A:e
USGS	06354000	2010-11-20	47.0	A:e
USGS	06354000	2010-11-21	45.0	A:e
USGS	06354000	2010-11-22	44.0	A:e
USGS	06354000	2010-11-23	42.0	A:e
USGS	06354000	2010-11-24	40.0	A:e
USGS	06354000	2010-11-25	39.0	A:e
USGS	06354000	2010-11-26	38.0	A:e
USGS	06354000	2010-11-27	38.0	A:e
USGS	06354000	2010-11-28	38.0	A:e
USGS	06354000	2010-11-29	37.0	A:e
USGS	06354000	2010-11-30	37.0	A:e
USGS	06354000	2010-12-01	37.0	A:e
USGS	06354000	2010-12-02	37.0	A:e
USGS	06354000	2010-12-03	36.0	A:e
USGS	06354000	2010-12-04	36.0	A:e
USGS	06354000	2010-12-05	35.0	A:e
USGS	06354000	2010-12-06	35.0	A:e
USGS	06354000	2010-12-07	35.0	A:e
USGS	06354000	2010-12-08	34.6	A:e
USGS	06354000	2010-12-09	34.2	A:e
USGS	06354000	2010-12-10	33.0	A:e
USGS	06354000	2010-12-11	32.0	A:e
USGS	06354000	2010-12-12	33.0	A:e
USGS	06354000	2010-12-13	34.3	A:e
USGS	06354000	2010-12-14	34.3	A:e
USGS	06354000	2010-12-15	34.1	A:e
USGS	06354000	2010-12-16	34.3	A:e
USGS	06354000	2010-12-17	34.2	A:e
USGS	06354000	2010-12-18	34.2	A:e
USGS	06354000	2010-12-19	33.0	A:e
USGS	06354000	2010-12-20	32.0	A:e
USGS	06354000	2010-12-21	32.0	A:e
USGS	06354000	2010-12-22	33.0	A:e
USGS	06354000	2010-12-23	33.0	A:e
USGS	06354000	2010-12-24	34.1	A:e
USGS	06354000	2010-12-25	34.0	A:e
USGS	06354000	2010-12-26	34.0	A:e
USGS	06354000	2010-12-27	33.0	A:e
USGS	06354000	2010-12-28	32.8	A:e
USGS	06354000	2010-12-29	32.4	A:e
USGS	06354000	2010-12-30	31.0	A:e
USGS	06354000	2010-12-31	30.0	A:e
USGS	06354000	2011-01-01	31.0	A:e
USGS	06354000	2011-01-02	32.0	A:e
USGS	06354000	2011-01-03	33.0	A:e
USGS	06354000	2011-01-04	34.0	A:e
USGS	06354000	2011-01-05	33.7	A:e
USGS	06354000	2011-01-06	33.8	A:e
USGS	06354000	2011-01-07	33.9	A:e
USGS	06354000	2011-01-08	33.0	A:e
USGS	06354000	2011-01-09	32.0	A:e
USGS	06354000	2011-01-10	31.0	A:e
USGS	06354000	2011-01-11	32.0	A:e
USGS	06354000	2011-01-12	33.0	A:e
USGS	06354000	2011-01-13	34.0	A:e
USGS	06354000	2011-01-14	34.7	A:e
USGS	06354000	2011-01-15	34.9	A:e
USGS	06354000	2011-01-16	35.0	A:e
USGS	06354000	2011-01-17	35.0	A:e
USGS	06354000	2011-01-18	35.3	A:e
USGS	06354000	2011-01-19	36.2	A:e
USGS	06354000	2011-01-20	37.0	A:e
USGS	06354000	2011-01-21	38.0	A:e
USGS	06354000	2011-01-22	39.0	A:e
USGS	06354000	2011-01-23	39.9	A:e
USGS	06354000	2011-01-24	39.8	A:e
USGS	06354000	2011-01-25	39.7	A:e
USGS	06354000	2011-01-26	39.6	A:e
USGS	06354000	2011-01-27	39.2	A:e
USGS	06354000	2011-01-28	38.0	A:e
USGS	06354000	2011-01-29	37.0	A:e
USGS	06354000	2011-01-30	36.0	A:e
USGS	06354000	2011-01-31	35.0	A:e
USGS	06354000	2011-02-01	38.8	A:e
USGS	06354000	2011-02-02	38.6	A:e
USGS	06354000	2011-02-03	38.4	A:e
USGS	06354000	2011-02-04	37.8	A:e
