# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06354580 BEAVER CREEK BL LINTON, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06354580
#            TS   parameter     statistic     Description
#         91779       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91779_00060_00003	91779_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06354580	2010-01-01	7.30	A:e
USGS	06354580	2010-01-02	7.47	A:e
USGS	06354580	2010-01-03	7.20	A:e
USGS	06354580	2010-01-04	7.20	A:e
USGS	06354580	2010-01-05	7.00	A:e
USGS	06354580	2010-01-06	6.90	A:e
USGS	06354580	2010-01-07	7.20	A:e
USGS	06354580	2010-01-08	7.30	A:e
USGS	06354580	2010-01-09	7.40	A:e
USGS	06354580	2010-01-10	7.40	A:e
USGS	06354580	2010-01-11	7.50	A:e
USGS	06354580	2010-01-12	7.50	A:e
USGS	06354580	2010-01-13	7.63	A:e
USGS	06354580	2010-01-14	7.96	A:e
USGS	06354580	2010-01-15	8.00	A:e
USGS	06354580	2010-01-16	8.00	A:e
USGS	06354580	2010-01-17	8.00	A:e
USGS	06354580	2010-01-18	7.90	A:e
USGS	06354580	2010-01-19	7.80	A:e
USGS	06354580	2010-01-20	7.70	A:e
USGS	06354580	2010-01-21	7.60	A:e
USGS	06354580	2010-01-22	7.50	A:e
USGS	06354580	2010-01-23	7.40	A:e
USGS	06354580	2010-01-24	7.20	A:e
USGS	06354580	2010-01-25	7.00	A:e
USGS	06354580	2010-01-26	6.90	A:e
USGS	06354580	2010-01-27	6.70	A:e
USGS	06354580	2010-01-28	6.50	A:e
USGS	06354580	2010-01-29	6.30	A:e
USGS	06354580	2010-01-30	6.22	A:e
USGS	06354580	2010-01-31	5.96	A:e
USGS	06354580	2010-02-01	6.40	A:e
USGS	06354580	2010-02-02	6.80	A:e
USGS	06354580	2010-02-03	7.00	A:e
USGS	06354580	2010-02-04	7.10	A:e
USGS	06354580	2010-02-05	7.10	A:e
USGS	06354580	2010-02-06	7.10	A:e
USGS	06354580	2010-02-07	7.20	A:e
USGS	06354580	2010-02-08	7.20	A:e
USGS	06354580	2010-02-09	7.10	A:e
USGS	06354580	2010-02-10	7.10	A:e
USGS	06354580	2010-02-11	7.20	A:e
USGS	06354580	2010-02-12	7.30	A:e
USGS	06354580	2010-02-13	7.20	A:e
USGS	06354580	2010-02-14	7.10	A:e
USGS	06354580	2010-02-15	7.00	A:e
USGS	06354580	2010-02-16	7.10	A:e
USGS	06354580	2010-02-17	7.20	A:e
USGS	06354580	2010-02-18	7.30	A:e
USGS	06354580	2010-02-19	7.40	A:e
USGS	06354580	2010-02-20	7.30	A:e
USGS	06354580	2010-02-21	7.10	A:e
USGS	06354580	2010-02-22	7.00	A:e
USGS	06354580	2010-02-23	7.00	A:e
USGS	06354580	2010-02-24	7.00	A:e
USGS	06354580	2010-02-25	7.00	A:e
USGS	06354580	2010-02-26	6.90	A:e
USGS	06354580	2010-02-27	6.80	A:e
USGS	06354580	2010-02-28	6.74	A:e
USGS	06354580	2010-03-01	6.64	A:e
USGS	06354580	2010-03-02	7.10	A:e
USGS	06354580	2010-03-03	7.70	A:e
USGS	06354580	2010-03-04	7.73	A:e
USGS	06354580	2010-03-05	6.98	A:e
USGS	06354580	2010-03-06	7.33	A:e
USGS	06354580	2010-03-07	7.75	A:e
USGS	06354580	2010-03-08	8.97	A:e
USGS	06354580	2010-03-09	11.0	A:e
USGS	06354580	2010-03-10	14.0	A:e
USGS	06354580	2010-03-11	25.8	A:e
USGS	06354580	2010-03-12	60.0	A:e
USGS	06354580	2010-03-13	120	A:e
USGS	06354580	2010-03-14	260	A:e
USGS	06354580	2010-03-15	550	A:e
USGS	06354580	2010-03-16	950	A:e
USGS	06354580	2010-03-17	1400	A:e
USGS	06354580	2010-03-18	2200	A:e
USGS	06354580	2010-03-19	2500	A:e
USGS	06354580	2010-03-20	2400	A:e
USGS	06354580	2010-03-21	2100	A
USGS	06354580	2010-03-22	2080	A
USGS	06354580	2010-03-23	2240	A
USGS	06354580	2010-03-24	2240	A
USGS	06354580	2010-03-25	1950	A
USGS	06354580	2010-03-26	1320	A
USGS	06354580	2010-03-27	884	A
USGS	06354580	2010-03-28	872	A
USGS	06354580	2010-03-29	731	A
USGS	06354580	2010-03-30	582	A
USGS	06354580	2010-03-31	544	A
USGS	06354580	2010-04-01	513	A
USGS	06354580	2010-04-02	516	A
USGS	06354580	2010-04-03	510	A
USGS	06354580	2010-04-04	505	A
USGS	06354580	2010-04-05	461	A
USGS	06354580	2010-04-06	453	A
USGS	06354580	2010-04-07	400	A
USGS	06354580	2010-04-08	353	A
USGS	06354580	2010-04-09	317	A
USGS	06354580	2010-04-10	281	A
USGS	06354580	2010-04-11	251	A
USGS	06354580	2010-04-12	223	A
USGS	06354580	2010-04-13	210	A
USGS	06354580	2010-04-14	205	A
USGS	06354580	2010-04-15	189	A
USGS	06354580	2010-04-16	182	A
USGS	06354580	2010-04-17	168	A
USGS	06354580	2010-04-18	150	A
USGS	06354580	2010-04-19	140	A
USGS	06354580	2010-04-20	133	A
USGS	06354580	2010-04-21	124	A
USGS	06354580	2010-04-22	114	A
USGS	06354580	2010-04-23	105	A
USGS	06354580	2010-04-24	104	A
USGS	06354580	2010-04-25	101	A
USGS	06354580	2010-04-26	103	A
USGS	06354580	2010-04-27	102	A
USGS	06354580	2010-04-28	105	A
USGS	06354580	2010-04-29	104	A
USGS	06354580	2010-04-30	99.8	A
USGS	06354580	2010-05-01	92.7	A
USGS	06354580	2010-05-02	87.6	A
USGS	06354580	2010-05-03	83.2	A
USGS	06354580	2010-05-04	82.0	A
