# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06354815 PORCUPINE CREEK NR FT YATES, ND
# -----------------------------------------------------------------------------------
#
# Data provided for site 06354815
#            TS   parameter     statistic     Description
#         91781       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	91781_00060_00003	91781_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06354815	2018-07-03	8.71	A
USGS	06354815	2018-07-04	143	A
USGS	06354815	2018-07-05	122	A
USGS	06354815	2018-07-06	94.0	A
USGS	06354815	2018-07-07	41.2	A
USGS	06354815	2018-07-08	18.5	A
USGS	06354815	2018-07-09	14.3	A
USGS	06354815	2018-07-10	14.3	A
USGS	06354815	2018-07-11	7.73	A
USGS	06354815	2018-07-12	5.49	A
USGS	06354815	2018-07-13	4.36	A
USGS	06354815	2018-07-14	3.65	A
USGS	06354815	2018-07-15	3.38	A
USGS	06354815	2018-07-16	3.69	A
USGS	06354815	2018-07-17	2.89	A
USGS	06354815	2018-07-18	2.52	A
USGS	06354815	2018-07-19	2.59	A
USGS	06354815	2018-07-20	1.94	A
USGS	06354815	2018-07-21	1.31	A
USGS	06354815	2018-07-22	15.2	A
USGS	06354815	2018-07-23	27.0	A
USGS	06354815	2018-07-24	10.4	A
USGS	06354815	2018-07-25	6.06	A
USGS	06354815	2018-07-26	5.46	A
USGS	06354815	2018-07-27	4.37	A
USGS	06354815	2018-07-28	3.54	A
USGS	06354815	2018-07-29	3.69	A
USGS	06354815	2018-07-30	3.99	A
USGS	06354815	2018-07-31	4.34	A
USGS	06354815	2018-08-01	4.69	A
USGS	06354815	2018-08-02	2.91	A
USGS	06354815	2018-08-03	2.09	A
USGS	06354815	2018-08-04	1.90	A
USGS	06354815	2018-08-05	3.33	A
USGS	06354815	2018-08-06	6.07	A
USGS	06354815	2018-08-07	10.2	A
USGS	06354815	2018-08-08	10.3	A
USGS	06354815	2018-08-09	5.08	A
USGS	06354815	2018-08-10	3.32	A
USGS	06354815	2018-08-11	2.40	A
USGS	06354815	2018-08-12	1.59	A
USGS	06354815	2018-08-13	1.23	A
USGS	06354815	2018-08-14	1.15	A
USGS	06354815	2018-08-15	0.85	A
USGS	06354815	2018-08-16	0.96	A
USGS	06354815	2018-08-17	0.87	A
