# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06354881 OAK CREEK NR RATTLESNAKE BUTTE NR WAKPALA, SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06354881
#            TS   parameter     statistic     Description
#        250965       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	250965_00060_00003	250965_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06354881	2016-09-30	0.01	A:e
USGS	06354881	2016-10-01	0.05	A:e
USGS	06354881	2016-10-02	0.14	A:e
USGS	06354881	2016-10-03	0.26	A:e
USGS	06354881	2016-10-04	0.40	A:e
USGS	06354881	2016-10-05	0.43	A
USGS	06354881	2016-10-06	0.45	A
USGS	06354881	2016-10-07	0.67	A
USGS	06354881	2016-10-08	0.62	A
USGS	06354881	2016-10-09	0.53	A
USGS	06354881	2016-10-10	0.65	A
USGS	06354881	2016-10-11	1.01	A
USGS	06354881	2016-10-12	1.04	A
USGS	06354881	2016-10-13	1.25	A
USGS	06354881	2016-10-14	1.61	A
USGS	06354881	2016-10-15	1.63	A:e
USGS	06354881	2016-10-16	2.60	A:e
USGS	06354881	2016-10-17	3.05	A:e
USGS	06354881	2016-10-18	3.00	A:e
USGS	06354881	2016-10-19	2.79	A
USGS	06354881	2016-10-20	3.59	A
USGS	06354881	2016-10-21	3.63	A
USGS	06354881	2016-10-22	3.42	A
USGS	06354881	2016-10-23	3.47	A
USGS	06354881	2016-10-24	3.42	A
USGS	06354881	2016-10-25	3.60	A
USGS	06354881	2016-10-26	3.72	A
USGS	06354881	2016-10-27	3.92	A
USGS	06354881	2016-10-28	4.38	A
USGS	06354881	2016-10-29	5.55	A
USGS	06354881	2016-10-30	6.20	A
USGS	06354881	2016-10-31	8.04	A:e
USGS	06354881	2016-11-01	7.74	A:e
USGS	06354881	2016-11-02	7.30	A:e
USGS	06354881	2016-11-03	6.99	A:e
USGS	06354881	2016-11-04	6.84	A:e
USGS	06354881	2016-11-05	6.83	A:e
USGS	06354881	2016-11-06	6.86	A:e
USGS	06354881	2016-11-07	6.86	A:e
USGS	06354881	2016-11-08	6.85	A:e
USGS	06354881	2016-11-09	6.83	A:e
USGS	06354881	2016-11-10	6.78	A:e
USGS	06354881	2016-11-11	6.66	A:e
USGS	06354881	2016-11-12	6.46	A:e
USGS	06354881	2016-11-13	6.08	A:e
USGS	06354881	2016-11-14	5.42	A:e
USGS	06354881	2016-11-15	4.64	A:e
USGS	06354881	2016-11-16	3.64	A:e
USGS	06354881	2016-11-17	4.76	A:e
USGS	06354881	2016-11-18	7.02	A:e
