# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06357800 GRAND R AT LITTLE EAGLE,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06357800
#            TS   parameter     statistic     Description
#        128377       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128377_00060_00003	128377_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06357800	2010-01-01	53.0	A:e
USGS	06357800	2010-01-02	52.0	A:e
USGS	06357800	2010-01-03	52.0	A:e
USGS	06357800	2010-01-04	52.0	A:e
USGS	06357800	2010-01-05	52.0	A:e
USGS	06357800	2010-01-06	52.0	A:e
USGS	06357800	2010-01-07	50.0	A:e
USGS	06357800	2010-01-08	50.0	A:e
USGS	06357800	2010-01-09	50.0	A:e
USGS	06357800	2010-01-10	50.0	A:e
USGS	06357800	2010-01-11	52.0	A:e
USGS	06357800	2010-01-12	52.0	A:e
USGS	06357800	2010-01-13	54.0	A:e
USGS	06357800	2010-01-14	54.0	A:e
USGS	06357800	2010-01-15	56.0	A:e
USGS	06357800	2010-01-16	56.0	A:e
USGS	06357800	2010-01-17	58.0	A:e
USGS	06357800	2010-01-18	58.0	A:e
USGS	06357800	2010-01-19	58.0	A:e
USGS	06357800	2010-01-20	58.0	A:e
USGS	06357800	2010-01-21	58.0	A:e
USGS	06357800	2010-01-22	58.0	A:e
USGS	06357800	2010-01-23	58.0	A:e
USGS	06357800	2010-01-24	58.0	A:e
USGS	06357800	2010-01-25	58.0	A:e
USGS	06357800	2010-01-26	56.0	A:e
USGS	06357800	2010-01-27	56.0	A:e
USGS	06357800	2010-01-28	54.0	A:e
USGS	06357800	2010-01-29	54.0	A:e
USGS	06357800	2010-01-30	54.0	A:e
USGS	06357800	2010-01-31	54.0	A:e
USGS	06357800	2010-02-01	54.0	A:e
USGS	06357800	2010-02-02	54.0	A:e
USGS	06357800	2010-02-03	54.0	A:e
USGS	06357800	2010-02-04	54.0	A:e
USGS	06357800	2010-02-05	55.0	A:e
USGS	06357800	2010-02-06	55.0	A:e
