# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06360500 MOREAU R NEAR WHITEHORSE,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06360500
#            TS   parameter     statistic     Description
#        128390       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128390_00060_00003	128390_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06360500	2010-01-01	22.0	A:e
USGS	06360500	2010-01-02	20.0	A:e
USGS	06360500	2010-01-03	20.0	A:e
USGS	06360500	2010-01-04	21.0	A:e
USGS	06360500	2010-01-05	21.0	A:e
USGS	06360500	2010-01-06	20.0	A:e
USGS	06360500	2010-01-07	19.0	A:e
USGS	06360500	2010-01-08	18.0	A:e
USGS	06360500	2010-01-09	18.0	A:e
USGS	06360500	2010-01-10	19.0	A:e
USGS	06360500	2010-01-11	20.0	A:e
USGS	06360500	2010-01-12	21.0	A:e
USGS	06360500	2010-01-13	22.0	A:e
USGS	06360500	2010-01-14	23.0	A:e
USGS	06360500	2010-01-15	23.0	A:e
USGS	06360500	2010-01-16	23.0	A:e
USGS	06360500	2010-01-17	23.0	A:e
USGS	06360500	2010-01-18	22.0	A:e
USGS	06360500	2010-01-19	22.0	A:e
USGS	06360500	2010-01-20	22.0	A:e
USGS	06360500	2010-01-21	22.0	A:e
USGS	06360500	2010-01-22	22.0	A:e
USGS	06360500	2010-01-23	22.0	A:e
USGS	06360500	2010-01-24	22.0	A:e
USGS	06360500	2010-01-25	22.0	A:e
