# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06438500 CHEYENNE R NEAR PLAINVIEW,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06438500
#            TS   parameter     statistic     Description
#        128585       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128585_00060_00003	128585_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06438500	2010-01-01	280	A:e
USGS	06438500	2010-01-02	280	A:e
USGS	06438500	2010-01-03	270	A:e
USGS	06438500	2010-01-04	260	A:e
USGS	06438500	2010-01-05	250	A:e
USGS	06438500	2010-01-06	250	A:e
USGS	06438500	2010-01-07	250	A:e
USGS	06438500	2010-01-08	280	A:e
USGS	06438500	2010-01-09	300	A:e
USGS	06438500	2010-01-10	320	A:e
USGS	06438500	2010-01-11	380	A:e
USGS	06438500	2010-01-12	400	A:e
USGS	06438500	2010-01-13	410	A:e
USGS	06438500	2010-01-14	410	A:e
USGS	06438500	2010-01-15	420	A:e
USGS	06438500	2010-01-16	420	A:e
USGS	06438500	2010-01-17	420	A:e
USGS	06438500	2010-01-18	420	A:e
USGS	06438500	2010-01-19		
USGS	06438500	2010-01-20		
USGS	06438500	2010-01-21		
USGS	06438500	2010-01-22		
USGS	06438500	2010-01-23	390	A:e
USGS	06438500	2010-01-24	390	A:e
USGS	06438500	2010-01-25	370	A:e
USGS	06438500	2010-01-26	340	A:e
USGS	06438500	2010-01-27	330	A:e
USGS	06438500	2010-01-28	310	A:e
USGS	06438500	2010-01-29	310	A:e
USGS	06438500	2010-01-30	310	A:e
USGS	06438500	2010-01-31	320	A:e
USGS	06438500	2010-02-01	330	A:e
USGS	06438500	2010-02-02	350	A:e
USGS	06438500	2010-02-03	360	A:e
USGS	06438500	2010-02-04	350	A:e
USGS	06438500	2010-02-05	340	A:e
USGS	06438500	2010-02-06	350	A:e
USGS	06438500	2010-02-07	340	A:e
USGS	06438500	2010-02-08	360	A:e
USGS	06438500	2010-02-09	350	A:e
USGS	06438500	2010-02-10	340	A:e
USGS	06438500	2010-02-11	340	A:e
USGS	06438500	2010-02-12	330	A:e
USGS	06438500	2010-02-13	360	A:e
USGS	06438500	2010-02-14	370	A:e
USGS	06438500	2010-02-15	390	A:e
USGS	06438500	2010-02-16	410	A:e
USGS	06438500	2010-02-17	450	A:e
USGS	06438500	2010-02-18	460	A:e
USGS	06438500	2010-02-19	460	A:e
USGS	06438500	2010-02-20	460	A:e
USGS	06438500	2010-02-21	470	A:e
USGS	06438500	2010-02-22	470	A:e
USGS	06438500	2010-02-23	480	A:e
USGS	06438500	2010-02-24	480	A:e
USGS	06438500	2010-02-25	490	A:e
USGS	06438500	2010-02-26	520	A:e
USGS	06438500	2010-02-27	620	A:e
USGS	06438500	2010-02-28	750	A:e
USGS	06438500	2010-03-01	900	A:e
USGS	06438500	2010-03-02	1050	A:e
USGS	06438500	2010-03-03	1600	A:e
USGS	06438500	2010-03-04	2100	A:e
USGS	06438500	2010-03-05	2650	A:e
USGS	06438500	2010-03-06	2670	A:e
USGS	06438500	2010-03-07	3100	A:e
USGS	06438500	2010-03-08	3800	A:e
USGS	06438500	2010-03-09	4200	A:e
USGS	06438500	2010-03-10	5200	A:e
USGS	06438500	2010-03-11	4800	A:e
USGS	06438500	2010-03-12	4100	A:e
USGS	06438500	2010-03-13	4200	A:e
USGS	06438500	2010-03-14	4800	A:e
USGS	06438500	2010-03-15	4340	A
USGS	06438500	2010-03-16	6580	A
USGS	06438500	2010-03-17	5900	A
USGS	06438500	2010-03-18	6390	A
USGS	06438500	2010-03-19	6810	A
USGS	06438500	2010-03-20	4980	A
USGS	06438500	2010-03-21	3820	A
USGS	06438500	2010-03-22	3570	A
USGS	06438500	2010-03-23	4670	A
USGS	06438500	2010-03-24	4330	A
USGS	06438500	2010-03-25	3260	A
USGS	06438500	2010-03-26	2860	A
USGS	06438500	2010-03-27	3010	A
USGS	06438500	2010-03-28	2820	A
USGS	06438500	2010-03-29	2540	A
USGS	06438500	2010-03-30	2430	A
USGS	06438500	2010-03-31	2440	A
USGS	06438500	2010-04-01	2260	A
USGS	06438500	2010-04-02	2280	A
USGS	06438500	2010-04-03	2650	A
USGS	06438500	2010-04-04	3130	A
USGS	06438500	2010-04-05	2720	A
USGS	06438500	2010-04-06	2320	A
USGS	06438500	2010-04-07	2050	A
USGS	06438500	2010-04-08	1990	A
USGS	06438500	2010-04-09	1670	A
USGS	06438500	2010-04-10	1440	A
USGS	06438500	2010-04-11	1410	A
USGS	06438500	2010-04-12	1350	A
USGS	06438500	2010-04-13	1350	A
USGS	06438500	2010-04-14	1430	A
USGS	06438500	2010-04-15	1420	A
USGS	06438500	2010-04-16	1320	A
USGS	06438500	2010-04-17	1190	A
USGS	06438500	2010-04-18	1080	A
USGS	06438500	2010-04-19	956	A
USGS	06438500	2010-04-20	927	A
USGS	06438500	2010-04-21	966	A
USGS	06438500	2010-04-22	917	A
USGS	06438500	2010-04-23	869	A
USGS	06438500	2010-04-24	1740	A
USGS	06438500	2010-04-25	7320	A
USGS	06438500	2010-04-26	3670	A
USGS	06438500	2010-04-27	2390	A
USGS	06438500	2010-04-28	1840	A
USGS	06438500	2010-04-29	2000	A
USGS	06438500	2010-04-30	1890	A
USGS	06438500	2010-05-01	1720	A
USGS	06438500	2010-05-02	1620	A
USGS	06438500	2010-05-03	1500	A
USGS	06438500	2010-05-04	1460	A
USGS	06438500	2010-05-05	1380	A
USGS	06438500	2010-05-06	1360	A
USGS	06438500	2010-05-07	1290	A
USGS	06438500	2010-05-08	1340	A
USGS	06438500	2010-05-09	1360	A
USGS	06438500	2010-05-10	1500	A
USGS	06438500	2010-05-11	4340	A
USGS	06438500	2010-05-12	8550	A
USGS	06438500	2010-05-13	11900	A
USGS	06438500	2010-05-14	11300	A
USGS	06438500	2010-05-15	8210	A
USGS	06438500	2010-05-16	6100	A
USGS	06438500	2010-05-17	5110	A
USGS	06438500	2010-05-18	4410	A
USGS	06438500	2010-05-19	3920	A
USGS	06438500	2010-05-20	3600	A
USGS	06438500	2010-05-21	3600	A
USGS	06438500	2010-05-22	3970	A
USGS	06438500	2010-05-23	8170	A
USGS	06438500	2010-05-24	5260	A
USGS	06438500	2010-05-25	17200	A
USGS	06438500	2010-05-26	26400	A
USGS	06438500	2010-05-27	12400	A
USGS	06438500	2010-05-28	9860	A
USGS	06438500	2010-05-29	8270	A
USGS	06438500	2010-05-30	6370	A
USGS	06438500	2010-05-31	4750	A
USGS	06438500	2010-06-01	4480	A
USGS	06438500	2010-06-02	4190	A
USGS	06438500	2010-06-03	3850	A
USGS	06438500	2010-06-04	3270	A
USGS	06438500	2010-06-05	3200	A
USGS	06438500	2010-06-06	3000	A
USGS	06438500	2010-06-07	2840	A
USGS	06438500	2010-06-08	2760	A
USGS	06438500	2010-06-09	2650	A
USGS	06438500	2010-06-10	2580	A
USGS	06438500	2010-06-11	2350	A
USGS	06438500	2010-06-12	2320	A
USGS	06438500	2010-06-13	2590	A
USGS	06438500	2010-06-14	3070	A
USGS	06438500	2010-06-15	4870	A
USGS	06438500	2010-06-16	4910	A
USGS	06438500	2010-06-17	4760	A
USGS	06438500	2010-06-18	5250	A
USGS	06438500	2010-06-19	5870	A
USGS	06438500	2010-06-20	3760	A
USGS	06438500	2010-06-21	5960	A
USGS	06438500	2010-06-22	5880	A
USGS	06438500	2010-06-23	7990	A
USGS	06438500	2010-06-24	10800	A
USGS	06438500	2010-06-25	5380	A
USGS	06438500	2010-06-26	4110	A
USGS	06438500	2010-06-27	4040	A
USGS	06438500	2010-06-28	3320	A
USGS	06438500	2010-06-29	2840	A
USGS	06438500	2010-06-30	2400	A
USGS	06438500	2010-07-01	1990	A
USGS	06438500	2010-07-02	1800	A
USGS	06438500	2010-07-03	1640	A
USGS	06438500	2010-07-04	1540	A
USGS	06438500	2010-07-05	1460	A
USGS	06438500	2010-07-06	1290	A
USGS	06438500	2010-07-07	1250	A
USGS	06438500	2010-07-08	1250	A
USGS	06438500	2010-07-09	1250	A
USGS	06438500	2010-07-10	1180	A
USGS	06438500	2010-07-11	1150	A
USGS	06438500	2010-07-12	1110	A
USGS	06438500	2010-07-13	1090	A
USGS	06438500	2010-07-14	1070	A
USGS	06438500	2010-07-15	1040	A
USGS	06438500	2010-07-16	1040	A
USGS	06438500	2010-07-17	1020	A
USGS	06438500	2010-07-18	955	A
USGS	06438500	2010-07-19	1150	A
USGS	06438500	2010-07-20	1570	A
USGS	06438500	2010-07-21	1320	A
USGS	06438500	2010-07-22	1220	A
USGS	06438500	2010-07-23	2460	A
USGS	06438500	2010-07-24	1410	A
USGS	06438500	2010-07-25	1170	A
USGS	06438500	2010-07-26	1030	A
USGS	06438500	2010-07-27	954	A
USGS	06438500	2010-07-28	858	A
USGS	06438500	2010-07-29	859	A
USGS	06438500	2010-07-30	822	A
USGS	06438500	2010-07-31	817	A
USGS	06438500	2010-08-01	864	A
USGS	06438500	2010-08-02	853	A
USGS	06438500	2010-08-03	871	A
USGS	06438500	2010-08-04	1630	A
USGS	06438500	2010-08-05	3370	A
USGS	06438500	2010-08-06	1980	A
USGS	06438500	2010-08-07	1380	A
USGS	06438500	2010-08-08	1150	A
USGS	06438500	2010-08-09	1000	A
USGS	06438500	2010-08-10	931	A
USGS	06438500	2010-08-11	928	A
USGS	06438500	2010-08-12	913	A
USGS	06438500	2010-08-13	772	A
USGS	06438500	2010-08-14	720	A
USGS	06438500	2010-08-15	718	A
USGS	06438500	2010-08-16	723	A
USGS	06438500	2010-08-17	697	A
USGS	06438500	2010-08-18	776	A
USGS	06438500	2010-08-19	757	A
USGS	06438500	2010-08-20	691	A
USGS	06438500	2010-08-21	660	A
USGS	06438500	2010-08-22	656	A
USGS	06438500	2010-08-23	611	A
USGS	06438500	2010-08-24	582	A
USGS	06438500	2010-08-25	591	A
USGS	06438500	2010-08-26	568	A
USGS	06438500	2010-08-27	585	A
USGS	06438500	2010-08-28	556	A
USGS	06438500	2010-08-29	554	A
USGS	06438500	2010-08-30	560	A
USGS	06438500	2010-08-31	560	A
USGS	06438500	2010-09-01	582	A
USGS	06438500	2010-09-02	599	A
USGS	06438500	2010-09-03	570	A
USGS	06438500	2010-09-04	597	A
USGS	06438500	2010-09-05	679	A
USGS	06438500	2010-09-06	705	A
USGS	06438500	2010-09-07	690	A
USGS	06438500	2010-09-08	698	A
USGS	06438500	2010-09-09	703	A
USGS	06438500	2010-09-10	740	A
USGS	06438500	2010-09-11	705	A
USGS	06438500	2010-09-12	705	A
USGS	06438500	2010-09-13	693	A
USGS	06438500	2010-09-14	659	A
USGS	06438500	2010-09-15	714	A
USGS	06438500	2010-09-16	702	A
USGS	06438500	2010-09-17	664	A
USGS	06438500	2010-09-18	709	A
USGS	06438500	2010-09-19	700	A
USGS	06438500	2010-09-20	720	A
USGS	06438500	2010-09-21	700	A
USGS	06438500	2010-09-22	741	A
USGS	06438500	2010-09-23	739	A
USGS	06438500	2010-09-24	733	A
USGS	06438500	2010-09-25	712	A
USGS	06438500	2010-09-26	770	A
USGS	06438500	2010-09-27	703	A
USGS	06438500	2010-09-28	618	A
USGS	06438500	2010-09-29	577	A
USGS	06438500	2010-09-30	561	A
USGS	06438500	2010-10-01	567	A
