# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06439000 CHERRY CR NEAR PLAINVIEW,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06439000
#            TS   parameter     statistic     Description
#        128586       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	128586_00060_00003	128586_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06439000	2020-12-04	Ice	P
USGS	06439000	2020-12-05	Ice	P
USGS	06439000	2020-12-06	Ice	P
USGS	06439000	2020-12-07	Ice	P
USGS	06439000	2020-12-08	Ice	P
USGS	06439000	2020-12-09	Ice	P
USGS	06439000	2020-12-10	Ice	P
USGS	06439000	2020-12-11	Ice	P
USGS	06439000	2020-12-12	Ice	P
USGS	06439000	2020-12-13	Ice	P
USGS	06439000	2020-12-14	Ice	P
USGS	06439000	2020-12-15	Ice	P
USGS	06439000	2020-12-16	Ice	P
USGS	06439000	2020-12-17	Ice	P
USGS	06439000	2020-12-18	Ice	P
USGS	06439000	2020-12-19	Ice	P
USGS	06439000	2020-12-20	Ice	P
USGS	06439000	2020-12-21	Ice	P
USGS	06439000	2020-12-22	Ice	P
USGS	06439000	2020-12-23	Ice	P
USGS	06439000	2020-12-24	Ice	P
USGS	06439000	2020-12-25	Ice	P
USGS	06439000	2020-12-26	Ice	P
USGS	06439000	2020-12-27	Ice	P
USGS	06439000	2020-12-28	Ice	P
USGS	06439000	2020-12-29	Ice	P
USGS	06439000	2020-12-30	Ice	P
USGS	06439000	2020-12-31	Ice	P
USGS	06439000	2021-01-01	Ice	P
USGS	06439000	2021-01-02	Ice	P
USGS	06439000	2021-01-03	Ice	P
USGS	06439000	2021-01-04	Ice	P
USGS	06439000	2021-01-05	Ice	P
USGS	06439000	2021-01-06	Ice	P
USGS	06439000	2021-01-07	Ice	P
USGS	06439000	2021-01-08	Ice	P
USGS	06439000	2021-01-09	Ice	P
USGS	06439000	2021-01-10	Ice	P
USGS	06439000	2021-01-11	Ice	P
USGS	06439000	2021-01-12	Ice	P
USGS	06439000	2021-01-13	Ice	P
USGS	06439000	2021-01-14	Ice	P
USGS	06439000	2021-01-15	Ice	P
USGS	06439000	2021-01-16	Ice	P
USGS	06439000	2021-01-17	Ice	P
USGS	06439000	2021-01-18	Ice	P
USGS	06439000	2021-01-19	Ice	P
USGS	06439000	2021-01-20	Ice	P
USGS	06439000	2021-01-21	Ice	P
USGS	06439000	2021-01-22	Ice	P
USGS	06439000	2021-01-23	Ice	P
USGS	06439000	2021-01-24	Ice	P
USGS	06439000	2021-01-25	Ice	P
USGS	06439000	2021-01-26	Ice	P
USGS	06439000	2021-01-27	Ice	P
USGS	06439000	2021-01-28	Ice	P
USGS	06439000	2021-01-29	Ice	P
USGS	06439000	2021-01-30	Ice	P
USGS	06439000	2021-01-31	Ice	P
USGS	06439000	2021-02-01	Ice	P
USGS	06439000	2021-02-02		
