# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06441500 BAD R NEAR FORT PIERRE,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06441500
#            TS   parameter     statistic     Description
#        128621       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128621_00060_00003	128621_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06441500	2010-01-01	1.50	A:e
USGS	06441500	2010-01-02	1.40	A:e
USGS	06441500	2010-01-03	1.30	A:e
USGS	06441500	2010-01-04	1.30	A:e
USGS	06441500	2010-01-05	1.30	A:e
USGS	06441500	2010-01-06	1.30	A:e
USGS	06441500	2010-01-07	1.20	A:e
USGS	06441500	2010-01-08	1.10	A:e
USGS	06441500	2010-01-09	1.10	A:e
USGS	06441500	2010-01-10	1.20	A:e
USGS	06441500	2010-01-11	1.30	A:e
USGS	06441500	2010-01-12	1.30	A:e
USGS	06441500	2010-01-13	1.40	A:e
USGS	06441500	2010-01-14	1.50	A:e
USGS	06441500	2010-01-15	1.60	A:e
USGS	06441500	2010-01-16	1.60	A:e
USGS	06441500	2010-01-17	1.50	A:e
USGS	06441500	2010-01-18	1.50	A:e
USGS	06441500	2010-01-19	1.50	A:e
USGS	06441500	2010-01-20	1.40	A:e
USGS	06441500	2010-01-21	1.40	A:e
USGS	06441500	2010-01-22	1.40	A:e
USGS	06441500	2010-01-23	1.40	A:e
USGS	06441500	2010-01-24	1.40	A:e
USGS	06441500	2010-01-25	1.30	A:e
USGS	06441500	2010-01-26	1.30	A:e
USGS	06441500	2010-01-27	1.30	A:e
USGS	06441500	2010-01-28	1.30	A:e
USGS	06441500	2010-01-29	1.30	A:e
USGS	06441500	2010-01-30	1.30	A:e
USGS	06441500	2010-01-31	1.30	A:e
USGS	06441500	2010-02-01	1.30	A:e
USGS	06441500	2010-02-02	1.20	A:e
USGS	06441500	2010-02-03	1.20	A:e
USGS	06441500	2010-02-04	1.30	A:e
USGS	06441500	2010-02-05	1.30	A:e
USGS	06441500	2010-02-06	1.30	A:e
USGS	06441500	2010-02-07	1.30	A:e
USGS	06441500	2010-02-08	1.20	A:e
USGS	06441500	2010-02-09	1.20	A:e
USGS	06441500	2010-02-10	1.20	A:e
USGS	06441500	2010-02-11	1.20	A:e
USGS	06441500	2010-02-12	1.20	A:e
USGS	06441500	2010-02-13	1.20	A:e
USGS	06441500	2010-02-14	1.20	A:e
USGS	06441500	2010-02-15	1.20	A:e
USGS	06441500	2010-02-16	1.20	A:e
USGS	06441500	2010-02-17	1.20	A:e
USGS	06441500	2010-02-18	1.20	A:e
USGS	06441500	2010-02-19	1.20	A:e
USGS	06441500	2010-02-20	1.20	A:e
USGS	06441500	2010-02-21	1.20	A:e
USGS	06441500	2010-02-22	1.20	A:e
USGS	06441500	2010-02-23	1.20	A:e
USGS	06441500	2010-02-24	1.20	A:e
USGS	06441500	2010-02-25	1.20	A:e
USGS	06441500	2010-02-26	1.20	A:e
USGS	06441500	2010-02-27	1.20	A:e
USGS	06441500	2010-02-28	1.20	A:e
USGS	06441500	2010-03-01	1.20	A:e
USGS	06441500	2010-03-02	1.60	A:e
USGS	06441500	2010-03-03	1.90	A:e
USGS	06441500	2010-03-04	1.60	A:e
USGS	06441500	2010-03-05	1.60	A:e
USGS	06441500	2010-03-06	10.0	A:e
USGS	06441500	2010-03-07	70.0	A:e
USGS	06441500	2010-03-08	1000	A:e
USGS	06441500	2010-03-09	8000	A:e
USGS	06441500	2010-03-10	11800	A
USGS	06441500	2010-03-11	10200	A
USGS	06441500	2010-03-12	8360	A
USGS	06441500	2010-03-13	6310	A
USGS	06441500	2010-03-14	5900	A
USGS	06441500	2010-03-15	6080	A
USGS	06441500	2010-03-16	5900	A
USGS	06441500	2010-03-17	6180	A
USGS	06441500	2010-03-18	7800	A
USGS	06441500	2010-03-19	8350	A
USGS	06441500	2010-03-20	7280	A
USGS	06441500	2010-03-21	5710	A
USGS	06441500	2010-03-22	5310	A
USGS	06441500	2010-03-23	6730	A
USGS	06441500	2010-03-24	6330	A
USGS	06441500	2010-03-25	5590	A
USGS	06441500	2010-03-26	4870	A
USGS	06441500	2010-03-27	3950	A
USGS	06441500	2010-03-28	2940	A
USGS	06441500	2010-03-29	2710	A
USGS	06441500	2010-03-30	2620	A
USGS	06441500	2010-03-31	2310	A
USGS	06441500	2010-04-01	1930	A
USGS	06441500	2010-04-02	1810	A
USGS	06441500	2010-04-03	1650	A
USGS	06441500	2010-04-04	1400	A
USGS	06441500	2010-04-05	1190	A
USGS	06441500	2010-04-06	1100	A
USGS	06441500	2010-04-07	969	A
USGS	06441500	2010-04-08	790	A
USGS	06441500	2010-04-09	671	A
USGS	06441500	2010-04-10	571	A
USGS	06441500	2010-04-11	502	A
USGS	06441500	2010-04-12	442	A
USGS	06441500	2010-04-13	412	A
USGS	06441500	2010-04-14	484	A
USGS	06441500	2010-04-15	425	A
USGS	06441500	2010-04-16	338	A
USGS	06441500	2010-04-17	284	A
USGS	06441500	2010-04-18	267	A
USGS	06441500	2010-04-19	251	A
USGS	06441500	2010-04-20	448	A
USGS	06441500	2010-04-21	608	A
USGS	06441500	2010-04-22	239	A
USGS	06441500	2010-04-23	189	A
USGS	06441500	2010-04-24	360	A
USGS	06441500	2010-04-25	623	A
USGS	06441500	2010-04-26	487	A
USGS	06441500	2010-04-27	956	A
USGS	06441500	2010-04-28	1320	A
USGS	06441500	2010-04-29	844	A
USGS	06441500	2010-04-30	583	A
USGS	06441500	2010-05-01	449	A
USGS	06441500	2010-05-02	353	A
USGS	06441500	2010-05-03	280	A
USGS	06441500	2010-05-04	230	A
USGS	06441500	2010-05-05	189	A
USGS	06441500	2010-05-06	160	A
USGS	06441500	2010-05-07	145	A
USGS	06441500	2010-05-08	124	A
USGS	06441500	2010-05-09	113	A
USGS	06441500	2010-05-10	298	A
USGS	06441500	2010-05-11	569	A
USGS	06441500	2010-05-12	712	A
USGS	06441500	2010-05-13	1110	A
USGS	06441500	2010-05-14	588	A
USGS	06441500	2010-05-15	644	A
USGS	06441500	2010-05-16	731	A
USGS	06441500	2010-05-17	736	A
USGS	06441500	2010-05-18	528	A
USGS	06441500	2010-05-19	401	A
USGS	06441500	2010-05-20	310	A
USGS	06441500	2010-05-21	237	A
USGS	06441500	2010-05-22	379	A
USGS	06441500	2010-05-23	594	A
USGS	06441500	2010-05-24	490	A
USGS	06441500	2010-05-25	715	A
USGS	06441500	2010-05-26	1230	A
USGS	06441500	2010-05-27	715	A
USGS	06441500	2010-05-28	504	A
USGS	06441500	2010-05-29	496	A
USGS	06441500	2010-05-30	365	A
USGS	06441500	2010-05-31	281	A
USGS	06441500	2010-06-01	226	A
USGS	06441500	2010-06-02	179	A
USGS	06441500	2010-06-03	143	A
USGS	06441500	2010-06-04	113	A
USGS	06441500	2010-06-05	92.0	A
USGS	06441500	2010-06-06	74.9	A
USGS	06441500	2010-06-07	62.1	A
USGS	06441500	2010-06-08	55.8	A
USGS	06441500	2010-06-09	49.2	A
USGS	06441500	2010-06-10	52.9	A
USGS	06441500	2010-06-11	229	A
USGS	06441500	2010-06-12	220	A
USGS	06441500	2010-06-13	217	A
USGS	06441500	2010-06-14	268	A
USGS	06441500	2010-06-15	217	A
USGS	06441500	2010-06-16	150	A
USGS	06441500	2010-06-17	130	A
USGS	06441500	2010-06-18	98.5	A
USGS	06441500	2010-06-19	81.2	A
USGS	06441500	2010-06-20	106	A
USGS	06441500	2010-06-21	115	A
USGS	06441500	2010-06-22	81.5	A
USGS	06441500	2010-06-23	1010	A
USGS	06441500	2010-06-24	1000	A
USGS	06441500	2010-06-25	1140	A
USGS	06441500	2010-06-26	936	A
USGS	06441500	2010-06-27	1390	A
USGS	06441500	2010-06-28	1040	A:e
USGS	06441500	2010-06-29	483	A:e
USGS	06441500	2010-06-30	268	A:e
USGS	06441500	2010-07-01	188	A:e
USGS	06441500	2010-07-02	183	A:e
USGS	06441500	2010-07-03	202	A:e
USGS	06441500	2010-07-04	231	A:e
USGS	06441500	2010-07-05	210	A:e
USGS	06441500	2010-07-06	263	A:e
USGS	06441500	2010-07-07	224	A:e
USGS	06441500	2010-07-08	184	A:e
USGS	06441500	2010-07-09	121	A:e
USGS	06441500	2010-07-10	86.1	A:e
USGS	06441500	2010-07-11	51.8	A:e
USGS	06441500	2010-07-12	34.0	A:e
USGS	06441500	2010-07-13	31.1	A:e
USGS	06441500	2010-07-14	29.8	A:e
USGS	06441500	2010-07-15	25.6	A:e
USGS	06441500	2010-07-16	24.9	A:e
