# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06442130 CEDAR CREEK NR PRESHO, SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06442130
#            TS   parameter     statistic     Description
#        294934       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	294934_00060_00003	294934_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06442130	2014-07-17	0.05	A
USGS	06442130	2014-07-18	0.05	A
USGS	06442130	2014-07-19	0.05	A
USGS	06442130	2014-07-20	0.05	A
USGS	06442130	2014-07-21	0.05	A
USGS	06442130	2014-07-22	0.05	A
USGS	06442130	2014-07-23	0.05	A
USGS	06442130	2014-07-24	0.04	A
USGS	06442130	2014-07-25	0.04	A
USGS	06442130	2014-07-26	0.05	A
USGS	06442130	2014-07-27	0.06	A
USGS	06442130	2014-07-28	0.07	A
USGS	06442130	2014-07-29	0.07	A
USGS	06442130	2014-07-30	0.06	A
USGS	06442130	2014-07-31	0.06	A
USGS	06442130	2014-08-01	0.07	A
USGS	06442130	2014-08-02	0.09	A
USGS	06442130	2014-08-03	0.09	A
USGS	06442130	2014-08-04	0.10	A
USGS	06442130	2014-08-05	0.11	A
USGS	06442130	2014-08-06	0.14	A
USGS	06442130	2014-08-07	0.11	A
USGS	06442130	2014-08-08	0.09	A
USGS	06442130	2014-08-09	0.07	A
USGS	06442130	2014-08-10	0.06	A
USGS	06442130	2014-08-11	0.08	A
USGS	06442130	2014-08-12	0.08	A
USGS	06442130	2014-08-13	0.08	A
USGS	06442130	2014-08-14	0.07	A
USGS	06442130	2014-08-15	0.09	A
USGS	06442130	2014-08-16	0.07	A
USGS	06442130	2014-08-17	0.07	A
USGS	06442130	2014-08-18	0.06	A
USGS	06442130	2014-08-19	0.06	A
USGS	06442130	2014-08-20	0.05	A
USGS	06442130	2014-08-21	0.05	A
USGS	06442130	2014-08-22	0.06	A
USGS	06442130	2014-08-23	0.06	A
USGS	06442130	2014-08-24	0.05	A
USGS	06442130	2014-08-25	0.05	A
USGS	06442130	2014-08-26	0.08	A
USGS	06442130	2014-08-27	0.07	A
USGS	06442130	2014-08-28	0.08	A
USGS	06442130	2014-08-29	0.07	A
USGS	06442130	2014-08-30	0.07	A
USGS	06442130	2014-08-31	0.07	A
USGS	06442130	2014-09-01	0.10	A
USGS	06442130	2014-09-02	0.08	A
USGS	06442130	2014-09-03	0.08	A
USGS	06442130	2014-09-04	0.03	A
USGS	06442130	2014-09-05	0.05	A
USGS	06442130	2014-09-06	0.04	A
USGS	06442130	2014-09-07	0.04	A
USGS	06442130	2014-09-08	0.03	A
USGS	06442130	2014-09-09	0.04	A
USGS	06442130	2014-09-10	0.05	A
USGS	06442130	2014-09-11	0.05	A
USGS	06442130	2014-09-12	0.04	A
USGS	06442130	2014-09-13	0.04	A
USGS	06442130	2014-09-14	0.05	A
USGS	06442130	2014-09-15	0.04	A
USGS	06442130	2014-09-16	0.03	A
USGS	06442130	2014-09-17	0.02	A
USGS	06442130	2014-09-18	0.02	A
USGS	06442130	2014-09-19	0.02	A
USGS	06442130	2014-09-20	0.02	A
USGS	06442130	2014-09-21	0.02	A
USGS	06442130	2014-09-22	0.02	A
USGS	06442130	2014-09-23	0.02	A
USGS	06442130	2014-09-24	0.02	A
USGS	06442130	2014-09-25	0.00	A
USGS	06442130	2014-09-26	0.00	A
USGS	06442130	2014-09-27	0.00	A
USGS	06442130	2014-09-28	0.00	A
USGS	06442130	2014-09-29	0.00	A
USGS	06442130	2014-09-30	0.00	A
USGS	06442130	2014-10-01	0.00	A
USGS	06442130	2014-10-02	0.00	A
USGS	06442130	2014-10-03	0.00	A
USGS	06442130	2014-10-04	0.01	A
USGS	06442130	2014-10-05	0.01	A
USGS	06442130	2014-10-06	0.00	A
USGS	06442130	2014-10-07	0.00	A
USGS	06442130	2014-10-08	0.00	A
USGS	06442130	2014-10-09	0.00	A
USGS	06442130	2014-10-10	0.01	A
USGS	06442130	2014-10-11	0.00	A
USGS	06442130	2014-10-12	0.00	A
USGS	06442130	2014-10-13	0.00	A
USGS	06442130	2014-10-14	0.01	A
USGS	06442130	2014-10-15	0.01	A
USGS	06442130	2014-10-16	0.00	A
USGS	06442130	2014-10-17	0.00	A
USGS	06442130	2014-10-18	0.01	A
USGS	06442130	2014-10-19	0.02	A
USGS	06442130	2014-10-20	0.03	A
USGS	06442130	2014-10-21	0.02	A
USGS	06442130	2014-10-22	0.02	A
USGS	06442130	2014-10-23	0.03	A
USGS	06442130	2014-10-24	0.03	A
USGS	06442130	2014-10-25	0.02	A
USGS	06442130	2014-10-26	0.02	A
USGS	06442130	2014-10-27	0.01	A
USGS	06442130	2014-10-28	0.01	A
USGS	06442130	2014-10-29	0.03	A
USGS	06442130	2014-10-30	0.02	A
USGS	06442130	2014-10-31	0.02	A
USGS	06442130	2014-11-01	0.03	A
USGS	06442130	2014-11-02	0.03	A
USGS	06442130	2014-11-03	0.02	A
USGS	06442130	2014-11-04	0.02	A
USGS	06442130	2014-11-05	0.02	A
USGS	06442130	2014-11-06	0.03	A
USGS	06442130	2014-11-07	0.02	A
USGS	06442130	2014-11-08	0.02	A
USGS	06442130	2014-11-09	0.02	A
USGS	06442130	2014-11-10	0.02	A
USGS	06442130	2014-11-11	0.01	A:e
USGS	06442130	2014-11-12	0.01	A:e
USGS	06442130	2014-11-13	0.01	A:e
USGS	06442130	2014-11-14	0.01	A:e
USGS	06442130	2014-11-15	0.01	A:e
USGS	06442130	2014-11-16	0.01	A:e
USGS	06442130	2014-11-17	0.01	A:e
USGS	06442130	2014-11-18	0.01	A:e
USGS	06442130	2014-11-19	0.01	A:e
USGS	06442130	2014-11-20	0.01	A:e
USGS	06442130	2014-11-21	0.02	A:e
USGS	06442130	2014-11-22	0.02	A:e
USGS	06442130	2014-11-23	0.02	A:e
USGS	06442130	2014-11-24	0.01	A:e
USGS	06442130	2014-11-25	0.01	A:e
USGS	06442130	2014-11-26	0.02	A:e
USGS	06442130	2014-11-27	0.02	A:e
USGS	06442130	2014-11-28	0.02	A:e
USGS	06442130	2014-11-29	0.02	A:e
USGS	06442130	2014-11-30	0.01	A:e
USGS	06442130	2014-12-01	0.01	A:e
USGS	06442130	2014-12-02	0.01	A:e
USGS	06442130	2014-12-03	0.02	A:e
USGS	06442130	2014-12-04	0.02	A:e
USGS	06442130	2014-12-05	0.02	A:e
USGS	06442130	2014-12-06	0.02	A:e
USGS	06442130	2014-12-07	0.02	A:e
USGS	06442130	2014-12-08	0.02	A:e
USGS	06442130	2014-12-09	0.02	A:e
USGS	06442130	2014-12-10	0.02	A:e
USGS	06442130	2014-12-11	0.04	A:e
USGS	06442130	2014-12-12	0.05	A:e
USGS	06442130	2014-12-13	0.08	A:e
USGS	06442130	2014-12-14	0.05	A:e
USGS	06442130	2014-12-15	0.05	A:e
USGS	06442130	2014-12-16	0.04	A:e
USGS	06442130	2014-12-17	0.04	A:e
USGS	06442130	2014-12-18	0.04	A:e
USGS	06442130	2014-12-19	0.04	A:e
USGS	06442130	2014-12-20	0.04	A:e
USGS	06442130	2014-12-21	0.05	A:e
USGS	06442130	2014-12-22	0.06	A:e
USGS	06442130	2014-12-23	0.04	A:e
USGS	06442130	2014-12-24	0.03	A:e
