# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06442600 MEDICINE CREEK NR LOWER BRULE, SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06442600
#            TS   parameter     statistic     Description
#        294936       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	294936_00060_00003	294936_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06442600	2014-06-13	17.2	A
USGS	06442600	2014-06-14	17.1	A
USGS	06442600	2014-06-15	49.5	A
USGS	06442600	2014-06-16	109	A
USGS	06442600	2014-06-17	59.5	A
USGS	06442600	2014-06-18	32.4	A
USGS	06442600	2014-06-19	21.9	A
USGS	06442600	2014-06-20	16.0	A
USGS	06442600	2014-06-21	12.0	A
USGS	06442600	2014-06-22	9.87	A
USGS	06442600	2014-06-23	8.00	A
USGS	06442600	2014-06-24	7.38	A
USGS	06442600	2014-06-25	5.90	A
USGS	06442600	2014-06-26	5.58	A
USGS	06442600	2014-06-27	5.71	A
USGS	06442600	2014-06-28	6.33	A
USGS	06442600	2014-06-29	4.08	A
USGS	06442600	2014-06-30	3.01	A
USGS	06442600	2014-07-01	1.64	A
USGS	06442600	2014-07-02	1.84	A
USGS	06442600	2014-07-03	1.14	A
USGS	06442600	2014-07-04	0.56	A
USGS	06442600	2014-07-05	0.46	A
USGS	06442600	2014-07-06	0.27	A
USGS	06442600	2014-07-07	0.15	A
USGS	06442600	2014-07-08	0.10	A
USGS	06442600	2014-07-09	0.09	A
USGS	06442600	2014-07-10	0.06	A
USGS	06442600	2014-07-11	0.03	A
USGS	06442600	2014-07-12	0.02	A
USGS	06442600	2014-07-13	0.01	A
USGS	06442600	2014-07-14	0.00	A
USGS	06442600	2014-07-15	0.00	A
USGS	06442600	2014-07-16	0.01	A
USGS	06442600	2014-07-17	0.00	A
USGS	06442600	2014-07-18	0.00	A
USGS	06442600	2014-07-19	0.01	A
USGS	06442600	2014-07-20	0.01	A
USGS	06442600	2014-07-21	0.01	A
USGS	06442600	2014-07-22	0.01	A
USGS	06442600	2014-07-23	0.02	A
USGS	06442600	2014-07-24	0.03	A
USGS	06442600	2014-07-25	0.05	A
USGS	06442600	2014-07-26	0.04	A
USGS	06442600	2014-07-27	0.03	A
USGS	06442600	2014-07-28	0.04	A
USGS	06442600	2014-07-29	0.04	A
USGS	06442600	2014-07-30	0.01	A
USGS	06442600	2014-07-31	0.01	A
USGS	06442600	2014-08-01	0.03	A
USGS	06442600	2014-08-02	0.04	A
USGS	06442600	2014-08-03	0.03	A
USGS	06442600	2014-08-04	0.04	A
USGS	06442600	2014-08-05	0.04	A
USGS	06442600	2014-08-06	0.04	A
USGS	06442600	2014-08-07	0.03	A
USGS	06442600	2014-08-08	0.03	A
USGS	06442600	2014-08-09	0.03	A
USGS	06442600	2014-08-10	0.02	A
USGS	06442600	2014-08-11	0.02	A
USGS	06442600	2014-08-12	0.02	A
USGS	06442600	2014-08-13	0.02	A
USGS	06442600	2014-08-14	0.02	A
USGS	06442600	2014-08-15	0.02	A
USGS	06442600	2014-08-16	0.02	A
USGS	06442600	2014-08-17	0.02	A
USGS	06442600	2014-08-18	0.02	A
USGS	06442600	2014-08-19	0.02	A
USGS	06442600	2014-08-20	0.02	A
USGS	06442600	2014-08-21	0.02	A
USGS	06442600	2014-08-22	0.02	A
USGS	06442600	2014-08-23	0.02	A
USGS	06442600	2014-08-24	0.02	A
USGS	06442600	2014-08-25	0.02	A
USGS	06442600	2014-08-26	0.02	A
USGS	06442600	2014-08-27	0.02	A
USGS	06442600	2014-08-28	0.03	A
USGS	06442600	2014-08-29	0.02	A
USGS	06442600	2014-08-30	0.02	A
USGS	06442600	2014-08-31	0.02	A
USGS	06442600	2014-09-01	0.02	A
USGS	06442600	2014-09-02	0.03	A
USGS	06442600	2014-09-03	0.02	A
USGS	06442600	2014-09-04	0.01	A
USGS	06442600	2014-09-05	0.01	A
USGS	06442600	2014-09-06	0.02	A
USGS	06442600	2014-09-07	7.05	A
USGS	06442600	2014-09-08	12.1	A
USGS	06442600	2014-09-09	8.37	A
USGS	06442600	2014-09-10	6.09	A
USGS	06442600	2014-09-11	3.48	A
USGS	06442600	2014-09-12	1.90	A
USGS	06442600	2014-09-13	0.93	A
USGS	06442600	2014-09-14	0.62	A
USGS	06442600	2014-09-15	0.40	A
USGS	06442600	2014-09-16	0.23	A
USGS	06442600	2014-09-17	0.17	A
USGS	06442600	2014-09-18	0.11	A
USGS	06442600	2014-09-19	0.06	A
USGS	06442600	2014-09-20	0.03	A
USGS	06442600	2014-09-21	0.01	A
USGS	06442600	2014-09-22	0.01	A
USGS	06442600	2014-09-23	0.01	A
USGS	06442600	2014-09-24	0.01	A
USGS	06442600	2014-09-25	0.01	A
