# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06442900 ELM CR NEAR GANN VALLEY SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06442900
#            TS   parameter     statistic     Description
#        128631       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128631_00060_00003	128631_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06442900	2016-10-01	0.06	A
USGS	06442900	2016-10-02	0.06	A
USGS	06442900	2016-10-03	0.07	A
USGS	06442900	2016-10-04	0.15	A
USGS	06442900	2016-10-05	0.02	A
USGS	06442900	2016-10-06	0.06	A
USGS	06442900	2016-10-07	0.06	A
USGS	06442900	2016-10-08	0.08	A
USGS	06442900	2016-10-09	0.07	A
USGS	06442900	2016-10-10	0.09	A
USGS	06442900	2016-10-11	0.07	A
USGS	06442900	2016-10-12	0.03	A
USGS	06442900	2016-10-13	0.04	A
USGS	06442900	2016-10-14	0.06	A
USGS	06442900	2016-10-15	0.04	A
USGS	06442900	2016-10-16	0.02	A
USGS	06442900	2016-10-17	0.23	A
USGS	06442900	2016-10-18	0.23	A
USGS	06442900	2016-10-19	0.21	A
USGS	06442900	2016-10-20	0.18	A
USGS	06442900	2016-10-21	0.21	A
USGS	06442900	2016-10-22	0.20	A
USGS	06442900	2016-10-23	0.15	A
USGS	06442900	2016-10-24	0.15	A
USGS	06442900	2016-10-25	0.15	A
USGS	06442900	2016-10-26	0.19	A
USGS	06442900	2016-10-27	0.22	A
USGS	06442900	2016-10-28	0.19	A
USGS	06442900	2016-10-29	0.12	A
