# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06452000 WHITE R NEAR OACOMA,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06452000
#            TS   parameter     statistic     Description
#        294937       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	294937_00060_00003	294937_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06452000	2010-01-01	100	A:e
USGS	06452000	2010-01-02	95.0	A:e
USGS	06452000	2010-01-03	95.0	A:e
USGS	06452000	2010-01-04	95.0	A:e
USGS	06452000	2010-01-05	95.0	A:e
USGS	06452000	2010-01-06	95.0	A:e
USGS	06452000	2010-01-07	90.0	A:e
USGS	06452000	2010-01-08	90.0	A:e
USGS	06452000	2010-01-09	90.0	A:e
USGS	06452000	2010-01-10	95.0	A:e
USGS	06452000	2010-01-11	95.0	A:e
USGS	06452000	2010-01-12	100	A:e
USGS	06452000	2010-01-13	110	A:e
USGS	06452000	2010-01-14	120	A:e
USGS	06452000	2010-01-15	130	A:e
USGS	06452000	2010-01-16	140	A:e
USGS	06452000	2010-01-17	150	A:e
USGS	06452000	2010-01-18	150	A:e
USGS	06452000	2010-01-19	150	A:e
USGS	06452000	2010-01-20	150	A:e
USGS	06452000	2010-01-21	150	A:e
USGS	06452000	2010-01-22	150	A:e
USGS	06452000	2010-01-23	150	A:e
USGS	06452000	2010-01-24	145	A:e
USGS	06452000	2010-01-25	145	A:e
USGS	06452000	2010-01-26	140	A:e
USGS	06452000	2010-01-27	140	A:e
USGS	06452000	2010-01-28	135	A:e
USGS	06452000	2010-01-29	135	A:e
USGS	06452000	2010-01-30	135	A:e
USGS	06452000	2010-01-31	135	A:e
USGS	06452000	2010-02-01	135	A:e
USGS	06452000	2010-02-02	130	A:e
USGS	06452000	2010-02-03	130	A:e
USGS	06452000	2010-02-04	140	A:e
USGS	06452000	2010-02-05	150	A:e
USGS	06452000	2010-02-06	160	A:e
USGS	06452000	2010-02-07	170	A:e
USGS	06452000	2010-02-08	160	A:e
USGS	06452000	2010-02-09	160	A:e
USGS	06452000	2010-02-10	160	A:e
USGS	06452000	2010-02-11	160	A:e
USGS	06452000	2010-02-12	160	A:e
USGS	06452000	2010-02-13	160	A:e
USGS	06452000	2010-02-14	160	A:e
USGS	06452000	2010-02-15	160	A:e
