# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06452320 PLATTE CREEK NEAR PLATTE, SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06452320
#            TS   parameter     statistic     Description
#        128671       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128671_00060_00003	128671_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06452320	2010-03-01	1.10	A:e
USGS	06452320	2010-03-02	1.10	A:e
USGS	06452320	2010-03-03	1.50	A:e
USGS	06452320	2010-03-04	3.00	A:e
USGS	06452320	2010-03-05	7.50	A:e
USGS	06452320	2010-03-06	35.0	A:e
USGS	06452320	2010-03-07	68.9	A
USGS	06452320	2010-03-08	299	A
USGS	06452320	2010-03-09	666	A
USGS	06452320	2010-03-10	928	A
USGS	06452320	2010-03-11	821	A
USGS	06452320	2010-03-12	957	A
USGS	06452320	2010-03-13	1240	A
USGS	06452320	2010-03-14	1390	A
USGS	06452320	2010-03-15	1370	A
USGS	06452320	2010-03-16	1250	A
USGS	06452320	2010-03-17	1150	A
USGS	06452320	2010-03-18	1020	A
USGS	06452320	2010-03-19	891	A
USGS	06452320	2010-03-20	744	A
USGS	06452320	2010-03-21	617	A
USGS	06452320	2010-03-22	633	A
USGS	06452320	2010-03-23	622	A
USGS	06452320	2010-03-24	528	A
USGS	06452320	2010-03-25	442	A
USGS	06452320	2010-03-26	385	A
USGS	06452320	2010-03-27	330	A
USGS	06452320	2010-03-28	288	A
USGS	06452320	2010-03-29	254	A
USGS	06452320	2010-03-30	232	A
USGS	06452320	2010-03-31	208	A
USGS	06452320	2010-04-01	189	A
USGS	06452320	2010-04-02	175	A
USGS	06452320	2010-04-03	153	A
USGS	06452320	2010-04-04	147	A
USGS	06452320	2010-04-05	133	A
USGS	06452320	2010-04-06	124	A
USGS	06452320	2010-04-07	116	A
USGS	06452320	2010-04-08	104	A
USGS	06452320	2010-04-09	98.7	A
USGS	06452320	2010-04-10	91.7	A
USGS	06452320	2010-04-11	86.7	A
USGS	06452320	2010-04-12	80.0	A
USGS	06452320	2010-04-13	71.9	A
USGS	06452320	2010-04-14	72.0	A
USGS	06452320	2010-04-15	63.0	A
USGS	06452320	2010-04-16	54.7	A
USGS	06452320	2010-04-17	47.9	A
USGS	06452320	2010-04-18	43.1	A
USGS	06452320	2010-04-19	37.8	A
USGS	06452320	2010-04-20	34.1	A
USGS	06452320	2010-04-21	32.1	A
USGS	06452320	2010-04-22	28.7	A
USGS	06452320	2010-04-23	28.2	A
USGS	06452320	2010-04-24	201	A
USGS	06452320	2010-04-25	408	A
USGS	06452320	2010-04-26	269	A
USGS	06452320	2010-04-27	246	A
USGS	06452320	2010-04-28	215	A
USGS	06452320	2010-04-29	186	A
USGS	06452320	2010-04-30	157	A
USGS	06452320	2010-05-01	123	A
USGS	06452320	2010-05-02	95.8	A
USGS	06452320	2010-05-03	81.5	A
USGS	06452320	2010-05-04	72.4	A
USGS	06452320	2010-05-05	61.5	A
USGS	06452320	2010-05-06	52.3	A
USGS	06452320	2010-05-07	50.2	A
USGS	06452320	2010-05-08	43.5	A
USGS	06452320	2010-05-09	41.2	A
USGS	06452320	2010-05-10	40.2	A
USGS	06452320	2010-05-11	43.1	A
USGS	06452320	2010-05-12	41.0	A
USGS	06452320	2010-05-13	40.8	A
USGS	06452320	2010-05-14	37.5	A
USGS	06452320	2010-05-15	34.7	A
USGS	06452320	2010-05-16	33.5	A
USGS	06452320	2010-05-17	31.5	A
