# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06453600 Ponca Creek at Verdel, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06453600
#            TS   parameter     statistic     Description
#         92976       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	92976_00060_00003	92976_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06453600	2010-01-01	9.52	A:e
USGS	06453600	2010-01-02	9.12	A:e
USGS	06453600	2010-01-03	8.67	A:e
USGS	06453600	2010-01-04	8.52	A:e
USGS	06453600	2010-01-05	8.45	A:e
USGS	06453600	2010-01-06	8.38	A:e
USGS	06453600	2010-01-07	8.10	A:e
USGS	06453600	2010-01-08	7.83	A:e
USGS	06453600	2010-01-09	7.90	A:e
USGS	06453600	2010-01-10	8.45	A:e
USGS	06453600	2010-01-11	9.20	A:e
USGS	06453600	2010-01-12	10.1	A:e
USGS	06453600	2010-01-13	11.6	A:e
USGS	06453600	2010-01-14	13.8	A:e
USGS	06453600	2010-01-15	16.7	A:e
USGS	06453600	2010-01-16	20.6	A:e
USGS	06453600	2010-01-17	25.5	A:e
USGS	06453600	2010-01-18	29.5	A:e
USGS	06453600	2010-01-19	34.4	A:e
USGS	06453600	2010-01-20	40.0	A:e
USGS	06453600	2010-01-21	45.1	A:e
USGS	06453600	2010-01-22	50.4	A:e
USGS	06453600	2010-01-23	56.8	A:e
USGS	06453600	2010-01-24	60.8	A:e
USGS	06453600	2010-01-25	60.8	A:e
USGS	06453600	2010-01-26	60.8	A:e
USGS	06453600	2010-01-27	59.8	A:e
USGS	06453600	2010-01-28	55.9	A:e
USGS	06453600	2010-01-29	50.0	A:e
USGS	06453600	2010-01-30	45.2	A:e
USGS	06453600	2010-01-31	40.5	A:e
USGS	06453600	2010-02-01	36.8	A:e
USGS	06453600	2010-02-02	33.8	A:e
USGS	06453600	2010-02-03	33.3	A:e
USGS	06453600	2010-02-04	34.7	A:e
