# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06465500 Niobrara River near Verdel, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06465500
#            TS   parameter     statistic     Description
#         93068       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	93068_00060_00003	93068_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06465500	2010-01-01	1770	A:e
USGS	06465500	2010-01-02	1700	A:e
USGS	06465500	2010-01-03	1620	A:e
USGS	06465500	2010-01-04	1610	A:e
USGS	06465500	2010-01-05	1620	A:e
USGS	06465500	2010-01-06	1640	A:e
USGS	06465500	2010-01-07	1650	A:e
USGS	06465500	2010-01-08	1480	A:e
USGS	06465500	2010-01-09	1220	A:e
USGS	06465500	2010-01-10	1100	A:e
USGS	06465500	2010-01-11	1200	A:e
USGS	06465500	2010-01-12	1460	A:e
USGS	06465500	2010-01-13	1840	A:e
USGS	06465500	2010-01-14	2310	A:e
USGS	06465500	2010-01-15	2330	A:e
USGS	06465500	2010-01-16	2220	A:e
USGS	06465500	2010-01-17	2330	A:e
USGS	06465500	2010-01-18	2480	A:e
USGS	06465500	2010-01-19	2490	A:e
USGS	06465500	2010-01-20	2470	A:e
USGS	06465500	2010-01-21	2490	A:e
USGS	06465500	2010-01-22	2530	A:e
USGS	06465500	2010-01-23	2550	A:e
USGS	06465500	2010-01-24	2570	A:e
USGS	06465500	2010-01-25	2490	A:e
USGS	06465500	2010-01-26	2350	A:e
USGS	06465500	2010-01-27	2110	A:e
USGS	06465500	2010-01-28	1940	A:e
USGS	06465500	2010-01-29	1840	A:e
USGS	06465500	2010-01-30	1810	A:e
USGS	06465500	2010-01-31	1860	A:e
USGS	06465500	2010-02-01	1890	A:e
USGS	06465500	2010-02-02	1840	A:e
USGS	06465500	2010-02-03	1820	A:e
USGS	06465500	2010-02-04	1840	A:e
USGS	06465500	2010-02-05	1940	A:e
USGS	06465500	2010-02-06	2000	A:e
USGS	06465500	2010-02-07	2030	A:e
USGS	06465500	2010-02-08	2010	A:e
USGS	06465500	2010-02-09	1880	A:e
USGS	06465500	2010-02-10	1740	A:e
USGS	06465500	2010-02-11	1680	A:e
USGS	06465500	2010-02-12	1620	A:e
USGS	06465500	2010-02-13	1750	A:e
USGS	06465500	2010-02-14	1880	A:e
USGS	06465500	2010-02-15	1770	A:e
USGS	06465500	2010-02-16	1610	A:e
USGS	06465500	2010-02-17	1600	A:e
USGS	06465500	2010-02-18	1630	A:e
USGS	06465500	2010-02-19	1700	A:e
USGS	06465500	2010-02-20	1840	A:e
USGS	06465500	2010-02-21	1870	A:e
USGS	06465500	2010-02-22	1870	A:e
USGS	06465500	2010-02-23	1870	A:e
USGS	06465500	2010-02-24	1870	A:e
USGS	06465500	2010-02-25	1830	A:e
USGS	06465500	2010-02-26	1820	A:e
USGS	06465500	2010-02-27	1890	A:e
USGS	06465500	2010-02-28	1920	A:e
USGS	06465500	2010-03-01	1980	A:e
USGS	06465500	2010-03-02	2090	A:e
USGS	06465500	2010-03-03	2370	A:e
USGS	06465500	2010-03-04	2810	A:e
USGS	06465500	2010-03-05	3240	A:e
USGS	06465500	2010-03-06	3690	A:e
USGS	06465500	2010-03-07	3990	A:e
USGS	06465500	2010-03-08	4680	A:e
USGS	06465500	2010-03-09	5470	A:e
USGS	06465500	2010-03-10	6510	A:e
USGS	06465500	2010-03-11	6180	A:e
USGS	06465500	2010-03-12	5690	A:e
USGS	06465500	2010-03-13	5330	A:e
USGS	06465500	2010-03-14	5290	A:e
USGS	06465500	2010-03-15	5040	A:e
USGS	06465500	2010-03-16	5060	A:e
USGS	06465500	2010-03-17	5250	A:e
USGS	06465500	2010-03-18	4760	A:e
USGS	06465500	2010-03-19	4210	A
USGS	06465500	2010-03-20	4120	A
USGS	06465500	2010-03-21	4080	A
USGS	06465500	2010-03-22	3880	A
USGS	06465500	2010-03-23	3840	A
USGS	06465500	2010-03-24	3600	A
USGS	06465500	2010-03-25	3800	A
USGS	06465500	2010-03-26	3560	A
USGS	06465500	2010-03-27	3220	A
USGS	06465500	2010-03-28	3150	A
USGS	06465500	2010-03-29	2940	A
USGS	06465500	2010-03-30	2670	A
USGS	06465500	2010-03-31	2560	A
USGS	06465500	2010-04-01	2210	A
USGS	06465500	2010-04-02	2040	A
USGS	06465500	2010-04-03	2060	A
USGS	06465500	2010-04-04	1950	A
USGS	06465500	2010-04-05	2110	A
USGS	06465500	2010-04-06	2200	A
USGS	06465500	2010-04-07	2240	A
USGS	06465500	2010-04-08	2350	A
USGS	06465500	2010-04-09	2300	A
USGS	06465500	2010-04-10	2310	A
USGS	06465500	2010-04-11	2410	A
USGS	06465500	2010-04-12	2630	A
USGS	06465500	2010-04-13	2850	A
USGS	06465500	2010-04-14	2950	A
USGS	06465500	2010-04-15	3290	A
USGS	06465500	2010-04-16	2860	A
USGS	06465500	2010-04-17	2750	A
USGS	06465500	2010-04-18	2770	A
USGS	06465500	2010-04-19	2150	A
USGS	06465500	2010-04-20	2730	A
USGS	06465500	2010-04-21	2970	A
USGS	06465500	2010-04-22	3120	A
USGS	06465500	2010-04-23	3260	A
