# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06466500 Bazile Creek near Niobrara, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06466500
#            TS   parameter     statistic     Description
#        232901       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	232901_00060_00003	232901_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06466500	2010-01-01	65.5	A:e
USGS	06466500	2010-01-02	64.6	A:e
USGS	06466500	2010-01-03	64.2	A:e
USGS	06466500	2010-01-04	62.3	A:e
USGS	06466500	2010-01-05	62.6	A:e
USGS	06466500	2010-01-06	61.1	A:e
USGS	06466500	2010-01-07	60.0	A:e
USGS	06466500	2010-01-08	58.8	A:e
USGS	06466500	2010-01-09	55.3	A:e
USGS	06466500	2010-01-10	54.3	A:e
USGS	06466500	2010-01-11	58.8	A:e
USGS	06466500	2010-01-12	61.1	A:e
USGS	06466500	2010-01-13	65.0	A:e
USGS	06466500	2010-01-14	70.1	A:e
USGS	06466500	2010-01-15	76.1	A:e
USGS	06466500	2010-01-16	81.5	A:e
USGS	06466500	2010-01-17	88.4	A:e
USGS	06466500	2010-01-18	94.0	A:e
USGS	06466500	2010-01-19	94.0	A:e
USGS	06466500	2010-01-20	94.0	A:e
USGS	06466500	2010-01-21	94.6	A:e
USGS	06466500	2010-01-22	96.4	A:e
USGS	06466500	2010-01-23	101	A:e
USGS	06466500	2010-01-24	103	A:e
USGS	06466500	2010-01-25	103	A:e
USGS	06466500	2010-01-26	101	A:e
USGS	06466500	2010-01-27	100	A:e
USGS	06466500	2010-01-28	100	A:e
USGS	06466500	2010-01-29	97.0	A:e
USGS	06466500	2010-01-30	97.0	A:e
USGS	06466500	2010-01-31	95.8	A:e
USGS	06466500	2010-02-01	95.8	A:e
USGS	06466500	2010-02-02	90.0	A:e
USGS	06466500	2010-02-03	85.1	A:e
USGS	06466500	2010-02-04	85.1	A:e
USGS	06466500	2010-02-05	86.7	A:e
USGS	06466500	2010-02-06	86.7	A:e
USGS	06466500	2010-02-07	88.9	A:e
USGS	06466500	2010-02-08	88.9	A:e
USGS	06466500	2010-02-09	85.6	A:e
USGS	06466500	2010-02-10	81.9	A:e
USGS	06466500	2010-02-11	78.9	A:e
USGS	06466500	2010-02-12	80.4	A:e
USGS	06466500	2010-02-13	79.9	A:e
USGS	06466500	2010-02-14	80.4	A:e
USGS	06466500	2010-02-15	77.9	A:e
USGS	06466500	2010-02-16	76.3	A:e
USGS	06466500	2010-02-17	75.3	A:e
USGS	06466500	2010-02-18	74.9	A:e
USGS	06466500	2010-02-19	74.4	A:e
USGS	06466500	2010-02-20	74.4	A:e
USGS	06466500	2010-02-21	74.4	A:e
USGS	06466500	2010-02-22	74.4	A:e
USGS	06466500	2010-02-23	75.3	A:e
USGS	06466500	2010-02-24	71.2	A:e
USGS	06466500	2010-02-25	68.6	A:e
USGS	06466500	2010-02-26	68.1	A:e
USGS	06466500	2010-02-27	68.1	A:e
USGS	06466500	2010-02-28	70.8	A:e
USGS	06466500	2010-03-01	73.8	A:e
USGS	06466500	2010-03-02	79.7	A:e
USGS	06466500	2010-03-03	84.5	A:e
USGS	06466500	2010-03-04	101	A:e
USGS	06466500	2010-03-05	116	A:e
USGS	06466500	2010-03-06	135	A:e
USGS	06466500	2010-03-07	147	A:e
USGS	06466500	2010-03-08	169	A:e
USGS	06466500	2010-03-09	187	A:e
USGS	06466500	2010-03-10	204	A:e
USGS	06466500	2010-03-11	233	A:e
USGS	06466500	2010-03-12	328	A:e
USGS	06466500	2010-03-13	531	A
USGS	06466500	2010-03-14	775	A
USGS	06466500	2010-03-15	745	A
USGS	06466500	2010-03-16	599	A
USGS	06466500	2010-03-17	471	A
USGS	06466500	2010-03-18	456	A
USGS	06466500	2010-03-19	477	A
USGS	06466500	2010-03-20	327	A
USGS	06466500	2010-03-21	271	A
USGS	06466500	2010-03-22	269	A
USGS	06466500	2010-03-23	297	A
USGS	06466500	2010-03-24	270	A
USGS	06466500	2010-03-25	239	A
USGS	06466500	2010-03-26	219	A
USGS	06466500	2010-03-27	207	A
USGS	06466500	2010-03-28	192	A
USGS	06466500	2010-03-29	190	A
USGS	06466500	2010-03-30	202	A
USGS	06466500	2010-03-31	196	A
USGS	06466500	2010-04-01	186	A
USGS	06466500	2010-04-02	174	A
USGS	06466500	2010-04-03	161	A
USGS	06466500	2010-04-04	152	A
USGS	06466500	2010-04-05	146	A
USGS	06466500	2010-04-06	152	A
USGS	06466500	2010-04-07	162	A
USGS	06466500	2010-04-08	162	A
USGS	06466500	2010-04-09	156	A
USGS	06466500	2010-04-10	154	A
USGS	06466500	2010-04-11	152	A
USGS	06466500	2010-04-12	149	A
USGS	06466500	2010-04-13	147	A
USGS	06466500	2010-04-14	141	A
USGS	06466500	2010-04-15	146	A
USGS	06466500	2010-04-16	139	A
USGS	06466500	2010-04-17	134	A
USGS	06466500	2010-04-18	130	A
USGS	06466500	2010-04-19	128	A
USGS	06466500	2010-04-20	127	A
USGS	06466500	2010-04-21	126	A
USGS	06466500	2010-04-22	123	A
USGS	06466500	2010-04-23	128	A
USGS	06466500	2010-04-24	159	A
USGS	06466500	2010-04-25	218	A
USGS	06466500	2010-04-26	205	A
USGS	06466500	2010-04-27	196	A
USGS	06466500	2010-04-28	183	A
USGS	06466500	2010-04-29	161	A
USGS	06466500	2010-04-30	152	A
USGS	06466500	2010-05-01	145	A
USGS	06466500	2010-05-02	142	A
USGS	06466500	2010-05-03	134	A
USGS	06466500	2010-05-04	131	A
USGS	06466500	2010-05-05	123	A
USGS	06466500	2010-05-06	119	A
USGS	06466500	2010-05-07	120	A
USGS	06466500	2010-05-08	119	A
USGS	06466500	2010-05-09	119	A
USGS	06466500	2010-05-10	121	A
USGS	06466500	2010-05-11	133	A
USGS	06466500	2010-05-12	156	A
USGS	06466500	2010-05-13	155	A
USGS	06466500	2010-05-14	156	A
USGS	06466500	2010-05-15	141	A
USGS	06466500	2010-05-16	128	A
USGS	06466500	2010-05-17	121	A
USGS	06466500	2010-05-18	119	A
USGS	06466500	2010-05-19	118	A
USGS	06466500	2010-05-20	115	A
USGS	06466500	2010-05-21	114	A
USGS	06466500	2010-05-22	113	A
USGS	06466500	2010-05-23	112	A
USGS	06466500	2010-05-24	109	A
USGS	06466500	2010-05-25	106	A
USGS	06466500	2010-05-26	110	A
USGS	06466500	2010-05-27	110	A
USGS	06466500	2010-05-28	105	A
USGS	06466500	2010-05-29	101	A
USGS	06466500	2010-05-30	133	A
USGS	06466500	2010-05-31	166	A
USGS	06466500	2010-06-01	158	A
USGS	06466500	2010-06-02	136	A
USGS	06466500	2010-06-03	121	A
USGS	06466500	2010-06-04	138	A
USGS	06466500	2010-06-05	130	A
USGS	06466500	2010-06-06	120	A
USGS	06466500	2010-06-07	118	A
USGS	06466500	2010-06-08	138	A
USGS	06466500	2010-06-09	133	A
