# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06478513 JAMES RIVER NR YANKTON SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06478513
#            TS   parameter     statistic     Description
#        294960       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	294960_00060_00003	294960_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06478513	2010-01-01	1360	A:e
USGS	06478513	2010-01-02	1340	A:e
USGS	06478513	2010-01-03	1320	A:e
USGS	06478513	2010-01-04	1300	A:e
USGS	06478513	2010-01-05	1300	A:e
USGS	06478513	2010-01-06	1270	A:e
USGS	06478513	2010-01-07	1270	A:e
USGS	06478513	2010-01-08	1230	A:e
USGS	06478513	2010-01-09	1200	A:e
USGS	06478513	2010-01-10	1120	A:e
USGS	06478513	2010-01-11	1110	A:e
USGS	06478513	2010-01-12	1080	A:e
USGS	06478513	2010-01-13	1030	A:e
USGS	06478513	2010-01-14	1010	A:e
USGS	06478513	2010-01-15	984	A:e
USGS	06478513	2010-01-16	965	A:e
USGS	06478513	2010-01-17	936	A:e
USGS	06478513	2010-01-18	875	A:e
USGS	06478513	2010-01-19	809	A:e
USGS	06478513	2010-01-20	789	A:e
USGS	06478513	2010-01-21	764	A:e
USGS	06478513	2010-01-22	746	A:e
USGS	06478513	2010-01-23	729	A:e
USGS	06478513	2010-01-24	695	A:e
USGS	06478513	2010-01-25	665	A:e
USGS	06478513	2010-01-26	633	A:e
USGS	06478513	2010-01-27	596	A:e
USGS	06478513	2010-01-28	592	A:e
USGS	06478513	2010-01-29	575	A:e
USGS	06478513	2010-01-30	552	A:e
USGS	06478513	2010-01-31	557	A:e
USGS	06478513	2010-02-01	552	A:e
USGS	06478513	2010-02-02	540	A:e
USGS	06478513	2010-02-03	538	A:e
USGS	06478513	2010-02-04	543	A:e
USGS	06478513	2010-02-05	552	A:e
USGS	06478513	2010-02-06	568	A:e
