# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06478522 Bow Creek near Wynot, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06478522
#            TS   parameter     statistic     Description
#         93075       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	93075_00060_00003	93075_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06478522	2015-03-27	113	A
USGS	06478522	2015-03-28	115	A
USGS	06478522	2015-03-29	113	A
USGS	06478522	2015-03-30	107	A
USGS	06478522	2015-03-31	105	A
USGS	06478522	2015-04-01	106	A
USGS	06478522	2015-04-02	105	A
USGS	06478522	2015-04-03	99.7	A
USGS	06478522	2015-04-04	101	A
USGS	06478522	2015-04-05	103	A
USGS	06478522	2015-04-06	102	A
USGS	06478522	2015-04-07	103	A
USGS	06478522	2015-04-08	106	A
USGS	06478522	2015-04-09	123	A
USGS	06478522	2015-04-10	139	A
USGS	06478522	2015-04-11	127	A
USGS	06478522	2015-04-12	122	A
USGS	06478522	2015-04-13	118	A
USGS	06478522	2015-04-14	113	A
USGS	06478522	2015-04-15	111	A
USGS	06478522	2015-04-16	111	A
USGS	06478522	2015-04-17	106	A
USGS	06478522	2015-04-18	114	A
USGS	06478522	2015-04-19	119	A
USGS	06478522	2015-04-20	114	A
USGS	06478522	2015-04-21	110	A
USGS	06478522	2015-04-22	112	A
USGS	06478522	2015-04-23	111	A
USGS	06478522	2015-04-24	111	A
USGS	06478522	2015-04-25	108	A
USGS	06478522	2015-04-26	106	A
USGS	06478522	2015-04-27	106	A
USGS	06478522	2015-04-28	99.7	A
USGS	06478522	2015-04-29	99.9	A
USGS	06478522	2015-04-30	99.4	A
USGS	06478522	2015-05-01	101	A
USGS	06478522	2015-05-02	98.4	A
USGS	06478522	2015-05-03	93.6	A
USGS	06478522	2015-05-04	94.5	A
USGS	06478522	2015-05-05	95.6	A
USGS	06478522	2015-05-06	98.0	A
USGS	06478522	2015-05-07	104	A
USGS	06478522	2015-05-08	108	A
USGS	06478522	2015-05-09	103	A
USGS	06478522	2015-05-10	114	A
USGS	06478522	2015-05-11	167	A
USGS	06478522	2015-05-12	119	A
USGS	06478522	2015-05-13	110	A
USGS	06478522	2015-05-14	118	A
USGS	06478522	2015-05-15	118	A
USGS	06478522	2015-05-16	118	A
USGS	06478522	2015-05-17	110	A
USGS	06478522	2015-05-18	103	A
USGS	06478522	2015-05-19	102	A
USGS	06478522	2015-05-20	107	A
USGS	06478522	2015-05-21	109	A
USGS	06478522	2015-05-22	109	A
USGS	06478522	2015-05-23	106	A
USGS	06478522	2015-05-24	110	A
USGS	06478522	2015-05-25	117	A
USGS	06478522	2015-05-26	125	A
USGS	06478522	2015-05-27	120	A
USGS	06478522	2015-05-28	109	A
USGS	06478522	2015-05-29	105	A
USGS	06478522	2015-05-30	107	A
USGS	06478522	2015-05-31	105	A
USGS	06478522	2015-06-01	103	A
USGS	06478522	2015-06-02	98.6	A
USGS	06478522	2015-06-03	106	A
USGS	06478522	2015-06-04	104	A
USGS	06478522	2015-06-05	107	A
USGS	06478522	2015-06-06	108	A
USGS	06478522	2015-06-07	254	A
USGS	06478522	2015-06-08	194	A
USGS	06478522	2015-06-09	130	A
USGS	06478522	2015-06-10	112	A
USGS	06478522	2015-06-11	121	A
USGS	06478522	2015-06-12	128	A
USGS	06478522	2015-06-13	126	A
USGS	06478522	2015-06-14	123	A
USGS	06478522	2015-06-15	136	A
USGS	06478522	2015-06-16	143	A
USGS	06478522	2015-06-17	123	A
USGS	06478522	2015-06-18	116	A
USGS	06478522	2015-06-19	108	A
USGS	06478522	2015-06-20	105	A
USGS	06478522	2015-06-21	105	A
USGS	06478522	2015-06-22	103	A
USGS	06478522	2015-06-23	100	A
USGS	06478522	2015-06-24	97.9	A
USGS	06478522	2015-06-25	99.2	A
USGS	06478522	2015-06-26	102	A
USGS	06478522	2015-06-27	98.7	A
USGS	06478522	2015-06-28	92.7	A
USGS	06478522	2015-06-29	86.7	A
USGS	06478522	2015-06-30	89.4	A
USGS	06478522	2015-07-01	110	A
USGS	06478522	2015-07-02	122	A
USGS	06478522	2015-07-03	98.5	A
USGS	06478522	2015-07-04	96.0	A
USGS	06478522	2015-07-05	107	A
USGS	06478522	2015-07-06	160	A
USGS	06478522	2015-07-07	122	A
USGS	06478522	2015-07-08	109	A
USGS	06478522	2015-07-09	103	A
USGS	06478522	2015-07-10	101	A
USGS	06478522	2015-07-11	96.7	A
USGS	06478522	2015-07-12	88.3	A
USGS	06478522	2015-07-13	84.2	A
USGS	06478522	2015-07-14	80.8	A
USGS	06478522	2015-07-15	78.6	A
USGS	06478522	2015-07-16	79.2	A
USGS	06478522	2015-07-17	81.9	A
USGS	06478522	2015-07-18	81.1	A
USGS	06478522	2015-07-19	74.3	A
USGS	06478522	2015-07-20	75.3	A
USGS	06478522	2015-07-21	67.5	A
USGS	06478522	2015-07-22	66.5	A
USGS	06478522	2015-07-23	64.9	A
USGS	06478522	2015-07-24	63.3	A
USGS	06478522	2015-07-25	61.7	A
USGS	06478522	2015-07-26	60.1	A
USGS	06478522	2015-07-27	83.4	A
USGS	06478522	2015-07-28	278	A
USGS	06478522	2015-07-29	136	A
USGS	06478522	2015-07-30	98.4	A
USGS	06478522	2015-07-31	86.8	A
USGS	06478522	2015-08-01	77.3	A
USGS	06478522	2015-08-02	75.9	A
USGS	06478522	2015-08-03	72.2	A
USGS	06478522	2015-08-04	68.5	A
USGS	06478522	2015-08-05	79.6	A
USGS	06478522	2015-08-06	75.7	A
USGS	06478522	2015-08-07	72.1	A
USGS	06478522	2015-08-08	67.5	A
USGS	06478522	2015-08-09	69.6	A
USGS	06478522	2015-08-10	85.9	A
USGS	06478522	2015-08-11	67.8	A
USGS	06478522	2015-08-12	58.5	A
USGS	06478522	2015-08-13	54.9	A
USGS	06478522	2015-08-14	54.1	A
USGS	06478522	2015-08-15	50.3	A
USGS	06478522	2015-08-16	51.5	A
USGS	06478522	2015-08-17	67.5	A
USGS	06478522	2015-08-18	218	A
USGS	06478522	2015-08-19	144	A
USGS	06478522	2015-08-20	96.1	A
USGS	06478522	2015-08-21	74.5	A
USGS	06478522	2015-08-22	68.7	A
USGS	06478522	2015-08-23	67.3	A
USGS	06478522	2015-08-24	63.0	A
USGS	06478522	2015-08-25	57.8	A
USGS	06478522	2015-08-26	57.4	A
USGS	06478522	2015-08-27	57.5	A
USGS	06478522	2015-08-28	92.8	A
USGS	06478522	2015-08-29	81.9	A
USGS	06478522	2015-08-30	73.2	A
USGS	06478522	2015-08-31	69.0	A
USGS	06478522	2015-09-01	64.2	A
USGS	06478522	2015-09-02	58.8	A
USGS	06478522	2015-09-03	58.2	A
USGS	06478522	2015-09-04	59.4	A
USGS	06478522	2015-09-05	58.6	A
USGS	06478522	2015-09-06	57.0	A
USGS	06478522	2015-09-07	54.8	A
USGS	06478522	2015-09-08	58.3	A
USGS	06478522	2015-09-09	57.9	A
USGS	06478522	2015-09-10	58.9	A
USGS	06478522	2015-09-11	60.8	A
USGS	06478522	2015-09-12	60.5	A
USGS	06478522	2015-09-13	60.9	A
USGS	06478522	2015-09-14	61.6	A
USGS	06478522	2015-09-15	60.3	A
USGS	06478522	2015-09-16	54.1	A
USGS	06478522	2015-09-17	55.8	A
USGS	06478522	2015-09-18	58.8	A
USGS	06478522	2015-09-19	59.8	A
USGS	06478522	2015-09-20	57.3	A
USGS	06478522	2015-09-21	57.9	A
USGS	06478522	2015-09-22	59.5	A
USGS	06478522	2015-09-23	1180	A
USGS	06478522	2015-09-24	597	A
USGS	06478522	2015-09-25	534	A
USGS	06478522	2015-09-26	295	A
USGS	06478522	2015-09-27	189	A
USGS	06478522	2015-09-28	158	A
USGS	06478522	2015-09-29	146	A
USGS	06478522	2015-09-30	131	A
USGS	06478522	2015-10-01	123	A
USGS	06478522	2015-10-02	119	A
USGS	06478522	2015-10-03	116	A
USGS	06478522	2015-10-04	113	A
USGS	06478522	2015-10-05	113	A
USGS	06478522	2015-10-06	112	A
USGS	06478522	2015-10-07	113	A
USGS	06478522	2015-10-08	108	A
USGS	06478522	2015-10-09	104	A
USGS	06478522	2015-10-10	106	A
USGS	06478522	2015-10-11	108	A
USGS	06478522	2015-10-12	104	A
USGS	06478522	2015-10-13	99.8	A
USGS	06478522	2015-10-14	101	A
USGS	06478522	2015-10-15	97.3	A
USGS	06478522	2015-10-16	95.5	A
USGS	06478522	2015-10-17	97.6	A
USGS	06478522	2015-10-18	96.6	A
USGS	06478522	2015-10-19	96.1	A
USGS	06478522	2015-10-20	101	A
USGS	06478522	2015-10-21	102	A
USGS	06478522	2015-10-22	98.6	A
USGS	06478522	2015-10-23	111	A
USGS	06478522	2015-10-24	132	A
USGS	06478522	2015-10-25	119	A
USGS	06478522	2015-10-26	112	A
USGS	06478522	2015-10-27	107	A
USGS	06478522	2015-10-28	107	A
USGS	06478522	2015-10-29	106	A
USGS	06478522	2015-10-30	103	A
USGS	06478522	2015-10-31	107	A
USGS	06478522	2015-11-01	106	A
USGS	06478522	2015-11-02	106	A
USGS	06478522	2015-11-03	107	A
USGS	06478522	2015-11-04	105	A
USGS	06478522	2015-11-05	106	A
USGS	06478522	2015-11-06	103	A
USGS	06478522	2015-11-07	97.8	A
USGS	06478522	2015-11-08	97.4	A
USGS	06478522	2015-11-09	99.7	A
USGS	06478522	2015-11-10	101	A
USGS	06478522	2015-11-11	112	A
USGS	06478522	2015-11-12	139	A
USGS	06478522	2015-11-13	124	A
USGS	06478522	2015-11-14	116	A
USGS	06478522	2015-11-15	118	A
USGS	06478522	2015-11-16	121	A
USGS	06478522	2015-11-17	137	A
USGS	06478522	2015-11-18	149	A
USGS	06478522	2015-11-19		
USGS	06478522	2015-11-20		
USGS	06478522	2015-11-21		
USGS	06478522	2015-11-22		
USGS	06478522	2015-11-23		
USGS	06478522	2015-11-24		
USGS	06478522	2015-11-25		
USGS	06478522	2015-11-26		
USGS	06478522	2015-11-27		
USGS	06478522	2015-11-28		
USGS	06478522	2015-11-29		
USGS	06478522	2015-11-30		
USGS	06478522	2015-12-01		
USGS	06478522	2015-12-02		
USGS	06478522	2015-12-03		
USGS	06478522	2015-12-04		
USGS	06478522	2015-12-05		
USGS	06478522	2015-12-06		
USGS	06478522	2015-12-07		
USGS	06478522	2015-12-08		
USGS	06478522	2015-12-09		
USGS	06478522	2015-12-10		
USGS	06478522	2015-12-11		
USGS	06478522	2015-12-12		
USGS	06478522	2015-12-13		
USGS	06478522	2015-12-14		
USGS	06478522	2015-12-15		
USGS	06478522	2015-12-16		
USGS	06478522	2015-12-17		
USGS	06478522	2015-12-18		
USGS	06478522	2015-12-19		
USGS	06478522	2015-12-20		
USGS	06478522	2015-12-21		
USGS	06478522	2015-12-22		
USGS	06478522	2015-12-23		
USGS	06478522	2015-12-24		
USGS	06478522	2015-12-25		
USGS	06478522	2015-12-26		
USGS	06478522	2015-12-27		
USGS	06478522	2015-12-28		
USGS	06478522	2015-12-29		
USGS	06478522	2015-12-30		
USGS	06478522	2015-12-31		
USGS	06478522	2016-01-01		
USGS	06478522	2016-01-02		
USGS	06478522	2016-01-03		
USGS	06478522	2016-01-04		
USGS	06478522	2016-01-05		
USGS	06478522	2016-01-06		
USGS	06478522	2016-01-07		
USGS	06478522	2016-01-08		
USGS	06478522	2016-01-09		
USGS	06478522	2016-01-10		
USGS	06478522	2016-01-11		
USGS	06478522	2016-01-12		
USGS	06478522	2016-01-13		
USGS	06478522	2016-01-14		
USGS	06478522	2016-01-15		
USGS	06478522	2016-01-16		
USGS	06478522	2016-01-17		
USGS	06478522	2016-01-18		
USGS	06478522	2016-01-19		
USGS	06478522	2016-01-20		
USGS	06478522	2016-01-21		
USGS	06478522	2016-01-22		
USGS	06478522	2016-01-23		
USGS	06478522	2016-01-24		
USGS	06478522	2016-01-25		
USGS	06478522	2016-01-26		
USGS	06478522	2016-01-27		
USGS	06478522	2016-01-28		
USGS	06478522	2016-01-29		
USGS	06478522	2016-01-30		
USGS	06478522	2016-01-31		
USGS	06478522	2016-02-01		
USGS	06478522	2016-02-02		
USGS	06478522	2016-02-03		
USGS	06478522	2016-02-04		
USGS	06478522	2016-02-05		
USGS	06478522	2016-02-06		
USGS	06478522	2016-02-07		
USGS	06478522	2016-02-08		
USGS	06478522	2016-02-09		
USGS	06478522	2016-02-10		
USGS	06478522	2016-02-11		
USGS	06478522	2016-02-12		
USGS	06478522	2016-02-13		
USGS	06478522	2016-02-14		
USGS	06478522	2016-02-15		
USGS	06478522	2016-02-16		
USGS	06478522	2016-02-17		
USGS	06478522	2016-02-18		
USGS	06478522	2016-02-19		
USGS	06478522	2016-02-20		
USGS	06478522	2016-02-21		
USGS	06478522	2016-02-22		
USGS	06478522	2016-02-23		
USGS	06478522	2016-02-24		
USGS	06478522	2016-02-25		
USGS	06478522	2016-02-26		
USGS	06478522	2016-02-27		
USGS	06478522	2016-02-28		
USGS	06478522	2016-02-29		
USGS	06478522	2016-03-01		
USGS	06478522	2016-03-02		
USGS	06478522	2016-03-03		
USGS	06478522	2016-03-04		
USGS	06478522	2016-03-05		
USGS	06478522	2016-03-06		
USGS	06478522	2016-03-07		
USGS	06478522	2016-03-08		
USGS	06478522	2016-03-09		
USGS	06478522	2016-03-10		
USGS	06478522	2016-03-11		
USGS	06478522	2016-03-12		
USGS	06478522	2016-03-13		
USGS	06478522	2016-03-14		
USGS	06478522	2016-03-15		
USGS	06478522	2016-03-16		
USGS	06478522	2016-03-17		
USGS	06478522	2016-03-18		
USGS	06478522	2016-03-19		
USGS	06478522	2016-03-20		
USGS	06478522	2016-03-21		
USGS	06478522	2016-03-22		
USGS	06478522	2016-03-23		
USGS	06478522	2016-03-24		
USGS	06478522	2016-03-25		
USGS	06478522	2016-03-26		
USGS	06478522	2016-03-27		
USGS	06478522	2016-03-28		
USGS	06478522	2016-03-29		
USGS	06478522	2016-03-30		
USGS	06478522	2016-03-31		
USGS	06478522	2016-04-01	312	A
USGS	06478522	2016-04-02	299	A
USGS	06478522	2016-04-03	286	A
USGS	06478522	2016-04-04	274	A
USGS	06478522	2016-04-05	265	A
USGS	06478522	2016-04-06	258	A
USGS	06478522	2016-04-07	248	A
USGS	06478522	2016-04-08	237	A
USGS	06478522	2016-04-09	230	A
USGS	06478522	2016-04-10	234	A
USGS	06478522	2016-04-11	231	A
USGS	06478522	2016-04-12	224	A
USGS	06478522	2016-04-13	227	A
USGS	06478522	2016-04-14	228	A
USGS	06478522	2016-04-15	224	A
USGS	06478522	2016-04-16	222	A
USGS	06478522	2016-04-17	221	A
USGS	06478522	2016-04-18	242	A
USGS	06478522	2016-04-19	258	A
USGS	06478522	2016-04-20	294	A
USGS	06478522	2016-04-21	764	A
USGS	06478522	2016-04-22	515	A
USGS	06478522	2016-04-23	398	A
USGS	06478522	2016-04-24	366	A
USGS	06478522	2016-04-25	386	A
USGS	06478522	2016-04-26	343	A
USGS	06478522	2016-04-27	477	A
USGS	06478522	2016-04-28	644	A
USGS	06478522	2016-04-29	489	A
USGS	06478522	2016-04-30	561	A
USGS	06478522	2016-05-01	943	A
USGS	06478522	2016-05-02	683	A
USGS	06478522	2016-05-03	535	A
USGS	06478522	2016-05-04	477	A
USGS	06478522	2016-05-05	435	A
USGS	06478522	2016-05-06	412	A
USGS	06478522	2016-05-07	398	A
USGS	06478522	2016-05-08	376	A
USGS	06478522	2016-05-09	477	A
USGS	06478522	2016-05-10	784	A
USGS	06478522	2016-05-11	570	A
USGS	06478522	2016-05-12	555	A
USGS	06478522	2016-05-13	439	A
USGS	06478522	2016-05-14	403	A
USGS	06478522	2016-05-15	392	A
USGS	06478522	2016-05-16	381	A
USGS	06478522	2016-05-17	373	A
USGS	06478522	2016-05-18	361	A
USGS	06478522	2016-05-19	351	A
USGS	06478522	2016-05-20	344	A
USGS	06478522	2016-05-21	335	A
USGS	06478522	2016-05-22	326	A
USGS	06478522	2016-05-23	546	A
USGS	06478522	2016-05-24	512	A
USGS	06478522	2016-05-25	393	A
USGS	06478522	2016-05-26	479	A
USGS	06478522	2016-05-27	412	A
USGS	06478522	2016-05-28	617	A
USGS	06478522	2016-05-29	808	A
USGS	06478522	2016-05-30	436	A
USGS	06478522	2016-05-31	411	A
USGS	06478522	2016-06-01	385	A
USGS	06478522	2016-06-02	358	A
USGS	06478522	2016-06-03	355	A
USGS	06478522	2016-06-04	348	A
USGS	06478522	2016-06-05	336	A
USGS	06478522	2016-06-06	329	A
USGS	06478522	2016-06-07	314	A
USGS	06478522	2016-06-08	302	A
USGS	06478522	2016-06-09	297	A
USGS	06478522	2016-06-10	295	A
USGS	06478522	2016-06-11	289	A
USGS	06478522	2016-06-12	281	A
USGS	06478522	2016-06-13	290	A
USGS	06478522	2016-06-14	321	A
USGS	06478522	2016-06-15	301	A
USGS	06478522	2016-06-16	272	A
USGS	06478522	2016-06-17	271	A
USGS	06478522	2016-06-18	661	A
USGS	06478522	2016-06-19	536	A
USGS	06478522	2016-06-20	355	A
USGS	06478522	2016-06-21	321	A
USGS	06478522	2016-06-22	314	A
USGS	06478522	2016-06-23	298	A
USGS	06478522	2016-06-24	293	A
USGS	06478522	2016-06-25	292	A
USGS	06478522	2016-06-26	287	A
USGS	06478522	2016-06-27	273	A
USGS	06478522	2016-06-28	268	A
USGS	06478522	2016-06-29	305	A
USGS	06478522	2016-06-30	280	A
USGS	06478522	2016-07-01	268	A
USGS	06478522	2016-07-02	257	A
USGS	06478522	2016-07-03	258	A
USGS	06478522	2016-07-04	254	A
USGS	06478522	2016-07-05	249	A
USGS	06478522	2016-07-06	247	A
USGS	06478522	2016-07-07	301	A
USGS	06478522	2016-07-08	276	A
USGS	06478522	2016-07-09	251	A
USGS	06478522	2016-07-10	238	A
USGS	06478522	2016-07-11	231	A
USGS	06478522	2016-07-12	223	A
USGS	06478522	2016-07-13	217	A
USGS	06478522	2016-07-14	221	A
USGS	06478522	2016-07-15	207	A
USGS	06478522	2016-07-16	201	A
USGS	06478522	2016-07-17	221	A
USGS	06478522	2016-07-18	200	A
USGS	06478522	2016-07-19	186	A
USGS	06478522	2016-07-20	182	A
USGS	06478522	2016-07-21	178	A
USGS	06478522	2016-07-22	174	A
USGS	06478522	2016-07-23	168	A
USGS	06478522	2016-07-24	160	A
USGS	06478522	2016-07-25	153	A
USGS	06478522	2016-07-26	152	A
USGS	06478522	2016-07-27	145	A
USGS	06478522	2016-07-28	140	A
USGS	06478522	2016-07-29	131	A
USGS	06478522	2016-07-30	127	A
USGS	06478522	2016-07-31	128	A
USGS	06478522	2016-08-01	147	A
USGS	06478522	2016-08-02	138	A
USGS	06478522	2016-08-03	135	A
USGS	06478522	2016-08-04	126	A
USGS	06478522	2016-08-05	116	A
USGS	06478522	2016-08-06	109	A
USGS	06478522	2016-08-07	109	A
USGS	06478522	2016-08-08	106	A
USGS	06478522	2016-08-09	103	A
