# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06479010 VERMILLION RIVER NR VERMILLION,SD
# -----------------------------------------------------------------------------------
#
# Data provided for site 06479010
#            TS   parameter     statistic     Description
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128843_00060_00003	128843_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06479010	2010-01-01	55.0	A:e
USGS	06479010	2010-01-02	50.0	A:e
USGS	06479010	2010-01-03	50.0	A:e
USGS	06479010	2010-01-04	48.0	A:e
USGS	06479010	2010-01-05	47.0	A:e
USGS	06479010	2010-01-06	46.0	A:e
USGS	06479010	2010-01-07	44.0	A:e
USGS	06479010	2010-01-08	40.0	A:e
USGS	06479010	2010-01-09	35.0	A:e
USGS	06479010	2010-01-10	36.0	A:e
USGS	06479010	2010-01-11	40.0	A:e
USGS	06479010	2010-01-12	44.0	A:e
USGS	06479010	2010-01-13	48.0	A:e
USGS	06479010	2010-01-14	52.0	A:e
USGS	06479010	2010-01-15	58.0	A:e
USGS	06479010	2010-01-16	63.0	A:e
USGS	06479010	2010-01-17	62.0	A:e
USGS	06479010	2010-01-18	58.0	A:e
USGS	06479010	2010-01-19	60.0	A:e
USGS	06479010	2010-01-20	63.0	A:e
USGS	06479010	2010-01-21	69.0	A:e
USGS	06479010	2010-01-22	75.0	A:e
USGS	06479010	2010-01-23	80.0	A:e
USGS	06479010	2010-01-24	75.0	A:e
USGS	06479010	2010-01-25	70.0	A:e
USGS	06479010	2010-01-26	68.0	A:e
USGS	06479010	2010-01-27	62.0	A:e
USGS	06479010	2010-01-28	56.0	A:e
USGS	06479010	2010-01-29	52.0	A:e
USGS	06479010	2010-01-30	51.0	A:e
USGS	06479010	2010-01-31	50.0	A:e
USGS	06479010	2010-02-01	50.0	A:e
USGS	06479010	2010-02-02	44.0	A:e
USGS	06479010	2010-02-03	49.0	A:e
USGS	06479010	2010-02-04	60.0	A:e
