# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06485950 BIG SIOUX RIVER AT SIOUX CITY, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 06485950
#            TS   parameter     statistic     Description
#        128929       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	128929_00060_00003	128929_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06485950	2015-03-01	550	A:e
USGS	06485950	2015-03-02	550	A:e
USGS	06485950	2015-03-03	540	A:e
USGS	06485950	2015-03-04	480	A:e
USGS	06485950	2015-03-05	440	A:e
USGS	06485950	2015-03-06	450	A:e
USGS	06485950	2015-03-07	460	A:e
USGS	06485950	2015-03-08	459	A
USGS	06485950	2015-03-09	480	A
USGS	06485950	2015-03-10	562	A
USGS	06485950	2015-03-11	717	A
USGS	06485950	2015-03-12	1130	A
USGS	06485950	2015-03-13	1710	A
USGS	06485950	2015-03-14	2000	A
USGS	06485950	2015-03-15	1780	A
USGS	06485950	2015-03-16	1590	A
USGS	06485950	2015-03-17	1500	A
USGS	06485950	2015-03-18	1560	A
USGS	06485950	2015-03-19	1680	A
USGS	06485950	2015-03-20	1750	A:e
USGS	06485950	2015-03-21	1700	A:e
USGS	06485950	2015-03-22	1550	A:e
USGS	06485950	2015-03-23	1400	A:e
USGS	06485950	2015-03-24	1350	A:e
USGS	06485950	2015-03-25	1300	A:e
USGS	06485950	2015-03-26	1250	A:e
