# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-28 21:36:24 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06486000 Missouri River at Sioux City, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 06486000
#            TS   parameter     statistic     Description
#         43164       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	43164_00060_00003	43164_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06486000	2010-01-01	17600	A:e
USGS	06486000	2010-01-02	17300	A:e
USGS	06486000	2010-01-03	17200	A:e
USGS	06486000	2010-01-04	17400	A:e
USGS	06486000	2010-01-05	18000	A:e
USGS	06486000	2010-01-06	17800	A:e
USGS	06486000	2010-01-07	18400	A:e
USGS	06486000	2010-01-08	18100	A:e
USGS	06486000	2010-01-09	17700	A:e
USGS	06486000	2010-01-10	18600	A:e
USGS	06486000	2010-01-11	18900	A:e
USGS	06486000	2010-01-12	19100	A:e
USGS	06486000	2010-01-13	19100	A:e
USGS	06486000	2010-01-14	18900	A
USGS	06486000	2010-01-15	18100	A
USGS	06486000	2010-01-16	17800	A
USGS	06486000	2010-01-17	17700	A:e
USGS	06486000	2010-01-18	17500	A
USGS	06486000	2010-01-19	17600	A
USGS	06486000	2010-01-20	17600	A
USGS	06486000	2010-01-21	17500	A
USGS	06486000	2010-01-22	17400	A
USGS	06486000	2010-01-23	17700	A
USGS	06486000	2010-01-24	17500	A
USGS	06486000	2010-01-25	17300	A
USGS	06486000	2010-01-26	16200	A
USGS	06486000	2010-01-27	17100	A
USGS	06486000	2010-01-28	19100	A
USGS	06486000	2010-01-29	19300	A
USGS	06486000	2010-01-30	19400	A:e
USGS	06486000	2010-01-31	19500	A
USGS	06486000	2010-02-01	19500	A
USGS	06486000	2010-02-02	18400	A
USGS	06486000	2010-02-03	17100	A
USGS	06486000	2010-02-04	17100	A
USGS	06486000	2010-02-05	17200	A
USGS	06486000	2010-02-06	17000	A
USGS	06486000	2010-02-07	17000	A
USGS	06486000	2010-02-08	16900	A
USGS	06486000	2010-02-09	15900	A
USGS	06486000	2010-02-10	15500	A
USGS	06486000	2010-02-11	17200	A
USGS	06486000	2010-02-12	17700	A
USGS	06486000	2010-02-13	17500	A
USGS	06486000	2010-02-14	17100	A
USGS	06486000	2010-02-15	16200	A
USGS	06486000	2010-02-16	16800	A
USGS	06486000	2010-02-17	17300	A
USGS	06486000	2010-02-18	17600	A
