Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
LAKE RANCH,LAKE MCKENZIE,622,CA00676,0,,-122.0524,37.2211,"S.23,T.8S,R.2W",SANTA CLARA,BEARDSLEY CREEK,SAN JOSE WATER AGENCY,Public Utility,N,,Earth,,R,Water Supply,Water Supply,1877,,160,38,NA,26.89,38,225,317,222,317,18,0.7,NR,40764,1,U,0,,5000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
SAN DIEGO RESERVOIR,,1069,CA00900,0,,-120.3897,38.0305,"S.13,T.2N,R.14E",TUOLUMNE,TR MORMON CR,YOSEMITE JUNIOR COLLEGE DIST,Public Utility,N,,Earth,,S,Irrigation,"Irrigation, Water Supply, Recreation",1860,,155,39,NA,35,39,108,60,40,60,5,0.06,NR,40576,1,U,0,,5713,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
UPPER SARDINE LAKE,,9000.331,CA82563,0,,-120.632,39.611,"S.9,T.20N,R.12E",SIERRA,TR SARDINE CREEK,FOREST SERVICE,Federal,N,,Earth,,,Recreation,Recreation,1885,,165,26,NA,16,26,NA,NA,550,550,NA,1.5,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,N/A,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
UPPER SALMON LAKE,,9101,CA10229,0,,-120.648,39.655,"S.29,T.21N,R.12E",SIERRA,TR SALMON CREEK,FOREST SERVICE,Federal,N,,Rockfill,,,Water Supply,Water Supply,1885,,70,13,NA,9.5,13,NA,389,389,389,41,1,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
BUCHANAN,,9119,CA10322,0,,-120.833,41.97,"S.28,T.48N,R.10E",MODOC,TR WILLOW CREEK,FOREST SERVICE,Federal,N,,Earth,,,Water Supply,Water Supply,1890,,480,7,NA,NA,7,NA,NA,93,93,NA,5.5,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
UPPER LINDSEY,,02310-04-01,CA83180,1,,-120.627,39.4125,"S.21,T.18N,R.12E",NEVADA,LINDSEY CREEK,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1870,,316,8,8,5.5,8,600,1736,20,1736,85.4,0.6,NR,40371,1,U,30,,100,NA,0,NA,N,N,N,N,N,,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Doug LaMalfa (R),R,CA01
BARREN,"RESERVOIR #6, BARON",400108,CO00361,0,,-107.9522,39.0399,"S1 , T12S, R95W of Sixth PM",DELTA,KISER CREEK-TR,SURFACE CREEK DITCH & RESERVOIR CO.,Private,Y,,Earth,HEZ,SZ,Irrigation,Irrigation,1886,,320,16,16,16,16,288,977,759,977,81,2.81,Y,41138,1,N,21,U;S,10788,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
SILVER LAKE,,60214,CO00249,0,,-105.5773,40.0282,"S28 , T1N, R73W of Sixth PM",BOULDER,NORTH BOULDER CREEK,CITY OF BOULDER,Local Government,N,,Earth,,,Water Supply,Water Supply,1887,,1450,71,70,70,71,8370,4819,3987,4819,104,8.7,Y,40786,1,U,100,V5,28710,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
CHILKOOT,,01354-02-01,CA82568,1,,-119.4827,37.4113,"S.17,T.6S,R.23E",MADERA,CHILKOOT CREEK,PACIFIC GAS AND ELECTRIC COMPANY,Private,Y,,Rockfill,IXZ,UZ,Hydroelectric,Hydroelectric,1890,,110,11,10.9,9.09,11,50,308,308,308,57,NA,NR,40365,1,U,8,,NA,NA,0,NA,N,N,N,N,N,,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Tom McClintock (R),R,CA04
PACKER,,9102,CA10231,0,,-120.653,39.623,"S.5,T.20N,R.12E",SIERRA,TR SALMON CREEK,FOREST SERVICE,Federal,N,,Earth,,,Water Supply,Water Supply,1885,,90,11,NA,8.8,11,NA,70,70,70,12,0.4,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
