,model_name,Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
0,Apalachia,APALACHIA,APALACHIA LAKE,CHERO-001,NC00181,0,,-84.295,35.17,,CHEROKEE,HIWASSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Hydroelectric,"Hydroelectric, Recreation",1943,,1308.0,150.0,150.0,122.0,150.0,164000.0,63456.0,55524.0,63456.0,1100.0,1018.0,Y,8/27/2009,5.0,C,320,T,237806.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
1,Boone,BOONE,BOONE LAKE,,TN16306,0,,-82.4383,36.44,,SULLIVAN; WASHINNGTON,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1952,1984,1532.0,160.0,160.0,153.0,160.0,168000.0,216147.0,180453.0,216147.0,4130.0,1840.0,Y,12/8/2009,5.0,C,175,T;S,775738.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
2,Chatuge,CHATUGE,CHATUGE LAKE,CLAY-003,NC00391,3,,-83.791,35.018,,CLAY,HIWASSEE RIVER,TVA,Federal,N,TVA,Earth,IEK,SK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942,1986,2850.0,144.0,150.0,132.0,150.0,40000.0,285552.0,226062.0,285552.0,6700.0,189.0,Y,5/12/2010,5.0,C,325,L,2373600.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
3,Cherokee,CHEROKEE,CHEROKEE LAKE,,TN08903,3,,-83.4983,36.1666,,JEFFERSON; GRAINGER,HOLSTON RIVER,TVA,Federal,N,TVA,,HCKIEK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1941,1985,6760.0,,175.0,168.0,175.0,315000.0,1699431.0,1421811.0,1699431.0,29560.0,3428.0,Y,4/1/2011,5.0,C,360,T,3998300.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
4,Douglas,DOUGLAS,DOUGLAS LAKE,,TN15501,12,,-83.5383,35.959,,SEVIER,FRENCH BROAD RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1943,1987,1705.0,,202.0,147.0,202.0,422000.0,1626060.0,1223511.0,1626060.0,28070.0,4541.0,Y,5/30/2011,5.0,C,440,T,1388100.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
5,Fontana,FONTANA,FONTANA LAKE,GRAHA-002,NC00298,0,,-83.805,35.4533,,SWAIN; GRAHAM,LITTLE TENNESSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1944,1973SE; 1976S; 1983S; 1999SE; 2000S; 2003H,2365.0,455.0,480.0,463.0,480.0,189000.0,1552689.0,1370253.0,1552689.0,10290.0,1571.0,Y,12/9/2010,5.0,C,140,T,3563600.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
6,Guntersville,GUNTERSVILLE,GUNTERSVILLE LAKE,,AL09501,1,,-86.3933,34.4216,,MARSHALL,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1939,1952 M; 1965 S; 1995 S,3979.0,78.0,94.0,78.0,94.0,568000.0,1405947.0,1019262.0,1405947.0,66000.0,24450.0,Y,3/26/2008,5.0,C,720,L,1145137.0,,600,110.0,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
7,Hiwassee,HIWASSEE,HIWASSEE LAKE,CHERO-007,NC00419,0,,-84.178,35.152,,CHEROKEE,HIWASSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1940,1992SE; 1993S; 1994S; 1996S; 2002S; 2004S,1376.0,248.0,307.0,254.0,307.0,149000.0,471954.0,398583.0,471954.0,5870.0,968.0,Y,4/15/2010,5.0,C,224,T,800800.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
8,Kentucky,KENTUCKY,KENTUCKY LAKE,,KY15701,5,,-88.108,36.242,,MARSHALL; LIVINGSTON,TENNESSEE RIVER,TVA,Federal,N,TVA,,IEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1944,,8422.0,,206.0,130.0,206.0,775000.0,7535400.0,6127470.0,7535400.0,160300.0,40200.0,Y,8/22/2012,5.0,C,960,L,6938100.0,,600,110.0,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,KY,02\27\2013,,Stephen Lee Fincher (R),R,TN08
9,Norris,NORRIS,NORRIS LAKE,,TN01302,1,,-84.0916,36.2233,,CAMPBELL; ANDERSON,CLINCH RIVER,TVA,Federal,N,TVA,,K,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1936,,1860.0,,265.0,238.0,265.0,250000.0,3363168.0,2040507.0,3363168.0,34000.0,2912.0,Y,6/30/2009,5.0,C,300,D;S,1184000.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
10,Nottely,NOTTELY,NOTTELY LAKE,,GA29101,1,,-84.092,34.958,,UNION,NOTTELY RIVER,TVA,Federal,N,TVA,,IEK,SK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942,1988,2300.0,197.0,197.0,183.0,197.0,60000.0,216147.0,162606.0,216147.0,3970.0,214.0,Y,11/15/2011,5.0,C,300,L,1573600.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,GA,02\27\2013,,Doug Collins (R),R,GA09
11,Pickwick,PICKWICK LANDING,PICKWICK LAKE; PICKWICK,,TN07101,0,,-88.25,35.07,,HARDIN,TENNESSEE RIVER,TVA,Federal,N,TVA,,CK,RS,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1938,,7969.0,51.0,113.0,91.0,113.0,834000.0,1546740.0,1118412.0,1546740.0,42700.0,32820.0,Y,6/21/2011,5.0,C,1141,L,3711600.0,,1000,110.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Marsha Blackburn (R),R,TN07
12,Watauga,WATAUGA,WATAUGA LAKE,,TN01903,0,,-82.118,36.323,,CARTER,WATAUGA RIVER,TVA,Federal,N,TVA,,IEK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1948,1983,900.0,332.0,332.0,308.0,332.0,54000.0,751557.0,569121.0,751557.0,6440.0,468.0,Y,,5.0,U,385,U;S;V,3562670.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
13,Wheeler,WHEELER,WHEELER LAKE,,AL07701,0,,-87.3816,34.7983,,LAUDERDALE; LAWRENCE,TENNESSEE RIVER,TVA,Federal,N,DOI BR;TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1936,1982,6342.0,70.0,72.0,68.0,72.0,777000.0,1358355.0,1049007.0,1358355.0,67070.0,29590.0,Y,5/14/2009,5.0,C,2400,T,1150600.0,,600,110.0,N,N,N,N,N,,,DOI BR;TVA;CE,TVA;CE,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
14,Wilbur,WILBUR,WILBUR LAKE,,TN01904,0,,-82.123,36.343,,CARTER,WATAUGA RIVER,TVA,Federal,N,EAST TN LIGHT & POWER;TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1912,1950,375.5,47.0,76.32,71.0,76.32,39040.0,873.0,594.89,873.0,70.0,480.0,Y,9/19/2007,5.0,C,160,T,20889.0,,0,,N,N,N,N,N,NONE,,,,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
15,BlueRidge,BLUE RIDGE,LAKE TOCCOA,,GA11101,0,,-84.28,34.881,,FANNIN,TOCCOA RIVER,TVA,Federal,N,TN ELECTRIC POWER,Earth,IEK,RSK,Hydroelectric,"Hydroelectric, Recreation",1930,1995,985.0,172.0,183.0,175.0,183.0,100000.0,228045.0,182436.0,228045.0,3220.0,232.0,Y,7/25/2011,5.0,C,176,T,,,0,,N,N,N,N,N,,,,,TVA,TVA,TVA,TVA,,TVA,GA,02\27\2013,,Doug Collins (R),R,GA09
16,Chikamauga,CHICKAMAUGA,CHICKAMAUGA LAKE,,TN06504,0,,-85.23,35.1033,,HAMILTON,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1940,,5800.0,,129.0,84.0,129.0,614000.0,943908.0,622662.0,943908.0,36050.0,20790.0,Y,,5.0,C,720,L,3299900.0,,360,60.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
17,FtLoudoun,FORT LOUDOUN,FORT LOUDOUN LAKE,,TN10501,1,,-84.2433,35.7916,,LOUDON,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1943,1989,4190.0,,125.0,98.0,125.0,495000.0,475920.0,362889.0,475920.0,14000.0,9550.0,Y,10/30/2008,5.0,C,560,T,4180700.0,,360,60.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
18,FtPatrick,FORT PATRICK HENRY,FORT PATRICK HENRY LAKE,,TN16307,0,,-82.5083,36.5,,SULLIVAN,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1953,,624.5,90.0,95.0,83.0,95.0,164000.0,31728.0,25779.0,31728.0,840.0,1903.0,Y,12/8/2009,5.0,C,175,T,84200.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
19,MeltonH,MELTON HILL,MELTON HILL LAKE,,TN10502,0,,-84.3,35.885,,LOUDON; ROANE,CLINCH RIVER,TVA,Federal,N,TVA,,HCK,RK,Hydroelectric,"Hydroelectric, Navigation, Water Supply, Recreation",1963,1988O,1020.0,,103.0,69.0,103.0,121000.0,150708.0,105099.0,150708.0,5690.0,3343.0,Y,3/10/2011,5.0,C,120,T,246800.0,,400,75.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
20,Nikajack,NICKAJACK,NICKAJACK LAKE,,TN11502,0,,-85.6216,35.0016,,MARION,TENNESSEE RIVER,TVA,Federal,N,TVA,,,RSK,Hydroelectric,"Hydroelectric, Navigation, Recreation",1967,1992O,3767.0,,81.0,74.0,81.0,495000.0,402549.0,246130.0,402549.0,10200.0,21870.0,Y,3/28/2012,5.0,C,400,T,1601000.0,,600,110.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Scott DesJarlais (R),R,TN04
21,Ocoee1,OCOEE NO. 1,PARKSVILLE LAKE,,TN13905,0,,-84.6483,35.095,,POLK,OCOEE RIVER,TVA,Federal,N,TN ELECTRIC POWER,,ICK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1911,1914 M; 1930 M; 1937 M; 1975 S,840.0,127.0,135.0,117.0,135.0,26620.0,48350.0,79320.0,79320.0,1620.0,595.0,Y,6/12/2012,5.0,U,362,S,,,0,,N,N,N,N,N,NONE,,,,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
22,Ocoee3,OCOEE NO. 3,OCOEE NO.3 LAKE,,TN13903,0,,-84.46,35.047,,POLK,OCOEE RIVER,TVA,Federal,N,TVA,,ICK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942,00-Jan-00,612.1,83.0,110.0,78.0,110.0,134000.0,7932.0,3966.0,7932.0,600.0,492.0,Y,9/15/2011,5.0,C,260,T,82500.0,,0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
23,SHolston,SOUTH HOLSTON,SOUTH HOLSTON LAKE,,TN16305,2,,-82.085,36.523,,SULLIVAN,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,IEK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1950,,1600.0,285.0,285.0,275.0,285.0,114000.0,890367.0,658356.0,890367.0,7600.0,703.0,Y,7/31/2009,5.0,U,385,U;S;V,5897440.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
24,TimsFord,TIMS FORD,TIMS FORD LAKE,,TN05102,0,,-86.278,25.202,,FRANKLIN,ELK RIVER,TVA,Federal,N,TVA,Earth,,RSK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation, Other",1970,,1580.0,,175.0,155.0,175.0,122000.0,666288.0,529461.0,666288.0,10500.0,529.0,Y,4/30/2009,5.0,C,144,T,2305800.0,,0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,,,
25,WattsBar,WATTS BAR,WATTS BAR LAKE,,TN12102,2,,-84.7833,35.62,,MEIGS; RHEA,TENNESSEE RIVER,TVA,Federal,N,TVA,,IEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1942,1998,2960.0,,112.0,85.0,112.0,690000.0,1415862.0,1009347.0,1415862.0,37500.0,17310.0,Y,8/9/2011,5.0,C,800,T,1690000.0,,360,60.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Scott DesJarlais (R),R,TN04
26,Wilson,WILSON,WILSON LAKE,,AL07702,0,,-87.625,34.795,,LAUDERDALE; COLBERT,TENNESSEE RIVER,TVA,Federal,N,COE; TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1924,1942 S; 1956 S; 1962 M 1964 M; 1968 M,4541.0,113.0,137.0,103.0,137.0,893000.0,674220.0,636543.0,674220.0,15600.0,30750.0,Y,5/22/2008,5.0,C,1862,L,1328800.0,,600,110.0,N,N,N,N,N,,,,,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
