BLUE MESA,38327
CAUSEY,42507
DEER CREEK,14519
FLAMING GORGE,36163
FONTENELLE,36233
JORDANELLE,68534
LEMON,32954
LOST CREEK,42506
MCPHEE,61716
MEEKS CABIN,50165
MORROW POINT,44652
NAVAJO,10800
RIDGWAY,64484
SANTA ROSA ,61127
SILVER JACK,50333
STARVATION,47947
TAYLOR PARK,11177
VALLECITO,11138
Bonneville,12744
Brownlee,24304
Chief Joseph,23275
Grand Coulee,14542
Ice Harbor,34313
Lower Granite,57038
Priest Rapids,32731
Rocky Reach,34354
Wanapum,40706
Hoover,10321
Angostura,16237
Alcova,13720
Bull Lake,13744
Big Bend,35730
Clark Canyon,35260
Deerfield,16827
Fresno,11902
Fort Peck,25068
Fort Randall,22521
Gray Reef,32756
Garrison,21842
Gavins Point,25944
Kortes,19912
Oahe,42182
Pathfinder,5208
Pactola,27942
Seminoe,13747
Apalachia,14153
Blue Ridge,7727
Boone,19369
Chatuge,14154
Cherokee,14557
Chickamauga,13249
Douglas,14438
Fontana,14157
Fort Loudoun,14437
Fort Patrick Henry,22814
Guntersville,11001
Hiwassee,12117
Kentucky,14032
Melton Hill,35855
Nickajack,44046
Norris,13247
Nottely,13941
Pickwick Landing,13246
South Holston,19371
Tims Ford,49809
Watauga,16464
Watts Bar,14422
Wheeler,11004
Wilbur,6854
CRYSTAL,58352
DILLON RESERVOIR,11139
HYRUM,10771
LAKE POWELL,34525
RUEDI RESERVIOR,44656
Rock Island,4494
Wells,46321
Davis,17117
Parker,11093
Willow Creek,6140
Ocoee #1,6848
Ocoee #3,14440
Wilson,7362
