,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,970,,,,94,124,52,1560,999,1480,58,379,155,46,1110,711,1570,626,47,1900,820,45,357,171,56,680,56,293,827,593,56,56,120,216,299,2719,179,297,298,168,454,309,169,186,187,1053,898,312,217,896,224,227,1680,60,238,236,1712,60,235
2-Jan,974,,,,463,559,198,1630,672,1300,56,108,557,45,362,784,1850,1000,47,610,840,1500,1210,128,56,454,56,559,750,1262,56,56,56,646,1153,996,120,287,906,335,465,174,116,125,539,1198,345,580,222,1716,275,226,1678,60,848,731,1729,60,235
3-Jan,939,,,,158,78,287,1720,1820,446,56,721,193,43,1000,652,1640,185,302,1420,2250,2700,1420,114,56,945,56,513,262,653,56,56,56,518,1149,847,610,1235,1006,346,346,228,499,308,772,1414,223,1547,221,2219,285,226,1679,355,1130,450,1694,60,234
4-Jan,238,,,,258,1380,168,1060,1260,995,723,1880,406,45,1150,571,1200,309,829,1600,1520,1910,1430,53,151,954,56,1000,329,471,56,56,56,665,560,1431,745,954,1018,336,130,1102,592,397,735,844,223,1298,223,2380,222,227,1310,286,893,478,241,60,234
5-Jan,138,,,,596,1480,174,338,872,695,1810,1480,568,46,1390,891,1190,108,831,2000,1330,606,1670,708,56,964,32,569,459,719,153,56,56,524,671,1395,1318,1370,958,177,800,1417,763,125,749,274,1443,1181,222,2376,223,227,640,366,612,238,243,60,233
6-Jan,464,,,,503,64,724,394,1030,984,2970,1450,564,1120,1110,685,1340,543,762,1800,1460,989,1230,775,56,899,32,540,1164,602,606,56,56,638,1870,1494,922,696,287,1225,871,1003,716,125,125,1269,2452,1388,331,1317,221,186,541,245,918,238,737,60,228
7-Jan,560,,,,548,642,728,386,1610,55,2990,2080,2050,1660,164,643,1533,437,1450,1400,1330,158,1250,798,56,632,32,549,1117,1314,679,56,56,680,1788,1453,964,228,346,1240,800,122,248,125,1111,1324,2433,1202,219,1570,394,205,640,229,335,662,1088,60,214
8-Jan,671,,,,705,71,650,633,1510,53,797,404,2640,56,63,1310,1396,95,1250,1950,1280,1870,977,659,536,536,19,329,1180,1281,329,56,293,1137,1816,1490,920,228,888,1252,56,125,292,125,187,1319,1852,310,219,2031,406,151,635,60,359,670,364,60,230
9-Jan,1720,,,,939,83,312,652,1370,1830,63,165,2670,52,179,1330,1290,51,2730,480,2270,2060,982,745,498,56,5,303,1160,608,56,56,451,1194,1847,336,1358,130,888,1252,69,125,494,248,675,1502,1259,223,219,1818,461,211,407,60,721,613,239,60,231
10-Jan,1600,,,,728,57,900,614,1990,874,655,1830,1490,50,55,1780,1505,250,1700,2300,2820,1050,1090,13,1811,851,5,258,175,281,56,56,767,1195,1806,336,1609,141,867,1991,228,194,795,153,238,606,1142,1138,223,1841,453,225,290,462,967,633,240,60,232
11-Jan,1690,,,,939,56,530,302,1540,288,49,84,1220,49,53,1920,1750,168,376,2600,2910,1030,963,10,2517,1770,18,352,98,520,690,56,394,506,425,1392,1919,298,856,2029,228,518,173,125,125,667,225,666,184,1960,325,227,357,425,230,595,275,60,181
12-Jan,1250,,,,162,478,131,85,1060,350,48,269,1590,48,631,1840,1490,1060,683,2500,2850,471,1030,571,2369,1858,56,329,98,688,674,56,727,56,358,1415,922,357,851,2760,1461,187,125,125,125,683,977,468,131,1971,254,244,346,86,842,256,240,60,60
13-Jan,2670,,,,110,1200,1970,50,1720,238,112,644,1560,225,865,2340,1326,1280,1190,1950,2790,84,43,790,1609,1975,56,258,963,625,798,56,185,816,639,1467,860,501,303,2010,1451,125,187,494,125,1274,227,422,353,282,223,227,356,470,1076,302,240,60,60
14-Jan,2780,,,,181,1610,1870,566,1260,48,690,1200,2260,52,1620,1200,1580,1990,1270,330,2760,509,863,540,1348,1135,56,1124,1219,451,694,56,127,946,681,1419,1506,287,298,1958,1408,823,576,489,653,1242,226,713,223,281,227,229,604,359,666,614,239,60,60
15-Jan,1560,,,,348,352,715,403,1080,597,946,366,80,110,1220,1210,1815,1460,845,580,1680,1320,623,529,856,1811,56,1016,1125,175,727,56,175,738,873,1426,1441,1459,908,1228,628,694,125,556,755,1285,1022,656,349,682,228,227,454,60,962,235,240,60,128
16-Jan,1540,,,,416,152,534,914,1160,137,1270,387,164,363,1070,1660,1680,1100,1200,1540,2750,838,944,852,837,1786,56,507,412,175,661,56,56,313,1782,249,776,2389,730,1239,1615,248,125,689,704,1311,1701,547,642,1023,228,297,653,60,1738,266,240,60,236
17-Jan,1390,,,,383,747,360,134,1600,826,1040,56,160,56,900,608,1310,926,2260,2885,1900,256,752,611,2407,1844,56,276,234,276,590,56,56,270,1674,260,1440,2987,238,1209,498,125,125,1064,697,1305,220,1611,292,883,228,285,479,60,1906,236,240,60,236
18-Jan,1750,,,,324,56,59,217,1700,969,1060,1030,161,134,950,444,1430,225,2020,1260,2900,974,884,840,1307,2188,136,322,234,262,649,56,56,270,703,1367,1453,3000,249,1251,336,125,242,787,784,968,219,2028,991,772,311,271,1339,60,1890,322,254,60,236
19-Jan,2080,,,,130,265,56,487,1630,881,222,58,408,1050,990,106,1236,48,1830,1300,2650,1210,812,1170,56,2123,56,293,249,259,115,56,56,293,574,1451,2760,1987,796,1023,1112,267,202,125,125,793,758,1954,1463,727,224,223,1650,60,1920,1262,239,60,236
20-Jan,2160,,,,62,138,334,453,1420,1070,56,46,1470,57,710,427,1270,1000,862,900,2300,626,44,1270,133,1834,56,945,821,245,115,56,56,175,1125,1397,2760,2430,2290,799,1181,839,272,294,125,1030,1221,1934,1518,474,230,226,1944,60,1729,1608,240,60,235
21-Jan,417,,,,59,914,820,393,644,1100,56,42,2620,57,840,46,1371,928,404,1520,2050,666,1390,1080,56,819,56,2648,792,209,56,56,56,1462,643,1402,2118,3000,2331,800,1199,747,685,125,125,913,1533,1918,599,632,231,227,1784,60,779,1535,235,60,236
22-Jan,1370,,,,57,54,780,249,1400,49,55,349,1930,56,850,526,1428,682,428,700,1950,1030,1250,1700,56,290,5,849,607,293,56,56,56,1322,244,1489,315,3000,2185,751,1209,784,125,125,125,1006,1851,948,537,734,231,291,1530,250,991,1403,813,60,236
23-Jan,2070,,,,59,1470,52,170,856,980,55,43,1540,107,56,917,1286,622,475,56,1850,414,1420,1700,56,351,5,293,678,408,56,56,56,1342,189,287,179,3000,2184,705,1193,199,125,125,140,1785,2193,1508,1906,601,185,218,1352,60,1478,1047,886,60,235
24-Jan,1390,,,,112,2290,637,1100,1860,55,933,42,505,55,780,998,1144,414,185,460,1800,1210,1350,550,56,1390,11,274,703,15,56,56,56,719,276,257,136,3000,2278,800,346,125,125,125,301,2017,639,1639,652,545,227,225,664,340,1827,1368,789,60,236
25-Jan,686,,,,2040,761,768,262,1940,447,1240,42,58,54,980,900,475,1160,48,1220,1910,1460,1430,100,249,1430,56,381,175,10,56,56,56,216,180,1275,173,2743,2495,228,298,985,381,125,125,271,703,1227,602,628,229,227,1124,693,1829,1402,239,60,537
26-Jan,233,,,,2920,64,270,858,2050,1170,967,42,54,407,800,960,46,44,266,410,1740,619,1030,1200,601,864,56,293,127,43,553,56,1319,175,168,1334,120,2760,2123,179,784,211,1243,156,213,302,225,103,1083,555,229,331,1471,675,1883,1443,239,60,233
27-Jan,1760,,,,2000,645,636,1060,1430,1270,507,41,52,127,700,1040,42,778,320,550,2580,50,247,550,385,579,149,293,1852,1422,504,56,398,148,179,1331,120,2760,1838,1081,739,171,629,125,125,1713,1490,60,1046,403,230,225,1392,427,1877,1436,357,60,475
28-Jan,1480,,,,2090,1210,1110,689,2150,448,54,47,51,54,890,60,147,44,800,1800,2880,160,1550,600,249,465,56,293,2508,816,115,56,412,724,120,1293,120,2120,1595,1186,656,125,484,125,890,1232,938,60,427,372,230,226,1429,663,1031,1787,1198,60,507
29-Jan,924,,,,2860,456,457,944,2340,174,1170,47,50,54,730,620,971,98,825,2200,2830,680,1590,500,286,192,56,322,634,217,252,56,1202,120,120,1288,120,2760,1645,2017,527,306,199,155,2483,262,647,86,479,547,227,225,1415,60,1057,1710,738,60,236
