,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,275,720,-34,283,777,543,36,66,140,141,257,2727,139,274,277,132,424,338,156,133,173,1079,848,263,268,757,227,189,2963,224,235,234,1704,688,2796
2-Jan,56,454,46,569,780,1252,46,46,46,596,1185,985,137,277,1008,309,430,153,126,127,501,1269,370,569,223,1736,239,242,2964,217,828,727,1708,1474,2797
3-Jan,56,915,36,543,242,643,46,46,46,615,1152,903,679,1330,961,357,291,192,479,281,840,1376,262,1615,282,2306,232,240,2972,529,1109,460,1707,1091,2800
4-Jan,251,984,56,940,389,491,56,36,36,629,511,1429,693,940,1015,345,280,1136,618,392,683,739,139,1241,223,2424,234,240,1659,406,893,480,248,200,2794
5-Jan,46,954,32,559,409,639,233,56,46,512,720,1368,1342,1324,1005,162,769,1448,764,137,743,357,1492,1143,227,2326,235,236,640,516,690,233,247,988,2365
6-Jan,46,869,32,560,1174,672,586,56,46,622,1794,1485,936,715,273,1265,844,957,717,142,138,1337,2502,1432,265,1306,253,183,611,904,815,246,706,1457,1323
7-Jan,36,662,32,549,1127,1334,639,56,46,622,1828,1472,972,145,287,1251,811,127,218,137,1171,1267,2405,1261,204,1595,399,150,592,1055,347,592,1317,2446,1316
8-Jan,496,526,19,289,1120,1291,349,56,393,1168,1841,1493,962,159,917,1239,77,131,337,144,134,1415,1869,257,224,1983,333,151,634,287,344,640,345,2550,1325
9-Jan,498,36,5,293,1160,598,46,56,411,1190,1814,296,1338,144,895,1292,61,170,484,210,735,1338,1261,246,254,1840,462,187,415,166,800,668,259,1524,1331
10-Jan,1901,851,5,338,215,271,36,56,787,1217,1826,287,1547,147,883,1916,183,143,820,132,172,698,1120,1184,236,1876,433,260,290,611,802,637,235,1521,1320
11-Jan,2517,1770,188,322,78,530,700,76,374,520,350,1465,1941,293,868,2052,169,557,151,123,145,599,245,522,12,1931,360,274,353,413,258,633,245,1519,1366
12-Jan,2409,1908,-4,279,88,648,774,116,777,46,390,1431,886,470,853,2757,1513,159,141,129,87,592,888,561,319,1997,257,222,387,888,889,243,278,1520,451
13-Jan,1509,1925,16,288,1073,635,748,86,145,874,704,1421,944,479,258,1990,1457,144,158,514,146,1329,248,448,369,254,251,234,344,764,1051,273,232,1520,197
14-Jan,1308,1175,16,1044,1139,421,744,56,137,907,717,1423,1451,296,272,1933,1425,785,550,527,708,1288,241,737,234,266,223,241,627,493,810,574,257,1517,205
15-Jan,926,1851,26,1036,1145,225,667,56,145,702,737,1398,1452,1447,911,1268,607,783,132,513,765,1271,1061,610,273,664,242,234,427,210,951,358,225,570,454
16-Jan,767,1816,56,547,412,205,671,46,66,293,1866,262,791,2469,720,1256,1677,172,134,698,688,1294,1637,566,657,1102,227,203,665,148,1674,234,239,125,236
17-Jan,2547,1784,56,296,214,276,620,46,36,287,1633,259,1437,3002,290,1241,462,146,138,1080,728,1298,246,1509,302,787,227,269,501,182,1835,224,240,329,259
18-Jan,1177,2188,136,312,204,252,659,46,16,292,715,1441,1481,3002,241,1213,252,160,215,809,761,996,274,2051,1075,753,227,268,1311,262,1967,299,244,172,235
19-Jan,36,2163,56,293,239,259,105,46,26,279,593,1457,2747,1971,848,1020,1209,187,193,134,189,816,703,1949,1474,841,312,262,1623,232,1924,1293,247,201,963
